,contract_name,last_trade_date,strike,last_price,bid,ask,change,change,volume,open_interest,implied_volatility,expiry_sheet,expiry_date,option_type,dte,date,dte_bucket
0,AAPL250620C00005000,2025-06-17 13:01:00,5,191.50,0.00,0.00,0.00,0.00%,5.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
2,AAPL250620C00015000,2025-06-16 09:43:00,15,181.93,0.00,0.00,0.00,0.00%,2.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,3,2025-06-16,short
3,AAPL250620C00020000,2025-03-06 09:50:00,20,183.00,0.00,0.00,0.00,0.00%,1.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,105,2025-03-06,long
4,AAPL250620C00025000,2025-06-13 14:58:00,25,171.33,0.00,0.00,0.00,0.00%,4.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,6,2025-06-13,short
5,AAPL250620C00030000,2025-06-17 15:01:00,30,165.57,0.00,0.00,0.00,0.00%,5.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
6,AAPL250620C00035000,2025-06-17 15:01:00,35,160.62,0.00,0.00,0.00,0.00%,5.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
7,AAPL250620C00040000,2025-06-13 10:01:00,40,157.05,0.00,0.00,0.00,0.00%,4.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,6,2025-06-13,short
8,AAPL250620C00045000,2025-06-13 10:01:00,45,152.05,0.00,0.00,0.00,0.00%,2.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,6,2025-06-13,short
9,AAPL250620C00050000,2025-06-16 15:02:00,50,148.25,0.00,0.00,0.00,0.00%,84.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,3,2025-06-16,short
10,AAPL250620C00055000,2025-06-16 13:19:00,55,142.46,0.00,0.00,0.00,0.00%,2.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,3,2025-06-16,short
13,AAPL250620C00070000,2025-02-06 11:09:00,70,131.35,0.00,0.00,0.00,0.00%,2.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,133,2025-02-06,long
14,AAPL250620C00075000,2025-06-13 09:52:00,75,123.58,0.00,0.00,0.00,0.00%,1.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,6,2025-06-13,short
15,AAPL250620C00080000,2025-06-13 09:53:00,80,117.25,0.00,0.00,0.00,0.00%,10.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,6,2025-06-13,short
16,AAPL250620C00085000,2025-06-16 15:03:00,85,113.00,0.00,0.00,0.00,0.00%,3.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,3,2025-06-16,short
17,AAPL250620C00090000,2025-06-16 13:12:00,90,107.34,0.00,0.00,0.00,0.00%,1.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,3,2025-06-16,short
18,AAPL250620C00095000,2025-06-16 10:20:00,95,103.18,0.00,0.00,0.00,0.00%,1.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,3,2025-06-16,short
19,AAPL250620C00100000,2025-06-16 15:32:00,100,98.17,0.00,0.00,0.00,0.00%,2.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,3,2025-06-16,short
21,AAPL250620C00110000,2025-06-16 15:53:00,110,88.10,0.00,0.00,0.00,0.00%,386.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,3,2025-06-16,short
22,AAPL250620C00115000,2025-06-17 10:05:00,115,82.15,0.00,0.00,0.00,0.00%,15.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
23,AAPL250620C00120000,2025-06-17 15:03:00,120,75.91,0.00,0.00,0.00,0.00%,1.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
24,AAPL250620C00125000,2025-06-16 11:28:00,125,71.95,0.00,0.00,0.00,0.00%,3.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,3,2025-06-16,short
25,AAPL250620C00130000,2025-06-16 12:17:00,130,67.74,0.00,0.00,0.00,0.00%,12.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,3,2025-06-16,short
26,AAPL250620C00135000,2025-06-17 14:49:00,135,60.73,0.00,0.00,0.00,0.00%,5.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
27,AAPL250620C00140000,2025-06-17 15:33:00,140,55.88,0.00,0.00,0.00,0.00%,12.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
28,AAPL250620C00145000,2025-06-17 15:33:00,145,50.93,0.00,0.00,0.00,0.00%,10.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
29,AAPL250620C00150000,2025-06-17 14:55:00,150,45.90,0.00,0.00,0.00,0.00%,65.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
30,AAPL250620C00155000,2025-06-17 14:15:00,155,40.83,0.00,0.00,0.00,0.00%,9.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
31,AAPL250620C00160000,2025-06-17 15:16:00,160,36.07,0.00,0.00,0.00,0.00%,3.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
32,AAPL250620C00165000,2025-06-17 13:24:00,165,31.85,0.00,0.00,0.00,0.00%,30.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
33,AAPL250620C00170000,2025-06-17 15:18:00,170,25.85,0.00,0.00,0.00,0.00%,67.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
34,AAPL250620C00172500,2025-06-17 14:50:00,172.5,23.35,0.00,0.00,0.00,0.00%,,0.0,0.0,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
35,AAPL250620C00175000,2025-06-17 15:59:00,175,20.75,0.00,0.00,0.00,0.00%,192.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
36,AAPL250620C00177500,2025-06-17 13:30:00,177.5,19.10,0.00,0.00,0.00,0.00%,20.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
37,AAPL250620C00180000,2025-06-17 15:55:00,180,15.90,0.00,0.00,0.00,0.00%,187.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
38,AAPL250620C00182500,2025-06-17 12:14:00,182.5,15.77,0.00,0.00,0.00,0.00%,9.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
39,AAPL250620C00185000,2025-06-17 15:56:00,185,10.95,0.00,0.00,0.00,0.00%,616.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
40,AAPL250620C00187500,2025-06-17 15:44:00,187.5,8.50,0.00,0.00,0.00,0.00%,216.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
41,AAPL250620C00190000,2025-06-17 15:59:00,190,6.25,0.00,0.00,0.00,0.00%,1.062,0.0,0.0,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
42,AAPL250620C00192500,2025-06-17 15:59:00,192.5,4.25,0.00,0.00,0.00,0.00%,1.712,0.0,0.0,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
43,AAPL250620C00195000,2025-06-17 15:59:00,195,2.53,0.00,0.00,0.00,0.00%,14.104,0.0,0.0,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
44,AAPL250620C00197500,2025-06-17 15:59:00,197.5,1.29,0.00,0.00,0.00,0.00%,36.475,0.0,0.0313,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
45,AAPL250620C00200000,2025-06-17 15:59:00,200,0.56,0.00,0.00,0.00,0.00%,37.825,0.0,0.0625,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
46,AAPL250620C00202500,2025-06-17 15:59:00,202.5,0.22,0.00,0.00,0.00,0.00%,17.669,0.0,0.125,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
47,AAPL250620C00205000,2025-06-17 15:59:00,205,0.10,0.00,0.00,0.00,0.00%,26.441,0.0,0.125,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
48,AAPL250620C00207500,2025-06-17 15:59:00,207.5,0.06,0.00,0.00,0.00,0.00%,8.269,0.0,0.125,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
49,AAPL250620C00210000,2025-06-17 15:59:00,210,0.04,0.00,0.00,0.00,0.00%,15.281,0.0,0.125,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
50,AAPL250620C00212500,2025-06-17 15:59:00,212.5,0.02,0.00,0.00,0.00,0.00%,2.042,0.0,0.25,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
