,date,ticker,MarketCap,EnterpriseValue,PeRatio,ForwardPeRatio,PegRatio,PsRatio,PbRatio
157,2014-01-31,AAPL,446529693399.0,422779693399.0,12.379,10.071,1.251,2.648,3.443
156,2014-02-28,AAPL,469400291359.0,445650291359.0,13.013,10.764,1.329,2.783,3.62
155,2014-03-31,AAPL,462533011299.0,438783011299.0,13.273,10.977,1.355,2.839,3.567
154,2014-04-30,AAPL,508292314289.0,483904314289.0,14.046,12.005,1.402,3.029,4.229
153,2014-05-31,AAPL,545254172999.0,520866172999.0,15.068,12.755,1.488,3.249,4.537
152,2014-06-30,AAPL,556573661030.0,532185661030.0,15.485,13.038,1.398,3.339,4.631
151,2014-07-31,AAPL,572440085200.0,565675085200.0,15.373,13.477,1.456,3.338,4.733
150,2014-08-31,AAPL,613756367500.0,606991367500.0,16.483,14.306,1.544,3.579,5.075
149,2014-09-30,AAPL,591015720750.0,584250720750.0,16.201,13.793,1.391,3.518,4.887
148,2014-10-31,AAPL,633402720000.0,643620720000.0,16.744,14.124,1.23,3.617,5.678
147,2014-11-30,AAPL,697505421200.0,707723421200.0,18.439,15.221,1.325,3.984,6.253
146,2014-12-31,AAPL,643120129220.0,653338129220.0,17.113,14.085,1.226,3.697,5.765
145,2015-01-31,AAPL,682427475680.0,686367475680.0,15.747,12.61,0.92,3.527,5.533
144,2015-02-28,AAPL,748247128080.0,752187128080.0,17.266,13.569,1.005,3.868,6.067
143,2015-03-31,AAPL,717000251540.0,720940251540.0,16.724,13.021,0.965,3.746,5.814
142,2015-04-30,AAPL,720992904500.0,731767904500.0,15.451,12.484,0.896,3.501,5.589
141,2015-05-31,AAPL,750546988400.0,761321988400.0,16.084,13.055,0.939,3.644,5.818
140,2015-06-30,AAPL,715599795000.0,726374795000.0,15.485,12.531,0.901,3.509,5.547
139,2015-07-31,AAPL,691740178600.0,711455178600.0,13.991,12.121,0.885,3.171,5.504
138,2015-08-31,AAPL,643038932720.0,662753932720.0,13.006,11.223,0.82,2.948,5.117
137,2015-09-30,AAPL,615336455900.0,635051455900.0,12.722,11.038,0.794,2.884,4.896
136,2015-10-31,AAPL,666252054500.0,689113054500.0,12.961,11.962,0.86,2.962,5.582
135,2015-11-30,AAPL,659561657300.0,682422657300.0,12.831,11.848,0.852,2.932,5.526
134,2015-12-31,AAPL,583612701620.0,606473701620.0,11.416,10.56,1.065,2.609,4.89
133,2016-01-31,AAPL,539709709220.0,564598709220.0,10.311,9.452,1.012,2.37,4.208
132,2016-02-29,AAPL,536105730270.0,560994730270.0,10.243,9.488,1.016,2.354,4.18
131,2016-03-31,AAPL,597095829540.0,621984829540.0,11.546,11.655,1.248,2.654,4.655
130,2016-04-30,AAPL,513453819500.0,538042819500.0,10.392,9.709,1.04,2.327,3.936
