date,ticker,MarketCap,EnterpriseValue,PeRatio,ForwardPeRatio,PegRatio,PsRatio,PbRatio,EnterprisesValueRevenueRatio,EnterprisesValueEBITDARatio
ttm,AAPL,"2,922,044,998,640","2,971,732,998,640",30.474,24.45,1.776,7.427,43.746,7.423,21.4
05/31/2025,AAPL,"2,999,860,652,100","3,049,548,652,100",,,,,,,
04/30/2025,AAPL,"3,173,863,025,000","3,216,887,025,000",33.73,29.07,2.089,8.216,47.543,,
03/31/2025,AAPL,"3,318,470,040,950","3,361,494,040,950",35.259,30.303,2.062,8.588,49.709,,
02/28/2025,AAPL,"3,632,938,134,320","3,675,962,134,320",38.387,32.895,2.24,9.35,54.42,,
01/31/2025,AAPL,"3,545,209,228,000","3,588,233,228,000",37.46,31.847,2.168,9.125,53.105,,
12/31/2024,AAPL,"3,766,499,857,020","3,807,957,857,020",41.188,33.67,2.29,9.867,66.137,,
11/30/2024,AAPL,"3,587,438,272,590","3,628,896,272,590",39.035,31.847,2.452,9.352,62.993,,
10/31/2024,AAPL,"3,414,815,573,930","3,456,273,573,930",37.156,30.675,2.363,8.902,59.962,,
09/30/2024,AAPL,"3,522,211,138,000","3,561,714,138,000",35.464,30.675,2.236,9.375,52.8,,
08/31/2024,AAPL,"3,481,747,373,000","3,521,250,373,000",34.855,30.488,2.227,9.214,52.194,,
07/31/2024,AAPL,"3,376,534,744,960","3,413,974,744,960",34.538,29.94,2.329,9.091,45.51,,
06/30/2024,AAPL,"3,229,664,350,840","3,267,104,350,840",32.756,28.653,2.229,8.622,43.213,,
05/31/2024,AAPL,"2,947,977,264,500","2,985,417,264,500",29.899,29.326,2.28,7.87,39.733,,
04/30/2024,AAPL,"2,611,854,187,060","2,646,794,187,060",26.49,26.385,2.116,6.941,35.248,,
03/31/2024,AAPL,"2,647,973,753,880","2,682,913,753,880",26.669,26.316,2.111,6.988,35.494,,
02/29/2024,AAPL,"2,791,119,990,750","2,826,059,990,750",28.11,27.701,2.225,7.366,37.667,,
01/31/2024,AAPL,"2,847,482,856,400","2,909,857,856,400",30.082,27.855,2.205,7.607,45.819,,
12/31/2023,AAPL,"2,994,371,342,560","3,056,746,342,560",31.408,29.155,2.307,7.943,47.896,,
11/30/2023,AAPL,"2,954,245,242,400","3,016,620,242,400",30.987,28.818,2.24,7.836,47.537,,
10/31/2023,AAPL,"2,655,943,459,040","2,702,741,459,040",28.653,25.974,2.199,7.083,44.064,,
09/30/2023,AAPL,"2,676,736,860,720","2,723,534,860,720",28.727,25.773,2.18,7.101,44.17,,
08/31/2023,AAPL,"2,937,203,165,840","2,984,001,165,840",31.522,28.249,2.393,7.792,48.731,,
07/31/2023,AAPL,"3,071,344,876,400","3,125,087,876,400",33.297,29.762,2.695,8.186,49.412,,
06/30/2023,AAPL,"3,050,896,326,940","3,104,639,326,940",32.876,29.412,2.663,8.082,49.083,,
05/31/2023,AAPL,"2,787,912,429,500","2,841,655,429,500",30.042,29.851,2.699,7.386,44.852,,
04/30/2023,AAPL,"2,668,846,155,360","2,728,601,155,360",28.808,28.818,2.88,7.086,47.047,,
03/31/2023,AAPL,"2,609,038,895,400","2,668,793,895,400",27.997,27.855,2.788,6.887,45.993,,
02/28/2023,AAPL,"2,332,313,059,860","2,392,068,059,860",25.027,24.938,2.441,6.156,41.115,,
01/31/2023,AAPL,"2,282,948,588,340","2,367,124,588,340",23.615,23.585,2.21,5.974,45.053,,
12/31/2022,AAPL,"2,066,941,771,740","2,151,117,771,740",21.265,21.277,2.533,5.379,40.622,,
11/30/2022,AAPL,"2,354,878,707,540","2,439,054,707,540",24.227,24.039,2.864,6.129,46.473,,
10/31/2022,AAPL,"2,439,350,814,120","2,523,526,814,120",25.097,24.938,2.965,6.349,48.14,,
09/30/2022,AAPL,"2,203,381,335,000","2,274,841,335,000",22.843,21.834,2.473,5.868,37.919,,
08/31/2022,AAPL,"2,526,643,629,440","2,598,103,629,440",25.987,24.814,2.812,6.676,43.483,,
07/31/2022,AAPL,"2,611,657,907,520","2,683,117,907,520",26.861,25.445,2.812,6.9,44.946,,
06/30/2022,AAPL,"2,200,560,080,160","2,269,030,080,160",22.231,21.552,2.377,5.874,32.65,,
05/31/2022,AAPL,"2,409,002,340,040","2,477,472,340,040",24.202,24.45,2.698,6.395,35.742,,
04/30/2022,AAPL,"2,551,593,784,650","2,620,063,784,650",25.634,25.84,2.853,6.773,37.858,,
03/31/2022,AAPL,"2,830,003,448,480","2,888,888,448,480",28.957,29.07,3.374,7.715,39.343,,
02/28/2022,AAPL,"2,694,666,097,920","2,753,551,097,920",27.383,27.624,3.207,7.296,37.461,,
01/31/2022,AAPL,"2,852,311,897,980","2,911,196,897,980",28.985,29.24,3.395,7.723,39.653,,
12/31/2021,AAPL,"2,901,644,912,070","2,975,527,912,070",31.652,31.646,3.791,8.186,45.992,,
11/30/2021,AAPL,"2,711,977,424,100","2,785,860,424,100",29.465,29.586,3.548,7.621,42.986,,
10/31/2021,AAPL,"2,457,678,270,600","2,531,561,270,600",26.702,26.738,2.038,6.906,38.955,,
09/30/2021,AAPL,"2,324,390,219,000","2,384,485,219,000",27.637,25.381,1.938,6.937,36.16,,
08/31/2021,AAPL,"2,509,775,103,780","2,569,870,103,780",29.654,27.248,2.08,7.444,39.044,,
07/31/2021,AAPL,"2,411,090,012,760","2,471,185,012,760",28.488,26.178,1.998,7.151,37.509,,
06/30/2021,AAPL,"2,267,638,776,320","2,319,449,776,320",30.64,25.773,2.122,7.231,32.78,,
05/31/2021,AAPL,"2,079,445,698,910","2,131,256,698,910",27.877,24.631,2.03,6.579,30.059,,
04/30/2021,AAPL,"2,193,755,971,260","2,245,566,971,260",29.409,28.818,2.373,6.94,31.712,,
03/31/2021,AAPL,"2,038,232,155,750","2,073,449,155,750",32.925,28.49,2.707,7.206,30.778,,
03/17/2021,AAPL,"2,094,482,856,960","2,129,699,856,960",,,,,,,
03/03/2021,AAPL,"2,049,154,997,760","2,084,371,997,760",,,,,,,
02/28/2021,AAPL,"2,035,724,520,960","2,070,941,520,960",32.685,28.329,2.687,7.154,30.74,,
02/10/2021,AAPL,"2,272,940,317,440","2,308,157,317,440",,,,,,,
02/03/2021,AAPL,"2,248,597,578,240","2,283,814,578,240",,,,,,,
01/31/2021,AAPL,"2,215,357,148,160","2,250,574,148,160",35.569,31.646,3.082,7.785,33.452,,
12/31/2020,AAPL,"2,232,278,767,470","2,263,613,767,470",40.454,33.445,3.329,8.472,34.165,,
12/22/2020,AAPL,"2,242,197,647,760","2,263,690,647,760",,,,,,,
12/01/2020,AAPL,"2,086,461,141,440","2,107,954,141,440",,,,,,,
11/30/2020,AAPL,"2,024,064,528,100","2,055,399,528,100",36.296,30.03,2.987,7.602,30.978,,
11/25/2020,AAPL,"1,972,719,086,060","1,994,212,086,060",,,,,,,
10/31/2020,AAPL,"1,850,816,165,720","1,882,151,165,720",33.189,28.249,2.688,6.951,28.326,,
10/28/2020,AAPL,"1,901,802,003,200","1,921,500,003,200",,,,,,,
10/22/2020,AAPL,"1,979,618,542,000","1,999,316,542,000",,,,,,,
10/15/2020,AAPL,"2,064,447,120,560","2,084,145,120,560",,,,,,,
09/30/2020,AAPL,"1,966,078,923,030","1,995,239,923,030",35.121,30.121,2.859,7.5,27.2,,
09/29/2020,AAPL,"1,951,228,332,240","1,970,926,332,240",,,,,,,
08/31/2020,AAPL,"2,206,911,245,440","2,236,072,245,440",39.133,8.224,0.655,8.356,30.532,,
08/27/2020,AAPL,"2,137,988,025,360","2,157,686,025,360",,,,,,,
08/14/2020,AAPL,"1,965,209,655,420","1,984,907,655,420",,,,,,,
08/06/2020,AAPL,"1,948,021,606,740","1,967,719,606,740",,,,,,,
08/03/2020,AAPL,"1,863,107,515,500","1,882,805,515,500",,,,,,,
07/31/2020,AAPL,"1,817,315,475,360","1,846,476,475,360",32.224,26.81,2.135,6.881,25.142,,
07/16/2020,AAPL,"1,673,443,400,150","1,688,899,400,150",,,,,,,
07/14/2020,AAPL,"1,682,718,877,050","1,698,174,877,050",,,,,,,
06/30/2020,AAPL,"1,562,780,947,200","1,587,490,947,200",28.522,24.331,2.023,6.119,19.927,,
06/12/2020,AAPL,"1,468,472,698,000","1,483,928,698,000",,,,,,,
05/31/2020,AAPL,"1,378,058,469,900","1,402,768,469,900",24.858,26.81,2.226,5.333,17.572,,
05/28/2020,AAPL,"1,379,402,113,750","1,394,858,113,750",,,,,,,
05/08/2020,AAPL,"1,344,207,313,550","1,359,663,313,550",,,,,,,
04/30/2020,AAPL,"1,273,427,623,000","1,288,883,623,000",22.971,24.691,1.984,4.928,16.238,,
03/31/2020,AAPL,"1,099,546,654,230","1,109,135,654,230",20.023,19.646,1.58,4.341,12.281,,
02/29/2020,AAPL,"1,196,081,212,800","1,205,670,212,800",21.524,20.576,1.656,4.666,13.359,,
01/31/2020,AAPL,"1,354,254,814,800","1,363,843,814,800",24.371,22.573,1.814,5.283,15.126,,
12/31/2019,AAPL,"1,287,643,210,350","1,295,133,210,350",24.697,22.173,2.029,5.247,14.23,,
11/30/2019,AAPL,"1,187,462,571,250","1,194,952,571,250",22.477,20.202,1.847,4.775,13.123,,
10/31/2019,AAPL,"1,105,306,601,400","1,112,796,601,400",20.922,18.975,1.708,4.445,12.215,,
09/30/2019,AAPL,"995,151,566,920","1,008,955,566,920",19.013,17.271,2.036,4.09,10.317,,
08/31/2019,AAPL,"943,333,633,200","957,137,633,200",17.72,16.103,1.499,3.812,9.78,,
07/31/2019,AAPL,"962,766,107,200","976,570,107,200",18.085,16.556,1.541,3.891,9.981,,
06/30/2019,AAPL,"910,644,764,000","943,182,764,000",16.576,15.974,1.45,3.684,8.472,,
