,contract_name,last_trade_date_(edt),strike,last_price,bid,ask,change,%_change,volume,open_interest,implied_volatility,expiry_sheet,expiry_date
0,AAPL250620C00005000,6/17/2025 1:01 PM,5,191.50,0.00,0.00,0.00,0.00%,5,0,0.00%,"Jun 20, 2025",2025-06-20
1,AAPL250620C00010000,2025-09-06 13:59:00,10,192.64,0.00,0.00,0.00,0.00%,40,0,0.00%,"Jun 20, 2025",2025-06-20
2,AAPL250620C00015000,6/16/2025 9:43 AM,15,181.93,0.00,0.00,0.00,0.00%,2,0,0.00%,"Jun 20, 2025",2025-06-20
3,AAPL250620C00020000,2025-03-06 09:50:00,20,183.00,0.00,0.00,0.00,0.00%,1,0,0.00%,"Jun 20, 2025",2025-06-20
4,AAPL250620C00025000,6/13/2025 2:58 PM,25,171.33,0.00,0.00,0.00,0.00%,4,0,0.00%,"Jun 20, 2025",2025-06-20
5,AAPL250620C00030000,6/17/2025 3:01 PM,30,165.57,0.00,0.00,0.00,0.00%,5,0,0.00%,"Jun 20, 2025",2025-06-20
6,AAPL250620C00035000,6/17/2025 3:01 PM,35,160.62,0.00,0.00,0.00,0.00%,5,0,0.00%,"Jun 20, 2025",2025-06-20
7,AAPL250620C00040000,6/13/2025 10:01 AM,40,157.05,0.00,0.00,0.00,0.00%,4,0,0.00%,"Jun 20, 2025",2025-06-20
8,AAPL250620C00045000,6/13/2025 10:01 AM,45,152.05,0.00,0.00,0.00,0.00%,2,0,0.00%,"Jun 20, 2025",2025-06-20
9,AAPL250620C00050000,6/16/2025 3:02 PM,50,148.25,0.00,0.00,0.00,0.00%,84,0,0.00%,"Jun 20, 2025",2025-06-20
10,AAPL250620C00055000,6/16/2025 1:19 PM,55,142.46,0.00,0.00,0.00,0.00%,2,0,0.00%,"Jun 20, 2025",2025-06-20
11,AAPL250620C00060000,2025-10-06 15:22:00,60,143.05,0.00,0.00,0.00,0.00%,4,0,0.00%,"Jun 20, 2025",2025-06-20
12,AAPL250620C00065000,2025-10-06 15:22:00,65,138.08,0.00,0.00,0.00,0.00%,4,0,0.00%,"Jun 20, 2025",2025-06-20
13,AAPL250620C00070000,2025-02-06 11:09:00,70,131.35,0.00,0.00,0.00,0.00%,2,0,0.00%,"Jun 20, 2025",2025-06-20
14,AAPL250620C00075000,6/13/2025 9:52 AM,75,123.58,0.00,0.00,0.00,0.00%,1,0,0.00%,"Jun 20, 2025",2025-06-20
15,AAPL250620C00080000,6/13/2025 9:53 AM,80,117.25,0.00,0.00,0.00,0.00%,10,0,0.00%,"Jun 20, 2025",2025-06-20
16,AAPL250620C00085000,6/16/2025 3:03 PM,85,113.00,0.00,0.00,0.00,0.00%,3,0,0.00%,"Jun 20, 2025",2025-06-20
17,AAPL250620C00090000,6/16/2025 1:12 PM,90,107.34,0.00,0.00,0.00,0.00%,1,0,0.00%,"Jun 20, 2025",2025-06-20
18,AAPL250620C00095000,6/16/2025 10:20 AM,95,103.18,0.00,0.00,0.00,0.00%,1,0,0.00%,"Jun 20, 2025",2025-06-20
19,AAPL250620C00100000,6/16/2025 3:32 PM,100,98.17,0.00,0.00,0.00,0.00%,2,0,0.00%,"Jun 20, 2025",2025-06-20
20,AAPL250620C00105000,2025-06-06 15:32:00,105,100.05,0.00,0.00,0.00,0.00%,7,0,0.00%,"Jun 20, 2025",2025-06-20
21,AAPL250620C00110000,6/16/2025 3:53 PM,110,88.10,0.00,0.00,0.00,0.00%,386,0,0.00%,"Jun 20, 2025",2025-06-20
22,AAPL250620C00115000,6/17/2025 10:05 AM,115,82.15,0.00,0.00,0.00,0.00%,15,0,0.00%,"Jun 20, 2025",2025-06-20
23,AAPL250620C00120000,6/17/2025 3:03 PM,120,75.91,0.00,0.00,0.00,0.00%,1,0,0.00%,"Jun 20, 2025",2025-06-20
24,AAPL250620C00125000,6/16/2025 11:28 AM,125,71.95,0.00,0.00,0.00,0.00%,3,0,0.00%,"Jun 20, 2025",2025-06-20
25,AAPL250620C00130000,6/16/2025 12:17 PM,130,67.74,0.00,0.00,0.00,0.00%,12,0,0.00%,"Jun 20, 2025",2025-06-20
26,AAPL250620C00135000,6/17/2025 2:49 PM,135,60.73,0.00,0.00,0.00,0.00%,5,0,0.00%,"Jun 20, 2025",2025-06-20
27,AAPL250620C00140000,6/17/2025 3:33 PM,140,55.88,0.00,0.00,0.00,0.00%,12,0,0.00%,"Jun 20, 2025",2025-06-20
28,AAPL250620C00145000,6/17/2025 3:33 PM,145,50.93,0.00,0.00,0.00,0.00%,10,0,0.00%,"Jun 20, 2025",2025-06-20
29,AAPL250620C00150000,6/17/2025 2:55 PM,150,45.90,0.00,0.00,0.00,0.00%,65,0,0.00%,"Jun 20, 2025",2025-06-20
30,AAPL250620C00155000,6/17/2025 2:15 PM,155,40.83,0.00,0.00,0.00,0.00%,9,0,0.00%,"Jun 20, 2025",2025-06-20
31,AAPL250620C00160000,6/17/2025 3:16 PM,160,36.07,0.00,0.00,0.00,0.00%,3,0,0.00%,"Jun 20, 2025",2025-06-20
32,AAPL250620C00165000,6/17/2025 1:24 PM,165,31.85,0.00,0.00,0.00,0.00%,30,0,0.00%,"Jun 20, 2025",2025-06-20
33,AAPL250620C00170000,6/17/2025 3:18 PM,170,25.85,0.00,0.00,0.00,0.00%,67,0,0.00%,"Jun 20, 2025",2025-06-20
34,AAPL250620C00172500,6/17/2025 2:50 PM,172.5,23.35,0.00,0.00,0.00,0.00%,-,0,0.00%,"Jun 20, 2025",2025-06-20
35,AAPL250620C00175000,6/17/2025 3:59 PM,175,20.75,0.00,0.00,0.00,0.00%,192,0,0.00%,"Jun 20, 2025",2025-06-20
36,AAPL250620C00177500,6/17/2025 1:30 PM,177.5,19.10,0.00,0.00,0.00,0.00%,20,0,0.00%,"Jun 20, 2025",2025-06-20
37,AAPL250620C00180000,6/17/2025 3:55 PM,180,15.90,0.00,0.00,0.00,0.00%,187,0,0.00%,"Jun 20, 2025",2025-06-20
38,AAPL250620C00182500,6/17/2025 12:14 PM,182.5,15.77,0.00,0.00,0.00,0.00%,9,0,0.00%,"Jun 20, 2025",2025-06-20
39,AAPL250620C00185000,6/17/2025 3:56 PM,185,10.95,0.00,0.00,0.00,0.00%,616,0,0.00%,"Jun 20, 2025",2025-06-20
40,AAPL250620C00187500,6/17/2025 3:44 PM,187.5,8.50,0.00,0.00,0.00,0.00%,216,0,0.00%,"Jun 20, 2025",2025-06-20
41,AAPL250620C00190000,6/17/2025 3:59 PM,190,6.25,0.00,0.00,0.00,0.00%,1.062,0,0.00%,"Jun 20, 2025",2025-06-20
42,AAPL250620C00192500,6/17/2025 3:59 PM,192.5,4.25,0.00,0.00,0.00,0.00%,1.712,0,0.00%,"Jun 20, 2025",2025-06-20
43,AAPL250620C00195000,6/17/2025 3:59 PM,195,2.53,0.00,0.00,0.00,0.00%,14.104,0,0.00%,"Jun 20, 2025",2025-06-20
44,AAPL250620C00197500,6/17/2025 3:59 PM,197.5,1.29,0.00,0.00,0.00,0.00%,36.475,0,3.13%,"Jun 20, 2025",2025-06-20
45,AAPL250620C00200000,6/17/2025 3:59 PM,200,0.56,0.00,0.00,0.00,0.00%,37.825,0,6.25%,"Jun 20, 2025",2025-06-20
46,AAPL250620C00202500,6/17/2025 3:59 PM,202.5,0.22,0.00,0.00,0.00,0.00%,17.669,0,12.50%,"Jun 20, 2025",2025-06-20
