,contract_name,last_trade_date,strike,last_price,bid,ask,change,change,volume,open_interest,implied_volatility,expiry_sheet,expiry_date,option_type,dte,date,dte_bucket
4,AAPL250620C00025000,2025-06-13 14:58:00,25,171.33,0.00,0.00,0.00,0.00%,4.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,6,2025-06-13,short
7,AAPL250620C00040000,2025-06-13 10:01:00,40,157.05,0.00,0.00,0.00,0.00%,4.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,6,2025-06-13,short
8,AAPL250620C00045000,2025-06-13 10:01:00,45,152.05,0.00,0.00,0.00,0.00%,2.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,6,2025-06-13,short
14,AAPL250620C00075000,2025-06-13 09:52:00,75,123.58,0.00,0.00,0.00,0.00%,1.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,6,2025-06-13,short
15,AAPL250620C00080000,2025-06-13 09:53:00,80,117.25,0.00,0.00,0.00,0.00%,10.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,6,2025-06-13,short
69,AAPL250620C00285000,2025-06-13 13:55:00,285,0.01,0.00,0.00,0.00,0.00%,1.0,0.0,0.5,"Jun 20, 2025",2025-06-20,call,6,2025-06-13,short
71,AAPL250620C00295000,2025-06-13 10:23:00,295,0.01,0.00,0.00,0.00,0.00%,23.0,0.0,0.5,"Jun 20, 2025",2025-06-20,call,6,2025-06-13,short
77,AAPL250620C00340000,2025-05-23 12:47:00,340,0.01,0.00,0.00,0.00,0.00%,1.0,0.0,0.5,"Jun 20, 2025",2025-06-20,call,27,2025-05-23,medium
85,AAPL250620P00015000,2025-04-25 09:30:00,15,0.01,0.00,0.01,0.00,0.00%,48.0,61.0,8.5,"Jun 20, 2025",2025-06-20,put,55,2025-04-25,long
86,AAPL250620P00020000,2025-04-06 09:30:00,20,0.01,0.00,0.00,0.00,0.00%,1.0,0.0,0.5,"Jun 20, 2025",2025-06-20,put,74,2025-04-06,long
87,AAPL250620P00025000,2025-04-29 13:44:00,25,0.01,0.00,0.01,0.00,0.00%,20.0,102.0,6.75,"Jun 20, 2025",2025-06-20,put,51,2025-04-29,long
91,AAPL250620P00045000,2025-05-27 09:30:00,45,0.01,0.00,0.00,0.00,0.00%,1.0,0.0,0.5,"Jun 20, 2025",2025-06-20,put,23,2025-05-27,medium
95,AAPL250620P00065000,2025-05-23 10:14:00,65,0.01,0.00,0.00,0.00,0.00%,4.0,0.0,0.5,"Jun 20, 2025",2025-06-20,put,27,2025-05-23,medium
96,AAPL250620P00070000,2025-05-23 13:35:00,70,0.01,0.00,0.00,0.00,0.00%,969.0,0.0,0.5,"Jun 20, 2025",2025-06-20,put,27,2025-05-23,medium
