,contract_name,last_trade_date,strike,last_price,bid,ask,change,change,volume,open_interest,implied_volatility,expiry_sheet,expiry_date,option_type,dte,date,dte_bucket
0,AMZN250620C00045000,2025-06-17 11:48:00,45,171.90,0.00,0.00,0.00,0.00%,5.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
1,AMZN250620C00050000,2025-06-16 14:24:00,50,165.70,0.00,0.00,0.00,0.00%,1.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,3,2025-06-16,short
2,AMZN250620C00055000,2025-06-17 10:05:00,55,162.16,0.00,0.00,0.00,0.00%,4.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
3,AMZN250620C00060000,2025-06-16 10:09:00,60,153.56,0.00,0.00,0.00,0.00%,4.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,3,2025-06-16,short
4,AMZN250620C00065000,2025-04-06 10:06:00,65,140.67,0.00,0.00,0.00,0.00%,8.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,74,2025-04-06,long
5,AMZN250620C00070000,2025-06-17 11:16:00,70,146.25,0.00,0.00,0.00,0.00%,3.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
8,AMZN250620C00085000,2025-06-16 11:25:00,85,131.42,0.00,0.00,0.00,0.00%,6.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,3,2025-06-16,short
9,AMZN250620C00090000,2025-06-16 14:28:00,90,125.72,0.00,0.00,0.00,0.00%,2.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,3,2025-06-16,short
10,AMZN250620C00095000,2025-06-16 15:45:00,95,121.72,0.00,0.00,0.00,0.00%,4.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,3,2025-06-16,short
11,AMZN250620C00100000,2025-06-17 13:03:00,100,115.75,0.00,0.00,0.00,0.00%,8.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
12,AMZN250620C00105000,2025-06-16 15:45:00,105,111.73,0.00,0.00,0.00,0.00%,4.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,3,2025-06-16,short
13,AMZN250620C00110000,2025-06-17 13:46:00,110,106.05,0.00,0.00,0.00,0.00%,2.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
14,AMZN250620C00115000,2025-06-17 13:22:00,115,100.68,0.00,0.00,0.00,0.00%,24.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
15,AMZN250620C00120000,2025-06-17 09:31:00,120,95.50,0.00,0.00,0.00,0.00%,10.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
16,AMZN250620C00125000,2025-06-17 13:12:00,125,91.00,0.00,0.00,0.00,0.00%,1.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
17,AMZN250620C00130000,2025-06-17 15:13:00,130,85.30,0.00,0.00,0.00,0.00%,7.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
18,AMZN250620C00135000,2025-06-17 12:49:00,135,81.40,0.00,0.00,0.00,0.00%,1.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
19,AMZN250620C00140000,2025-06-17 13:11:00,140,75.86,0.00,0.00,0.00,0.00%,4.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
20,AMZN250620C00145000,2025-06-17 13:50:00,145,70.81,0.00,0.00,0.00,0.00%,13.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
21,AMZN250620C00150000,2025-06-17 15:57:00,150,65.12,0.00,0.00,0.00,0.00%,20.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
22,AMZN250620C00155000,2025-06-17 15:20:00,155,60.08,0.00,0.00,0.00,0.00%,16.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
23,AMZN250620C00160000,2025-06-17 15:55:00,160,55.15,0.00,0.00,0.00,0.00%,3.863,0.0,0.0,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
24,AMZN250620C00165000,2025-06-17 15:44:00,165,50.17,0.00,0.00,0.00,0.00%,98.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
25,AMZN250620C00170000,2025-06-17 15:07:00,170,45.05,0.00,0.00,0.00,0.00%,107.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
26,AMZN250620C00175000,2025-06-17 15:30:00,175,40.21,0.00,0.00,0.00,0.00%,78.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
27,AMZN250620C00180000,2025-06-17 15:48:00,180,35.36,0.00,0.00,0.00,0.00%,139.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
28,AMZN250620C00182500,2025-06-17 15:53:00,182.5,32.64,0.00,0.00,0.00,0.00%,45.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
29,AMZN250620C00185000,2025-06-17 15:35:00,185,30.22,0.00,0.00,0.00,0.00%,144.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
