,date,ticker,MarketCap,EnterpriseValue,PeRatio,ForwardPeRatio,PegRatio,PsRatio,PbRatio
158,2014-01-31,AMZN,164733596059.0,157467596059.0,607.949,44.053,0.725,2.24,16.903
157,2014-02-28,AMZN,166527701407.0,159261701407.0,613.729,61.35,1.021,2.262,17.087
156,2014-03-31,AMZN,154727900000.0,147461900000.0,570.11,58.48,0.911,2.101,15.876
155,2014-04-30,AMZN,139950712578.0,134431712578.0,475.203,59.88,0.936,1.815,13.551
154,2014-05-31,AMZN,143825322120.0,138306322120.0,488.359,60.976,1.135,1.865,13.926
153,2014-06-30,AMZN,150048360000.0,144529360000.0,507.469,67.568,1.253,1.938,14.528
152,2014-07-31,AMZN,144612683007.0,139745683007.0,802.538,74.627,1.48,1.774,13.64
151,2014-08-31,AMZN,156648723751.0,151781723751.0,869.333,84.746,1.688,1.922,14.775
150,2014-09-30,AMZN,149289720000.0,144422720000.0,826.769,82.645,1.643,1.828,14.081
149,2014-10-31,AMZN,141429950827.0,137645950827.0,,98.039,1.992,1.658,13.683
148,2014-11-30,AMZN,156792504905.0,153008504905.0,,111.111,1.828,1.838,15.17
147,2014-12-31,AMZN,144312750000.0,140528750000.0,,102.041,1.65,1.685,13.962
146,2015-01-31,AMZN,164638037893.0,159711037893.0,,80.645,1.212,1.841,15.328
145,2015-02-28,AMZN,176923935555.0,171996935555.0,,100.0,1.501,1.974,16.472
144,2015-03-31,AMZN,173398600000.0,168471600000.0,,90.909,1.37,1.932,16.144
143,2015-04-30,AMZN,196414914043.0,190890914043.0,,95.238,1.431,2.125,18.064
142,2015-05-31,AMZN,199884237173.0,194360237173.0,,89.286,1.193,2.162,18.384
141,2015-06-30,AMZN,203154120000.0,197630120000.0,,90.09,1.16,2.187,18.684
140,2015-07-31,AMZN,250762833380.0,245011833380.0,,80.645,0.823,2.627,21.309
139,2015-08-31,AMZN,239883893710.0,234132893710.0,,76.923,0.784,2.513,20.384
138,2015-09-30,AMZN,240076410000.0,234325410000.0,,89.286,0.908,2.508,20.401
137,2015-10-31,AMZN,293398138929.0,287213138929.0,881.549,84.746,0.867,2.945,23.604
136,2015-11-30,AMZN,311632980924.0,305447980924.0,936.338,90.09,0.916,3.128,25.071
135,2015-12-31,AMZN,318344190000.0,312159190000.0,951.958,90.909,1.003,3.18,25.611
134,2016-01-31,AMZN,276384274545.0,270759274545.0,469.6,50.505,0.721,2.617,20.65
133,2016-02-29,AMZN,260181217696.0,254556217696.0,442.016,52.632,0.725,2.463,19.44
132,2016-03-31,AMZN,280198080000.0,274573080000.0,474.912,57.471,0.781,2.646,20.935
131,2016-04-30,AMZN,311213004136.0,303573004136.0,270.324,54.945,0.739,2.797,21.091
130,2016-05-31,AMZN,341032531208.0,333392531208.0,296.225,59.524,0.802,3.065,23.111
129,2016-06-30,AMZN,339203880000.0,331563880000.0,293.287,90.909,1.221,3.035,22.988
128,2016-07-31,AMZN,359731744405.0,351403744405.0,188.759,83.333,1.031,3.022,21.752
127,2016-08-31,AMZN,364638405564.0,356310405564.0,191.333,84.034,1.045,3.064,22.049
126,2016-09-30,AMZN,397722250000.0,389394250000.0,208.286,76.336,0.948,3.335,24.049
125,2016-10-31,AMZN,375296026355.0,365154026355.0,180.737,63.291,0.846,2.976,21.105
124,2016-11-30,AMZN,356645740170.0,346503740170.0,171.755,69.93,0.948,2.828,20.057
123,2016-12-31,AMZN,356313123601.0,346171123601.0,171.595,69.93,0.947,2.825,20.115
122,2017-01-31,AMZN,392940460510.0,382798460510.0,188.439,66.225,0.908,3.103,22.098
121,2017-02-28,AMZN,403603525242.0,392835525242.0,172.457,91.743,1.796,3.008,20.928
120,2017-03-31,AMZN,423766120000.0,412998120000.0,180.927,96.154,1.884,3.155,21.974
119,2017-04-30,AMZN,442122556820.0,428282556820.0,174.198,108.696,2.134,3.155,20.399
118,2017-05-31,AMZN,475403990815.0,461563990815.0,187.311,128.205,3.488,3.392,21.934
117,2017-06-30,AMZN,464640000000.0,450800000000.0,182.298,128.205,3.229,3.301,21.438
116,2017-07-31,AMZN,474509279302.0,460741279302.0,251.344,140.845,3.675,3.214,20.441
115,2017-08-31,AMZN,471060154370.0,457292154370.0,249.517,140.845,3.648,3.191,20.292
114,2017-09-30,AMZN,461812848667.0,448044848667.0,244.618,86.207,3.051,3.128,19.961
113,2017-10-31,AMZN,532603677584.0,533003677584.0,281.242,109.89,12.263,3.366,21.6
112,2017-11-30,AMZN,567043081931.0,567443081931.0,299.427,117.647,13.055,3.583,22.996
111,2017-12-31,AMZN,563535052497.0,563935052497.0,297.575,129.87,14.39,3.561,22.955
110,2018-01-31,AMZN,702386270742.0,702786270742.0,369.183,161.29,17.853,4.418,28.485
109,2018-02-28,AMZN,732945298514.0,739885298514.0,245.927,166.667,6.612,4.192,26.452
108,2018-03-31,AMZN,701392474695.0,708332474695.0,235.34,144.928,5.813,4.012,25.333
107,2018-04-30,AMZN,759928411161.0,759605411161.0,197.246,125.0,2.773,4.013,24.153
106,2018-05-31,AMZN,790735467296.0,790412467296.0,205.242,129.87,2.876,4.175,25.132
