,contract_name,last_trade_date,strike,last_price,bid,ask,change,change,volume,open_interest,implied_volatility,expiry_sheet,expiry_date,option_type,dte,date,dte_bucket
0,AVGO250620C00041000,2025-06-17 09:39:00,41,210.73,0.00,0.00,0.00,0.00%,5.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
1,AVGO250620C00042000,2025-06-13 10:52:00,42,209.48,0.00,0.00,0.00,0.00%,2.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,6,2025-06-13,short
2,AVGO250620C00043000,2025-06-13 10:52:00,43,208.50,0.00,0.00,0.00,0.00%,2.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,6,2025-06-13,short
3,AVGO250620C00044000,2025-03-31 15:12:00,44,122.75,0.00,0.00,0.00,0.00%,,0.0,0.0,"Jun 20, 2025",2025-06-20,call,80,2025-03-31,long
4,AVGO250620C00045000,2025-05-29 11:57:00,45,196.84,0.00,0.00,0.00,0.00%,37.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,21,2025-05-29,medium
6,AVGO250620C00047000,2025-03-31 15:07:00,47,119.43,0.00,0.00,0.00,0.00%,40.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,80,2025-03-31,long
7,AVGO250620C00048000,2025-05-14 15:55:00,48,184.53,199.25,201.85,0.00,0.00%,8.0,86.0,8.5469,"Jun 20, 2025",2025-06-20,call,36,2025-05-14,medium
8,AVGO250620C00049000,2025-05-14 15:55:00,49,183.54,198.25,200.85,0.00,0.00%,8.0,84.0,8.4414,"Jun 20, 2025",2025-06-20,call,36,2025-05-14,medium
11,AVGO250620C00052000,2025-04-29 15:55:00,52,140.33,189.60,190.50,0.00,0.00%,4.0,46.0,0.0,"Jun 20, 2025",2025-06-20,call,51,2025-04-29,long
13,AVGO250620C00054000,2025-04-04 09:31:00,54,94.00,147.20,148.75,0.00,0.00%,1.0,21.0,0.0,"Jun 20, 2025",2025-06-20,call,76,2025-04-04,long
14,AVGO250620C00055000,2025-04-23 14:47:00,55,123.85,173.30,174.35,0.00,0.00%,6.0,47.0,0.0,"Jun 20, 2025",2025-06-20,call,57,2025-04-23,long
20,AVGO250620C00061000,2025-04-29 15:55:00,61,131.28,180.90,181.40,0.00,0.00%,4.0,44.0,0.0,"Jun 20, 2025",2025-06-20,call,51,2025-04-29,long
21,AVGO250620C00062000,2025-05-28 15:55:00,62,176.95,0.00,0.00,0.00,0.00%,1.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,22,2025-05-28,medium
23,AVGO250620C00064000,2025-04-22 12:14:00,64,106.21,0.00,0.00,0.00,0.00%,20.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,58,2025-04-22,long
24,AVGO250620C00065000,2025-05-15 14:19:00,65,167.70,182.25,184.85,0.00,0.00%,10.0,26.0,7.0078,"Jun 20, 2025",2025-06-20,call,35,2025-05-15,medium
26,AVGO250620C00067000,2025-05-27 15:49:00,67,167.45,0.00,0.00,0.00,0.00%,1.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,23,2025-05-27,medium
30,AVGO250620C00071000,2025-05-29 15:55:00,71,170.75,0.00,0.00,0.00,0.00%,1.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,21,2025-05-29,medium
33,AVGO250620C00074000,2025-04-21 09:37:00,74,93.62,157.45,158.30,0.00,0.00%,1.0,21.0,0.0,"Jun 20, 2025",2025-06-20,call,59,2025-04-21,long
34,AVGO250620C00075000,2025-05-29 13:02:00,75,167.35,0.00,0.00,0.00,0.00%,1.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,21,2025-05-29,medium
35,AVGO250620C00076000,2025-02-06 11:03:00,76,172.70,0.00,0.00,0.00,0.00%,10.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,133,2025-02-06,long
38,AVGO250620C00079000,2025-04-23 14:47:00,79,100.10,149.50,150.45,0.00,0.00%,2.0,57.0,0.0,"Jun 20, 2025",2025-06-20,call,57,2025-04-23,long
39,AVGO250620C00080000,2025-06-17 14:58:00,80,171.00,0.00,0.00,0.00,0.00%,1.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
41,AVGO250620C00082000,2025-02-06 13:43:00,82,166.31,0.00,0.00,0.00,0.00%,100.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,133,2025-02-06,long
42,AVGO250620C00083000,2025-06-17 15:54:00,83,167.25,0.00,0.00,0.00,0.00%,1.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
46,AVGO250620C00087000,2025-03-31 11:47:00,87,78.90,0.00,0.00,0.00,0.00%,10.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,80,2025-03-31,long
47,AVGO250620C00088000,2025-05-29 12:57:00,88,154.50,0.00,0.00,0.00,0.00%,1.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,21,2025-05-29,medium
49,AVGO250620C00090000,2025-06-16 12:21:00,90,163.48,0.00,0.00,0.00,0.00%,9.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,3,2025-06-16,short
