,date,ticker,MarketCap,EnterpriseValue,PeRatio,ForwardPeRatio,PegRatio,PsRatio,PbRatio
147,2014-01-31,AVGO,13599788216.0,12602788216.0,24.949,14.641,0.799,5.464,4.712
146,2014-02-28,AVGO,15414532409.0,14304532409.0,27.793,16.34,0.891,5.884,5.152
145,2014-03-31,AVGO,16091572650.0,14981572650.0,29.014,16.921,0.923,6.142,5.378
144,2014-04-30,AVGO,15864227034.0,14754227034.0,28.604,16.611,0.906,6.056,5.302
143,2014-05-31,AVGO,17788852686.0,16678852686.0,29.693,15.528,0.848,6.442,5.64
142,2014-06-30,AVGO,18141256730.0,17031256730.0,30.282,14.62,0.797,6.569,5.752
141,2014-07-31,AVGO,17464137532.0,16354137532.0,29.151,13.624,0.743,6.324,5.537
140,2014-08-31,AVGO,20743612041.0,24984612041.0,61.722,13.605,0.742,6.306,6.701
139,2014-09-30,AVGO,22002230313.0,26243230313.0,65.414,14.104,0.769,6.683,7.102
138,2014-10-31,AVGO,21812555913.0,26053555913.0,64.85,13.643,0.744,6.626,7.041
137,2014-11-30,AVGO,23754480842.0,27995480842.0,70.226,14.771,0.806,7.175,7.668
136,2014-12-31,AVGO,25683798300.0,29588798300.0,86.716,14.045,0.766,6.291,7.92
135,2015-01-31,AVGO,26268507497.0,30173507497.0,88.69,13.459,0.734,6.435,8.1
134,2015-02-28,AVGO,32745661399.0,35676661399.0,68.984,14.306,0.78,6.7,9.026
133,2015-03-31,AVGO,32581445576.0,35512445576.0,68.638,14.164,0.773,6.667,8.981
132,2015-04-30,AVGO,29989914624.0,32920914624.0,63.178,13.038,0.745,6.136,8.266
131,2015-05-31,AVGO,38458176679.0,41389176679.0,80.038,16.129,0.922,7.774,10.6
130,2015-06-30,AVGO,34525869021.0,36915869021.0,54.704,14.025,0.802,6.083,8.502
129,2015-07-31,AVGO,32502574658.0,34892574658.0,51.498,13.21,0.755,5.726,8.004
128,2015-08-31,AVGO,34687256032.0,37294256032.0,33.503,12.903,0.737,5.375,8.103
127,2015-09-30,AVGO,34450440064.0,37057440064.0,33.247,12.771,0.73,5.334,8.047
126,2015-10-31,AVGO,33932346893.0,36539346893.0,32.747,12.453,0.712,5.254,7.926
125,2015-11-30,AVGO,36068065058.0,38675065058.0,34.694,13.316,0.782,5.566,8.425
124,2015-12-31,AVGO,40132461811.0,42259461811.0,29.323,14.815,1.26,5.977,8.513
123,2016-01-31,AVGO,36969421073.0,39096421073.0,27.012,12.361,0.963,5.506,7.888
