,contract_name,last_trade_date,strike,last_price,bid,ask,change,change,volume,open_interest,implied_volatility,expiry_sheet,expiry_date,option_type,dte,date,dte_bucket
0,BRKB250620C00190000,2025-06-16 09:32:00,190,300.61,0.00,0.00,0.00,0.00%,5.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,3,2025-06-16,short
1,BRKB250620C00200000,2025-06-13 14:42:00,200,286.81,0.00,0.00,0.00,0.00%,10.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,6,2025-06-13,short
2,BRKB250620C00210000,2025-02-06 14:30:00,210,292.22,0.00,0.00,0.00,0.00%,10.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,133,2025-02-06,long
3,BRKB250620C00220000,2025-03-06 09:42:00,220,282.07,0.00,0.00,0.00,0.00%,29.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,105,2025-03-06,long
4,BRKB250620C00230000,2025-03-06 09:46:00,230,271.33,0.00,0.00,0.00,0.00%,7.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,105,2025-03-06,long
5,BRKB250620C00240000,2025-06-13 14:46:00,240,246.88,0.00,0.00,0.00,0.00%,10.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,6,2025-06-13,short
6,BRKB250620C00250000,2025-06-16 10:18:00,250,241.11,0.00,0.00,0.00,0.00%,5.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,3,2025-06-16,short
7,BRKB250620C00260000,2025-06-16 10:18:00,260,231.12,0.00,0.00,0.00,0.00%,5.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,3,2025-06-16,short
8,BRKB250620C00270000,2025-06-16 13:56:00,270,219.55,0.00,0.00,0.00,0.00%,9.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,3,2025-06-16,short
9,BRKB250620C00280000,2025-06-13 09:48:00,280,208.37,0.00,0.00,0.00,0.00%,6.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,6,2025-06-13,short
10,BRKB250620C00290000,2025-04-06 13:07:00,290,204.02,0.00,0.00,0.00,0.00%,2.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,74,2025-04-06,long
11,BRKB250620C00300000,2025-06-13 15:04:00,300,187.18,0.00,0.00,0.00,0.00%,1.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,6,2025-06-13,short
12,BRKB250620C00310000,2025-06-16 11:11:00,310,180.60,0.00,0.00,0.00,0.00%,2.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,3,2025-06-16,short
13,BRKB250620C00320000,2025-06-16 15:31:00,320,170.40,0.00,0.00,0.00,0.00%,1.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,3,2025-06-16,short
14,BRKB250620C00330000,2025-06-16 11:12:00,330,160.50,0.00,0.00,0.00,0.00%,1.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,3,2025-06-16,short
15,BRKB250620C00340000,2025-06-16 14:15:00,340,150.85,0.00,0.00,0.00,0.00%,388.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,3,2025-06-16,short
