,date,ticker,MarketCap,EnterpriseValue,PeRatio,ForwardPeRatio,PegRatio,PsRatio,PbRatio
188,2014-01-31,BRK-B,277012124563.0,300682124563.0,14.467,,,1.532,1.321
187,2014-02-28,BRK-B,285546986828.0,309216986828.0,15.009,,,1.589,1.37
186,2014-03-31,BRK-B,308140111268.0,332178111268.0,15.819,,,1.692,1.389
185,2014-04-30,BRK-B,317813605684.0,341851605684.0,16.31,,,1.744,1.432
184,2014-05-30,BRK-B,316118879544.0,340393879544.0,,,,,
183,2014-05-31,BRK-B,316118879544.0,340393879544.0,16.405,,,1.723,1.391
182,2014-06-30,BRK-B,311832310962.0,336107310962.0,16.177,,,1.699,1.37
181,2014-07-31,BRK-B,308984926438.0,333259926438.0,16.033,,,1.684,1.358
180,2014-08-29,BRK-B,338125756460.0,356757756460.0,,,,,
179,2014-08-31,BRK-B,338125756460.0,356757756460.0,16.008,,,1.793,1.445
178,2014-09-30,BRK-B,340148905656.0,358780905656.0,16.111,,,1.804,1.455
177,2014-10-31,BRK-B,345190049431.0,363822049431.0,16.347,0.013,0.004,1.831,1.476
176,2014-11-28,BRK-B,366434830189.0,378866830189.0,,,,,
175,2014-11-30,BRK-B,366434830189.0,378866830189.0,17.704,0.014,0.002,1.895,1.543
174,2014-12-31,BRK-B,370664665523.0,383096665523.0,17.878,0.014,0.002,1.914,1.558
173,2015-01-30,BRK-B,354646621513.0,367078621513.0,,,,,
172,2015-01-31,BRK-B,354646621513.0,367078621513.0,17.135,0.013,0.002,1.834,1.494
171,2015-02-27,BRK-B,363337009779.0,375769009779.0,,,,,
170,2015-02-28,BRK-B,363337009779.0,375769009779.0,17.552,0.014,0.002,1.879,1.53
169,2015-03-31,BRK-B,356514051157.0,373454051157.0,17.903,0.013,0.002,1.828,1.481
168,2015-04-30,BRK-B,349325886404.0,366265886404.0,17.517,0.011,0.002,1.788,1.449
167,2015-05-29,BRK-B,352677647579.0,372761647579.0,,,,,
166,2015-05-31,BRK-B,352677647579.0,372761647579.0,17.336,0.011,0.002,1.781,1.46
165,2015-06-30,BRK-B,336037948511.0,356121948511.0,16.501,0.01,0.002,1.696,1.389
164,2015-07-31,BRK-B,351764616106.0,371848616106.0,17.305,0.011,0.002,1.778,1.457
163,2015-08-31,BRK-B,331602512393.0,349593512393.0,18.402,0.01,0.002,1.656,1.343
162,2015-09-30,BRK-B,321148220393.0,339139220393.0,17.902,0.009,0.001,1.611,1.306
161,2015-10-30,BRK-B,335755542920.0,353746542920.0,,,,,
