,contract_name,last_trade_date,strike,last_price,bid,ask,change,change,volume,open_interest,implied_volatility,expiry_sheet,expiry_date,option_type,dte,date,dte_bucket
1,GOOG271217C00080000,2025-06-13 11:37:00,80,127.30,0.00,0.00,0.00,0.00%,1.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,6,2025-06-13,short
5,GOOG271217C00100000,2025-06-17 10:48:00,100,107.60,0.00,0.00,0.00,0.00%,1.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
8,GOOG271217C00115000,2025-05-30 12:10:00,115,86.34,0.00,0.00,0.00,0.00%,2.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,20,2025-05-30,medium
11,GOOG271217C00130000,2025-06-17 10:07:00,130,76.00,0.00,0.00,0.00,0.00%,1.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
12,GOOG271217C00135000,2025-06-17 12:35:00,135,73.60,0.00,0.00,0.00,0.00%,1.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
13,GOOG271217C00140000,2025-06-17 11:55:00,140,68.05,0.00,0.00,0.00,0.00%,3.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
14,GOOG271217C00145000,2025-06-17 09:56:00,145,61.45,0.00,0.00,0.00,0.00%,1.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
15,GOOG271217C00150000,2025-06-17 14:58:00,150,57.80,0.00,0.00,0.00,0.00%,19.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
16,GOOG271217C00155000,2025-06-17 15:50:00,155,52.99,0.00,0.00,0.00,0.00%,10.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
17,GOOG271217C00160000,2025-06-17 15:55:00,160,47.61,0.00,0.00,0.00,0.00%,10.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
18,GOOG271217C00165000,2025-06-17 10:21:00,165,41.76,0.00,0.00,0.00,0.00%,3.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
19,GOOG271217C00170000,2025-06-17 15:40:00,170,37.70,0.00,0.00,0.00,0.00%,15.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
