,date,ticker,MarketCap,EnterpriseValue,PeRatio,ForwardPeRatio,PegRatio,PsRatio,PbRatio
188,2014-03-31,GOOG,532677223674.0,480475223674.0,30.785,9.149,0.608,6.285,6.084
187,2014-04-30,GOOG,358007861805.0,306974861805.0,29.038,17.391,1.215,5.758,3.868
186,2014-05-30,GOOG,381625265875.0,330592265875.0,,,,,
185,2014-05-31,GOOG,381625265875.0,330592265875.0,30.87,18.484,1.292,6.121,4.112
184,2014-06-30,GOOG,392018013768.0,340985013768.0,31.718,19.048,1.443,6.289,4.234
183,2014-07-31,GOOG,389331115104.0,336257115104.0,29.825,18.832,1.283,5.971,4.032
182,2014-08-29,GOOG,390278024679.0,337204024679.0,,,,,
181,2014-08-31,GOOG,390278024679.0,337204024679.0,29.825,18.832,1.283,5.971,4.032
180,2014-09-30,GOOG,395352513496.0,342278513496.0,30.126,19.048,1.27,6.031,4.084
179,2014-10-31,GOOG,382250882494.0,327431882494.0,29.637,18.868,1.302,5.622,3.833
178,2014-11-28,GOOG,370023584075.0,315204584075.0,,,,,
177,2014-11-30,GOOG,370023584075.0,315204584075.0,28.723,18.282,1.262,5.449,3.715
176,2014-12-31,GOOG,359503564697.0,304684564697.0,27.905,17.762,1.419,5.294,3.618
175,2015-01-30,GOOG,364853557744.0,305695557744.0,,,,,
174,2015-01-31,GOOG,364853557744.0,305695557744.0,26.298,16.502,1.621,5.549,3.477
173,2015-02-27,GOOG,381487581898.0,324091581898.0,,,,,
172,2015-02-28,GOOG,381487581898.0,324091581898.0,27.473,17.361,1.718,5.797,3.632
171,2015-03-31,GOOG,376199382578.0,318803382578.0,26.961,16.949,1.637,5.689,3.573
170,2015-04-30,GOOG,371094461139.0,310893461139.0,26.68,16.611,1.659,5.451,3.386
169,2015-05-29,GOOG,368109995199.0,307908995199.0,,,,,
168,2015-05-31,GOOG,368109995199.0,307908995199.0,26.421,16.447,1.642,5.398,3.353
167,2015-06-30,GOOG,363461833080.0,303260833080.0,25.845,16.103,1.315,5.28,3.29
166,2015-07-31,GOOG,439771534488.0,375224534488.0,31.109,18.904,1.484,6.195,3.837
165,2015-08-31,GOOG,433933468261.0,369386468261.0,30.743,18.587,1.504,6.122,3.792
164,2015-09-30,GOOG,428655184860.0,364108184860.0,30.255,18.282,1.48,6.024,3.743
163,2015-10-30,GOOG,497938161803.0,430402161803.0,,,,,
162,2015-10-31,GOOG,497938161803.0,430402161803.0,32.908,21.097,1.974,6.842,4.205
161,2015-11-30,GOOG,517634684930.0,450098684930.0,34.38,22.026,2.062,7.148,4.393
160,2015-12-31,GOOG,528168435200.0,460632435200.0,35.133,22.523,2.107,7.305,4.487
159,2016-01-29,GOOG,516968889400.0,449432889400.0,,,,,
158,2016-01-31,GOOG,516968889400.0,449432889400.0,34.396,19.194,1.794,7.152,4.393
157,2016-02-29,GOOG,486955963843.0,420249963843.0,30.55,17.825,1.367,6.448,3.991
156,2016-03-31,GOOG,517784506950.0,451078506950.0,32.616,21.93,1.681,6.884,4.252
155,2016-04-29,GOOG,480891770367.0,410835770367.0,,,,,
154,2016-04-30,GOOG,480891770367.0,410835770367.0,29.167,17.544,1.695,6.179,3.85
153,2016-05-31,GOOG,509617523298.0,439561523298.0,30.965,21.882,1.904,6.56,4.088
152,2016-06-30,GOOG,479246481810.0,409190481810.0,29.129,20.619,1.791,6.171,3.847
151,2016-07-29,GOOG,536118973069.0,461861973069.0,,,,,
150,2016-07-31,GOOG,536118973069.0,461861973069.0,29.775,22.676,1.743,6.553,4.132
149,2016-08-31,GOOG,535009034076.0,460752034076.0,29.708,22.523,1.454,6.538,4.122
148,2016-09-30,GOOG,544870078440.0,470613078440.0,30.104,19.157,1.237,6.625,4.189
147,2016-10-31,GOOG,549462831860.0,470344831860.0,28.706,19.418,1.178,6.401,4.032
146,2016-11-30,GOOG,528610017487.0,449492017487.0,27.737,18.622,1.128,6.185,3.896
145,2016-12-30,GOOG,539067897721.0,459949897721.0,,,,,
144,2016-12-31,GOOG,539067897721.0,459949897721.0,28.241,18.939,1.149,6.297,3.979
143,2017-01-31,GOOG,558977802665.0,476579802665.0,28.61,19.268,1.172,6.173,3.962
142,2017-02-28,GOOG,576666389220.0,494268389220.0,29.559,19.881,1.211,6.372,4.094
141,2017-03-31,GOOG,580433607840.0,498035607840.0,29.787,20.202,1.229,6.421,4.129
140,2017-04-28,GOOG,633095708882.0,544593708882.0,,,,,
139,2017-04-30,GOOG,633095708882.0,544593708882.0,30.648,22.422,1.251,6.686,4.324
138,2017-05-31,GOOG,675105049679.0,586603049679.0,32.641,23.923,1.339,7.121,4.605
137,2017-06-30,GOOG,636867974280.0,548365974280.0,30.742,22.831,1.246,6.707,4.344
136,2017-07-31,GOOG,649901551123.0,559143551123.0,33.738,28.09,1.612,6.571,4.348
135,2017-08-31,GOOG,656333759713.0,565575759713.0,34.058,28.49,1.633,6.633,4.389
134,2017-09-29,GOOG,669590226398.0,578832226398.0,,,,,
133,2017-09-30,GOOG,669590226398.0,578832226398.0,34.776,23.202,1.232,6.773,4.494
132,2017-10-31,GOOG,712026914686.0,615847914686.0,34.013,24.039,1.23,6.827,4.496
131,2017-11-30,GOOG,714774791099.0,618595791099.0,34.172,24.155,1.236,6.859,4.517
130,2017-12-29,GOOG,729458189676.0,633279189676.0,,,,,
129,2017-12-31,GOOG,729458189676.0,633279189676.0,35.008,25.381,1.299,7.027,4.628
128,2018-01-31,GOOG,817698565070.0,721519565070.0,39.142,28.409,1.452,7.856,5.178
127,2018-02-28,GOOG,767836222727.0,669934222727.0,61.374,26.81,1.005,7.012,5.037
126,2018-03-30,GOOG,719414645393.0,621512645393.0,,,,,
125,2018-03-31,GOOG,719414645393.0,621512645393.0,57.322,25.063,0.939,6.549,4.702
124,2018-04-30,GOOG,707017288734.0,609434288734.0,43.107,23.148,0.835,6.111,4.394
123,2018-05-31,GOOG,758765866402.0,661182866402.0,45.974,24.691,0.891,6.518,4.686
122,2018-06-29,GOOG,779552704564.0,681969704564.0,,,,,
121,2018-06-30,GOOG,779552704564.0,681969704564.0,47.273,25.381,0.916,6.702,4.828
120,2018-07-31,GOOG,850264836939.0,751991836939.0,52.581,27.027,0.964,6.919,5.227
119,2018-08-31,GOOG,852173966372.0,753900966372.0,52.622,27.027,1.307,6.925,5.231
118,2018-09-28,GOOG,834976811824.0,736703811824.0,,,,,
117,2018-09-30,GOOG,834976811824.0,736703811824.0,51.554,24.814,1.2,6.784,5.127
116,2018-10-31,GOOG,753633124325.0,651203124325.0,40.404,22.573,1.099,5.84,4.409
115,2018-11-30,GOOG,766402703694.0,663972703694.0,41.067,23.095,1.122,5.936,4.482
114,2018-12-31,GOOG,723558708460.0,621128708460.0,38.86,21.787,1.061,5.617,4.241
113,2019-01-31,GOOG,779378157757.0,676948157757.0,41.89,23.529,1.144,6.055,4.57
112,2019-02-28,GOOG,780846432775.0,675718432775.0,25.627,23.697,1.687,5.757,4.383
111,2019-03-29,GOOG,816907454560.0,711779454560.0,,,,,
110,2019-03-31,GOOG,816907454560.0,711779454560.0,26.849,24.876,1.771,6.031,4.589
109,2019-04-30,GOOG,828720762867.0,727504762867.0,29.809,25.381,1.895,5.877,4.497
108,2019-05-31,GOOG,767181265029.0,665965265029.0,27.681,23.866,1.783,5.457,4.176
107,2019-06-28,GOOG,751068984851.0,649852984851.0,,,,,
106,2019-06-30,GOOG,751068984851.0,649852984851.0,27.111,23.419,1.746,5.345,4.089
105,2019-07-31,GOOG,844169906202.0,736275906202.0,24.569,25.189,1.868,5.754,4.39
104,2019-08-30,GOOG,824667490287.0,716773490287.0,,,,,
103,2019-08-31,GOOG,824667490287.0,716773490287.0,23.992,24.938,1.851,5.619,4.286
102,2019-09-30,GOOG,842955136480.0,735061136480.0,24.616,21.097,1.563,5.765,4.382
101,2019-10-31,GOOG,868628612141.0,761199612141.0,27.053,22.371,1.7,5.689,4.458
100,2019-11-29,GOOG,899713394424.0,792284394424.0,,,,,
99,2019-11-30,GOOG,899713394424.0,792284394424.0,28.015,23.923,1.818,5.891,4.616
98,2019-12-31,GOOG,921138319230.0,813709319230.0,28.704,24.51,1.862,6.036,4.72
97,2020-01-31,GOOG,985224184785.0,877795184785.0,30.791,26.11,1.544,6.475,5.056
96,2020-02-27,GOOG,904817520716.0,801109520716.0,,,,,
95,2020-02-28,GOOG,920475174418.0,816767174418.0,,,,,
94,2020-02-29,GOOG,920475174418.0,816767174418.0,27.244,24.51,1.434,5.78,4.57
93,2020-03-31,GOOG,795031530880.0,691323530880.0,23.654,21.368,1.307,5.019,3.948
92,2020-04-30,GOOG,919943518910.0,819518518910.0,27.229,31.646,1.933,5.635,4.52
91,2020-05-05,GOOG,921570898900.0,821145898900.0,,,,,
