date,close,% change,% change vs average,volume,rsi ‌rsi‌ (14),"bollinger bands top ‌bollinger bands‌ (20,2,ma,y)","bollinger bands median ‌bollinger bands‌ (20,2,ma,y)","bollinger bands bottom ‌bollinger bands‌ (20,2,ma,y)",result ‌w acc dist‌ (n),"ma ‌ma‌ (50,ma,0)","ma ‌ma‌ (50,ma,0)-2","ma ‌ma‌ (50,ma,0)-3",result ‌zigzag‌ (10),result ‌williams %r‌ (14),result ‌weighted close‌ (14),+vi ‌vortex‌ (14),-vi ‌vortex‌ (14),result ‌vol roc‌ (14),"result ‌vol osc‌ (12,26,points)",result ‌vt hz filter‌ (28),"result ‌ultimate‌ (7,14,28)",result ‌ulcer‌ (14),result ‌typical price‌ (14),result ‌twiggs‌ (21),true range ‌true range‌,result ‌trix‌ (14),"tii ‌trend int‌ (14,9)","signal ‌trend int‌ (14,9)",result ‌trade vol‌ (0.5),forecast ‌time fcst‌ (14),result ‌swing‌ (0.5),"trend ‌supertrend‌ (7,3)","%k ‌stochastics‌ (14,y)","%d ‌stochastics‌ (14,y)","%k ‌stochastics‌ (14,n,3,3)","%d ‌stochastics‌ (14,n,3,3)","%k ‌stch mtm‌ (10,3,3,10,ema)","%d ‌stch mtm‌ (10,3,3,10,ema)","starc bands top ‌starc bands‌ (15,5,1.3,y)","starc bands median ‌starc bands‌ (15,5,1.3,y)","starc bands bottom ‌starc bands‌ (15,5,1.3,y)","result ‌std dev‌ (14,2,ma)",short % of outstanding,short % of float,strong ratio ‌shinohara‌ (26),weak ratio ‌shinohara‌ (26),shares short,"result ‌schaff‌ (10,23,50,ema)",rsi ‌rsi‌ (14)-2,"rel vol ‌rel vol‌ (10,14)",rel vig ‌rel vig‌ (10),relvigsignal ‌rel vig‌ (10),‌rel vig‌ (10)_hist,"‌ravi‌ (vdma,7,65)_hist",random walk high ‌random walk‌ (14),random walk low ‌random walk‌ (14),"over ‌rainbow osc‌ (2,10)","under ‌rainbow osc‌ (2,10)","‌rainbow osc‌ (2,10)_hist","result ‌qstick‌ (8,ma)",result ‌psy‌ (20),result ‌pring sp-k‌ (daily),"kst ‌pring kst‌ (10,10,15,10,20,10,30,15,9)","kstsignal ‌pring kst‌ (10,10,15,10,20,10,30,15,9)",result ‌prime number‌ (5),prime bands top ‌prime number bands‌ (y),prime bands bottom ‌prime number bands‌ (y),result ‌price vol‌,result ‌p rel‌ (spy),result ‌price roc‌ (14),"result ‌price osc‌ (12,26,ema,points)",result ‌pretty good‌ (14),"index ‌pos vol‌ (255,ma)","ma ‌pos vol‌ (255,ma)","pivot ‌pivot points‌ (standard,n)","resistance 1 ‌pivot points‌ (standard,n)","support 1 ‌pivot points‌ (standard,n)","resistance 2 ‌pivot points‌ (standard,n)","support 2 ‌pivot points‌ (standard,n)","resistance 3 ‌pivot points‌ (standard,n)","support 3 ‌pivot points‌ (standard,n)","result ‌perf idx‌ (120,spy)","result ‌psar‌ (0.02,0.2)",result ‌on bal vol‌,"index ‌neg vol‌ (255,ma)","ma ‌neg vol‌ (255,ma)","ma env top ‌ma env‌ (50,percent,5,ma,y)","ma env median ‌ma env‌ (50,percent,5,ma,y)","ma env bottom ‌ma env‌ (50,percent,5,ma,y)","‌ma dev‌ (12,ma,points)_hist","ma 1 ‌macross‌ (20,50,200,ma,0)","ma 2 ‌macross‌ (20,50,200,ma,0)","ma 3 ‌macross‌ (20,50,200,ma,0)","ma ‌ma‌ (50,ma,0)-4",result ‌m flow‌ (14),result ‌momentum‌ (14),result ‌med price‌ (14),"result ‌mass idx‌ (25,27)",‌w mfi‌ (6)_hist,"macd ‌macd‌ (12,26,9)","signal ‌macd‌ (12,26,9)","‌macd‌ (12,26,9)_hist",result ‌llv‌ (14),slope ‌lr slope‌ (14),rsquared ‌lin r2‌ (14),intercept ‌lin incpt‌ (14),forecast ‌lin fcst‌ (14),"klinger ‌klinger‌ (13,34,55)","klingersignal ‌klinger‌ (13,34,55)","‌klinger‌ (13,34,55)_hist","keltner top ‌keltner‌ (10,5,ema,y)","keltner median ‌keltner‌ (10,5,ema,y)","keltner bottom ‌keltner‌ (10,5,ema,y)",result ‌intraday mtm‌ (20),"conversion line ‌ichimoku clouds‌ (9,26,52,26)","base line ‌ichimoku clouds‌ (9,26,52,26)","leading span a ‌ichimoku clouds‌ (9,26,52,26)","leading span b ‌ichimoku clouds‌ (9,26,52,26)","lagging span ‌ichimoku clouds‌ (9,26,52,26)","result ‌hist vol‌ (10,252,1)",result ‌hhv‌ (14),result ‌high-low‌,"high low top ‌high low‌ (10,5,y)","high low median ‌high low‌ (10,5,y)","high low bottom ‌high low‌ (10,5,y)",ma 3 ‌guppy‌,ma 5 ‌guppy‌,ma 8 ‌guppy‌,ma 10 ‌guppy‌,ma 12 ‌guppy‌,ma 15 ‌guppy‌,ma 30 ‌guppy‌,ma 35 ‌guppy‌,ma 40 ‌guppy‌,ma 45 ‌guppy‌,ma 50 ‌guppy‌,ma 60 ‌guppy‌,result ‌gapo‌ (14),"‌gator‌ (13,8,8,5,5,3)_hist1","‌gator‌ (13,8,8,5,5,3)_hist2",result ‌fractal chaos‌,fractal high ‌fractal chaos bands‌ (y),fractal low ‌fractal chaos bands‌ (y),‌elder ray‌ (13)_hist1,‌elder ray‌ (13)_hist2,result ‌elder force‌ (13),ef ‌ehler fisher‌ (10),ef trigger ‌ehler fisher‌ (10),"result ‌eom‌ (14,ma)","result ‌donchian width‌ (20,20)","donchian high ‌donchian channel‌ (20,20,y)","donchian median ‌donchian channel‌ (20,20,y)","donchian low ‌donchian channel‌ (20,20,y)","result ‌disparity‌ (14,ma)","result ‌detrended‌ (14,ma)",darvas ‌darvas‌,ghost ‌darvas‌,"result ‌coppock‌ (10,11,14)",result ‌cci‌ (20),result ‌choppiness‌ (14),change in short interest 15 days,result ‌chande mtm‌ (9),result ‌chande fcst‌ (14),"result ‌chaikin vol‌ (14,2,ma)",result ‌chaikin mf‌ (20),center of gravity ‌cog‌ (10),signal ‌cog‌ (10),"bandwidth ‌boll bw‌ (20,2,ma)","bollinger bands top ‌bollinger bands‌ (20,2,ma,y)-2","bollinger bands median ‌bollinger bands‌ (20,2,ma,y)-2","bollinger bands bottom ‌bollinger bands‌ (20,2,ma,y)-2","%b ‌boll %b‌ (20,2,ma)","result ‌beta‌ (20,spy)","result ‌bal pwr‌ (14,ma)",‌awesome‌_hist,atr ‌atr‌ (14),"all stops ‌atr trailing stop‌ (21,3,points,n)","atr bands top ‌atr bands‌ (5,3,y)","atr bands bottom ‌atr bands‌ (5,3,y)",aroon oscillator ‌aroon osc‌ (14),aroon up ‌aroon‌ (14),aroon down ‌aroon‌ (14),"jaw ‌alligator‌ (y,13,8,8,5,5,3,n)","teeth ‌alligator‌ (y,13,8,8,5,5,3,n)","lips ‌alligator‌ (y,13,8,8,5,5,3,n)","+di ‌adx‌ (14,14,y,n)","-di ‌adx‌ (14,14,y,n)","adx ‌adx‌ (14,14,y,n)",result ‌acc swing‌ (0.5),result ‌w acc dist‌ (n)-2,source_file,visitor trend
2014-01-01 23:00:00+00:00,27.86,-0.68,-0.66,"72,783,144",66.54,28.33,27.25,26.16,7.96,26.37,26.37,26.37,28.94,-12.49,27.42,1.12,0.85,6.4,"-708,652.61",0.45,63.71,0.88,27.42,0.15,0.31,0.28,100.0,99.29,"19,728,263,988.00",28.21,-15.81,26.99,89.81,91.68,89.81,91.68,83.88,71.87,28.37,27.92,27.48,1.04,,,207.30,77.65,,97.29,66.54,55.05,0.25,0.19,0.06,7.69,1.47,0.86,14.59,-14.59,-5.15,0.04,60.0,194.73,57.43,51.07,1.0,29.0,23.0,"103,334,018.83",0.15,3.33,0.54,1.29,144.58,,27.45,28.65,26.85,29.25,25.65,30.45,25.05,1.1,27.2,"1,049,377,572.00",106.39,,27.69,26.37,25.05,0.29,27.25,26.37,22.88,26.37,68.37,0.9,27.41,24.7,0.0,0.54,0.53,0.01,26.47,0.12,0.84,26.56,28.21,"2,099,158.01","2,728,935.01","-629,777.00",29.33,27.68,26.03,59.61,27.53,26.98,25.5,23.67,29.35,12.57,28.05,0.24,29.19,27.8,26.41,27.9,27.87,27.76,27.68,27.6,27.48,26.92,26.73,26.55,26.37,26.21,25.89,0.17,0.63,-0.47,0.0,27.34,26.5,0.41,0.17,"4,505,835.20",2.94,3.08,0.02,1.8,28.05,27.15,26.25,1.51,-0.25,,,7.95,87.59,41.97,,41.75,-1.26,-4.54,0.23,-5.47,-5.46,7.97,28.33,27.25,26.16,77.98,0.87,0.04,1.14,0.34,26.99,28.79,26.92,78.57,92.86,14.29,26.41,27.04,27.5,26.29,12.56,41.46,"1,576.52",7.96,GOOGL_2014Y_day.csv,
2014-01-02 23:00:00+00:00,27.65,-0.73,-0.72,"66,601,332",61.54,28.35,27.31,26.27,7.66,26.42,26.42,26.42,,-25.35,27.49,1.13,0.81,4.4,"-414,645.93",0.44,54.08,0.89,27.48,0.09,0.3,0.28,100.0,99.43,"19,794,865,320.00",28.17,-22.32,26.99,87.23,90.00,87.23,90.00,72.05,71.9,28.3,27.86,27.42,0.97,,,173.90,84.85,,91.37,61.54,52.19,0.23,0.22,0.01,7.4,1.38,1.03,18.39,-18.39,-26.64,-0.03,55.0,197.50,57.98,52.21,1.0,29.0,23.0,"102,848,174.71",0.15,3.27,0.5,0.47,144.58,,27.45,28.65,26.85,29.25,25.65,30.45,25.05,1.09,27.32,"982,776,240.00",105.61,,27.74,26.42,25.1,0.02,27.31,26.42,22.92,26.42,68.02,0.88,27.47,24.59,0.0,0.5,0.52,-0.02,26.47,0.1,0.71,26.74,28.17,"246,878.10","2,374,355.46","-2,127,477.35",29.31,27.68,26.04,53.38,27.64,27.08,25.7,23.73,29.78,12.42,28.05,0.3,29.25,27.85,26.46,27.78,27.79,27.74,27.68,27.61,27.51,26.96,26.78,26.6,26.43,26.26,25.95,0.17,0.66,-0.44,1.0,28.05,26.5,0.38,0.08,"1,928,772.47",2.57,2.94,0.02,1.78,28.05,27.16,26.28,0.54,-0.52,,,7.75,65.03,41.58,,25.17,-1.86,-4.59,0.17,-5.49,-5.47,7.61,28.35,27.31,26.27,66.64,0.89,0.03,1.06,0.34,26.99,28.58,26.72,78.57,85.71,7.14,26.48,27.14,27.58,24.61,13.52,40.58,"1,554.20",7.66,GOOGL_2014Y_day.csv,
2014-01-05 23:00:00+00:00,27.96,1.11,1.13,"70,701,228",65.75,28.38,27.38,26.38,7.97,26.46,26.46,26.46,,-5.94,27.58,1.2,0.75,-18.18,"147,483.72",0.4,59.82,0.67,27.57,0.13,0.35,0.27,100.0,99.55,"19,865,566,548.00",28.15,26.56,26.99,85.41,87.48,85.41,87.48,69.35,71.44,28.3,27.86,27.42,0.84,,,178.97,86.18,,80.72,65.75,53.78,0.17,0.22,-0.05,7.33,1.37,0.87,25.64,-25.64,19.15,-0.04,60.0,201.38,59.73,53.82,1.0,29.0,23.0,"103,636,443.72",0.15,5.33,0.49,1.1,146.19,,27.45,28.65,26.85,29.25,25.65,30.45,25.05,1.11,27.42,"1,053,477,468.00",105.61,,27.79,26.46,25.14,0.22,27.38,26.46,22.96,26.46,76.52,1.41,27.55,24.59,0.0,0.49,0.51,-0.02,26.47,0.08,0.64,26.98,28.15,"1,504,509.33","2,250,091.72","-745,582.39",29.37,27.73,26.08,54.73,27.85,27.15,25.9,23.83,29.7,13.17,28.05,0.31,29.28,27.88,26.49,27.87,27.85,27.79,27.73,27.66,27.56,27.03,26.85,26.67,26.5,26.33,26.02,0.17,0.66,-0.4,0.0,28.05,26.5,0.37,0.06,"4,767,194.88",2.26,2.57,0.03,1.75,28.05,27.18,26.3,1.29,-0.28,,,7.84,75.53,41.36,,23.03,-0.67,-4.39,0.19,-5.5,-5.49,7.31,28.38,27.38,26.38,78.95,0.84,0.11,0.98,0.34,26.99,28.91,27.01,78.57,78.57,0.0,26.58,27.24,27.64,23.83,12.53,39.9,"1,580.75",7.97,GOOGL_2014Y_day.csv,
2014-01-06 23:00:00+00:00,28.5,1.93,1.94,"102,001,896",71.59,28.54,27.47,26.4,8.51,26.52,26.52,26.52,,-1.03,27.69,1.23,0.65,59.34,"3,083,137.35",0.43,64.22,0.6,27.68,0.19,0.56,0.27,100.0,99.64,"19,967,568,444.00",28.27,76.84,27.22,89.23,87.29,89.23,87.29,73.6,71.83,28.46,28.0,27.54,0.85,,,193.46,77.5,,71.6,71.59,56.03,0.11,0.19,-0.08,7.77,2.4,0.0,44.23,-44.23,67.3,0.02,60.0,206.70,62.41,55.48,1.0,29.0,23.0,"105,602,866.25",0.16,6.14,0.52,2.19,149.01,,27.45,28.65,26.85,29.25,25.65,30.45,25.05,1.12,27.51,"1,155,479,364.00",105.61,,27.85,26.52,25.2,0.65,27.47,26.52,23.0,26.52,77.54,1.65,27.66,24.74,0.0,0.52,0.52,0.01,26.5,0.08,0.64,27.09,28.27,"3,315,585.29","2,402,305.09","913,280.20",29.63,27.87,26.11,58.68,28.09,27.39,26.01,23.91,30.03,14.57,28.05,0.46,29.3,27.91,26.51,28.18,28.07,27.95,27.87,27.79,27.68,27.12,26.94,26.76,26.58,26.41,26.1,0.17,0.64,-0.36,-1.0,28.05,27.65,0.77,0.3,"11,940,890.24",2.32,2.26,0.04,1.58,28.05,27.26,26.47,2.81,0.2,,,8.36,130.39,33.07,,29.86,0.81,-0.07,0.21,-5.49,-5.49,7.8,28.54,27.47,26.4,98.18,0.91,0.12,0.99,0.35,26.99,29.6,27.4,85.71,100.0,14.29,26.68,27.32,27.68,31.68,11.11,40.48,"1,657.59",8.51,GOOGL_2014Y_day.csv,
2014-01-07 23:00:00+00:00,28.56,0.21,0.22,"89,610,300",72.16,28.69,27.55,26.4,8.71,26.58,26.58,26.58,,-6.9,27.81,1.26,0.65,46.02,"4,359,512.03",0.46,63.84,0.48,27.8,0.18,0.35,0.28,100.0,99.71,"20,057,178,744.00",28.35,4.17,27.47,95.38,90.00,95.38,90.00,74.25,72.27,28.57,28.11,27.65,0.77,,,194.53,74.0,,73.76,72.16,58.85,0.06,0.14,-0.08,8.05,1.76,0.29,71.45,-71.45,55.5,-0.01,60.0,210.48,63.39,57.14,1.0,29.0,23.0,"105,789,346.87",0.16,6.67,0.54,2.0,149.01,118.14,27.45,28.65,26.85,29.25,25.65,30.45,25.05,1.12,27.67,"1,245,089,664.00",105.83,103.97,27.91,26.58,25.26,0.6,27.55,26.58,23.04,26.58,78.27,1.79,27.78,24.84,0.0,0.54,0.52,0.02,26.5,0.08,0.64,27.27,28.35,"4,689,885.27","2,729,102.26","1,960,783.01",29.75,27.99,26.23,54.98,28.18,27.48,26.03,23.91,30.1,13.65,28.52,0.35,29.34,27.94,26.55,28.37,28.23,28.08,27.99,27.91,27.79,27.22,27.03,26.85,26.67,26.5,26.18,0.27,0.62,-0.31,0.0,28.05,27.65,0.84,0.49,"10,994,291.32",2.57,2.32,0.05,2.05,28.52,27.5,26.47,2.55,0.16,,,8.72,139.04,29.96,,37.35,0.73,4.34,0.2,-5.48,-5.49,8.32,28.69,27.55,26.4,94.18,0.91,0.11,1.05,0.35,27.43,29.65,27.47,92.86,100.0,7.14,26.77,27.39,27.7,33.29,10.32,41.35,"1,661.77",8.71,GOOGL_2014Y_day.csv,
2014-01-08 23:00:00+00:00,28.28,-0.96,-0.95,"83,296,620",65.66,28.78,27.6,26.43,8.36,26.64,26.64,26.64,,-25.03,27.91,1.28,0.67,-5.69,"4,806,184.24",0.45,61.17,0.55,27.9,0.14,0.47,0.28,100.0,99.77,"20,140,475,364.00",28.36,-37.10,27.47,89.01,91.21,89.01,91.21,60.53,70.14,28.66,28.19,27.72,0.7,,,180.83,74.7,,71.2,65.66,55.01,0.01,0.09,-0.08,7.66,1.64,1.55,63.81,-63.81,13.53,-0.05,55.0,213.74,63.71,58.67,1.0,29.0,23.0,"104,987,205.47",0.15,4.19,0.53,0.96,149.01,118.32,27.45,28.65,26.85,29.25,25.65,30.45,25.05,1.11,27.86,"1,161,793,044.00",104.81,103.99,27.97,26.64,25.31,0.26,27.6,26.64,23.08,26.64,69.8,1.14,27.89,24.95,0.01,0.53,0.52,0.01,26.5,0.07,0.59,27.43,28.36,"2,224,656.90","2,657,038.64","-432,381.73",29.86,28.05,26.23,48.06,28.18,27.48,26.03,23.91,30.3,14.64,28.71,0.47,29.39,27.99,26.59,28.33,28.25,28.13,28.05,27.97,27.85,27.28,27.1,26.92,26.74,26.57,26.25,0.3,0.59,-0.28,0.0,28.05,27.65,0.71,0.24,"6,151,020.54",2.39,2.57,0.04,2.24,28.71,27.59,26.47,1.27,-0.19,,,8.2,103.66,38.28,,15.2,-0.27,-3.14,0.17,-5.48,-5.49,8.5,28.78,27.6,26.43,79.0,0.95,0.02,1.08,0.36,27.49,29.44,27.13,92.86,92.86,0.0,26.86,27.45,27.73,30.21,13.2,41.2,"1,624.66",8.36,GOOGL_2014Y_day.csv,
2014-01-09 23:00:00+00:00,28.28,-0.01,0.01,"85,654,260",65.62,28.84,27.67,26.5,8.14,26.69,26.69,26.69,,-28.89,27.99,1.15,0.74,28.68,"5,289,443.62",0.45,56.96,0.6,27.98,0.13,0.42,0.28,100.0,99.81,"20,226,129,624.00",28.34,-8.58,27.47,79.73,88.04,79.73,88.04,46.6,65.86,28.79,28.32,27.84,0.58,,,177.14,72.72,,52.91,65.62,51.33,-0.06,0.03,-0.09,7.42,1.2,1.18,51.07,-51.07,5.51,-0.04,55.0,216.09,63.12,59.85,1.0,29.0,23.0,"104,982,659.69",0.15,4.05,0.52,0.73,149.0,118.51,27.45,28.65,26.85,29.25,25.65,30.45,25.05,1.1,28.01,"1,076,138,784.00",104.81,104.01,28.02,26.69,25.35,0.23,27.67,26.69,23.12,26.69,61.95,1.1,27.97,25.06,0.0,0.52,0.52,0.0,27.0,0.05,0.52,27.62,28.34,"-71,749.45","2,267,211.77","-2,338,961.22",29.94,28.09,26.24,48.43,28.18,27.49,26.03,23.91,30.09,14.54,28.71,0.42,29.46,28.06,26.65,28.31,28.26,28.16,28.09,28.02,27.91,27.35,27.16,26.98,26.81,26.64,26.31,0.2,0.55,-0.35,1.0,28.71,27.65,0.53,0.1,"5,253,935.58",1.97,2.39,0.03,2.24,28.71,27.59,26.47,0.98,-0.28,,,7.75,87.62,44.38,,14.16,-0.22,-1.85,0.19,-5.48,-5.48,8.45,28.84,27.67,26.5,76.19,0.97,-0.05,1.1,0.37,27.49,29.46,27.11,85.71,85.71,0.0,26.94,27.49,27.84,27.73,13.73,40.67,"1,616.08",8.14,GOOGL_2014Y_day.csv,
2014-01-12 23:00:00+00:00,28.1,-0.64,-0.62,"96,659,244",61.42,28.84,27.74,26.63,7.54,26.74,26.74,26.74,,-57.42,28.04,1.08,0.78,-25.84,"6,485,677.54",0.45,50.52,0.74,28.04,0.08,0.74,0.27,100.0,99.85,"20,322,788,868.00",28.3,-14.63,27.47,62.89,77.21,62.89,77.21,27.63,58.91,28.85,28.35,27.84,0.52,,,168.92,82.56,,26.46,61.42,47.9,-0.13,-0.03,-0.1,7.13,1.47,1.3,33.37,-33.37,-18.13,-0.08,55.0,217.91,62.0,60.67,1.0,29.0,23.0,"104,366,877.89",0.15,2.03,0.49,0.13,148.05,118.69,27.45,28.65,26.85,29.25,25.65,30.45,25.05,1.11,28.71,"979,479,540.00",104.81,104.03,28.07,26.74,25.4,0.02,27.74,26.74,23.16,26.74,50.93,0.56,28.04,25.36,0.01,0.49,0.52,-0.03,27.23,0.04,0.37,27.76,28.3,"-2,395,279.28","1,601,141.62","-3,996,420.90",30.13,28.09,26.06,50.37,28.18,27.51,26.07,23.91,30.13,14.98,28.71,0.74,29.54,28.14,26.73,28.2,28.21,28.15,28.09,28.03,27.93,27.4,27.22,27.04,26.86,26.69,26.37,0.15,0.52,-0.45,0.0,28.71,27.65,0.7,-0.04,"2,015,370.00",1.65,1.97,0.03,2.24,28.71,27.59,26.47,0.19,-0.49,,,6.78,78.97,59.93,,16.6,-0.71,11.85,0.19,-5.48,-5.48,7.99,28.84,27.74,26.63,66.52,0.85,-0.12,1.13,0.39,27.49,29.49,26.72,78.57,78.57,0.0,27.01,27.54,27.98,27.54,11.87,40.6,"1,601.45",7.54,GOOGL_2014Y_day.csv,
2014-01-13 23:00:00+00:00,28.76,2.35,2.37,"99,204,696",69.21,28.9,27.85,26.8,8.2,26.8,26.8,26.8,,-3.47,28.1,1.04,0.8,44.2,"7,552,043.00",0.41,59.13,0.74,28.1,0.14,0.7,0.27,100.0,99.88,"20,421,993,564.00",28.47,83.26,27.47,70.07,70.89,70.07,70.89,40.52,55.56,28.93,28.4,27.86,0.63,,,206.71,76.49,,16.84,69.21,51.81,-0.14,-0.09,-0.05,7.34,1.14,0.63,18.25,-18.25,39.75,-0.03,60.0,222.04,62.95,61.41,1.0,29.0,23.0,"106,700,829.89",0.16,3.08,0.51,1.41,151.54,118.88,27.45,28.65,26.85,29.25,25.65,30.45,25.05,1.12,27.96,"1,078,684,236.00",104.81,104.05,28.13,26.8,25.46,0.62,27.85,26.8,23.21,26.8,52.51,0.86,28.09,25.68,0.01,0.51,0.51,0.0,27.65,0.05,0.49,27.7,28.47,"-305,821.91","1,328,718.26","-1,634,540.16",30.4,28.21,26.03,59.08,28.23,27.64,26.09,23.91,30.12,17.7,28.71,0.57,29.64,28.23,26.82,28.48,28.39,28.29,28.21,28.14,28.03,27.49,27.3,27.12,26.95,26.77,26.45,0.02,0.55,-0.44,0.0,28.71,27.65,0.7,0.12,"11,097,478.39",1.7,1.65,0.02,2.24,28.71,27.59,26.47,2.32,0.2,,,6.52,130.72,59.07,,29.7,1.04,16.29,0.28,-5.48,-5.48,7.55,28.9,27.85,26.8,93.58,0.98,-0.13,1.09,0.41,27.49,30.29,27.23,50.0,100.0,50.0,27.08,27.63,28.07,25.97,10.43,40.75,"1,684.71",8.2,GOOGL_2014Y_day.csv,
2014-01-14 23:00:00+00:00,28.74,-0.07,-0.05,"77,929,992",68.77,28.96,27.94,26.93,8.04,26.86,26.86,26.86,,-12.74,28.17,1.1,0.78,165.62,"6,604,323.95",0.43,56.52,0.74,28.16,0.12,0.28,0.27,100.0,99.9,"20,499,923,556.00",28.59,-0.10,27.47,75.46,69.47,75.46,69.47,52.96,55.09,28.96,28.44,27.91,0.68,0.59,0.71,188.44,81.23,"78,627,480.00",25.08,68.77,47.58,-0.11,-0.12,0.01,7.41,0.96,0.26,38.83,-38.83,29.41,-0.02,55.0,224.87,62.58,61.99,1.0,29.0,23.0,"106,647,944.66",0.16,3.31,0.52,1.3,151.54,119.07,27.45,28.65,26.85,29.25,25.65,30.45,25.05,1.11,27.96,"1,000,754,244.00",104.74,104.07,28.2,26.86,25.51,0.53,27.94,26.86,23.25,26.86,57.48,0.92,28.16,25.81,0.0,0.52,0.52,0.0,27.65,0.06,0.56,27.7,28.59,"1,138,616.23","1,301,560.82","-162,944.59",30.41,28.31,26.21,54.77,28.28,27.69,26.15,23.94,30.34,17.44,28.8,0.28,29.71,28.3,26.88,28.61,28.51,28.39,28.31,28.24,28.12,27.57,27.38,27.2,27.02,26.85,26.53,0.05,0.61,-0.37,-1.0,28.71,27.96,0.71,0.43,"9,294,813.14",1.95,1.7,0.03,2.3,28.8,27.65,26.5,2.02,0.2,,,6.46,147.48,56.61,-19.88,39.53,0.55,8.43,0.24,-5.47,-5.48,7.27,28.96,27.94,26.93,89.49,0.92,-0.13,1.06,0.4,27.57,30.14,27.35,57.14,100.0,42.86,27.13,27.74,28.11,26.45,9.92,41.09,"1,684.61",8.04,GOOGL_2014Y_day.csv,
