,contract_name,last_trade_date,strike,last_price,bid,ask,change,change,volume,open_interest,implied_volatility,expiry_sheet,expiry_date,option_type,dte,date,dte_bucket
0,GOOGL250620C00025000,2025-06-16 14:07:00,25,150.75,0.00,0.00,0.00,0.00%,3.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,3,2025-06-16,short
1,GOOGL250620C00030000,2025-05-30 12:52:00,30,137.62,0.00,0.00,0.00,0.00%,4.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,20,2025-05-30,medium
7,GOOGL250620C00060000,2025-06-17 09:56:00,60,115.05,0.00,0.00,0.00,0.00%,1.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
10,GOOGL250620C00075000,2025-06-16 09:32:00,75,100.35,0.00,0.00,0.00,0.00%,1.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,3,2025-06-16,short
13,GOOGL250620C00090000,2025-06-16 10:34:00,90,85.65,0.00,0.00,0.00,0.00%,1.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,3,2025-06-16,short
14,GOOGL250620C00095000,2025-06-17 15:08:00,95,81.62,0.00,0.00,0.00,0.00%,3.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
15,GOOGL250620C00100000,2025-06-16 13:02:00,100,75.21,0.00,0.00,0.00,0.00%,6.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,3,2025-06-16,short
16,GOOGL250620C00105000,2025-06-16 11:51:00,105,69.96,0.00,0.00,0.00,0.00%,1.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,3,2025-06-16,short
18,GOOGL250620C00115000,2025-06-16 12:22:00,115,60.44,0.00,0.00,0.00,0.00%,2.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,3,2025-06-16,short
19,GOOGL250620C00120000,2025-06-17 11:28:00,120,56.93,0.00,0.00,0.00,0.00%,5.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
20,GOOGL250620C00125000,2025-06-16 12:22:00,125,50.49,0.00,0.00,0.00,0.00%,10.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,3,2025-06-16,short
21,GOOGL250620C00130000,2025-06-17 15:51:00,130,46.25,0.00,0.00,0.00,0.00%,51.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
22,GOOGL250620C00135000,2025-06-17 09:46:00,135,40.08,0.00,0.00,0.00,0.00%,1.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
23,GOOGL250620C00140000,2025-06-17 14:42:00,140,36.10,0.00,0.00,0.00,0.00%,71.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
