,date,ticker,MarketCap,EnterpriseValue,PeRatio,ForwardPeRatio,PegRatio,PsRatio,PbRatio
189,2014-01-31,GOOGL,396876031386.0,343404031386.0,65.52,19.608,1.279,13.377,4.546
188,2014-02-28,GOOGL,408536995221.0,356334995221.0,33.723,20.202,1.341,6.885,4.679
187,2014-03-31,GOOGL,532677223674.0,480475223674.0,30.915,18.315,1.217,6.312,6.11
186,2014-04-30,GOOGL,358007861805.0,306974861805.0,29.573,17.668,1.234,5.864,3.939
185,2014-05-30,GOOGL,381625265875.0,330592265875.0,,,,,
184,2014-05-31,GOOGL,381625265875.0,330592265875.0,31.607,18.904,1.319,6.267,4.21
183,2014-06-30,GOOGL,392018013768.0,340985013768.0,32.326,19.342,1.466,6.41,4.315
182,2014-07-31,GOOGL,389331115104.0,336257115104.0,30.326,19.121,1.301,6.071,4.1
181,2014-08-29,GOOGL,390278024679.0,337204024679.0,,,,,
180,2014-08-31,GOOGL,390278024679.0,337204024679.0,30.472,19.194,1.307,6.101,4.12
179,2014-09-30,GOOGL,395352513496.0,342278513496.0,30.786,19.418,1.294,6.163,4.174
178,2014-10-31,GOOGL,382250882494.0,327431882494.0,30.187,19.157,1.322,5.727,3.904
177,2014-11-28,GOOGL,370023584075.0,315204584075.0,,,,,
176,2014-11-30,GOOGL,370023584075.0,315204584075.0,29.188,18.519,1.279,5.537,3.775
175,2014-12-31,GOOGL,359503564697.0,304684564697.0,28.21,17.889,1.43,5.351,3.658
174,2015-01-30,GOOGL,364853557744.0,305695557744.0,,,,,
173,2015-01-31,GOOGL,364853557744.0,305695557744.0,26.522,16.584,1.631,5.596,3.506
172,2015-02-27,GOOGL,381487581898.0,324091581898.0,,,,,
171,2015-02-28,GOOGL,381487581898.0,324091581898.0,27.755,17.483,1.731,5.857,3.669
170,2015-03-31,GOOGL,376199382578.0,318803382578.0,27.366,17.153,1.657,5.774,3.627
169,2015-04-30,GOOGL,371094461139.0,310893461139.0,27.249,16.978,1.694,5.567,3.458
168,2015-05-29,GOOGL,368109995199.0,307908995199.0,,,,,
167,2015-05-31,GOOGL,368109995199.0,307908995199.0,27.075,16.863,1.683,5.531,3.436
166,2015-06-30,GOOGL,363461833080.0,303260833080.0,26.812,16.695,1.364,5.478,3.413
165,2015-07-31,GOOGL,439771534488.0,375224534488.0,32.695,19.881,1.56,6.51,4.032
164,2015-08-31,GOOGL,433933468261.0,369386468261.0,32.214,19.493,1.576,6.415,3.973
163,2015-09-30,GOOGL,428655184860.0,364108184860.0,31.744,19.194,1.553,6.321,3.927
162,2015-10-30,GOOGL,497938161803.0,430402161803.0,,,,,
161,2015-10-31,GOOGL,497938161803.0,430402161803.0,34.138,21.882,2.048,7.098,4.363
160,2015-11-30,GOOGL,517634684930.0,450098684930.0,35.317,22.624,2.118,7.343,4.513
159,2015-12-31,GOOGL,528168435200.0,460632435200.0,36.019,23.095,2.161,7.489,4.6
158,2016-01-29,GOOGL,516968889400.0,449432889400.0,,,,,
157,2016-01-31,GOOGL,516968889400.0,449432889400.0,35.248,19.646,1.838,7.329,4.502
156,2016-02-29,GOOGL,486955963843.0,420249963843.0,31.402,18.315,1.405,6.627,4.103
155,2016-03-31,GOOGL,517784506950.0,451078506950.0,33.402,22.472,1.722,7.05,4.354
154,2016-04-29,GOOGL,480891770367.0,410835770367.0,,,,,
153,2016-04-30,GOOGL,480891770367.0,410835770367.0,29.793,17.921,1.731,6.312,3.933
152,2016-05-31,GOOGL,509617523298.0,439561523298.0,31.517,22.272,1.938,6.677,4.161
151,2016-06-30,GOOGL,479246481810.0,409190481810.0,29.61,20.921,1.821,6.273,3.91
150,2016-07-29,GOOGL,536118973069.0,461861973069.0,,,,,
149,2016-07-31,GOOGL,536118973069.0,461861973069.0,30.648,23.31,1.794,6.746,4.253
148,2016-08-31,GOOGL,535009034076.0,460752034076.0,30.591,23.202,1.497,6.732,4.245
147,2016-09-30,GOOGL,544870078440.0,470613078440.0,31.141,19.841,1.279,6.853,4.333
146,2016-10-31,GOOGL,549462831860.0,470344831860.0,29.634,20.04,1.216,6.608,4.163
