,contract_name,last_trade_date,strike,last_price,bid,ask,change,change,volume,open_interest,implied_volatility,expiry_sheet,expiry_date,option_type,dte,date,dte_bucket
0,META250620C00005000,2025-06-17 15:57:00,5,692.50,0.00,0.00,0.00,0.00%,5.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
1,META250620C00010000,2025-06-13 15:54:00,10,672.00,0.00,0.00,0.00,0.00%,55.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,6,2025-06-13,short
2,META250620C00015000,2025-06-13 15:49:00,15,668.00,0.00,0.00,0.00,0.00%,2.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,6,2025-06-13,short
3,META250620C00025000,2025-06-13 15:49:00,25,658.00,0.00,0.00,0.00,0.00%,2.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,6,2025-06-13,short
4,META250620C00030000,2025-06-16 11:56:00,30,671.25,0.00,0.00,0.00,0.00%,1.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,3,2025-06-16,short
6,META250620C00040000,2025-06-13 14:22:00,40,648.25,0.00,0.00,0.00,0.00%,50.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,6,2025-06-13,short
7,META250620C00050000,2025-06-13 15:34:00,50,633.20,0.00,0.00,0.00,0.00%,420.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,6,2025-06-13,short
8,META250620C00055000,2025-06-13 14:22:00,55,633.15,0.00,0.00,0.00,0.00%,25.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,6,2025-06-13,short
9,META250620C00060000,2025-06-13 14:22:00,60,628.15,0.00,0.00,0.00,0.00%,50.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,6,2025-06-13,short
10,META250620C00065000,2025-06-13 14:22:00,65,623.05,0.00,0.00,0.00,0.00%,25.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,6,2025-06-13,short
11,META250620C00070000,2025-06-13 14:22:00,70,618.20,0.00,0.00,0.00,0.00%,25.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,6,2025-06-13,short
12,META250620C00075000,2025-06-13 15:49:00,75,608.00,0.00,0.00,0.00,0.00%,1.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,6,2025-06-13,short
13,META250620C00080000,2025-06-13 14:22:00,80,608.25,0.00,0.00,0.00,0.00%,25.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,6,2025-06-13,short
14,META250620C00085000,2025-06-13 13:37:00,85,605.50,0.00,0.00,0.00,0.00%,800.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,6,2025-06-13,short
15,META250620C00090000,2025-06-13 14:22:00,90,598.25,0.00,0.00,0.00,0.00%,50.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,6,2025-06-13,short
16,META250620C00095000,2025-06-13 15:49:00,95,588.00,0.00,0.00,0.00,0.00%,2.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,6,2025-06-13,short
17,META250620C00100000,2025-06-13 15:33:00,100,580.95,0.00,0.00,0.00,0.00%,361.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,6,2025-06-13,short
18,META250620C00105000,2025-06-13 15:33:00,105,579.10,0.00,0.00,0.00,0.00%,235.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,6,2025-06-13,short
19,META250620C00110000,2025-06-13 14:22:00,110,577.95,0.00,0.00,0.00,0.00%,25.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,6,2025-06-13,short
20,META250620C00115000,2025-06-13 15:33:00,115,569.10,0.00,0.00,0.00,0.00%,265.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,6,2025-06-13,short
21,META250620C00120000,2025-06-13 15:33:00,120,561.40,0.00,0.00,0.00,0.00%,560.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,6,2025-06-13,short
22,META250620C00125000,2025-06-13 15:33:00,125,558.10,0.00,0.00,0.00,0.00%,760.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,6,2025-06-13,short
23,META250620C00130000,2025-06-13 15:33:00,130,553.10,0.00,0.00,0.00,0.00%,3.75,0.0,0.0,"Jun 20, 2025",2025-06-20,call,6,2025-06-13,short
24,META250620C00135000,2025-06-13 15:33:00,135,548.10,0.00,0.00,0.00,0.00%,570.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,6,2025-06-13,short
25,META250620C00140000,2025-06-13 15:33:00,140,541.35,0.00,0.00,0.00,0.00%,2.64,0.0,0.0,"Jun 20, 2025",2025-06-20,call,6,2025-06-13,short
26,META250620C00145000,2025-06-13 15:33:00,145,538.10,0.00,0.00,0.00,0.00%,610.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,6,2025-06-13,short
27,META250620C00150000,2025-06-13 15:33:00,150,533.05,0.00,0.00,0.00,0.00%,1.73,0.0,0.0,"Jun 20, 2025",2025-06-20,call,6,2025-06-13,short
28,META250620C00155000,2025-06-13 15:33:00,155,528.10,0.00,0.00,0.00,0.00%,330.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,6,2025-06-13,short
29,META250620C00160000,2025-06-13 15:33:00,160,522.96,0.00,0.00,0.00,0.00%,1.69,0.0,0.0,"Jun 20, 2025",2025-06-20,call,6,2025-06-13,short
30,META250620C00165000,2025-06-13 15:33:00,165,516.50,0.00,0.00,0.00,0.00%,615.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,6,2025-06-13,short
31,META250620C00170000,2025-06-16 10:51:00,170,533.00,0.00,0.00,0.00,0.00%,1.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,3,2025-06-16,short
32,META250620C00175000,2025-06-13 15:33:00,175,506.30,0.00,0.00,0.00,0.00%,721.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,6,2025-06-13,short
33,META250620C00180000,2025-06-13 15:33:00,180,501.25,0.00,0.00,0.00,0.00%,741.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,6,2025-06-13,short
34,META250620C00185000,2025-06-13 15:34:00,185,496.45,0.00,0.00,0.00,0.00%,1.79,0.0,0.0,"Jun 20, 2025",2025-06-20,call,6,2025-06-13,short
35,META250620C00190000,2025-06-13 15:34:00,190,491.45,0.00,0.00,0.00,0.00%,1.61,0.0,0.0,"Jun 20, 2025",2025-06-20,call,6,2025-06-13,short
36,META250620C00195000,2025-06-13 15:34:00,195,488.10,0.00,0.00,0.00,0.00%,1.52,0.0,0.0,"Jun 20, 2025",2025-06-20,call,6,2025-06-13,short
37,META250620C00200000,2025-06-17 12:15:00,200,504.45,0.00,0.00,0.00,0.00%,2.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
38,META250620C00205000,2025-06-13 15:34:00,205,478.10,0.00,0.00,0.00,0.00%,1.84,0.0,0.0,"Jun 20, 2025",2025-06-20,call,6,2025-06-13,short
39,META250620C00210000,2025-06-13 15:34:00,210,471.45,0.00,0.00,0.00,0.00%,1.59,0.0,0.0,"Jun 20, 2025",2025-06-20,call,6,2025-06-13,short
40,META250620C00215000,2025-06-13 15:34:00,215,468.10,0.00,0.00,0.00,0.00%,1.68,0.0,0.0,"Jun 20, 2025",2025-06-20,call,6,2025-06-13,short
41,META250620C00220000,2025-06-13 15:34:00,220,461.50,0.00,0.00,0.00,0.00%,1.02,0.0,0.0,"Jun 20, 2025",2025-06-20,call,6,2025-06-13,short
42,META250620C00225000,2025-06-17 14:28:00,225,473.08,0.00,0.00,0.00,0.00%,5.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
43,META250620C00230000,2025-06-13 15:34:00,230,453.05,0.00,0.00,0.00,0.00%,4.54,0.0,0.0,"Jun 20, 2025",2025-06-20,call,6,2025-06-13,short
44,META250620C00235000,2025-06-13 15:34:00,235,446.45,0.00,0.00,0.00,0.00%,1.59,0.0,0.0,"Jun 20, 2025",2025-06-20,call,6,2025-06-13,short
45,META250620C00240000,2025-06-13 15:34:00,240,443.50,0.00,0.00,0.00,0.00%,1.65,0.0,0.0,"Jun 20, 2025",2025-06-20,call,6,2025-06-13,short
46,META250620C00245000,2025-06-13 15:34:00,245,435.90,0.00,0.00,0.00,0.00%,452.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,6,2025-06-13,short
47,META250620C00250000,2025-06-13 15:34:00,250,431.55,0.00,0.00,0.00,0.00%,3.681,0.0,0.0,"Jun 20, 2025",2025-06-20,call,6,2025-06-13,short
48,META250620C00260000,2025-06-16 10:10:00,260,441.00,0.00,0.00,0.00,0.00%,1.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,3,2025-06-16,short
49,META250620C00265000,2025-06-16 09:31:00,265,437.00,0.00,0.00,0.00,0.00%,,0.0,0.0,"Jun 20, 2025",2025-06-20,call,3,2025-06-16,short
50,META250620C00270000,2025-06-13 15:34:00,270,414.05,0.00,0.00,0.00,0.00%,3.512,0.0,0.0,"Jun 20, 2025",2025-06-20,call,6,2025-06-13,short
51,META250620C00280000,2025-06-17 15:38:00,280,418.60,0.00,0.00,0.00,0.00%,1.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
52,META250620C00290000,2025-06-13 15:34:00,290,394.10,0.00,0.00,0.00,0.00%,450.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,6,2025-06-13,short
