,date,ticker,MarketCap,EnterpriseValue,PeRatio,ForwardPeRatio,PegRatio,PsRatio,PbRatio
152,2014-01-31,META,159537406181.0,148564406181.0,104.283,37.313,0.997,20.006,10.313
151,2014-02-28,META,175508192352.0,164535192352.0,114.1,42.553,1.139,21.889,11.345
150,2014-03-31,META,154455360000.0,143482360000.0,100.4,37.175,0.996,19.261,9.984
149,2014-04-30,META,153416234420.0,141179234420.0,78.658,34.965,0.85,17.06,9.166
148,2014-05-31,META,162449776493.0,150212776493.0,83.289,36.63,0.89,18.065,9.706
147,2014-06-30,META,173271750000.0,161034750000.0,88.539,38.911,0.946,19.204,10.353
146,2014-07-31,META,188893748086.0,175263748086.0,78.118,37.594,0.947,18.661,10.296
145,2014-08-31,META,194535860038.0,180905860038.0,80.452,38.76,0.976,19.219,10.604
144,2014-09-30,META,206136320000.0,192506320000.0,84.989,40.816,1.03,20.303,11.236
143,2014-10-31,META,209060716645.0,195088716645.0,70.084,43.86,1.09,17.414,9.844
142,2014-11-30,META,216615784548.0,202643784548.0,72.617,45.455,1.13,18.043,10.199
141,2014-12-31,META,216739560000.0,202767560000.0,72.916,45.662,1.819,18.117,10.205
140,2015-01-31,META,212472986800.0,201506986800.0,69.009,30.395,0.78,16.222,5.886
139,2015-02-28,META,221037962951.0,210071962951.0,71.791,31.847,0.816,16.876,6.124
138,2015-03-31,META,230695290000.0,219729290000.0,74.741,32.895,0.842,17.569,6.391
137,2015-04-30,META,221204769096.0,208977769096.0,76.476,31.25,0.884,15.867,5.899
136,2015-05-31,META,222384228320.0,210157228320.0,76.883,31.153,0.882,15.951,5.93
135,2015-06-30,META,240142000000.0,227915000000.0,83.267,33.557,1.139,17.276,6.404
134,2015-07-31,META,264877451702.0,250901451702.0,95.929,36.232,0.966,17.861,6.714
133,2015-08-31,META,251973093349.0,237997093349.0,91.255,34.247,0.915,16.991,6.387
132,2015-09-30,META,252978600000.0,239002600000.0,91.735,34.483,0.92,17.08,6.412
131,2015-10-31,META,286943580000.0,272967580000.0,104.051,39.216,1.049,19.374,7.273
130,2015-11-30,META,294790100084.0,279082100084.0,105.293,38.023,1.006,18.561,7.117
129,2015-12-31,META,296606440000.0,280898440000.0,105.717,38.462,1.017,18.636,7.161
128,2016-01-31,META,319381132211.0,301262132211.0,86.984,28.986,0.777,17.857,7.223
127,2016-02-29,META,304324308493.0,286205308493.0,82.884,28.653,0.842,17.015,6.882
126,2016-03-31,META,325185000000.0,307066000000.0,88.45,30.581,0.899,18.157,7.354
125,2016-04-30,META,336314723158.0,318195723158.0,72.135,28.409,1.104,17.048,7.133
124,2016-05-31,META,339832898949.0,321713898949.0,72.89,28.09,1.092,17.226,7.207
