,contract_name,last_trade_date,strike,last_price,bid,ask,change,change,volume,open_interest,implied_volatility,expiry_sheet,expiry_date,option_type,dte,date,dte_bucket
1,MSFT250620C00120000,2025-05-27 15:55:00,120,340.65,356.75,359.60,0.00,0.00%,1.0,5.0,6.1074,"Jun 20, 2025",2025-06-20,call,23,2025-05-27,medium
2,MSFT250620C00125000,2025-05-14 14:38:00,125,326.80,348.00,351.15,0.00,0.00%,185.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,36,2025-05-14,medium
5,MSFT250620C00140000,2025-02-05 09:51:00,140,295.35,318.45,322.15,0.00,0.00%,1.0,1.0,0.0,"Jun 20, 2025",2025-06-20,call,134,2025-02-05,long
6,MSFT250620C00145000,2025-05-13 13:21:00,145,303.60,328.05,331.70,0.00,0.00%,1.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,37,2025-05-13,medium
7,MSFT250620C00150000,2025-05-27 15:55:00,150,311.00,327.85,329.60,0.00,0.00%,1.0,505.0,5.585,"Jun 20, 2025",2025-06-20,call,23,2025-05-27,medium
8,MSFT250620C00155000,2025-04-06 14:00:00,155,310.30,321.65,324.70,0.00,0.00%,5.0,31.0,5.0215,"Jun 20, 2025",2025-06-20,call,74,2025-04-06,long
9,MSFT250620C00160000,2025-02-06 11:10:00,160,301.43,316.55,319.65,0.00,0.00%,1.0,6.0,4.8184,"Jun 20, 2025",2025-06-20,call,133,2025-02-06,long
12,MSFT250620C00175000,2025-05-14 12:35:00,175,277.30,298.05,301.65,0.00,0.00%,5.0,33.0,0.0,"Jun 20, 2025",2025-06-20,call,36,2025-05-14,medium
13,MSFT250620C00180000,2025-06-16 13:08:00,180,299.95,297.60,299.90,0.00,0.00%,2.0,912.0,4.7734,"Jun 20, 2025",2025-06-20,call,3,2025-06-16,short
14,MSFT250620C00185000,2025-03-06 13:16:00,185,278.50,291.80,294.85,0.00,0.00%,2.0,13.0,4.3877,"Jun 20, 2025",2025-06-20,call,105,2025-03-06,long
16,MSFT250620C00195000,2025-05-14 15:28:00,195,256.36,278.10,281.75,0.00,0.00%,45.0,427.0,0.0,"Jun 20, 2025",2025-06-20,call,36,2025-05-14,medium
19,MSFT250620C00210000,2025-06-16 12:05:00,210,270.25,266.70,269.75,0.00,0.00%,1.0,64.0,3.7802999999999995,"Jun 20, 2025",2025-06-20,call,3,2025-06-16,short
20,MSFT250620C00215000,2025-05-13 09:32:00,215,231.50,258.10,261.60,0.00,0.00%,6.0,16.0,0.0,"Jun 20, 2025",2025-06-20,call,37,2025-05-13,medium
21,MSFT250620C00220000,2025-05-27 15:55:00,220,241.20,258.15,259.60,0.00,0.00%,19.0,139.0,3.9248000000000003,"Jun 20, 2025",2025-06-20,call,23,2025-05-27,medium
22,MSFT250620C00225000,2025-05-30 11:45:00,225,234.35,251.70,254.90,0.00,0.00%,1.0,94.0,3.5342000000000002,"Jun 20, 2025",2025-06-20,call,20,2025-05-30,medium
23,MSFT250620C00230000,2025-05-14 09:54:00,230,221.99,243.10,246.70,0.00,0.00%,2.0,469.0,0.0,"Jun 20, 2025",2025-06-20,call,36,2025-05-14,medium
25,MSFT250620C00240000,2025-06-16 09:44:00,240,238.09,238.05,239.75,0.00,0.00%,3.0,251.0,3.5381,"Jun 20, 2025",2025-06-20,call,3,2025-06-16,short
26,MSFT250620C00245000,2025-06-16 09:30:00,245,229.50,232.65,234.75,0.00,0.00%,1.0,456.0,3.3613,"Jun 20, 2025",2025-06-20,call,3,2025-06-16,short
27,MSFT250620C00250000,2025-06-16 10:00:00,250,230.34,227.80,230.15,0.00,0.00%,1.0,376.0,3.3794,"Jun 20, 2025",2025-06-20,call,3,2025-06-16,short
30,MSFT250620C00265000,2025-06-16 12:08:00,265,215.26,212.80,215.10,0.00,0.00%,1.0,125.0,3.1016000000000004,"Jun 20, 2025",2025-06-20,call,3,2025-06-16,short
31,MSFT250620C00270000,2025-06-13 15:59:00,270,205.20,207.55,209.55,0.00,0.00%,1.0,430.0,2.8651999999999997,"Jun 20, 2025",2025-06-20,call,6,2025-06-13,short
32,MSFT250620C00275000,2025-06-16 10:26:00,275,205.45,203.10,204.80,0.00,0.00%,1.0,127.0,2.9297000000000004,"Jun 20, 2025",2025-06-20,call,3,2025-06-16,short
34,MSFT250620C00285000,2025-06-16 13:04:00,285,194.93,193.05,195.05,0.00,0.00%,2.0,109.0,2.7958999999999996,"Jun 20, 2025",2025-06-20,call,3,2025-06-16,short
35,MSFT250620C00290000,2025-06-13 12:43:00,290,186.25,187.45,190.00,0.00,0.00%,1.0,356.0,2.6094,"Jun 20, 2025",2025-06-20,call,6,2025-06-13,short
36,MSFT250620C00295000,2025-02-06 15:57:00,295,166.96,181.75,185.20,0.00,0.00%,3.0,68.0,2.4434,"Jun 20, 2025",2025-06-20,call,133,2025-02-06,long
37,MSFT250620C00300000,2025-06-16 12:27:00,300,179.49,178.05,179.60,0.00,0.00%,17.0,953.0,2.4873,"Jun 20, 2025",2025-06-20,call,3,2025-06-16,short
38,MSFT250620C00305000,2025-05-28 11:59:00,305,154.68,172.75,174.70,0.00,0.00%,1.0,462.0,2.3799,"Jun 20, 2025",2025-06-20,call,22,2025-05-28,medium
39,MSFT250620C00310000,2025-06-16 11:59:00,310,170.30,168.15,170.00,0.00,0.00%,20.0,499.0,2.4067,"Jun 20, 2025",2025-06-20,call,3,2025-06-16,short
41,MSFT250620C00320000,2025-06-16 10:44:00,320,159.88,158.05,159.85,0.00,0.00%,8.0,1.425,2.2227,"Jun 20, 2025",2025-06-20,call,3,2025-06-16,short
42,MSFT250620C00325000,2025-06-16 10:18:00,325,155.48,152.95,154.60,0.00,0.00%,1.0,488.0,2.1021,"Jun 20, 2025",2025-06-20,call,3,2025-06-16,short
43,MSFT250620C00330000,2025-06-16 12:38:00,330,150.25,147.55,149.75,0.00,0.00%,17.0,405.0,1.9956,"Jun 20, 2025",2025-06-20,call,3,2025-06-16,short
44,MSFT250620C00335000,2025-06-13 09:37:00,335,143.20,142.80,145.10,0.00,0.00%,1.0,325.0,2.0059,"Jun 20, 2025",2025-06-20,call,6,2025-06-13,short
45,MSFT250620C00340000,2025-06-17 11:39:00,340,137.62,138.00,139.95,-0.08,-0.06%,1.0,1.082,1.9413999999999998,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
46,MSFT250620C00345000,2025-06-16 10:04:00,345,135.80,132.65,134.90,0.00,0.00%,2.0,461.0,1.8228,"Jun 20, 2025",2025-06-20,call,3,2025-06-16,short
47,MSFT250620C00350000,2025-06-17 11:46:00,350,127.92,128.15,129.60,-1.48,-1.14%,6.0,4.173,1.7788,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
48,MSFT250620C00355000,2025-06-13 14:53:00,355,119.15,123.10,124.75,0.00,0.00%,6.0,2.35,1.7224000000000002,"Jun 20, 2025",2025-06-20,call,6,2025-06-13,short
49,MSFT250620C00360000,2025-06-17 12:38:00,360,119.75,117.45,119.60,0.75,0.63%,1.0,1.638,1.5605000000000002,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
50,MSFT250620C00365000,2025-06-16 15:58:00,365,113.65,113.10,114.90,0.00,0.00%,1.0,1.378,1.6035,"Jun 20, 2025",2025-06-20,call,3,2025-06-16,short
51,MSFT250620C00370000,2025-06-16 13:44:00,370,109.94,108.25,109.80,0.00,0.00%,3.0,1.165,1.5419999999999998,"Jun 20, 2025",2025-06-20,call,3,2025-06-16,short
52,MSFT250620C00375000,2025-06-16 15:54:00,375,102.90,103.20,104.75,-0.72,-0.69%,2.0,3.391,1.4658000000000002,"Jun 20, 2025",2025-06-20,call,3,2025-06-16,short
53,MSFT250620C00380000,2025-06-17 11:08:00,380,96.59,97.65,99.75,-1.83,-1.86%,2.0,4.573,1.3457,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
54,MSFT250620C00385000,2025-06-17 11:07:00,385,91.85,93.25,94.50,-2.13,-2.27%,9.0,2.361,1.3163999999999998,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
55,MSFT250620C00390000,2025-06-17 12:21:00,390,88.09,87.60,89.85,-0.51,-0.58%,94.0,2.983,1.2246,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
56,MSFT250620C00395000,2025-06-17 11:09:00,395,82.95,82.65,85.30,-1.20,-1.43%,20.0,3.859,1.2061,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
57,MSFT250620C00400000,2025-06-17 12:32:00,400,78.25,78.15,79.30,-0.30,-0.38%,24.0,9.699,1.0996,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
58,MSFT250620C00405000,2025-06-17 11:17:00,405,72.55,73.25,74.75,-1.28,-1.73%,10.0,2.695,1.0825,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
