,date,ticker,MarketCap,EnterpriseValue,PeRatio,ForwardPeRatio,PegRatio,PsRatio,PbRatio
159,2014-01-31,MSFT,314099385754.0,253131385754.0,14.015,12.469,1.123,3.829,3.691
158,2014-02-28,MSFT,318000725904.0,257032725904.0,14.189,12.707,1.145,3.876,3.737
157,2014-03-31,MSFT,338577400000.0,277609400000.0,15.181,13.624,1.227,4.147,3.979
156,2014-04-30,MSFT,333720643466.0,267974643466.0,15.131,13.405,1.154,4.083,3.817
155,2014-05-31,MSFT,338181265928.0,272435265928.0,15.333,13.569,1.598,4.138,3.868
154,2014-06-30,MSFT,343566300000.0,277820300000.0,15.618,13.812,1.627,4.215,3.93
153,2014-07-31,MSFT,355631873733.0,292567873733.0,16.411,14.728,1.561,4.175,3.961
152,2014-08-31,MSFT,374336330484.0,311272330484.0,17.274,15.456,1.657,4.394,4.169
151,2014-09-30,MSFT,382701800000.0,319637800000.0,17.627,16.208,1.737,4.484,4.262
150,2014-10-31,MSFT,387001940227.0,321528940227.0,18.412,16.313,1.748,4.299,4.292
149,2014-11-30,MSFT,394090793658.0,328617793658.0,18.749,16.529,1.772,4.378,4.371
148,2014-12-31,MSFT,381726100000.0,316253100000.0,18.216,16.077,1.757,4.253,4.233
147,2015-01-31,MSFT,331432927776.0,269491927776.0,16.29,13.158,1.489,3.609,3.607
146,2015-02-28,MSFT,359735987202.0,297794987202.0,17.681,14.286,1.616,3.917,3.915
145,2015-03-31,MSFT,329834015000.0,267893015000.0,16.393,13.55,1.753,3.632,3.59
144,2015-04-30,MSFT,393476941473.0,329906941473.0,20.183,16.722,2.242,4.265,4.366
143,2015-05-31,MSFT,379077497480.0,315507497480.0,19.444,16.234,2.154,4.109,4.206
142,2015-06-30,MSFT,354392050000.0,290822050000.0,18.32,15.291,2.029,3.871,3.932
141,2015-07-31,MSFT,373505711252.0,312271711252.0,31.554,16.584,1.154,4.119,4.664
140,2015-08-31,MSFT,348072131770.0,286838131770.0,29.405,15.456,1.076,3.839,4.346
139,2015-09-30,MSFT,353460360000.0,292226360000.0,29.905,15.723,1.094,3.904,4.414
138,2015-10-31,MSFT,420483748321.0,359695748321.0,34.861,18.519,1.288,4.746,5.429
137,2015-11-30,MSFT,434143079811.0,373355079811.0,35.993,19.011,1.323,4.9,5.606
136,2015-12-31,MSFT,439679000000.0,378891000000.0,36.742,19.493,1.355,5.002,5.677
135,2016-01-31,MSFT,435723489819.0,377512489819.0,38.524,16.949,1.18,5.077,5.675
134,2016-02-29,MSFT,402425325141.0,344214325141.0,35.58,16.026,1.115,4.689,5.241
133,2016-03-31,MSFT,434660100000.0,376449100000.0,38.622,17.422,1.211,5.089,5.661
132,2016-04-30,MSFT,392001482108.0,332843482108.0,37.78,16.611,2.012,4.629,5.24
131,2016-05-31,MSFT,416604743368.0,357446743368.0,40.152,17.986,2.177,4.92,5.569
130,2016-06-30,MSFT,399535360000.0,340377360000.0,38.765,17.825,2.028,4.75,5.341
129,2016-07-31,MSFT,441679782677.0,382126782677.0,26.99,19.418,2.39,5.323,6.135
128,2016-08-31,MSFT,447757944824.0,388204944824.0,27.362,19.57,2.408,5.396,6.219
127,2016-09-30,MSFT,448358400000.0,388805400000.0,27.429,19.531,2.322,5.41,6.227
126,2016-10-31,MSFT,465899002019.0,403657002019.0,28.67,20.367,2.704,5.586,6.621
125,2016-11-30,MSFT,468542621190.0,406300621190.0,28.833,20.45,2.719,5.618,6.658
124,2016-12-31,MSFT,483160280132.0,420918280132.0,29.732,21.097,2.583,5.793,6.826
123,2017-01-31,MSFT,499584802863.0,461773802863.0,30.352,22.272,2.513,5.965,7.26
122,2017-02-28,MSFT,494407357883.0,456596357883.0,30.038,21.598,2.437,5.903,7.185
121,2017-03-31,MSFT,508636780000.0,470825780000.0,30.92,20.121,2.267,6.076,7.392
120,2017-04-30,MSFT,528546438484.0,486536438484.0,30.159,20.921,2.351,6.169,7.58
119,2017-05-31,MSFT,539200748813.0,497190748813.0,30.767,20.534,2.105,6.294,7.733
118,2017-06-30,MSFT,531312440000.0,489302440000.0,30.366,20.325,1.904,6.212,7.62
117,2017-07-31,MSFT,559953137273.0,513166137273.0,26.827,22.173,2.771,6.33,7.735
116,2017-08-31,MSFT,575896782309.0,529109782309.0,27.59,23.095,2.341,6.51,7.955
115,2017-09-30,MSFT,574722598583.0,527935598583.0,27.487,22.989,2.332,6.486,7.944
114,2017-10-31,MSFT,641699612420.0,594471612420.0,29.392,24.814,2.438,7.021,7.158
113,2017-11-30,MSFT,649337056713.0,602109056713.0,29.742,24.814,2.733,7.105,7.243
112,2017-12-31,MSFT,659906045280.0,612678045280.0,30.226,25.253,2.777,7.22,7.352
111,2018-01-31,MSFT,731557318868.0,683677318868.0,77.244,28.011,2.48,7.753,9.336
110,2018-02-28,MSFT,722009575732.0,674129575732.0,76.236,25.575,2.08,7.651,9.214
109,2018-03-31,MSFT,702760093602.0,654880093602.0,74.203,23.095,1.876,7.447,8.957
108,2018-04-30,MSFT,718532630480.0,669170630480.0,63.189,23.095,1.88,7.349,9.068
107,2018-05-31,MSFT,759407241196.0,710045241196.0,66.784,24.272,2.169,7.768,9.584
106,2018-06-30,MSFT,757640105770.0,708278105770.0,66.628,24.213,2.164,7.749,9.554
105,2018-07-31,MSFT,813444492881.0,761484492881.0,49.803,24.691,2.006,7.492,9.834
