date,ff3_mkt_rf,ff3_smb,ff3_hml,ff3_rf,ff3_mom,ff5_mkt_rf,ff5_smb,ff5_hml,ff5_rmw,ff5_cma,ff5_rf,ff5_mom,vix_open,vix_high,vix_low,vix_close,vxx_open,vxoh,vxol,vxn,vxno,vxnh,vxnl,vxnd,vxdo,vxdh,vxdn,vxdl,riskfree_mktrf,riskfree_smb,riskfree_hml,riskfree_rf,riskfree_umd
2014-01-02,-0.0088,-0.0028,0.0017,0.0,-0.0004,-0.0088,-0.0025,0.0017,-0.0032,0.0011,0.0,-0.0004,14.32,14.59,14.0,14.23,13.11,13.46,12.58,12.59,16.01,16.31,15.63,15.88,12.88,13.67,11.78,13.31,-0.0088,-0.0028,0.0017,0.0,-0.0004
2014-01-03,0.0003,0.0037,0.0003,0.0,0.0024,0.0003,0.0041,0.0003,-0.0035,0.0015,0.0,0.0024,14.06,14.22,13.57,13.76,12.91,13.19,12.09,12.4,15.97,16.16,15.63,15.85,13.31,13.33,12.77,12.89,0.0003,0.0037,0.0003,0.0,0.0024
2014-01-06,-0.0034,-0.0057,0.003,0.0,-0.001,-0.0034,-0.0055,0.003,-0.0032,0.0005,0.0,-0.001,13.41,14.0,13.22,13.55,12.5,12.58,11.39,11.95,15.85,16.49,15.45,15.82,12.89,13.09,12.52,12.68,-0.0034,-0.0057,0.003,0.0,-0.001
2014-01-07,0.0068,0.0039,-0.0038,0.0,0.0051,0.0068,0.0032,-0.0038,-0.0008,-0.003,0.0,0.0051,12.38,13.28,12.16,12.92,11.55,12.07,11.27,11.47,14.91,15.5,14.56,15.1,12.68,12.68,11.95,12.17,0.0068,0.0039,-0.0038,0.0,0.0051
2014-01-08,0.0004,-0.0002,-0.001,0.0,0.0064,0.0004,-0.0001,-0.001,-0.0047,-0.0007,0.0,0.0064,13.04,13.24,12.86,12.87,11.77,12.1,11.58,11.71,15.26,15.32,14.4,14.88,12.17,12.62,11.24,12.29,0.0004,-0.0002,-0.001,0.0,0.0064
2014-01-09,0.0002,0.002,-0.0045,0.0,0.0077,0.0002,0.0018,-0.0045,-0.0053,-0.0042,0.0,0.0077,12.83,13.26,12.83,12.89,11.9,12.42,11.67,11.93,14.81,15.27,14.67,15.1,12.29,12.69,12.22,12.39,0.0002,0.002,-0.0045,0.0,0.0077
2014-01-10,0.0027,0.0055,-0.0081,0.0,-0.0015,0.0027,0.0045,-0.0081,-0.0028,-0.0036,0.0,-0.0015,12.6,12.9,12.14,12.14,11.69,12.15,10.61,11.06,15.1,15.1,14.09,14.09,12.39,12.39,11.65,11.84,0.0027,0.0055,-0.0081,0.0,-0.0015
2014-01-13,-0.0132,-0.0008,0.001,0.0,-0.0053,-0.0132,-0.001,0.001,-0.001,0.0046,0.0,-0.0053,12.18,13.65,11.82,13.28,11.37,13.05,11.18,12.72,13.35,15.22,13.35,15.05,11.84,12.87,11.49,12.65,-0.0132,-0.0008,0.001,0.0,-0.0053
2014-01-14,0.0115,0.0015,-0.003,0.0,0.0056,0.0115,0.001,-0.003,-0.0009,-0.0035,0.0,0.0056,12.89,12.9,11.96,12.28,11.82,12.13,11.32,11.59,14.78,14.78,13.31,13.52,12.65,12.65,11.88,11.93,0.0115,0.0015,-0.003,0.0,0.0056
2014-01-15,0.0053,0.0022,0.0021,0.0,-0.0039,0.0053,0.0023,0.0021,-0.0042,-0.0002,0.0,-0.0039,12.15,12.4,11.81,12.28,11.44,11.9,11.25,11.46,13.52,13.73,13.24,13.63,11.93,11.93,11.38,11.58,0.0053,0.0022,0.0021,0.0,-0.0039
2014-01-16,-0.0007,0.0032,-0.007,0.0,-0.0005,-0.0007,0.0025,-0.007,-0.0002,-0.0027,0.0,-0.0005,12.32,12.66,12.28,12.53,11.52,12.07,11.44,11.9,13.84,14.25,13.47,14.11,11.58,12.11,11.45,11.94,-0.0007,0.0032,-0.007,0.0,-0.0005
2014-01-17,-0.0039,0.0002,0.0003,0.0,-0.0001,-0.0039,0.0,0.0003,-0.0019,0.0002,0.0,-0.0001,12.34,12.93,12.04,12.44,11.64,11.81,10.91,11.24,14.11,14.58,12.74,14.2,11.94,11.95,9.69,11.64,-0.0039,0.0002,0.0003,0.0,-0.0001
2014-01-21,0.003,0.0047,0.0,0.0,-0.0004,0.003,0.0043,0.0,-0.0025,-0.0033,0.0,-0.0004,12.63,13.42,12.61,12.87,11.42,12.18,11.18,11.3,14.18,15.06,14.18,14.34,11.63,13.12,11.19,12.38,0.003,0.0047,0.0,0.0,-0.0004
