Date,Open,High,Low,Close,Adj Close,Volume
2014-01-02,0.398000,0.399500,0.393000,0.396500,0.373932,260092000
2014-01-03,0.397250,0.398000,0.390500,0.391750,0.369452,259332000
2014-01-06,0.395750,0.400000,0.392000,0.397000,0.374403,409492000
2014-01-07,0.401000,0.405000,0.398250,0.403500,0.380533,333288000
2014-01-08,0.405000,0.411000,0.403500,0.409000,0.385720,308192000
2014-01-09,0.402750,0.403500,0.392500,0.393750,0.371338,292172000
2014-01-10,0.395000,0.397750,0.389750,0.393250,0.370867,218492000
2014-01-13,0.393250,0.395750,0.383250,0.384000,0.362143,243332000
2014-01-14,0.386000,0.396750,0.384250,0.396000,0.373460,241828000
2014-01-15,0.397750,0.401750,0.396000,0.400250,0.377468,175044000
2014-01-16,0.400250,0.402250,0.398500,0.401500,0.378647,220652000
2014-01-17,0.401500,0.406250,0.397250,0.399750,0.376997,340400000
2014-01-21,0.400250,0.403750,0.397000,0.401250,0.378411,246076000
2014-01-22,0.402000,0.402500,0.396000,0.400750,0.377940,337940000
2014-01-23,0.399500,0.403750,0.396250,0.399250,0.376525,185028000
2014-01-24,0.396000,0.397500,0.389000,0.389000,0.366859,246696000
2014-01-27,0.389000,0.394500,0.384250,0.386500,0.364501,233812000
2014-01-28,0.385750,0.390500,0.384250,0.390250,0.368038,167996000
2014-01-29,0.388750,0.391000,0.386250,0.386500,0.364501,162944000
2014-01-30,0.388750,0.393750,0.387500,0.393000,0.370631,202896000
2014-01-31,0.387500,0.394750,0.387250,0.392500,0.370159,335348000
2014-02-03,0.395250,0.395750,0.385750,0.387250,0.365208,431728000
2014-02-04,0.387000,0.390250,0.385000,0.389500,0.367330,280692000
2014-02-05,0.386750,0.388000,0.383000,0.386000,0.364029,214676000
2014-02-06,0.386500,0.392000,0.386000,0.391000,0.368745,168380000
2014-02-07,0.392000,0.397250,0.388500,0.396750,0.374168,157248000
2014-02-10,0.396250,0.403250,0.396000,0.398000,0.375346,324372000
2014-02-11,0.400250,0.407250,0.398250,0.406250,0.383127,235384000
2014-02-12,0.407500,0.423750,0.407500,0.420750,0.396802,744528000
2014-02-13,0.431250,0.436500,0.423750,0.434000,0.409297,902836000
2014-02-14,0.430000,0.448750,0.429750,0.447750,0.422265,817536000
2014-02-18,0.448000,0.449500,0.443750,0.447500,0.422029,428988000
2014-02-19,0.447500,0.457500,0.445500,0.453500,0.427688,450340000
2014-02-20,0.454500,0.470500,0.453750,0.469500,0.442777,398088000
2014-02-21,0.468750,0.474750,0.463000,0.466000,0.439476,451052000
2014-02-24,0.465000,0.476250,0.460750,0.472750,0.445842,403112000
2014-02-25,0.470000,0.472000,0.463500,0.468500,0.443829,242184000
2014-02-26,0.467500,0.474500,0.466250,0.467750,0.443118,360884000
2014-02-27,0.467750,0.472500,0.461250,0.462500,0.438145,388848000
2014-02-28,0.460000,0.464500,0.452750,0.459500,0.435303,321692000
2014-03-03,0.449250,0.457250,0.445250,0.457250,0.433171,375948000
2014-03-04,0.459500,0.465000,0.458750,0.462000,0.437671,260344000
2014-03-05,0.461500,0.466250,0.459500,0.466000,0.441460,241472000
2014-03-06,0.466750,0.469250,0.458750,0.459500,0.435303,290144000
2014-03-07,0.461500,0.462250,0.455500,0.459000,0.434829,268452000
2014-03-10,0.457500,0.459500,0.450250,0.452250,0.428434,300888000
2014-03-11,0.454500,0.460750,0.453000,0.456750,0.432698,297220000
2014-03-12,0.454500,0.460750,0.452750,0.458000,0.433882,239428000
2014-03-13,0.459000,0.460750,0.441250,0.443500,0.420145,385172000
2014-03-14,0.439000,0.449500,0.439000,0.445500,0.422040,460048000
2014-03-17,0.446750,0.450000,0.445000,0.445500,0.422040,299656000
2014-03-18,0.447250,0.459000,0.445250,0.456000,0.431987,293904000
2014-03-19,0.459500,0.472750,0.458250,0.464000,0.439566,366168000
2014-03-20,0.461500,0.468250,0.459500,0.464250,0.439803,191800000
2014-03-21,0.468250,0.472000,0.461000,0.463500,0.439092,566116000
2014-03-24,0.463750,0.467500,0.454500,0.461250,0.436961,306096000
2014-03-25,0.466250,0.466750,0.457750,0.461250,0.436961,304424000
2014-03-26,0.465500,0.474250,0.446750,0.450750,0.427013,557756000
2014-03-27,0.449750,0.453500,0.439750,0.444750,0.421329,540728000
2014-03-28,0.444000,0.450250,0.442750,0.447500,0.423935,398820000
2014-03-31,0.448250,0.452250,0.445250,0.447750,0.424171,273404000
2014-04-01,0.462000,0.471750,0.456500,0.466250,0.441697,656272000
2014-04-02,0.466250,0.467250,0.461250,0.463250,0.438855,239948000
2014-04-03,0.464250,0.479500,0.464000,0.468250,0.443592,599548000
2014-04-04,0.470750,0.473500,0.451750,0.453750,0.429855,368032000
2014-04-07,0.454000,0.464000,0.451500,0.455250,0.431276,428576000
2014-04-08,0.455250,0.472750,0.454500,0.471500,0.446671,470692000
2014-04-09,0.473750,0.477750,0.467250,0.471000,0.446197,421968000
2014-04-10,0.469000,0.475500,0.458000,0.459500,0.435303,372748000
2014-04-11,0.456000,0.463000,0.447000,0.453000,0.429145,353112000
2014-04-14,0.456000,0.459750,0.453000,0.458000,0.433882,290184000
2014-04-15,0.458500,0.463750,0.454000,0.461250,0.436961,304636000
2014-04-16,0.463500,0.464000,0.456500,0.462250,0.437908,235136000
2014-04-17,0.460500,0.468250,0.459500,0.464000,0.439566,153532000
2014-04-21,0.464250,0.469000,0.461250,0.467750,0.443118,117004000
2014-04-22,0.468500,0.474750,0.466000,0.471750,0.446908,255120000
2014-04-23,0.472500,0.478500,0.471750,0.477250,0.452118,261580000
2014-04-24,0.480500,0.486500,0.480500,0.481500,0.456144,391492000
2014-04-25,0.480500,0.485000,0.467250,0.468250,0.443592,313600000
2014-04-28,0.472000,0.474500,0.460500,0.466250,0.441697,226788000
2014-04-29,0.468000,0.469000,0.462000,0.467250,0.442645,171300000
2014-04-30,0.466500,0.467000,0.460750,0.461750,0.437434,305740000
2014-05-01,0.468750,0.469750,0.460500,0.464250,0.439803,198104000
2014-05-02,0.466500,0.466500,0.458000,0.460750,0.436487,156376000
2014-05-05,0.460250,0.469250,0.459750,0.465750,0.441224,239260000
2014-05-06,0.470250,0.474250,0.455000,0.456250,0.432224,416188000
2014-05-07,0.456250,0.460500,0.451750,0.456750,0.432698,293900000
2014-05-08,0.455000,0.469750,0.452750,0.462500,0.438145,432728000
2014-05-09,0.448500,0.452750,0.442750,0.451250,0.427487,539532000
2014-05-12,0.452250,0.465500,0.452000,0.464500,0.440039,299856000
2014-05-13,0.458250,0.465750,0.455500,0.457000,0.432934,221104000
2014-05-14,0.457250,0.459000,0.452250,0.452500,0.428671,214320000
2014-05-15,0.451500,0.454000,0.445500,0.450000,0.426303,325896000
2014-05-16,0.446500,0.452250,0.446500,0.449000,0.425356,283960000
2014-05-19,0.453750,0.466000,0.451750,0.463500,0.439092,360076000
2014-05-20,0.461500,0.462750,0.453750,0.456000,0.433977,256200000
2014-05-21,0.457750,0.461750,0.453250,0.456000,0.433977,216712000
2014-05-22,0.455000,0.460500,0.455000,0.458000,0.435880,130364000
2014-05-23,0.460500,0.464500,0.457750,0.462250,0.439925,182656000
2014-05-27,0.465000,0.470500,0.463500,0.470500,0.447776,209680000
2014-05-28,0.472250,0.477500,0.467750,0.474500,0.451583,224676000
2014-05-29,0.474250,0.478250,0.472750,0.473750,0.450869,171884000
2014-05-30,0.473750,0.476250,0.471250,0.475000,0.452059,239128000
2014-06-02,0.476500,0.479500,0.469500,0.473500,0.450631,181500000
2014-06-03,0.474500,0.475000,0.465250,0.471500,0.448728,243212000
2014-06-04,0.470250,0.475500,0.470000,0.472000,0.449204,161236000
2014-06-05,0.472750,0.475500,0.470000,0.474000,0.451107,188696000
2014-06-06,0.476250,0.480000,0.474500,0.475750,0.452773,161052000
2014-06-09,0.475250,0.480750,0.472000,0.476250,0.453249,247456000
2014-06-10,0.474500,0.481000,0.472500,0.478750,0.455628,217608000
2014-06-11,0.477000,0.486250,0.477000,0.485000,0.461576,266228000
2014-06-12,0.485000,0.490250,0.480750,0.488000,0.464431,337148000
