,contract_name,last_trade_date,strike,last_price,bid,ask,change,change,volume,open_interest,implied_volatility,expiry_sheet,expiry_date,option_type,dte,date,dte_bucket
0,NVDA250627C00010000,2025-06-16 11:46:00,10,144.40,143.65,144.65,-0.76,-0.52%,4.0,948.0,,"Jun 20, 2025",2025-06-20,call,3,2025-06-16,short
2,NVDA250627C00020000,2025-04-16 15:51:00,20,102.20,132.90,134.55,0.00,0.00%,46.0,59.0,0.0,"Jun 20, 2025",2025-06-20,call,64,2025-04-16,long
4,NVDA250627C00030000,2025-04-23 13:00:00,30,101.39,128.10,129.55,0.00,0.00%,24.0,182.0,0.0,"Jun 20, 2025",2025-06-20,call,57,2025-04-23,long
8,NVDA250627C00055000,2025-02-05 10:19:00,55,109.47,129.75,131.20,0.00,0.00%,110.0,382.0,0.0,"Jun 20, 2025",2025-06-20,call,134,2025-02-05,long
9,NVDA250627C00060000,2025-06-17 09:55:00,60,139.41,139.00,140.15,-0.59,-0.42%,5.0,351.0,,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
13,NVDA250627C00080000,2025-05-14 11:56:00,80,127.35,134.00,135.55,0.00,0.00%,1.0,37.0,0.0,"Jun 20, 2025",2025-06-20,call,36,2025-05-14,medium
14,NVDA250627C00085000,2025-06-13 11:25:00,85,135.30,136.50,137.85,0.00,0.00%,4.0,40.0,,"Jun 20, 2025",2025-06-20,call,6,2025-06-13,short
15,NVDA250627C00090000,2025-06-16 15:00:00,90,137.03,136.00,137.20,0.00,0.00%,28.0,34.0,,"Jun 20, 2025",2025-06-20,call,3,2025-06-16,short
17,NVDA250627C00100000,2025-06-16 10:31:00,100,135.36,135.00,136.35,0.00,0.00%,6.0,75.0,,"Jun 20, 2025",2025-06-20,call,3,2025-06-16,short
19,NVDA250627C00102000,2025-06-17 09:34:00,102,134.73,134.45,135.25,-0.92,-0.68%,1.0,4.839,,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
20,NVDA250627C00103000,2025-06-13 14:32:00,103,130.80,133.45,134.85,0.00,0.00%,9.0,17.0,,"Jun 20, 2025",2025-06-20,call,6,2025-06-13,short
21,NVDA250627C00104000,2025-06-13 14:44:00,104,130.24,133.00,134.20,0.00,0.00%,8.0,357.0,,"Jun 20, 2025",2025-06-20,call,6,2025-06-13,short
23,NVDA250627C00106000,2025-06-13 14:07:00,106,130.30,132.70,133.15,0.00,0.00%,15.0,2.466,,"Jun 20, 2025",2025-06-20,call,6,2025-06-13,short
24,NVDA250627C00107000,2025-04-04 12:21:00,107,82.45,101.00,101.55,0.00,0.00%,60.0,102.0,0.0,"Jun 20, 2025",2025-06-20,call,76,2025-04-04,long
25,NVDA250627C00108000,2025-05-22 15:18:00,108,120.87,131.05,132.35,0.00,0.00%,10.0,20.0,,"Jun 20, 2025",2025-06-20,call,28,2025-05-22,medium
26,NVDA250627C00109000,2025-04-04 10:21:00,109,82.90,99.90,100.45,0.00,0.00%,10.0,1.192,0.0,"Jun 20, 2025",2025-06-20,call,76,2025-04-04,long
27,NVDA250627C00110000,2025-02-05 13:04:00,110,100.75,120.50,121.50,0.00,0.00%,20.0,1.048,0.0,"Jun 20, 2025",2025-06-20,call,134,2025-02-05,long
28,NVDA250627C00111000,2025-02-06 12:11:00,111,123.05,129.85,130.70,0.00,0.00%,50.0,0.0,,"Jun 20, 2025",2025-06-20,call,133,2025-02-06,long
29,NVDA250627C00112000,2025-06-17 09:55:00,112,129.51,129.60,130.15,-0.46,-0.35%,3.0,9.012,,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
30,NVDA250627C00113000,2025-02-20 14:41:00,113,124.61,101.35,103.95,0.00,0.00%,1.0,1.65,0.0,"Jun 20, 2025",2025-06-20,call,119,2025-02-20,long
31,NVDA250627C00114000,2025-05-29 15:36:00,114,122.76,128.55,129.15,0.00,0.00%,20.0,1.233,,"Jun 20, 2025",2025-06-20,call,21,2025-05-29,medium
33,NVDA250627C00116000,2025-05-15 11:09:00,116,116.78,124.05,125.25,0.00,0.00%,10.0,136.0,0.0,"Jun 20, 2025",2025-06-20,call,35,2025-05-15,medium
34,NVDA250627C00117000,2025-02-06 11:16:00,117,119.03,126.75,127.85,0.00,0.00%,25.0,67.0,9.5781,"Jun 20, 2025",2025-06-20,call,133,2025-02-06,long
37,NVDA250627C00120000,2025-06-17 13:08:00,120,125.70,125.55,126.20,-1.30,-1.02%,2.0,1.041,9.5234,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
38,NVDA250627C00121000,2025-06-13 09:54:00,121,125.40,125.00,125.75,1.90,1.54%,10.0,1.229,9.3906,"Jun 20, 2025",2025-06-20,call,6,2025-06-13,short
39,NVDA250627C00122000,2025-06-17 12:54:00,122,124.55,124.50,125.15,-1.50,-1.19%,3.0,6.07,9.0625,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
40,NVDA250627C00123000,2025-06-16 09:53:00,123,124.30,123.55,124.75,0.75,0.61%,10.0,348.0,7.984400000000001,"Jun 20, 2025",2025-06-20,call,3,2025-06-16,short
41,NVDA250627C00124000,2025-06-16 10:34:00,124,123.31,123.45,124.40,-0.13,-0.11%,10.0,628.0,9.2266,"Jun 20, 2025",2025-06-20,call,3,2025-06-16,short
43,NVDA250627C00126000,2025-06-17 13:12:00,126,122.90,122.65,123.20,0.77,0.63%,74.0,653.0,9.0,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
45,NVDA250627C00128000,2025-06-16 13:02:00,128,122.70,121.40,122.25,0.00,0.00%,2.0,532.0,8.4141,"Jun 20, 2025",2025-06-20,call,3,2025-06-16,short
47,NVDA250627C00130000,2025-06-17 10:01:00,130,120.70,120.45,121.20,0.10,0.08%,2.0,3.214,8.2188,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
48,NVDA250627C00131000,2025-06-17 12:46:00,131,120.43,120.05,120.75,1.63,1.37%,1.0,399.0,8.3906,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
49,NVDA250627C00132000,2025-06-17 09:34:00,132,119.70,119.55,120.35,-0.50,-0.42%,1.0,4.731,8.4609,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
51,NVDA250627C00134000,2025-06-17 13:14:00,134,118.91,118.20,119.15,0.27,0.23%,5.0,1.146,7.1640999999999995,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
52,NVDA250627C00135000,2025-06-16 12:34:00,135,119.50,118.05,118.70,0.00,0.00%,9.0,1.619,7.9375,"Jun 20, 2025",2025-06-20,call,3,2025-06-16,short
54,NVDA250627C00137000,2025-06-16 12:31:00,137,117.21,117.10,117.65,-1.22,-1.03%,1.0,1.582,7.765599999999999,"Jun 20, 2025",2025-06-20,call,3,2025-06-16,short
55,NVDA250627C00138000,2025-06-16 14:49:00,138,116.74,116.55,117.05,-0.31,-0.26%,3.0,1.706,7.421900000000001,"Jun 20, 2025",2025-06-20,call,3,2025-06-16,short
56,NVDA250627C00139000,2025-06-17 10:28:00,139,115.94,116.00,116.75,0.94,0.82%,10.0,638.0,7.6015999999999995,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
58,NVDA250627C00141000,2025-06-17 12:55:00,141,114.91,115.05,115.80,0.92,0.81%,50.0,1.563,7.5938,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
59,NVDA250627C00142000,2025-06-16 11:20:00,142,116.00,114.65,115.25,0.00,0.00%,27.0,15.06,7.5859000000000005,"Jun 20, 2025",2025-06-20,call,3,2025-06-16,short
60,NVDA250627C00143000,2025-06-13 09:31:00,143,112.89,114.05,114.85,0.00,0.00%,40.0,1.367,7.5078,"Jun 20, 2025",2025-06-20,call,6,2025-06-13,short
61,NVDA250627C00144000,2025-06-16 11:12:00,144,114.75,113.55,114.10,0.00,0.00%,10.0,736.0,7.050800000000001,"Jun 20, 2025",2025-06-20,call,3,2025-06-16,short
63,NVDA250627C00146000,2025-06-13 14:58:00,146,109.30,112.50,113.15,0.00,0.00%,601.0,2.036,6.9063,"Jun 20, 2025",2025-06-20,call,6,2025-06-13,short
64,NVDA250627C00147000,2025-06-16 15:15:00,147,112.44,111.60,112.70,0.00,0.00%,10.0,793.0,6.109400000000001,"Jun 20, 2025",2025-06-20,call,3,2025-06-16,short
67,NVDA250627C00150000,2025-06-16 12:14:00,150,112.02,110.55,111.15,0.00,0.00%,10.0,1.877,6.7148,"Jun 20, 2025",2025-06-20,call,3,2025-06-16,short
69,NVDA250627C00155000,2025-06-16 15:19:00,155,110.03,109.50,110.15,0.00,0.00%,16.0,1.453,6.5078,"Jun 20, 2025",2025-06-20,call,3,2025-06-16,short
71,NVDA250627C00160000,2025-06-13 14:31:00,160,105.48,108.55,109.20,0.00,0.00%,2.0,2.528,6.5273,"Jun 20, 2025",2025-06-20,call,6,2025-06-13,short
73,NVDA250627C00165000,2025-06-16 14:36:00,165,108.15,107.60,108.15,0.00,0.00%,68.0,1.731,6.4063,"Jun 20, 2025",2025-06-20,call,3,2025-06-16,short
74,NVDA250627C00167500,2025-06-16 13:57:00,167.5,107.57,107.10,107.75,0.00,0.00%,45.0,2.201,6.4727,"Jun 20, 2025",2025-06-20,call,3,2025-06-16,short
75,NVDA250627C00170000,2025-06-17 10:15:00,170,106.88,106.60,107.15,0.33,0.31%,20.0,2.367,6.2813,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
76,NVDA250627C00175000,2025-06-16 15:34:00,175,106.21,106.05,106.65,0.00,0.00%,135.0,2.685,6.1563,"Jun 20, 2025",2025-06-20,call,3,2025-06-16,short
77,NVDA250627C00180000,2025-06-16 15:40:00,180,105.57,105.60,106.20,0.00,0.00%,20.0,1.25,6.230499999999999,"Jun 20, 2025",2025-06-20,call,3,2025-06-16,short
78,NVDA250627C00185000,2025-06-17 10:04:00,185,105.32,104.95,105.70,0.17,0.16%,25.0,1.417,5.9688,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
79,NVDA250627C00190000,2025-06-17 12:45:00,190,104.87,104.60,105.25,0.77,0.74%,10.0,11.828,6.175800000000001,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
80,NVDA250627C00195000,2025-06-17 12:11:00,195,104.40,104.00,104.60,-0.20,-0.19%,4.0,1.565,5.7890999999999995,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
81,NVDA250627C00200000,2025-06-16 15:40:00,200,103.50,103.40,104.20,0.00,0.00%,10.0,1.832,5.734400000000001,"Jun 20, 2025",2025-06-20,call,3,2025-06-16,short
