,date,ticker,MarketCap,EnterpriseValue,PeRatio,ForwardPeRatio,PegRatio,PsRatio,PbRatio
147,2014-01-31,NVDA,8917548723.0,5901609723.0,20.39,16.584,1.913,2.323,2.064
146,2014-02-28,NVDA,10439779970.0,7141844970.0,24.838,21.008,1.975,2.646,2.343
145,2014-03-31,NVDA,9981346842.0,6683411842.0,24.203,20.576,1.936,2.578,2.24
144,2014-04-30,NVDA,10293438089.0,6995503089.0,24.959,20.704,1.946,2.659,2.31
143,2014-05-31,NVDA,10601359054.0,7633501054.0,22.353,20.576,1.905,2.586,2.544
142,2014-06-30,NVDA,10344694571.0,7376836571.0,21.812,19.724,1.825,2.523,2.483
141,2014-07-31,NVDA,9764409655.0,6796551655.0,20.588,17.361,1.607,2.382,2.343
140,2014-08-31,NVDA,10540248792.0,7540285792.0,21.374,17.699,1.568,2.547,2.448
139,2014-09-30,NVDA,9998333687.0,6998370687.0,20.275,16.779,1.487,2.417,2.323
138,2014-10-31,NVDA,10589021151.0,7589058151.0,21.473,17.391,1.542,2.559,2.46
137,2014-11-30,NVDA,11397968813.0,8549407813.0,20.559,18.382,1.6,2.606,2.711
136,2014-12-31,NVDA,10897914865.0,8049353865.0,19.657,17.575,1.431,2.492,2.592
135,2015-01-31,NVDA,10465054165.0,7616493165.0,18.828,14.025,1.144,2.387,2.489
134,2015-02-28,NVDA,12020780780.0,8795869780.0,19.696,15.456,1.268,2.653,2.721
133,2015-03-31,NVDA,11575115353.0,8350204353.0,18.683,14.663,1.202,2.517,2.62
132,2015-04-30,NVDA,12277643262.0,9052732262.0,19.817,15.456,1.692,2.67,2.779
131,2015-05-31,NVDA,11905940000.0,8517940000.0,19.759,21.552,2.295,2.632,2.613
130,2015-06-30,NVDA,10819180000.0,7431180000.0,17.955,19.608,2.085,2.392,2.375
129,2015-07-31,NVDA,10733100000.0,7345100000.0,17.813,19.57,2.081,2.373,2.356
