,contract_name,last_trade_date,strike,last_price,bid,ask,change,change,volume,open_interest,implied_volatility,expiry_sheet,expiry_date,option_type,dte,date,dte_bucket
3,SPY250617C00510000,2025-06-13 12:40:00,510,91.03,88.25,88.66,0.00,0.00%,,1.0,1.8730000000000002,"Jun 17, 2025",2025-06-17,call,3,2025-06-13,short
4,SPY250617C00520000,2025-06-16 15:49:00,520,80.55,78.27,78.48,-1.74,-2.11%,1.0,39.0,1.6611000000000002,"Jun 17, 2025",2025-06-17,call,0,2025-06-16,short
7,SPY250617C00535000,2025-06-16 15:51:00,535,67.11,63.21,63.54,0.00,0.00%,4.0,3.0,1.3828,"Jun 17, 2025",2025-06-17,call,0,2025-06-16,short
9,SPY250617C00545000,2025-06-13 12:03:00,545,55.08,53.34,53.47,-1.27,-2.25%,1.0,17.0,1.2041,"Jun 17, 2025",2025-06-17,call,3,2025-06-13,short
14,SPY250617C00556000,2025-06-13 14:38:00,556,40.15,42.47,42.69,0.00,0.00%,,1.0,1.033,"Jun 17, 2025",2025-06-17,call,3,2025-06-13,short
16,SPY250617C00558000,2025-06-13 14:38:00,558,38.18,40.29,40.47,0.00,0.00%,,3.0,0.9536,"Jun 17, 2025",2025-06-17,call,3,2025-06-13,short
19,SPY250617C00561000,2025-06-16 15:48:00,561,37.63,37.48,37.70,-3.82,-9.22%,9.0,3.0,0.937,"Jun 17, 2025",2025-06-17,call,0,2025-06-16,short
27,SPY250617C00569000,2025-06-13 15:47:00,569,26.94,29.28,29.47,0.00,0.00%,,1.0,0.7406999999999999,"Jun 17, 2025",2025-06-17,call,3,2025-06-13,short
36,SPY250617C00578000,2025-06-16 14:08:00,578,22.90,20.29,20.55,-1.85,-7.47%,1.0,8.0,0.5669,"Jun 17, 2025",2025-06-17,call,0,2025-06-16,short
75,SPY250617C00617000,2025-06-16 15:58:00,617,0.01,0.00,0.01,0.00,0.00%,4.0,1.685,0.23440000000000003,"Jun 17, 2025",2025-06-17,call,0,2025-06-16,short
