,contract_name,last_trade_date,strike,last_price,bid,ask,change,change,volume,open_interest,implied_volatility,expiry_sheet,expiry_date,option_type,dte,date,dte_bucket
0,TSLA250620C00005000,2025-06-17 15:34:00,5,313.00,0.00,0.00,0.00,0.00%,17.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
1,TSLA250620C00010000,2025-06-13 09:41:00,10,307.00,0.00,0.00,0.00,0.00%,50.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,6,2025-06-13,short
2,TSLA250620C00015000,2025-06-17 10:09:00,15,308.09,0.00,0.00,0.00,0.00%,2.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
4,TSLA250620C00025000,2025-06-17 10:23:00,25,297.77,0.00,0.00,0.00,0.00%,1.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
7,TSLA250620C00040000,2025-06-16 12:33:00,40,291.45,0.00,0.00,0.00,0.00%,3.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,3,2025-06-16,short
8,TSLA250620C00045000,2025-06-17 12:51:00,45,274.45,0.00,0.00,0.00,0.00%,2.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
9,TSLA250620C00050000,2025-06-17 14:40:00,50,266.48,0.00,0.00,0.00,0.00%,12.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
12,TSLA250620C00065000,2025-06-16 15:26:00,65,264.49,0.00,0.00,0.00,0.00%,4.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,3,2025-06-16,short
13,TSLA250620C00070000,2025-06-16 09:43:00,70,258.33,0.00,0.00,0.00,0.00%,1.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,3,2025-06-16,short
14,TSLA250620C00075000,2025-06-16 15:26:00,75,254.47,0.00,0.00,0.00,0.00%,4.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,3,2025-06-16,short
15,TSLA250620C00080000,2025-06-17 13:10:00,80,239.35,0.00,0.00,0.00,0.00%,10.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
17,TSLA250620C00090000,2025-06-16 12:26:00,90,241.10,0.00,0.00,0.00,0.00%,6.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,3,2025-06-16,short
18,TSLA250620C00095000,2025-06-13 14:48:00,95,229.72,0.00,0.00,0.00,0.00%,2.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,6,2025-06-13,short
