,date,ticker,MarketCap,EnterpriseValue,PeRatio,ForwardPeRatio,PegRatio,PsRatio,PbRatio
155,2014-01-31,TSLA,22348249472.0,22230035472.0,,58.48,2.438,12.469,39.613
154,2014-02-28,TSLA,30158618341.0,29919607341.0,,71.429,2.973,14.52,45.207
153,2014-03-31,TSLA,25856295588.0,25617284588.0,,60.606,2.518,12.363,38.758
152,2014-04-30,TSLA,25797103362.0,25558092362.0,,60.241,2.512,12.33,38.669
151,2014-05-31,TSLA,25782212543.0,25399946543.0,,66.667,2.777,12.193,28.268
150,2014-06-30,TSLA,29908646412.0,29526380412.0,,70.922,2.946,14.088,32.793
149,2014-07-31,TSLA,27829837466.0,27605545466.0,,65.79,2.74,11.284,29.223
148,2014-08-31,TSLA,33612660835.0,33407581835.0,,68.966,2.869,13.629,35.295
147,2014-09-30,TSLA,30423862378.0,30218783378.0,,64.935,2.705,12.263,31.947
146,2014-10-31,TSLA,30304780576.0,30099701576.0,,64.516,2.694,12.214,31.822
145,2014-11-30,TSLA,30658357246.0,30776978246.0,,68.027,2.844,10.602,31.999
144,2014-12-31,TSLA,27954180672.0,28072801672.0,,65.36,2.731,9.643,29.177
143,2015-01-31,TSLA,25589996785.0,25708617785.0,,28.249,1.176,8.828,26.725
142,2015-02-28,TSLA,25572614868.0,26158063868.0,,51.814,0.661,7.918,28.049
141,2015-03-31,TSLA,23853411937.0,24438860937.0,,48.544,0.315,7.35,26.163
140,2015-04-30,TSLA,28573577407.0,29159026407.0,,58.14,0.377,8.802,31.341
139,2015-05-31,TSLA,31702071284.0,32776541284.0,,65.79,0.411,8.923,38.38
138,2015-06-30,TSLA,34096100042.0,35170570042.0,,72.993,0.458,9.545,41.279
137,2015-07-31,TSLA,33838882424.0,34913352424.0,,88.496,0.555,9.469,40.967
136,2015-08-31,TSLA,31666023131.0,33203241131.0,,94.34,0.6,8.458,44.23
135,2015-09-30,TSLA,32515808400.0,34053026400.0,,106.383,1.105,8.436,45.417
134,2015-10-31,TSLA,27097756440.0,28634974440.0,,97.087,1.014,7.027,37.85
133,2015-11-30,TSLA,30152850712.0,31406198712.0,,136.986,1.474,7.707,22.936
132,2015-12-31,TSLA,31543314249.0,32796662249.0,,156.25,1.666,8.033,23.994
131,2016-01-31,TSLA,25128459999.0,26381807999.0,,76.336,0.816,6.4,19.206
130,2016-02-29,TSLA,25345572952.0,26841622952.0,,85.47,0.87,6.081,23.275
129,2016-03-31,TSLA,30756552660.0,32252602660.0,,90.909,2.591,7.28,28.244
128,2016-04-30,TSLA,32248507192.0,33744557192.0,,95.238,2.717,7.629,29.614
127,2016-05-31,TSLA,29900457969.0,31620908969.0,,86.957,2.492,6.817,30.814
126,2016-06-30,TSLA,31420624200.0,33141075200.0,,833.333,23.785,6.483,32.38
125,2016-07-31,TSLA,34911536727.0,36631987727.0,,,,7.17,35.978
124,2016-08-31,TSLA,31524319186.0,31561992186.0,,,,6.182,12.508
123,2016-09-30,TSLA,30568794750.0,30606467750.0,,128.205,3.655,5.949,12.129
122,2016-10-31,TSLA,29637984998.0,29269188998.0,,370.37,10.761,4.609,11.057
121,2016-11-30,TSLA,30510199590.0,30141403590.0,,,,4.415,11.382
120,2016-12-31,TSLA,34423044089.0,34054248089.0,,384.615,11.001,4.981,12.88
119,2017-01-31,TSLA,40729630926.0,40360834926.0,,454.546,12.969,5.872,15.195
118,2017-02-28,TSLA,40415990295.0,44151205295.0,,,,5.15,8.503
117,2017-03-31,TSLA,45686841199.0,50881740199.0,,,,5.733,9.612
116,2017-04-30,TSLA,51568389165.0,56763288165.0,,,,6.47,10.854
115,2017-05-31,TSLA,56014212573.0,61664245573.0,,,,6.046,11.23
114,2017-06-30,TSLA,60339329429.0,65989362429.0,,,,6.411,12.098
113,2017-07-31,TSLA,53982945329.0,59632978329.0,,,,5.735,10.823
112,2017-08-31,TSLA,59395091485.0,65904573485.0,,,,5.581,11.633
111,2017-09-30,TSLA,56925163545.0,63434645545.0,,,,5.349,11.225
110,2017-10-31,TSLA,55719383464.0,62228865464.0,,,,5.199,10.913
109,2017-11-30,TSLA,51907614945.0,60080233945.0,,,,4.665,11.017
108,2017-12-31,TSLA,52327783433.0,60500402433.0,,,,4.703,11.155
107,2018-01-31,TSLA,59806465069.0,67979084069.0,,,,5.352,12.694
106,2018-02-28,TSLA,57949674959.0,66697708959.0,,,,4.836,13.676
105,2018-03-31,TSLA,44954663898.0,53702697898.0,,,,3.752,10.662
104,2018-04-30,TSLA,49902364021.0,58650398021.0,,,,4.143,11.777
103,2018-05-31,TSLA,48345355930.0,58162724930.0,,,,3.824,10.862
102,2018-06-30,TSLA,58230744270.0,68048113270.0,,,,4.606,13.139
101,2018-07-31,TSLA,50860639952.0,60678008952.0,,,,4.005,11.428
100,2018-08-31,TSLA,51461127819.0,62545650819.0,,,,3.719,13.173
99,2018-09-30,TSLA,45167946736.0,56252469736.0,,74.627,2.131,3.264,11.629
98,2018-10-31,TSLA,57928899663.0,66740546663.0,,62.893,1.795,3.265,12.848
97,2018-11-30,TSLA,60188902981.0,70676584981.0,,59.88,1.707,3.392,13.349
96,2018-12-31,TSLA,57442278399.0,67929960399.0,,61.35,1.758,3.221,12.74
95,2019-01-31,TSLA,52992573060.0,61278326060.0,,52.356,1.496,2.439,10.764
94,2019-02-28,TSLA,55250149261.0,65391802261.0,,51.546,1.473,2.542,11.283
93,2019-03-31,TSLA,48337835351.0,58479488351.0,,51.546,1.471,2.224,9.873
92,2019-04-30,TSLA,41470055021.0,51811999021.0,,500.0,14.208,1.812,9.004
91,2019-05-31,TSLA,32993404694.0,43335348694.0,,,,1.405,7.164
90,2019-06-30,TSLA,39818028801.0,50159972801.0,,,,1.696,8.691
89,2019-07-31,TSLA,43278932214.0,52425024214.0,,,,1.677,7.572
88,2019-08-31,TSLA,40412896390.0,49558988390.0,,,,1.566,7.071
87,2019-09-30,TSLA,43356600000.0,52502692000.0,,43.29,1.238,1.672,7.586
86,2019-10-31,TSLA,56762710681.0,65837710681.0,,71.942,2.054,2.257,9.398
85,2019-11-30,TSLA,59469988448.0,68544988448.0,,75.188,,2.365,9.846
84,2019-12-31,TSLA,75717729999.0,84792729999.0,,95.238,,2.998,12.54
83,2020-01-31,TSLA,117793561289.0,124944561289.0,,81.301,2.324,4.685,17.799
82,2020-02-29,TSLA,123170065557.0,131599065557.0,,70.423,0.694,4.811,18.611
81,2020-03-31,TSLA,96939999999.0,105368999999.0,,91.743,1.049,3.774,14.648
80,2020-04-30,TSLA,144937959577.0,152057959577.0,,222.222,2.111,5.514,15.8
79,2020-05-07,TSLA,144596876744.0,151629876744.0,,,,,
78,2020-05-31,TSLA,154872034984.0,161992034984.0,,243.902,2.348,5.888,16.883
77,2020-06-04,TSLA,160321304910.0,167354304910.0,,,,,
76,2020-06-30,TSLA,200844659999.0,207964659999.0,,370.37,3.473,7.615,21.933
75,2020-07-14,TSLA,281329224748.0,288362224748.0,,,,,
74,2020-07-20,TSLA,304736231713.0,311769231713.0,,,,,
73,2020-07-31,TSLA,266638903091.0,273500903091.0,691.188,217.391,2.075,10.63,27.056
72,2020-08-12,TSLA,289747757115.0,296609757115.0,,,,,
71,2020-08-14,TSLA,307629164725.0,314491164725.0,,,,,
70,2020-08-27,TSLA,417217314082.0,424079314082.0,,,,,
69,2020-08-31,TSLA,465201720073.0,472063720073.0,1203.671,370.37,3.391,18.512,47.205
68,2020-09-10,TSLA,346660793730.0,353522793730.0,,,,,
67,2020-09-24,TSLA,362017528951.0,368879528951.0,,,,,
66,2020-09-30,TSLA,406701479999.0,413563479999.0,1036.256,114.943,1.01,15.937,41.262
65,2020-10-16,TSLA,410449591155.0,417311591155.0,,,,,
64,2020-10-26,TSLA,398383720065.0,399015720065.0,,,,,
63,2020-10-31,TSLA,367823400433.0,368455400433.0,737.72,96.154,0.77,14.016,22.945
62,2020-11-20,TSLA,464101677884.0,464733677884.0,,,,,
61,2020-11-27,TSLA,555242333362.0,555874333362.0,,,,,
60,2020-11-30,TSLA,538028456050.0,538660456050.0,1079.09,140.845,1.127,20.502,33.562
59,2020-12-31,TSLA,677443199999.0,678075199999.0,1341.58,175.439,1.422,25.49,42.258
58,2021-01-08,TSLA,834171603054.0,834803603054.0,,,,,
57,2021-01-22,TSLA,802530676587.0,803162676587.0,,,,,
56,2021-01-31,TSLA,761788800000.0,754143800000.0,1508.612,196.078,1.579,28.663,34.276
55,2021-02-12,TSLA,783355641684.0,777250641684.0,,,,,
54,2021-02-28,TSLA,648381041951.0,642276041951.0,1055.47,163.934,4.362,23.198,29.174
53,2021-03-01,TSLA,689587552878.0,683482552878.0,,,,,
52,2021-03-31,TSLA,643216589999.0,637111589999.0,1043.642,163.934,4.314,22.938,28.941
51,2021-04-30,TSLA,683425153029.0,678795153029.0,702.415,158.73,4.221,22.064,29.692
50,2021-05-31,TSLA,602293462698.0,597663462698.0,619.029,140.845,3.72,19.445,26.167
49,2021-06-30,TSLA,668824799999.0,664194799999.0,672.97,169.492,4.11,21.139,29.058
48,2021-07-31,TSLA,680338416577.0,675242416577.0,356.062,144.928,3.317,18.681,27.429
47,2021-08-31,TSLA,737020262234.0,731924262234.0,381.202,149.254,3.442,20.0,29.714
46,2021-09-30,TSLA,778581919999.0,773485919999.0,401.803,104.167,2.401,21.081,31.389
45,2021-10-31,TSLA,1118751045127.0,1112782045127.0,361.688,135.135,2.954,27.019,41.354
44,2021-11-30,TSLA,1149642231975.0,1143673231975.0,371.675,138.889,3.036,27.765,42.496
43,2021-12-31,TSLA,1091653740000.0,1085684740000.0,343.11,121.951,2.67,25.631,40.352
42,2022-01-31,TSLA,968107249375.0,957234249375.0,304.13,93.458,2.726,22.719,32.068
41,2022-02-28,TSLA,899596029842.0,890762029842.0,177.639,87.719,2.572,18.258,29.799
40,2022-03-31,TSLA,1116393600000.0,1107559600000.0,219.918,107.527,3.147,22.604,36.98
39,2022-04-30,TSLA,902116002292.0,891128002292.0,118.149,72.993,2.029,15.892,26.467
38,2022-05-31,TSLA,785564885730.0,774576885730.0,102.885,63.694,1.767,13.839,23.047
37,2022-06-30,TSLA,701030219999.0,690042219999.0,91.373,59.172,1.639,12.29,20.567
36,2022-07-31,TSLA,931110623871.0,918860623871.0,107.274,75.758,2.117,15.184,25.597
35,2022-08-31,TSLA,863615679102.0,851365679102.0,99.498,70.423,1.963,14.083,23.741
34,2022-09-02,TSLA,846694940859.0,834444940859.0,,,,,
33,2022-09-30,TSLA,837659500000.0,825409500000.0,95.758,45.045,1.256,13.554,23.028
32,2022-10-31,TSLA,718514992245.0,703281992245.0,70.373,41.841,1.859,10.484,18.03
31,2022-11-30,TSLA,614814401820.0,599581401820.0,60.217,35.714,1.591,8.971,15.428
30,2022-12-31,TSLA,388971946667.0,373738946667.0,38.097,24.272,1.078,5.675,9.78
29,2023-01-31,TSLA,548085869867.0,531648869867.0,47.851,42.553,1.497,7.389,12.26
28,2023-02-28,TSLA,650887566622.0,634450566622.0,56.826,51.546,1.809,8.775,14.56
27,2023-03-31,TSLA,657440740000.0,641003740000.0,57.309,54.054,1.887,8.85,14.707
26,2023-04-30,TSLA,520781251697.0,503953251697.0,48.326,47.847,1.817,6.635,10.837
25,2023-05-31,TSLA,646357012102.0,629529012102.0,59.979,59.172,2.255,8.234,13.451
24,2023-06-30,TSLA,830857980000.0,814029980000.0,76.991,76.336,2.894,10.57,17.29
23,2023-07-31,TSLA,848821340309.0,831557340309.0,76.191,77.519,2.981,9.889,16.601
22,2023-08-31,TSLA,819144492043.0,801880492043.0,73.527,75.188,2.902,9.543,16.021
21,2023-09-30,TSLA,794196895532.0,776932895532.0,71.288,55.866,2.153,9.253,15.557
20,2023-10-31,TSLA,638454572168.0,620564572168.0,64.787,55.249,2.264,7.287,11.941
19,2023-11-30,TSLA,763195447551.0,745305447551.0,77.445,66.225,2.706,8.71,14.274
18,2023-12-31,TSLA,789898387235.0,772008387235.0,80.155,70.922,2.909,9.015,14.802
