date,vw_ret_size1_bm1,vw_ret_size1_bm2,vw_ret_size1_bm3,vw_ret_size1_bm4,vw_ret_size1_bm5,vw_ret_size2_bm1,vw_ret_size2_bm2,vw_ret_size2_bm3,vw_ret_size2_bm4,vw_ret_size2_bm5,vw_ret_size3_bm1,vw_ret_size3_bm2,vw_ret_size3_bm3,vw_ret_size3_bm4,vw_ret_size3_bm5,vw_ret_size4_bm1,vw_ret_size4_bm2,vw_ret_size4_bm3,vw_ret_size4_bm4,vw_ret_size4_bm5,vw_ret_size5_bm1,vw_ret_size5_bm2,vw_ret_size5_bm3,vw_ret_size5_bm4,vw_ret_size5_bm5,ew_ret_size1_bm1,ew_ret_size1_bm2,ew_ret_size1_bm3,ew_ret_size1_bm4,ew_ret_size1_bm5,ew_ret_size2_bm1,ew_ret_size2_bm2,ew_ret_size2_bm3,ew_ret_size2_bm4,ew_ret_size2_bm5,ew_ret_size3_bm1,ew_ret_size3_bm2,ew_ret_size3_bm3,ew_ret_size3_bm4,ew_ret_size3_bm5,ew_ret_size4_bm1,ew_ret_size4_bm2,ew_ret_size4_bm3,ew_ret_size4_bm4,ew_ret_size4_bm5,ew_ret_size5_bm1,ew_ret_size5_bm2,ew_ret_size5_bm3,ew_ret_size5_bm4,ew_ret_size5_bm5,n_firms_size1_bm1,n_firms_size1_bm2,n_firms_size1_bm3,n_firms_size1_bm4,n_firms_size1_bm5,n_firms_size2_bm1,n_firms_size2_bm2,n_firms_size2_bm3,n_firms_size2_bm4,n_firms_size2_bm5,n_firms_size3_bm1,n_firms_size3_bm2,n_firms_size3_bm3,n_firms_size3_bm4,n_firms_size3_bm5,n_firms_size4_bm1,n_firms_size4_bm2,n_firms_size4_bm3,n_firms_size4_bm4,n_firms_size4_bm5,n_firms_size5_bm1,n_firms_size5_bm2,n_firms_size5_bm3,n_firms_size5_bm4,n_firms_size5_bm5,avg_mktcap_size1_bm1,avg_mktcap_size1_bm2,avg_mktcap_size1_bm3,avg_mktcap_size1_bm4,avg_mktcap_size1_bm5,avg_mktcap_size2_bm1,avg_mktcap_size2_bm2,avg_mktcap_size2_bm3,avg_mktcap_size2_bm4,avg_mktcap_size2_bm5,avg_mktcap_size3_bm1,avg_mktcap_size3_bm2,avg_mktcap_size3_bm3,avg_mktcap_size3_bm4,avg_mktcap_size3_bm5,avg_mktcap_size4_bm1,avg_mktcap_size4_bm2,avg_mktcap_size4_bm3,avg_mktcap_size4_bm4,avg_mktcap_size4_bm5,avg_mktcap_size5_bm1,avg_mktcap_size5_bm2,avg_mktcap_size5_bm3,avg_mktcap_size5_bm4,avg_mktcap_size5_bm5,index_level_size1_bm1,index_level_size1_bm2,index_level_size1_bm3,index_level_size1_bm4,index_level_size1_bm5,index_level_size2_bm1,index_level_size2_bm2,index_level_size2_bm3,index_level_size2_bm4,index_level_size2_bm5,index_level_size3_bm1,index_level_size3_bm2,index_level_size3_bm3,index_level_size3_bm4,index_level_size3_bm5,index_level_size4_bm1,index_level_size4_bm2,index_level_size4_bm3,index_level_size4_bm4,index_level_size4_bm5,index_level_size5_bm1,index_level_size5_bm2,index_level_size5_bm3,index_level_size5_bm4,index_level_size5_bm5,ps_level,ps_innov,ps_vwf
2014-01-31,0.032675,-0.024428,-0.022921,-0.035959,-0.031751,0.001207,-0.021841,-0.052609,-0.039542,-0.062468,-0.003567,-0.029985,-0.041642,-0.026368,-0.022983,-0.025782,-0.033433,-0.008152,-0.05059,-0.030155,-0.040348,-0.025044,-0.035102,-0.044332,-0.041117,0.057637,0.023294,0.012505,-0.006881,0.013471,0.009805,-0.018735,-0.048941,-0.041109,-0.062473,-0.010563,-0.030849,-0.043165,-0.027919,-0.023839,-0.028967,-0.027232,-0.003427,-0.046273,-0.042458,-0.025893,-0.030513,-0.025246,-0.028099,-0.0449,241,166,205,305,711,135,87,116,121,86,95,96,72,61,59,110,87,61,52,36,111,82,50,43,39,281.56,318.95,316.31,297.74,178.3,1386.69,1243.48,1330.56,1259.17,1257.46,3031.92,2999.81,2806.82,2821.43,2807.33,7130.54,6194.83,6296.19,6762.01,6521.61,44942.76,56413.76,43597.22,42293.29,41880.93,769.4445563,22502.387091,1744475.9205,17818954.541,55307799.106,51458.101617,1878759.8571,3832872.4358,9531871.4031,26674303.116,206048.64336,2573049.8682,4081391.7276,7281961.3037,9209054.6407,374291.60665,742554.61132,1467007.3739,4965669.7671,2982179.916,231084.26545,222216.11944,545702.56673,175982.79019,859689.72203,-0.00669558,0.01904829,0.03016848
2014-02-28,0.046905,0.040771,0.039062,0.058008,0.045225,0.048235,0.031073,0.060029,0.050177,0.040956,0.066358,0.045408,0.045552,0.069644,0.041514,0.059803,0.06279,0.048088,0.054186,0.054396,0.051051,0.051728,0.029857,0.042579,0.024437,0.051802,0.029923,0.048303,0.035439,0.043206,0.03455,0.033654,0.058334,0.04954,0.034371,0.064953,0.046461,0.042304,0.065996,0.043088,0.05375,0.059879,0.045803,0.053487,0.056642,0.056589,0.062372,0.045547,0.048145,0.030548,240,166,203,303,708,134,87,116,121,85,94,96,70,61,59,110,86,61,52,36,111,82,50,43,39,295.95,313.56,312.37,287.13,173.3,1384.17,1217.41,1266.7,1214.19,1185.98,3032.33,2907.77,2686.87,2745.88,2743.64,6949.0,6009.26,6242.19,6435.24,6324.12,43114.16,54913.2,41843.24,40399.66,40017.48,805.53535322,23419.831915,1812618.6389,18852596.456,57809094.32,53940.183149,1937138.5621,4062955.9352,10010152.115,27766775.875,219721.61924,2689886.9166,4267307.2836,7789106.2168,9591359.3351,396675.3676,789179.61536,1537552.8245,5234739.5491,3144398.5747,242881.34829,233710.91487,561995.60826,183475.96141,880697.95976,0.01876574,0.02418616,-0.00845716
2014-03-31,-0.043988,0.007965,0.003538,0.008661,0.013924,-0.041372,0.000844,0.014743,0.011256,0.025457,-0.046875,-0.000161,0.006049,0.013672,0.019169,-0.022403,-0.0047,0.002089,0.019639,0.051469,-0.014272,0.004986,0.022111,0.038415,0.035796,-0.037481,0.01825,-0.00074,-0.000653,0.015385,-0.025745,0.000604,0.018287,0.015775,0.022857,-0.033966,0.003135,0.008793,0.014203,0.021831,-0.019293,-0.002924,-0.000132,0.022512,0.049648,-0.015759,-0.001696,0.016671,0.024896,0.039076,238,165,201,298,700,133,87,114,121,85,94,96,70,61,59,110,86,61,52,36,111,82,49,43,39,312.5,327.4,329.2,304.44,181.9,1463.93,1262.15,1351.18,1274.97,1231.7,3243.0,3036.41,2810.97,2936.63,2852.59,7342.32,6369.05,6541.67,6758.73,6653.38,45637.94,57491.75,43528.33,41981.7,40848.47,770.1014641,23606.370876,1819031.6836,19015878.794,58614028.15,51708.569892,1938773.507,4122856.0946,10122826.387,28473634.688,209422.16834,2689453.8448,4293120.2253,7895598.877,9775216.1022,387788.64934,785470.47117,1540764.7723,5337544.5991,3306237.6249,239414.94568,234876.19749,574421.89316,190524.19047,912223.42393,-0.0010801,0.03051607,0.03065791
2014-04-30,-0.085951,-0.065028,-0.05379,-0.033098,-0.042454,-0.067966,-0.033684,-0.030004,-0.018994,-0.019624,-0.05681,-0.015937,-0.020868,-0.014688,-0.031019,-0.030451,-0.009478,0.001288,0.001195,-0.0055,0.015397,-0.000731,0.014136,0.019249,-0.021791,-0.07686,-0.07105,-0.049618,-0.038204,-0.040071,-0.061748,-0.037904,-0.028006,-0.021781,-0.024592,-0.04956,-0.018198,-0.02011,-0.018209,-0.02598,-0.030173,-0.010475,0.00243,0.001636,-0.000481,0.002797,-0.011272,0.012388,0.016949,-0.006169,237,165,201,294,697,132,87,114,121,85,94,96,70,61,59,110,86,61,52,36,111,82,49,43,39,297.07,330.45,333.0,307.73,186.8,1404.73,1262.94,1368.44,1287.12,1263.99,3095.96,3029.47,2826.55,2978.67,2903.98,7164.64,6368.83,6541.61,6876.89,6977.79,44681.94,57604.71,44399.1,43466.25,42218.68,703.91047316,22071.295791,1721185.9694,18386491.237,56125628.199,48194.14523,1873467.8602,3999153.9203,9930553.4224,27914868.081,197524.89495,2646592.0189,4203531.3925,7779628.3207,9471998.6739,375980.09718,778025.78205,1542749.2773,5343922.9649,3288053.318,243101.2176,234704.50299,582541.92104,194191.59061,892345.1633,-0.00597066,-0.00553123,-0.05041689
2014-05-30,-0.027099,-0.00742,-0.006314,-0.00585,-0.003131,-0.004401,0.002626,0.014659,-0.005564,-0.003647,0.012432,0.004539,0.025202,0.005939,0.017474,0.027405,0.016332,0.033026,0.011566,0.016349,0.031844,0.015127,0.023497,0.018438,0.012388,-0.018585,-0.010424,-0.012204,-0.003228,-0.006854,-0.008859,-0.002797,0.014879,-0.003993,-0.013355,0.009723,0.004601,0.026814,0.006656,0.020447,0.021239,0.011996,0.036901,0.006736,0.01263,0.028851,0.025134,0.018565,0.017183,0.019832,237,165,199,291,694,132,87,114,120,83,94,96,70,61,58,110,86,61,52,36,111,82,49,43,39,271.39,308.77,311.76,299.06,179.67,1315.08,1224.55,1323.66,1284.24,1233.74,2913.06,2978.31,2765.66,2936.27,2840.31,6939.27,6323.13,6540.01,6839.8,6963.64,45138.8,55577.47,44839.84,44260.27,41158.92,684.83520325,21907.526776,1710318.4012,18278930.264,55949898.857,47982.042797,1878387.5868,4057777.5176,9875299.8231,27813062.557,199980.52445,2658604.9001,4309468.7906,7825831.5333,9637512.3787,386283.83174,790732.49912,1593700.115,5405730.778,3341809.7017,250842.53278,238254.878,596229.90856,197772.09516,903399.53518,-0.07604175,-0.03047165,0.00294652
2014-06-30,0.056881,0.101585,0.03581,0.04174,0.038143,0.075259,0.065626,0.057216,0.049122,0.058044,0.062082,0.053507,0.037615,0.04965,0.050388,0.045284,0.037798,0.039542,0.039478,0.036249,0.011359,0.012915,0.025639,0.032655,0.034557,0.043856,0.059328,0.039506,0.033817,0.033932,0.087889,0.058494,0.058354,0.042335,0.054031,0.061218,0.052759,0.037006,0.045963,0.046392,0.044674,0.041603,0.040403,0.042071,0.040881,0.014915,0.019643,0.029903,0.034087,0.03961,237,164,199,290,687,132,86,113,120,83,94,96,70,61,57,110,85,61,52,36,111,82,48,43,39,264.7,307.75,310.44,299.63,178.81,1312.15,1221.49,1341.44,1285.09,1241.99,2947.21,2986.01,2833.95,2950.55,2901.44,7121.24,6421.8,6745.18,6911.18,7079.02,46470.61,56084.69,46223.1,44884.54,41517.05,723.78931444,24133.002884,1771564.9031,19041892.813,58083995.849,51593.123356,2001658.6506,4289947.3161,10360394.301,29427443.96,212395.71537,2800858.8725,4471569.4592,8214384.0689,10123127.352,403776.30878,820620.60612,1656718.2049,5619138.2176,3462946.9616,253691.85311,241331.93975,611516.64718,204230.34293,934618.31292,0.03555157,0.08878924,0.01516767
2014-07-31,-0.092606,-0.075265,-0.065265,-0.043078,-0.049872,-0.050242,-0.06646,-0.054496,-0.062596,-0.05848,-0.054705,-0.05497,-0.0612,-0.064441,-0.042765,-0.023914,-0.044171,-0.031893,-0.037503,-0.038086,-0.016617,-0.008784,-0.004256,-0.02716,-0.014254,-0.074271,-0.064813,-0.066915,-0.039386,-0.027868,-0.063573,-0.066147,-0.054862,-0.062757,-0.057011,-0.054769,-0.057727,-0.063343,-0.066783,-0.042512,-0.029569,-0.046405,-0.034329,-0.040298,-0.038109,-0.024557,-0.017425,-0.008177,-0.028533,-0.027699,262,195,192,331,632,166,118,137,116,100,93,87,75,82,51,111,94,64,45,42,113,81,59,42,42,265.58,253.07,263.67,253.74,160.02,1238.55,1258.45,1266.94,1225.6,1153.0,3046.95,3093.28,2877.04,3000.14,2866.18,6844.7,6591.25,6747.33,7287.04,6484.85,38867.05,61624.78,55000.41,40992.55,45659.98,656.76208119,22316.632422,1655943.7197,18221606.154,55187230.808,49000.981652,1868628.4167,4056162.3471,9711875.0594,27706527.037,200776.60776,2646895.6603,4197909.4083,7685040.9451,9690211.8112,394120.40213,784372.97333,1603880.4912,5408403.677,3331057.1636,249476.25558,239212.07999,608914.03233,198683.44681,921296.26349,0.00970383,0.02580168,-0.00384578
2014-08-29,0.029354,0.046341,0.028736,0.044624,0.034066,0.055696,0.052828,0.038959,0.046173,0.052243,0.063987,0.04187,0.046362,0.055167,0.045515,0.061772,0.047651,0.049796,0.04048,0.046271,0.048825,0.044483,0.021838,0.026306,0.051222,0.029711,0.055547,0.028168,0.035353,0.030653,0.054442,0.056075,0.041708,0.041985,0.050252,0.059891,0.042222,0.048202,0.05417,0.041641,0.066349,0.04644,0.046317,0.039931,0.050145,0.050111,0.045033,0.029483,0.033712,0.046289,262,195,192,329,626,164,118,137,115,100,92,86,74,82,51,111,94,64,45,42,113,81,58,42,42,241.56,234.8,246.73,248.82,151.73,1174.77,1178.8,1198.9,1157.52,1090.13,2889.12,2955.39,2696.2,2813.62,2737.99,6672.43,6313.46,6503.11,7017.52,6233.65,38081.82,60979.57,54998.25,39812.9,44673.37,676.04067532,23350.807485,1703528.9184,19034727.107,57067239.013,51730.140327,1967344.3187,4214186.376,10160301.466,29153999.129,213623.70056,2757721.1815,4392532.8843,8109001.5989,10131261.802,418466.00761,821749.12988,1683747.3242,5627335.8579,3485188.5096,261656.93376,249852.95095,622211.49697,203910.01356,968486.9007,-0.00700437,-0.00040329,0.00352413
2014-09-30,-0.070453,-0.042417,-0.072076,-0.057799,-0.05602,-0.049962,-0.042516,-0.054236,-0.050798,-0.079106,-0.029934,-0.055826,-0.047437,-0.066219,-0.069912,-0.032008,-0.032606,-0.042562,-0.04545,-0.047139,-0.006074,-0.008982,-0.016526,-0.038549,-0.002174,-0.072238,-0.050002,-0.068057,-0.044869,-0.034861,-0.0538,-0.038248,-0.056948,-0.055506,-0.082729,-0.02737,-0.056939,-0.047404,-0.069201,-0.073646,-0.032725,-0.035263,-0.043508,-0.046207,-0.052228,-0.013994,-0.026544,-0.016785,-0.031573,-0.017656,260,194,190,328,625,164,117,137,115,100,91,86,73,82,51,109,94,64,45,42,113,81,58,42,42,250.01,245.94,255.37,261.39,157.1,1240.85,1235.49,1244.57,1211.97,1150.55,3061.34,3071.31,2825.98,2966.75,2859.39,7055.66,6595.54,6809.58,7279.12,6483.8,39847.71,63416.81,55890.81,40618.6,46712.33,628.41158162,22360.336284,1580745.3681,17934538.915,53870332.283,49145.599056,1883700.7076,3985625.7637,9644178.4726,26847742.874,207229.08871,2603768.6389,4184164.3018,7572031.622,9422965.0267,405071.74764,794955.17775,1612083.6705,5371573.4431,3320900.2084,260067.62955,247608.77174,611928.82977,196049.48645,966381.41017,0.00942029,0.02836037,0.0211618
2014-10-31,0.06262,0.070907,0.057928,0.072508,0.043991,0.083605,0.065875,0.06248,0.053693,0.042247,0.058785,0.055072,0.038243,0.04088,0.039067,0.04043,0.005491,0.033711,0.036883,-0.003143,0.022829,0.028195,0.020151,0.001849,0.015011,0.017289,0.041196,0.024571,0.037152,0.004487,0.082901,0.069569,0.06164,0.056261,0.032054,0.061436,0.051753,0.041669,0.042942,0.036829,0.036564,0.002321,0.031522,0.037407,-0.010864,0.02638,0.028728,0.022181,0.006945,0.015632,259,193,189,327,622,164,117,136,115,100,91,86,73,82,51,108,93,64,45,42,113,81,58,42,42,234.27,236.69,238.38,245.99,148.61,1182.58,1180.57,1185.55,1147.48,1058.39,2967.35,2896.14,2687.08,2766.67,2653.38,6800.19,6388.13,6510.14,6937.56,6159.59,39554.68,62643.32,54839.12,38955.08,46570.37,667.76271486,23945.840648,1672314.7858,19234936.463,56240142.071,53254.416865,2007789.4917,4234647.6615,10162003.347,27981979.468,219411.05068,2747163.3853,4344179.2972,7881576.2748,9791092.0014,421448.79839,799320.27663,1666428.6232,5569693.1864,3310462.6191,266004.71346,254590.10106,624259.80762,196411.98195,980887.76152,0.03156208,0.04521126,0.04238834
