Date,vixo,vixh,vixl,vix,vxoo,vxoh,vxol,vxo,vxno,vxnh,vxnl,vxn,vxdo,vxdh,vxdl,vxd
01/02/2014,14.32,14.59,14.00,14.23,13.11,13.46,12.58,12.59,16.01,16.31,15.63,15.88,12.88,13.67,11.78,13.31
01/03/2014,14.06,14.22,13.57,13.76,12.91,13.19,12.09,12.40,15.97,16.16,15.63,15.85,13.31,13.33,12.77,12.89
01/06/2014,13.41,14.00,13.22,13.55,12.50,12.58,11.39,11.95,15.85,16.49,15.45,15.82,12.89,13.09,12.52,12.68
01/07/2014,12.38,13.28,12.16,12.92,11.55,12.07,11.27,11.47,14.91,15.50,14.56,15.10,12.68,12.68,11.95,12.17
01/08/2014,13.04,13.24,12.86,12.87,11.77,12.10,11.58,11.71,15.26,15.32,14.40,14.88,12.17,12.62,11.24,12.29
01/09/2014,12.83,13.26,12.83,12.89,11.90,12.42,11.67,11.93,14.81,15.27,14.67,15.10,12.29,12.69,12.22,12.39
01/10/2014,12.60,12.90,12.14,12.14,11.69,12.15,10.61,11.06,15.10,15.10,14.09,14.09,12.39,12.39,11.65,11.84
01/13/2014,12.18,13.65,11.82,13.28,11.37,13.05,11.18,12.72,13.35,15.22,13.35,15.05,11.84,12.87,11.49,12.65
01/14/2014,12.89,12.90,11.96,12.28,11.82,12.13,11.32,11.59,14.78,14.78,13.31,13.52,12.65,12.65,11.88,11.93
01/15/2014,12.15,12.40,11.81,12.28,11.44,11.90,11.25,11.46,13.52,13.73,13.24,13.63,11.93,11.93,11.38,11.58
01/16/2014,12.32,12.66,12.28,12.53,11.52,12.07,11.44,11.90,13.84,14.25,13.47,14.11,11.58,12.11,11.45,11.94
01/17/2014,12.34,12.93,12.04,12.44,11.64,11.81,10.91,11.24,14.11,14.58,12.74,14.20,11.94,11.95,9.69,11.64
01/21/2014,12.63,13.42,12.61,12.87,11.42,12.18,11.18,11.30,14.18,15.06,14.18,14.34,11.63,13.12,11.19,12.38
01/22/2014,12.57,13.12,12.55,12.84,11.50,11.86,11.35,11.55,14.34,14.52,14.22,14.43,12.42,12.91,12.28,12.66
01/23/2014,13.67,14.66,13.67,13.77,12.60,13.70,12.34,12.67,14.44,15.94,14.17,15.33,12.66,14.26,12.66,13.63
01/24/2014,14.95,18.14,14.92,18.14,14.07,16.33,13.44,16.33,15.33,18.84,15.33,18.84,13.61,17.43,13.61,17.43
01/27/2014,17.29,18.99,16.85,17.42,15.13,17.48,15.05,15.61,18.49,20.45,17.70,18.87,17.48,18.15,14.55,16.69
01/28/2014,17.27,17.28,15.80,15.80,15.72,15.74,14.71,14.92,18.48,19.17,17.29,17.65,16.69,16.69,13.94,15.32
01/29/2014,17.95,18.04,16.71,17.35,16.93,17.18,15.81,16.58,18.69,19.31,17.09,18.69,15.32,17.52,11.55,16.80
01/30/2014,16.37,17.39,15.96,17.29,15.53,16.07,14.73,15.78,17.80,18.67,16.76,18.65,16.80,16.83,15.67,16.82
01/31/2014,18.71,18.99,17.27,18.41,17.94,18.20,16.12,17.44,18.13,19.24,17.75,18.97,16.83,18.60,16.83,17.91
02/03/2014,18.57,21.48,18.34,21.44,17.26,20.06,17.26,19.77,19.09,21.89,18.29,21.44,17.93,20.67,13.26,20.67
02/04/2014,19.99,20.07,18.44,19.11,18.97,19.02,17.14,17.59,21.46,21.46,19.71,20.10,20.67,20.67,18.08,18.55
02/05/2014,19.59,20.72,19.13,19.95,18.07,19.39,17.56,18.52,20.53,22.18,19.47,21.15,18.56,19.82,14.45,19.03
02/06/2014,19.09,19.09,17.09,17.23,17.93,17.94,16.35,16.55,21.15,21.15,18.63,19.48,19.03,19.03,16.54,16.78
02/07/2014,16.15,16.31,15.09,15.29,15.03,15.59,13.72,14.05,18.19,18.40,16.56,16.71,16.78,16.78,14.77,14.91
02/10/2014,15.63,15.76,15.10,15.26,14.20,14.42,13.70,13.84,16.71,17.36,16.29,16.53,14.91,15.49,14.91,15.04
02/11/2014,15.29,15.29,14.08,14.51,13.56,13.65,12.24,12.75,16.54,16.63,15.36,15.84,15.03,15.13,13.87,14.09
02/12/2014,14.31,14.64,14.02,14.30,12.92,13.53,12.66,13.48,15.84,16.07,15.55,15.93,14.09,14.25,13.78,13.97
02/13/2014,15.24,15.24,13.98,14.14,13.89,13.89,12.69,12.70,16.48,16.49,15.36,15.49,13.97,14.78,13.57,13.83
02/14/2014,14.21,14.22,13.44,13.57,13.04,13.49,12.03,12.13,15.49,15.82,14.37,14.80,13.83,13.98,12.86,13.15
02/18/2014,13.95,14.51,13.77,13.87,13.17,13.86,12.83,13.16,14.29,15.62,14.29,15.23,13.14,14.12,13.14,13.70
02/19/2014,14.85,15.73,14.12,15.50,13.38,14.25,12.93,14.24,15.64,16.56,14.82,16.32,13.70,15.00,13.05,14.96
02/20/2014,15.28,15.80,14.59,14.79,14.36,15.47,13.11,13.82,16.38,16.76,15.26,15.91,14.96,15.16,14.17,14.40
02/21/2014,14.74,14.79,14.19,14.68,13.10,13.48,12.76,12.85,15.60,16.07,14.30,15.81,14.40,14.40,11.89,14.20
02/24/2014,14.83,14.83,13.97,14.23,12.60,12.67,12.08,12.51,16.09,16.10,15.01,15.24,14.20,14.23,13.43,13.81
02/25/2014,14.17,14.83,13.66,13.67,12.93,13.28,12.46,12.79,15.24,15.69,14.24,15.15,13.81,14.29,9.80,13.41
02/26/2014,13.83,14.54,13.73,14.35,12.93,13.44,12.59,13.18,15.15,15.54,14.14,15.29,13.41,13.84,11.78,13.70
02/27/2014,14.56,14.69,13.92,14.04,13.17,13.42,12.41,12.55,15.31,15.58,14.64,14.79,13.70,13.87,13.19,13.27
02/28/2014,14.22,14.79,13.49,14.00,12.53,13.80,12.17,12.93,14.79,15.58,13.60,15.01,13.27,13.98,10.66,13.22
03/03/2014,16.47,16.78,15.38,16.00,14.16,15.49,13.75,14.50,16.25,17.50,15.60,16.85,13.22,15.85,10.98,15.19
03/04/2014,14.53,14.54,14.00,14.10,13.18,13.21,12.41,12.80,16.00,16.00,15.16,15.41,15.19,15.19,13.39,13.55
03/05/2014,14.13,14.32,13.81,13.89,12.75,13.15,12.47,12.77,15.41,15.45,14.87,15.22,13.55,13.79,12.47,13.44
03/06/2014,13.82,14.42,13.73,14.21,12.59,13.45,12.48,12.98,15.22,15.22,14.47,14.94,13.44,13.66,13.12,13.46
03/07/2014,13.51,14.43,13.51,14.11,12.93,13.50,12.73,12.97,14.53,15.66,14.51,15.23,13.45,13.68,13.01,13.37
03/10/2014,14.76,15.28,14.20,14.20,13.32,13.85,12.53,12.62,15.78,16.11,15.37,15.52,13.37,14.51,13.37,13.65
03/11/2014,14.22,14.93,13.84,14.80,12.95,13.63,12.46,13.29,15.52,15.97,14.76,15.78,13.65,14.08,11.82,14.03
03/12/2014,15.37,15.64,14.43,14.47,14.57,14.65,13.09,13.10,15.76,16.64,15.37,15.54,14.04,14.74,13.70,13.83
03/13/2014,14.28,16.66,14.24,16.22,13.01,15.96,12.93,15.54,15.54,17.75,14.73,17.47,13.83,15.91,13.54,15.54
03/14/2014,16.74,18.22,16.09,17.82,15.82,17.79,15.73,17.22,18.01,19.43,16.51,18.89,15.57,16.97,13.33,16.76
03/17/2014,16.39,16.40,15.37,15.64,14.27,14.82,13.83,14.15,18.89,18.89,16.56,17.47,16.76,16.76,14.64,14.81
03/18/2014,15.42,15.47,14.16,14.52,13.82,13.98,12.78,13.66,19.60,19.60,15.73,15.93,14.80,14.80,13.62,14.06
03/19/2014,14.56,15.95,13.89,15.12,13.54,14.46,12.74,13.44,15.93,16.44,14.50,16.23,14.05,15.30,10.16,14.50
03/20/2014,15.58,15.62,14.50,14.52,13.86,14.21,12.64,13.09,16.79,17.06,16.15,16.18,14.50,15.56,12.78,13.96
03/21/2014,13.96,15.17,13.77,15.00,12.43,13.45,12.10,13.26,16.18,17.37,15.70,17.35,13.96,14.33,13.07,14.29
03/24/2014,14.70,16.07,14.56,15.09,13.08,14.20,12.92,13.38,17.36,19.07,17.27,18.12,14.28,14.94,13.84,14.13
03/25/2014,14.16,15.05,13.96,14.02,12.57,13.69,12.44,12.73,18.12,18.12,15.97,17.12,14.13,14.16,11.13,13.57
03/26/2014,13.64,15.28,13.46,14.93,12.56,14.09,12.44,13.92,16.81,18.17,16.44,18.14,13.57,14.37,12.94,14.27
03/27/2014,15.00,15.63,14.49,14.62,14.81,14.85,13.68,14.02,18.11,18.85,17.61,18.49,14.27,14.64,13.10,13.72
03/28/2014,14.15,14.86,13.73,14.41,13.24,14.43,12.88,13.45,18.49,18.49,16.99,18.09,13.72,14.02,12.30,13.55
03/31/2014,13.88,14.16,13.57,13.88,12.65,12.98,12.28,12.55,18.01,18.20,17.65,18.12,13.55,13.55,12.93,13.16
04/01/2014,13.43,13.56,13.06,13.10,12.45,12.58,11.60,11.60,18.12,18.12,16.23,16.74,13.16,13.16,10.43,12.44
04/02/2014,13.17,13.35,12.92,13.09,12.08,12.30,11.70,11.97,16.51,16.79,16.27,16.37,12.44,12.96,12.34,12.51
04/03/2014,13.02,13.70,13.02,13.37,12.45,12.83,12.23,12.73,16.37,17.14,16.18,16.96,12.51,12.93,11.88,12.73
04/04/2014,12.88,14.55,12.60,13.96,12.47,14.00,11.88,13.42,16.33,19.39,16.33,18.79,12.73,13.69,12.28,13.12
