date,mktrf,smb,hml,rf,umd
01/02/2014,-0.008800,-0.002800,0.001700,0.00000,-0.000400
01/03/2014,0.000300,0.003700,0.000300,0.00000,0.002400
01/06/2014,-0.003400,-0.005700,0.003000,0.00000,-0.001000
01/07/2014,0.006800,0.003900,-0.003800,0.00000,0.005100
01/08/2014,0.000400,-0.000200,-0.001000,0.00000,0.006400
01/09/2014,0.000200,0.002000,-0.004500,0.00000,0.007700
01/10/2014,0.002700,0.005500,-0.008100,0.00000,-0.001500
01/13/2014,-0.013200,-0.000800,0.001000,0.00000,-0.005300
01/14/2014,0.011500,0.001500,-0.003000,0.00000,0.005600
01/15/2014,0.005300,0.002200,0.002100,0.00000,-0.003900
01/16/2014,-0.000700,0.003200,-0.007000,0.00000,-0.000500
01/17/2014,-0.003900,0.000200,0.000300,0.00000,-0.000100
01/21/2014,0.003000,0.004700,0.000000,0.00000,-0.000400
01/22/2014,0.001500,0.003000,0.002200,0.00000,0.002900
01/23/2014,-0.008600,0.001600,-0.005200,0.00000,-0.005500
01/24/2014,-0.021800,-0.003800,0.001800,0.00000,-0.010100
01/27/2014,-0.006500,-0.008400,0.003900,0.00000,-0.005700
01/28/2014,0.007300,0.001800,0.000300,0.00000,0.008200
01/29/2014,-0.010700,-0.003900,0.002300,0.00000,-0.005400
01/30/2014,0.012200,0.002900,-0.003800,0.00000,0.012000
01/31/2014,-0.006600,-0.000800,-0.003200,0.00000,0.001000
02/03/2014,-0.024800,-0.008600,0.002900,0.00000,-0.008700
02/04/2014,0.007700,-0.000200,-0.000500,0.00000,0.004500
02/05/2014,-0.002300,-0.006200,0.002000,0.00000,-0.000900
02/06/2014,0.012200,-0.004700,0.002800,0.00000,0.001700
02/07/2014,0.013300,-0.001700,-0.006500,0.00000,0.005800
02/10/2014,0.001600,0.001300,-0.004700,0.00000,-0.001000
02/11/2014,0.011000,-0.001900,0.002500,0.00000,0.000700
02/12/2014,0.001100,0.002500,-0.000500,0.00000,0.002700
02/13/2014,0.007200,0.007100,-0.000800,0.00000,0.003800
02/14/2014,0.004200,-0.003700,0.003700,0.00000,-0.003300
02/18/2014,0.002700,0.009700,-0.002600,0.00000,0.007000
02/19/2014,-0.007400,-0.002800,-0.004400,0.00000,-0.003400
02/20/2014,0.007100,0.005700,-0.002100,0.00000,0.004900
02/21/2014,-0.000900,0.003400,-0.000300,0.00000,0.002300
02/24/2014,0.006500,0.001800,0.003300,0.00000,0.003900
02/25/2014,-0.001000,0.001400,-0.006000,0.00000,0.001100
02/26/2014,0.001300,0.006800,-0.000800,0.00000,-0.001000
02/27/2014,0.005400,0.001400,0.000000,0.00000,0.000400
02/28/2014,0.001500,-0.007300,0.008400,0.00000,-0.002400
03/03/2014,-0.007000,0.001000,0.001400,0.00000,-0.000600
03/04/2014,0.016700,0.011100,-0.001300,0.00000,0.008000
03/05/2014,0.000100,-0.002600,0.002800,0.00000,0.003500
03/06/2014,0.001600,-0.003200,0.007700,0.00000,-0.005000
03/07/2014,0.000400,-0.001200,0.005200,0.00000,-0.002500
03/10/2014,-0.000900,-0.001000,0.000800,0.00000,0.000000
03/11/2014,-0.006200,-0.005300,-0.001900,0.00000,-0.000800
03/12/2014,0.001300,0.003000,-0.001700,0.00000,-0.000500
03/13/2014,-0.012100,-0.001200,0.002200,0.00000,-0.003300
03/14/2014,-0.001600,0.006800,-0.001000,0.00000,-0.001500
03/17/2014,0.009000,-0.003700,0.000200,0.00000,0.002400
03/18/2014,0.008200,0.007400,-0.003900,0.00000,0.004900
03/19/2014,-0.005900,-0.001700,0.006200,0.00000,-0.001100
03/20/2014,0.005200,-0.004800,0.009900,0.00000,-0.001600
03/21/2014,-0.003700,-0.002800,0.008700,0.00000,-0.011000
03/24/2014,-0.006400,-0.009000,0.009200,0.00000,-0.010100
03/25/2014,0.002900,-0.003500,0.001400,0.00000,-0.002500
03/26/2014,-0.008900,-0.011700,0.002600,0.00000,-0.008400
03/27/2014,-0.001800,-0.001000,-0.003400,0.00000,-0.004500
03/28/2014,0.004100,-0.004400,0.005500,0.00000,-0.004700
03/31/2014,0.009600,0.010000,-0.001800,0.00000,0.007200
04/01/2014,0.008700,0.007400,-0.003700,0.00000,0.009800
04/02/2014,0.003000,0.000300,0.001500,0.00000,-0.001000
04/03/2014,-0.003100,-0.009000,0.008100,0.00000,-0.010600
04/04/2014,-0.014700,-0.011300,0.007000,0.00000,-0.016600
04/07/2014,-0.012500,-0.003000,-0.000600,0.00000,-0.010400
04/08/2014,0.004900,0.002900,-0.002200,0.00000,-0.001400
04/09/2014,0.012100,0.003300,-0.008600,0.00000,0.013800
04/10/2014,-0.022400,-0.007100,0.007900,0.00000,-0.018500
04/11/2014,-0.010700,-0.003900,0.002400,0.00000,-0.005200
04/14/2014,0.007100,-0.005100,0.002000,0.00000,-0.001600
04/15/2014,0.006000,-0.003700,0.001900,0.00000,0.000000
04/16/2014,0.011200,0.000600,-0.003700,0.00000,0.009100
04/17/2014,0.002300,0.003600,0.002300,0.00000,0.003800
04/21/2014,0.003800,0.002000,-0.004300,0.00000,0.001800
04/22/2014,0.005700,0.007300,-0.003500,0.00000,0.007200
04/23/2014,-0.003100,-0.006400,0.009100,0.00000,-0.002700
04/24/2014,0.000800,-0.004000,-0.001600,0.00000,-0.005000
04/25/2014,-0.010500,-0.009700,0.005600,0.00000,-0.012700
04/28/2014,0.001200,-0.006400,-0.005800,0.00000,-0.011800
04/29/2014,0.005700,-0.002100,-0.001300,0.00000,0.007000
04/30/2014,0.003500,0.002300,-0.000500,0.00000,0.005200
05/01/2014,0.000400,-0.001500,-0.001700,0.00000,0.000700
05/02/2014,-0.000800,0.002100,0.004100,0.00000,0.001300
05/05/2014,0.001300,-0.002800,-0.005500,0.00000,0.004100
05/06/2014,-0.010300,-0.005600,0.001400,0.00000,-0.004300
05/07/2014,0.004500,-0.008200,0.011100,0.00000,-0.001800
05/08/2014,-0.002600,-0.010100,0.003800,0.00000,-0.006300
05/09/2014,0.002500,0.007000,-0.003600,0.00000,-0.001700
05/12/2014,0.012000,0.014100,-0.002700,0.00000,0.008500
05/13/2014,-0.000500,-0.010700,0.002200,0.00000,-0.001400
05/14/2014,-0.006100,-0.011000,-0.004600,0.00000,-0.004400
05/15/2014,-0.009000,0.003400,-0.002800,0.00000,-0.003000
05/16/2014,0.003600,0.002700,-0.004300,0.00000,-0.001900
05/19/2014,0.005000,0.006200,0.000600,0.00000,0.007100
05/20/2014,-0.007800,-0.008300,0.002400,0.00000,0.000800
05/21/2014,0.008100,-0.002800,0.001000,0.00000,0.004000
05/22/2014,0.003600,0.006400,-0.002700,0.00000,0.000400
05/23/2014,0.004900,0.006200,-0.002200,0.00000,0.004100
05/27/2014,0.006900,0.006900,-0.001400,0.00000,0.005000
05/28/2014,-0.001200,-0.002900,0.002200,0.00000,0.002000
05/29/2014,0.005500,-0.001900,-0.001100,0.00000,0.002800
05/30/2014,0.000600,-0.006600,0.002600,0.00000,-0.000100
06/02/2014,0.000600,-0.006900,0.003800,0.00000,0.002000
06/03/2014,-0.000500,-0.002700,0.002000,0.00000,0.001800
06/04/2014,0.002800,0.002200,-0.000700,0.00000,0.003500
06/05/2014,0.007700,0.013000,-0.001700,0.00000,-0.001000
06/06/2014,0.005400,0.004800,-0.000200,0.00000,-0.002300
06/09/2014,0.002200,0.010400,-0.003200,0.00000,-0.004000
06/10/2014,-0.000300,-0.001800,-0.000300,0.00000,-0.001400
06/11/2014,-0.003400,-0.001300,-0.002500,0.00000,0.002200
06/12/2014,-0.006900,0.001100,0.001600,0.00000,-0.002500
06/13/2014,0.003100,-0.000500,-0.001800,0.00000,-0.000900
06/16/2014,0.001300,0.004700,-0.006900,0.00000,0.001100
06/17/2014,0.003400,0.005300,0.004500,0.00000,-0.000600
06/18/2014,0.007400,-0.002800,-0.001000,0.00000,0.000800
06/19/2014,0.001200,-0.001500,-0.000300,0.00000,0.001200
06/20/2014,0.001800,0.001700,0.000500,0.00000,0.003500
06/23/2014,-0.000200,-0.002600,0.000900,0.00000,-0.001500
06/24/2014,-0.007200,-0.003500,-0.002500,0.00000,-0.004600
06/25/2014,0.005300,0.003500,0.001500,0.00000,0.003700
06/26/2014,-0.001100,-0.000900,0.000100,0.00000,0.002000
06/27/2014,0.002500,0.004900,-0.002200,0.00000,-0.001200
06/30/2014,0.000700,0.002700,0.001700,0.00000,0.000800
07/01/2014,0.007400,0.004900,-0.003800,0.00000,0.002300
07/02/2014,-0.000300,-0.004500,-0.002100,0.00000,-0.000900
07/03/2014,0.005900,0.002100,0.001200,0.00000,0.000600
07/07/2014,-0.006200,-0.012700,0.003300,0.00000,-0.001500
07/08/2014,-0.008200,-0.006800,0.007300,0.00000,-0.002400
07/09/2014,0.004600,-0.003800,-0.001200,0.00000,0.003200
07/10/2014,-0.004900,-0.006000,-0.000200,0.00000,0.000100
07/11/2014,0.001200,-0.002200,-0.003600,0.00000,0.001700
07/14/2014,0.004600,0.000100,-0.001500,0.00000,0.004000
07/15/2014,-0.003200,-0.009500,0.010000,0.00000,-0.005000
07/16/2014,0.003300,-0.006100,0.003500,0.00000,-0.001100
07/17/2014,-0.012100,-0.003900,0.001800,0.00000,-0.005500
07/18/2014,0.011200,0.005100,-0.004500,0.00000,0.004900
07/21/2014,-0.002500,-0.002400,0.000400,0.00000,0.002400
07/22/2014,0.005300,0.002800,-0.003300,0.00000,0.002700
07/23/2014,0.001900,0.001700,-0.007800,0.00000,-0.002000
07/24/2014,0.000500,-0.003100,0.000300,0.00000,-0.001500
07/25/2014,-0.005300,-0.004000,0.001600,0.00000,-0.002200
07/28/2014,-0.000800,-0.004700,0.002700,0.00000,-0.002200
07/29/2014,-0.003300,0.007100,-0.006600,0.00000,-0.002100
07/30/2014,0.001200,0.004600,-0.003600,0.00000,-0.001300
07/31/2014,-0.020300,-0.002000,0.004800,0.00000,-0.006800
08/01/2014,-0.003200,-0.002000,-0.000400,0.00000,0.003100
08/04/2014,0.007400,0.000100,-0.002200,0.00000,0.005400
08/05/2014,-0.008400,0.007900,-0.001800,0.00000,-0.003000
08/06/2014,0.000200,0.004100,0.001100,0.00000,-0.005200
08/07/2014,-0.005200,-0.000300,-0.001500,0.00000,0.001100
08/08/2014,0.011300,-0.002200,-0.001700,0.00000,0.000500
08/11/2014,0.004000,0.005900,-0.002600,0.00000,0.000300
08/12/2014,-0.002300,-0.006000,0.002600,0.00000,-0.000400
08/13/2014,0.007000,-0.000900,-0.002400,0.00000,0.007700
08/14/2014,0.004400,-0.002400,0.000100,0.00000,-0.003400
08/15/2014,0.000000,-0.001400,-0.001400,0.00000,0.004200
08/18/2014,0.009300,0.006000,-0.001800,0.00000,0.001000
08/19/2014,0.004900,-0.001300,-0.000900,0.00000,-0.000600
08/20/2014,0.001900,-0.006600,0.002900,0.00000,0.000100
08/21/2014,0.002800,-0.001500,0.008100,0.00000,-0.003900
08/22/2014,-0.001000,0.003200,-0.003800,0.00000,0.000900
08/25/2014,0.004900,-0.002300,0.000100,0.00000,0.003300
08/26/2014,0.001900,0.007200,-0.003200,0.00000,-0.002100
08/27/2014,0.000000,-0.002200,0.001500,0.00000,0.000700
08/28/2014,-0.001900,-0.004300,0.000800,0.00000,0.000500
08/29/2014,0.003900,0.002700,0.000900,0.00000,0.000600
09/02/2014,0.000500,0.004700,-0.000900,0.00000,0.002800
09/03/2014,-0.001400,-0.005600,0.002400,0.00000,-0.001200
09/04/2014,-0.001800,-0.001300,-0.001700,0.00000,-0.003800
09/05/2014,0.004500,-0.002700,-0.000200,0.00000,0.002800
09/08/2014,-0.002200,0.005400,-0.004600,0.00000,0.001700
09/09/2014,-0.007200,-0.004400,0.000200,0.00000,0.001700
09/10/2014,0.004500,0.002300,-0.004000,0.00000,0.000100
09/11/2014,0.001900,0.004900,0.002200,0.00000,-0.001100
09/12/2014,-0.005500,-0.002200,0.001300,0.00000,-0.004200
09/15/2014,-0.002800,-0.010600,0.006300,0.00000,-0.001300
09/16/2014,0.007000,-0.004000,-0.001000,0.00000,0.006700
09/17/2014,0.001700,0.000900,-0.002400,0.00000,0.000500
09/18/2014,0.005000,0.000300,0.000100,0.00000,0.000600
09/19/2014,-0.001800,-0.009700,0.000300,0.00000,-0.000300
09/22/2014,-0.009700,-0.005600,0.001000,0.00000,-0.000700
09/23/2014,-0.006200,-0.002900,-0.000600,0.00000,0.002700
09/24/2014,0.008100,0.001100,-0.009300,0.00000,0.001500
09/25/2014,-0.016300,0.000800,0.001200,0.00000,-0.002200
09/26/2014,0.008500,-0.000200,-0.002500,0.00000,0.006000
09/29/2014,-0.002200,0.001800,-0.004400,0.00000,0.001300
09/30/2014,-0.004000,-0.009900,0.001100,0.00000,-0.001700
10/01/2014,-0.013900,-0.001700,0.003000,0.00000,-0.003900
10/02/2014,0.001600,0.010300,-0.003900,0.00000,-0.002400
10/03/2014,0.010900,-0.003800,-0.004500,0.00000,0.004600
10/06/2014,-0.002600,-0.007800,0.003600,0.00000,-0.003000
10/07/2014,-0.015600,-0.001400,0.001500,0.00000,0.001100
10/08/2014,0.017000,0.000300,-0.000600,0.00000,0.002600
10/09/2014,-0.021700,-0.004200,-0.004000,0.00000,0.000500
