DATE,PS_LEVEL,PS_INNOV,PS_VWF
01/31/2014,-0.00669558,0.01904829,0.03016848
02/28/2014,0.01876574,0.02418616,-0.00845716
03/31/2014,-0.0010801,0.03051607,0.03065791
04/30/2014,-0.00597066,-0.00553123,-0.05041689
05/30/2014,-0.07604175,-0.03047165,0.00294652
06/30/2014,0.03555157,0.08878924,0.01516767
07/31/2014,0.00970383,0.02580168,-0.00384578
08/29/2014,-0.00700437,-0.00040329,0.00352413
09/30/2014,0.00942029,0.02836037,0.0211618
10/31/2014,0.03156208,0.04521126,0.04238834
11/28/2014,-0.04093063,-0.02858733,0.00220695
12/31/2014,0.0285721,0.05874017,0.02564281
01/30/2015,0.00006477,0.02183311,-0.01822077
02/27/2015,-0.007748,0.00119415,0.00068547
03/31/2015,-0.04318635,-0.02108124,0.01244365
04/30/2015,-0.02162259,0.00619738,-0.00539322
05/29/2015,0.01913707,0.00422828,0.0448221
06/30/2015,0.01133199,0.00995177,0.02952947
07/31/2015,0.04047104,0.03323182,0.00868989
08/31/2015,0.02562904,0.07145377,-0.00664299
09/30/2015,-0.04876124,-0.077511,0.00601446
10/30/2015,0.00812565,0.10663556,-0.06909777
11/30/2015,-0.12190966,-0.03431734,0.03966728
12/31/2015,-0.08085478,-0.01288214,-0.00089856
01/29/2016,-0.0833851,-0.04542063,-0.03380666
02/29/2016,0.0031765,0.02972618,-0.02869227
03/31/2016,-0.02077116,0.00364552,-0.02126196
04/29/2016,0.08328224,0.09165088,-0.01051141
05/31/2016,-0.04418752,-0.05494044,0.01759801
06/30/2016,-0.01959616,-0.026705,-0.01530551
07/29/2016,0.06306624,0.01055463,0.03289437
08/31/2016,0.00844411,-0.00382177,-0.00538695
09/30/2016,-0.04118253,-0.03142384,0.01145573
10/31/2016,0.10321774,0.08996467,0.01155861
11/30/2016,-0.07588807,-0.00358364,-0.00348322
12/30/2016,0.0017677,0.04941367,-0.0148546
01/31/2017,0.04555742,0.06720165,0.02084784
02/28/2017,-0.05746363,-0.05258013,-0.02596674
03/31/2017,-0.01047972,-0.06446981,-0.03516001
04/28/2017,-0.0299539,0.01001715,-0.02159388
05/31/2017,0.10505061,0.089116,-0.03513859
06/30/2017,0.04244786,0.02426171,0.03204044
07/31/2017,-0.01939452,0.01387179,0.03266733
08/31/2017,0.02982351,0.06429244,-0.02430416
09/29/2017,0.05203766,0.05560052,-0.01470475
10/31/2017,0.02676379,0.03140344,-0.04787233
11/30/2017,0.03465119,0.01935147,-0.01565814
12/29/2017,0.03739721,0.04636424,0.05101684
01/31/2018,-0.05296123,-0.00970587,0.01197226
02/28/2018,0.00308956,0.02959768,0.05234304
03/29/2018,0.02924655,0.08568453,0.00320805
04/30/2018,-0.07867675,-0.01196645,0.01273375
05/31/2018,0.0270477,0.08527741,0.06977742
06/29/2018,0.10046495,0.12575545,-0.02195374
07/31/2018,-0.02332633,-0.02265213,-0.00600478
