date,ticker,MarketCap,EnterpriseValue,PeRatio,ForwardPeRatio,PegRatio,PsRatio,PbRatio,EnterprisesValueRevenueRatio,EnterprisesValueEBITDARatio
ttm,AMZN,"2,280,604,824,071","2,319,284,824,071",34.987,33.333,2.377,3.552,7.456,3.566,17.182
05/31/2025,AMZN,"2,176,458,406,959","2,215,138,406,959",,,,,,,
04/30/2025,AMZN,"1,957,867,710,898","1,987,565,710,898",33.349,27.933,1.388,3.099,6.846,,
03/31/2025,AMZN,"2,019,229,380,000","2,048,927,380,000",34.405,28.902,1.6,3.197,7.061,,
02/28/2025,AMZN,"2,252,792,629,283","2,282,490,629,283",38.387,32.363,1.79,3.567,7.878,,
01/31/2025,AMZN,"2,518,868,312,383","2,565,509,312,383",50.786,38.023,1.953,4.094,9.72,,
12/31/2024,AMZN,"2,323,998,270,000","2,370,639,270,000",46.878,35.088,1.799,3.779,8.968,,
11/30/2024,AMZN,"2,185,965,638,453","2,232,606,638,453",44.421,33.784,1.732,3.581,8.435,,
10/31/2024,AMZN,"1,959,998,051,891","2,006,639,051,891",39.829,31.646,1.614,3.211,7.563,,
09/30/2024,AMZN,"1,958,514,630,000","2,002,395,630,000",44.47,31.546,1.77,3.28,8.283,,
08/31/2024,AMZN,"1,873,458,688,258","1,917,339,688,258",42.601,38.61,2.164,3.142,7.923,,
07/31/2024,AMZN,"1,962,461,095,409","2,012,073,095,409",52.375,40,1.987,3.346,9.058,,
06/30/2024,AMZN,"2,011,080,747,948","2,060,692,747,948",54.132,41.494,2.055,3.459,9.357,,
05/31/2024,AMZN,"1,836,145,341,102","1,885,757,341,102",49.423,37.879,1.883,3.158,8.475,,
04/30/2024,AMZN,"1,821,159,797,625","1,870,771,797,625",49.02,41.494,2.189,3.132,8.406,,
03/31/2024,AMZN,"1,876,446,969,033","1,925,277,969,033",62.2,42.553,2.436,3.293,9.295,,
02/29/2024,AMZN,"1,837,806,618,924","1,886,637,618,924",60.952,41.667,2.388,3.227,9.104,,
01/31/2024,AMZN,"1,612,121,576,363","1,684,941,576,363",81.257,42.919,2.68,2.912,8.811,,
12/31/2023,AMZN,"1,570,152,607,236","1,642,972,607,236",79.55,39.526,2.467,2.851,8.622,,
