date,ticker,MarketCap,EnterpriseValue,PeRatio,ForwardPeRatio,PegRatio,PsRatio,PbRatio,EnterprisesValueRevenueRatio,EnterprisesValueEBITDARatio
ttm,AVGO,"1,172,904,558,033","1,230,714,558,033",91.011,38.023,1.464,21.107,16.855,21.574,40.697
05/31/2025,AVGO,"1,138,569,219,886","1,195,841,219,886",112.069,36.765,0.637,21.4,16.309,,
04/30/2025,AVGO,"904,984,069,560","962,256,069,560",89.106,29.412,0.509,17.015,12.967,,
03/31/2025,AVGO,"787,247,273,687","844,519,273,687",77.514,25.575,0.443,14.801,11.28,,
02/28/2025,AVGO,"937,709,632,631","995,927,632,631",154.597,31.348,0.564,18.476,13.855,,
01/31/2025,AVGO,"1,037,171,296,638","1,095,389,296,638",171.527,34.843,0.627,20.499,15.325,,
12/31/2024,AVGO,"1,086,716,651,207","1,144,934,651,207",179.721,36.496,0.657,21.478,16.057,,
11/30/2024,AVGO,"759,726,685,764","819,733,685,764",130.921,26.247,1.138,16.05,11.572,,
10/31/2024,AVGO,"792,923,701,610","852,930,701,610",137.132,27.473,1.19,16.812,12.078,,
09/30/2024,AVGO,"805,674,374,317","865,681,374,317",139.338,27.933,1.209,17.082,12.272,,
08/31/2024,AVGO,"760,463,197,834","824,670,197,834",70.151,27.1,1.199,17.173,10.87,,
07/31/2024,AVGO,"747,946,719,343","812,153,719,343",69.229,26.738,1.184,16.947,10.691,,
06/30/2024,AVGO,"747,355,549,108","811,562,549,108",69.174,34.13,1.511,16.933,10.682,,
05/31/2024,AVGO,"618,424,579,277","682,461,579,277",49.37,28.249,1.54,14.921,8.799,,
04/30/2024,AVGO,"602,572,731,833","666,609,731,833",48.319,27.701,1.507,14.604,8.573,,
03/31/2024,AVGO,"614,223,141,732","678,260,141,732",49.253,28.249,1.539,14.886,8.739,,
02/29/2024,AVGO,"602,674,283,955","627,714,283,955",39.433,28.011,1.962,15.503,25.124,,
01/31/2024,AVGO,"552,405,871,420","577,445,871,420",35.779,25.445,1.78,14.067,23.028,,
12/31/2023,AVGO,"522,561,910,146","547,601,910,146",33.846,23.923,1.674,13.307,21.784,,
11/30/2023,AVGO,"433,371,768,940","460,657,768,940",28.488,20.534,1.479,10.916,19.628,,
10/31/2023,AVGO,"348,327,180,000","375,613,180,000",25.892,18.45,1.277,9.921,15.776,,
09/30/2023,AVGO,"342,809,854,912","370,095,854,912",25.56,18.215,1.261,9.794,15.527,,
08/31/2023,AVGO,"380,909,469,286","408,195,469,286",28.4,20.325,1.392,10.882,17.252,,
07/31/2023,AVGO,"371,142,450,000","398,900,450,000",28.184,19.802,1.355,10.901,16.865,,
06/30/2023,AVGO,"357,975,700,859","385,733,700,859",27.204,20.619,1.516,10.522,16.266,,
05/31/2023,AVGO,"333,433,299,823","360,068,299,823",27.226,19.157,1.38,9.957,14.304,,
04/30/2023,AVGO,"261,202,675,496","287,837,675,496",21.112,14.859,1.071,7.72,11.127,,
03/31/2023,AVGO,"267,473,207,402","294,108,207,402",21.618,15.221,1.096,7.906,11.475,,
02/28/2023,AVGO,"247,773,564,278","274,872,564,278",22.455,14.389,1.013,7.59,10.911,,
01/31/2023,AVGO,"243,949,170,000","271,048,170,000",22.105,14.164,0.997,7.472,10.742,,
12/31/2022,AVGO,"233,652,677,458","260,751,677,458",21.127,13.68,0.963,7.141,10.289,,
11/30/2022,AVGO,"230,267,799,724","259,812,799,724",23.852,13.514,0.864,7.559,11.03,,
10/31/2022,AVGO,"196,510,160,000","226,055,160,000",20.35,11.534,0.737,6.449,9.413,,
09/30/2022,AVGO,"179,827,506,173","209,372,506,173",19.219,10.893,0.696,6.091,8.614,,
08/31/2022,AVGO,"202,140,276,704","232,628,276,704",24.783,12.453,0.812,7.132,9.643,,
07/31/2022,AVGO,"216,857,873,257","247,345,873,257",26.589,13.459,0.877,7.651,10.345,,
06/30/2022,AVGO,"196,178,676,837","226,666,676,837",24.122,13.351,0.871,6.942,9.358,,
05/31/2022,AVGO,"234,266,762,301","264,754,762,301",28.806,15.949,1.04,8.289,11.175,,
04/30/2022,AVGO,"226,346,997,836","255,658,997,836",31.686,15.773,1.108,8.371,9.855,,
03/31/2022,AVGO,"257,086,487,125","286,398,487,125",35.99,17.921,1.259,9.507,11.193,,
02/28/2022,AVGO,"239,840,690,504","267,434,690,504",39.261,17.857,1.113,9.204,9.608,,
01/31/2022,AVGO,"240,210,800,000","267,804,800,000",39.157,17.794,1.11,9.179,9.623,,
12/31/2021,AVGO,"274,730,467,046","302,324,467,046",44.472,20.202,1.26,10.425,11.006,,
11/30/2021,AVGO,"228,600,058,602","257,979,058,602",41.116,18.116,1.265,8.956,9.392,,
10/31/2021,AVGO,"218,844,031,840","248,223,031,840",39.482,17.391,1.215,8.6,9.021,,
09/30/2021,AVGO,"199,605,086,539","228,984,086,539",36.011,15.873,1.108,7.844,8.201,,
08/31/2021,AVGO,"204,659,734,556","235,606,734,556",46.325,16.639,1.169,8.31,8.549,,
07/31/2021,AVGO,"199,140,475,824","230,087,475,824",45.225,16.26,1.142,8.112,8.319,,
06/30/2021,AVGO,"195,628,645,430","226,575,645,430",44.427,17.422,1.223,7.969,8.172,,
05/31/2021,AVGO,"193,778,370,304","226,184,370,304",54.741,17.544,1.299,8.114,8.083,,
04/30/2021,AVGO,"186,267,521,121","218,673,521,121",52.872,16.949,1.255,7.837,7.77,,
03/31/2021,AVGO,"189,313,456,473","221,719,456,473",53.737,17.241,1.275,7.965,7.897,,
03/04/2021,AVGO,"181,085,125,265","214,556,125,265",,,,,,,
02/28/2021,AVGO,"191,849,013,917","225,320,013,917",74.415,17.857,1.173,8.302,8.036,,
