date,ticker,MarketCap,EnterpriseValue,PeRatio,ForwardPeRatio,PegRatio,PsRatio,PbRatio,EnterprisesValueRevenueRatio,EnterprisesValueEBITDARatio
ttm,GOOGL,"2,142,097,003,493","2,070,333,003,493",19.637,18.868,1.349,5.997,6.184,5.756,13.813
05/31/2025,GOOGL,"2,090,081,670,705","2,018,317,670,705",,,,,,,
04/30/2025,GOOGL,"1,938,407,809,452","1,866,643,809,452",17.723,17.331,0.962,5.413,5.581,,
03/31/2025,GOOGL,"1,888,352,860,000","1,818,156,860,000",19.234,17.361,1.114,5.499,5.782,,
02/28/2025,GOOGL,"2,086,377,380,000","2,016,181,380,000",21.179,19.231,1.232,6.055,6.385,,
01/31/2025,GOOGL,"2,495,689,060,000","2,429,381,060,000",27.058,23.148,1.333,7.511,7.917,,
12/31/2024,GOOGL,"2,317,829,400,000","2,251,521,400,000",25.106,21.322,1.227,6.969,7.359,,
11/30/2024,GOOGL,"2,076,639,310,000","2,010,331,310,000",22.407,19.048,1.058,6.22,6.584,,
10/31/2024,GOOGL,"2,103,301,230,000","2,036,993,230,000",22.694,18.975,1.054,6.299,6.668,,
09/30/2024,GOOGL,"2,041,428,100,000","1,968,504,100,000",23.795,18.939,1.118,6.356,6.763,,
08/31/2024,GOOGL,"2,020,869,850,000","1,947,945,850,000",23.44,21.231,1.255,6.261,6.687,,
07/31/2024,GOOGL,"2,120,649,250,000","2,047,725,250,000",24.611,22.523,1.252,6.574,7.021,,
06/30/2024,GOOGL,"2,258,143,290,000","2,178,112,290,000",27.937,24.213,1.639,7.239,7.664,,
05/31/2024,GOOGL,"2,139,955,820,000","2,059,924,820,000",26.457,22.936,1.554,6.856,7.279,,
04/30/2024,GOOGL,"2,022,082,860,000","1,942,051,860,000",24.966,21.692,1.47,6.47,6.869,,
03/31/2024,GOOGL,"1,884,055,120,000","1,801,643,120,000",26.022,22.272,1.578,6.246,6.594,,
03/29/2024,GOOGL,"1,884,055,120,000","1,801,643,120,000",,,,,,,
02/29/2024,GOOGL,"1,728,958,900,000","1,646,546,900,000",23.872,20.45,1.326,5.73,6.075,,
01/31/2024,GOOGL,"1,751,504,000,000","1,669,092,000,000",24.155,21.008,1.32,5.798,6.147,,
12/31/2023,GOOGL,"1,755,459,040,000","1,664,570,040,000",26.761,20.964,1.316,6.019,6.371,,
12/29/2023,GOOGL,"1,755,459,040,000","1,664,570,040,000",,,,,,,
11/30/2023,GOOGL,"1,666,703,230,000","1,575,814,230,000",25.389,19.881,1.248,5.71,6.071,,
10/31/2023,GOOGL,"1,559,969,780,000","1,469,080,780,000",23.77,18.587,1.168,5.346,5.684,,
09/30/2023,GOOGL,"1,655,756,730,000","1,566,538,730,000",27.666,19.57,1.242,5.832,6.143,,
09/29/2023,GOOGL,"1,655,756,730,000","1,566,538,730,000",,,,,,,
08/31/2023,GOOGL,"1,723,812,710,000","1,634,594,710,000",28.789,23.981,1.523,6.069,6.427,,
07/31/2023,GOOGL,"1,675,728,870,000","1,586,510,870,000",28.059,23.419,1.485,5.915,6.264,,
