date,ticker,MarketCap,EnterpriseValue,PeRatio,ForwardPeRatio,PegRatio,PsRatio,PbRatio,EnterprisesValueRevenueRatio,EnterprisesValueEBITDARatio
ttm,GOOG,"2,142,097,003,493","2,070,333,003,493",19.78,19.011,1.358,6.041,6.229,5.756,13.813
05/31/2025,GOOG,"2,090,081,670,705","2,018,317,670,705",,,,,,,
04/30/2025,GOOG,"1,938,407,809,452","1,866,643,809,452",17.956,17.544,0.975,5.484,5.655,,
03/31/2025,GOOG,"1,888,352,860,000","1,818,156,860,000",19.432,17.544,1.125,5.556,5.841,,
02/28/2025,GOOG,"2,086,377,380,000","2,016,181,380,000",21.42,19.418,1.246,6.124,6.458,,
01/31/2025,GOOG,"2,495,689,060,000","2,429,381,060,000",27.268,23.31,1.344,7.569,7.979,,
12/31/2024,GOOG,"2,317,829,400,000","2,251,521,400,000",25.257,21.459,1.235,7.011,7.403,,
11/30/2024,GOOG,"2,076,639,310,000","2,010,331,310,000",22.611,19.194,1.067,6.276,6.644,,
10/31/2024,GOOG,"2,103,301,230,000","2,036,993,230,000",22.903,19.157,1.064,6.357,6.73,,
09/30/2024,GOOG,"2,041,428,100,000","1,968,504,100,000",23.987,19.084,1.127,6.407,6.818,,
08/31/2024,GOOG,"2,020,869,850,000","1,947,945,850,000",23.689,21.505,1.269,6.327,6.758,,
07/31/2024,GOOG,"2,120,649,250,000","2,047,725,250,000",24.842,22.727,1.264,6.635,7.087,,
06/30/2024,GOOG,"2,258,143,290,000","2,178,112,290,000",28.132,24.331,1.65,7.29,7.718,,
05/31/2024,GOOG,"2,139,955,820,000","2,059,924,820,000",26.681,23.148,1.567,6.914,7.341,,
04/30/2024,GOOG,"2,022,082,860,000","1,942,051,860,000",25.252,21.93,1.487,6.544,6.948,,
03/31/2024,GOOG,"1,884,055,120,000","1,801,643,120,000",26.252,22.472,1.591,6.302,6.652,,
03/29/2024,GOOG,"1,884,055,120,000","1,801,643,120,000",,,,,,,
02/29/2024,GOOG,"1,728,958,900,000","1,646,546,900,000",24.1,20.619,1.337,5.785,6.133,,
01/31/2024,GOOG,"1,751,504,000,000","1,669,092,000,000",24.448,21.277,1.336,5.869,6.221,,
12/31/2023,GOOG,"1,755,459,040,000","1,664,570,040,000",26.998,21.142,1.328,6.072,6.427,,
12/29/2023,GOOG,"1,755,459,040,000","1,664,570,040,000",,,,,,,
11/30/2023,GOOG,"1,666,703,230,000","1,575,814,230,000",25.655,20.08,1.261,5.77,6.135,,
10/31/2023,GOOG,"1,559,969,780,000","1,469,080,780,000",24.004,18.797,1.18,5.399,5.74,,
09/30/2023,GOOG,"1,655,756,730,000","1,566,538,730,000",27.875,19.724,1.252,5.876,6.19,,
09/29/2023,GOOG,"1,655,756,730,000","1,566,538,730,000",,,,,,,
08/31/2023,GOOG,"1,723,812,710,000","1,634,594,710,000",29.038,24.213,1.535,6.122,6.483,,
07/31/2023,GOOG,"1,675,728,870,000","1,586,510,870,000",28.142,23.474,1.489,5.933,6.283,,
06/30/2023,GOOG,"1,519,081,430,000","1,433,100,430,000",26.882,22.523,1.498,5.537,5.856,,
05/31/2023,GOOG,"1,563,017,390,000","1,477,036,390,000",27.416,23.042,1.531,5.647,6.004,,
04/30/2023,GOOG,"1,368,065,100,000","1,282,084,100,000",24.049,20.202,1.195,4.953,5.267,,
04/28/2023,GOOG,"1,368,065,100,000","1,282,084,100,000",,,,,,,
03/31/2023,GOOG,"1,321,244,980,000","1,237,161,980,000",22.807,19.268,1.259,4.839,5.165,,
