date,ticker,MarketCap,EnterpriseValue,PeRatio,ForwardPeRatio,PegRatio,PsRatio,PbRatio,EnterprisesValueRevenueRatio,EnterprisesValueEBITDARatio
ttm,META,"1,753,064,387,819","1,732,353,387,819",27.257,27.548,2.295,10.662,9.475,10.169,18.889
05/31/2025,META,"1,628,001,750,454","1,607,290,750,454",,,,,,,
04/30/2025,META,"1,380,365,659,701","1,359,654,659,701",21.462,21.834,0.85,8.396,7.46,,
03/31/2025,META,"1,454,156,280,000","1,425,401,280,000",24.156,22.676,1.157,9.159,7.962,,
02/28/2025,META,"1,692,991,120,872","1,664,236,120,872",28.005,26.316,1.342,10.618,9.27,,
01/31/2025,META,"1,746,147,292,252","1,717,392,292,252",28.884,27.174,2.011,10.951,9.561,,
12/31/2024,META,"1,483,967,870,977","1,462,114,870,977",27.631,23.095,1.307,9.831,9.019,,
11/30/2024,META,"1,449,864,254,271","1,428,011,254,271",27.103,22.676,0.923,9.643,8.812,,
10/31/2024,META,"1,432,849,201,559","1,410,996,201,559",26.785,23.585,0.96,9.529,8.709,,
09/30/2024,META,"1,444,838,560,000","1,424,749,560,000",29.281,23.753,1.009,10.076,9.217,,
08/31/2024,META,"1,318,818,771,505","1,298,729,771,505",26.665,25.51,1.084,9.176,8.413,,
07/31/2024,META,"1,201,232,888,826","1,181,143,888,826",24.288,23.981,1.122,8.358,7.663,,
06/30/2024,META,"1,278,971,269,785","1,258,484,269,785",29.012,25.575,1.166,9.314,8.542,,
05/31/2024,META,"1,184,130,256,384","1,163,643,256,384",26.86,23.641,1.079,8.624,7.919,,
04/30/2024,META,"1,091,140,912,941","1,070,653,912,941",24.751,21.787,0.994,7.946,7.297,,
03/31/2024,META,"1,237,940,131,371","1,209,771,131,371",32.655,24.155,1.102,9.463,8.043,,
02/29/2024,META,"1,249,539,924,602","1,221,370,924,602",32.961,24.51,1.119,9.552,8.158,,
01/31/2024,META,"994,624,908,053","969,718,908,053",34.434,22.624,0.881,8.084,6.962,,
12/31/2023,META,"909,628,612,617","884,722,612,617",31.241,20.747,0.808,7.335,6.345,,
11/30/2023,META,"840,730,592,772","815,824,592,772",28.875,19.194,0.747,6.779,5.884,,
10/31/2023,META,"774,222,545,269","749,316,545,269",26.59,17.921,0.697,6.243,5.419,,
09/30/2023,META,"772,488,775,787","755,260,775,787",34.99,18.182,0.724,6.575,5.759,,
08/31/2023,META,"761,372,718,656","744,144,718,656",34.486,22.989,0.914,6.48,5.68,,
07/31/2023,META,"819,809,213,437","802,581,213,437",37.133,25.189,1.002,6.977,6.116,,
06/30/2023,META,"738,399,540,000","728,535,540,000",35.561,23.81,0.993,6.519,5.917,,
05/31/2023,META,"678,406,424,040","668,542,424,040",32.803,21.978,0.918,6.013,5.436,,
04/30/2023,META,"615,875,762,409","606,011,762,409",29.779,22.624,1.264,5.459,4.935,,
03/31/2023,META,"543,838,040,000","529,691,040,000",24.673,21.008,2.034,4.911,4.326,,
02/28/2023,META,"453,556,362,526","439,409,362,526",20.366,18.215,1.764,4.054,3.608,,
01/31/2023,META,"386,225,513,464","370,349,513,464",14.215,18.382,3.24,3.456,3.112,,
12/31/2022,META,"315,555,188,423","299,679,188,423",11.483,15.038,2.652,2.792,2.535,,
11/30/2022,META,"313,147,898,399","297,271,898,399",11.269,14.514,2.559,2.74,2.523,,
10/31/2022,META,"247,018,274,469","231,142,274,469",8.889,11.099,1.958,2.161,1.991,,
09/30/2022,META,"361,587,200,000","337,165,200,000",11.25,11.312,1.603,3.162,2.875,,
08/31/2022,META,"437,882,272,542","413,460,272,542",13.51,16.155,2.29,3.797,3.482,,
07/31/2022,META,"427,588,961,895","403,166,961,895",13.192,14.43,2.043,3.708,3.4,,
06/30/2022,META,"434,891,250,000","405,054,250,000",12.225,13.477,0.984,3.805,3.529,,
05/31/2022,META,"524,052,460,657","494,215,460,657",14.681,16.103,1.176,4.57,4.253,,
04/30/2022,META,"542,536,649,391","512,699,649,391",15.199,16.077,1.175,4.731,4.403,,
03/31/2022,META,"603,485,040,000","569,360,040,000",16.148,17.301,1.224,5.391,4.833,,
02/28/2022,META,"574,411,411,818","540,286,411,818",15.325,16.208,1.145,5.116,4.6,,
01/31/2022,META,"852,675,538,388","807,240,538,388",22.408,21.692,0.878,8.039,6.394,,
12/31/2021,META,"921,935,350,000","876,500,350,000",24.059,23.31,0.943,8.632,6.913,,
11/30/2021,META,"902,569,692,561","857,134,692,561",23.209,22.222,0.899,8.327,6.768,,
10/31/2021,META,"900,093,926,591","854,658,926,591",23.145,22.676,0.918,8.304,6.749,,
09/30/2021,META,"947,916,270,000","895,843,270,000",25.177,22.075,0.878,9.362,6.858,,
08/31/2021,META,"1,069,640,854,788","1,017,567,854,788",28.144,30.03,1.197,10.465,7.738,,
