date,ticker,MarketCap,EnterpriseValue,PeRatio,ForwardPeRatio,PegRatio,PsRatio,PbRatio,EnterprisesValueRevenueRatio,EnterprisesValueEBITDARatio
ttm,MSFT,"3,553,053,269,224","3,534,008,269,224",36.943,31.847,2.242,13.222,11.038,13.088,23.55
05/31/2025,MSFT,"3,421,645,893,691","3,402,600,893,691",,,,,,,
04/30/2025,MSFT,"2,937,787,288,079","2,918,742,288,079",30.546,26.385,1.752,10.933,9.127,,
03/31/2025,MSFT,"2,790,642,591,196","2,781,315,591,196",30.249,25.063,1.716,10.712,9.219,,
02/28/2025,MSFT,"2,951,216,607,472","2,941,889,607,472",31.99,30.212,2.069,11.329,9.75,,
01/31/2025,MSFT,"3,085,548,666,459","3,076,221,666,459",33.446,31.847,2.219,11.844,10.194,,
12/31/2024,MSFT,"3,133,960,800,210","3,117,009,800,210",34.806,32.051,2.213,12.388,10.892,,
11/30/2024,MSFT,"3,148,374,613,404","3,131,423,613,404",34.968,32.154,2.243,12.446,10.942,,
10/31/2024,MSFT,"3,021,163,803,327","3,004,212,803,327",33.555,30.864,2.207,11.943,10.5,,
09/30/2024,MSFT,"3,199,710,800,000","3,191,306,800,000",36.466,32.573,2.326,13.111,11.918,,
08/31/2024,MSFT,"3,100,617,630,250","3,092,213,630,250",35.351,31.447,2.25,12.71,11.549,,
07/31/2024,MSFT,"3,109,611,606,691","3,101,207,606,691",35.453,31.25,2.063,12.747,11.582,,
06/30/2024,MSFT,"3,321,869,074,628","3,321,767,074,628",38.731,33.333,2.204,14.106,13.125,,
05/31/2024,MSFT,"3,085,373,104,263","3,085,271,104,263",35.973,30.96,2.047,13.102,12.188,,
04/30/2024,MSFT,"2,893,619,614,778","2,893,517,614,778",33.737,29.155,1.927,12.288,11.43,,
03/31/2024,MSFT,"3,126,133,130,264","3,133,525,130,264",38.04,31.546,2.134,13.8,13.124,,
02/29/2024,MSFT,"3,073,525,641,763","3,080,917,641,763",37.4,35.461,2.402,13.568,12.899,,
01/31/2024,MSFT,"2,954,192,835,925","2,961,584,835,925",35.948,35.971,2.402,13.041,12.399,,
12/31/2023,MSFT,"2,794,827,926,197","2,735,871,926,197",36.438,33.67,2.243,12.861,12.662,,
11/30/2023,MSFT,"2,816,158,519,081","2,757,202,519,081",36.716,34.364,2.293,12.959,12.759,,
10/31/2023,MSFT,"2,512,922,216,058","2,453,966,216,058",32.763,30.395,2.341,11.563,11.385,,
09/30/2023,MSFT,"2,345,716,410,687","2,294,425,410,687",32.619,28.653,2.332,11.133,11.378,,
08/31/2023,MSFT,"2,435,179,357,522","2,383,888,357,522",33.86,29.499,2.4,11.557,11.808,,
07/31/2023,MSFT,"2,495,806,229,494","2,444,515,229,494",34.702,30.303,2.467,11.844,12.102,,
06/30/2023,MSFT,"2,530,893,280,000","2,486,996,280,000",36.895,30.864,2.508,12.273,13,,
05/31/2023,MSFT,"2,441,739,764,754","2,397,842,764,754",35.579,29.674,2.413,11.835,12.542,,
04/30/2023,MSFT,"2,284,627,912,294","2,240,730,912,294",33.289,28.09,2.283,11.074,11.735,,
03/31/2023,MSFT,"2,144,087,100,000","2,104,706,100,000",32.033,26.667,2.167,10.593,11.708,,
02/28/2023,MSFT,"1,856,633,477,200","1,817,252,477,200",27.713,26.667,2.167,9.164,10.138,,
01/31/2023,MSFT,"1,844,648,953,512","1,805,267,953,512",27.534,26.455,2.15,9.105,10.073,,
12/31/2022,MSFT,"1,787,731,749,394","1,740,769,749,394",25.815,25.189,2.121,8.88,10.29,,
11/30/2022,MSFT,"1,901,934,277,960","1,854,972,277,960",27.464,26.81,2.256,9.447,10.958,,
10/31/2022,MSFT,"1,730,406,850,916","1,683,444,850,916",24.987,24.331,2.049,8.595,9.97,,
09/30/2022,MSFT,"1,736,735,300,000","1,693,256,300,000",24.135,23.095,1.727,8.857,10.428,,
09/02/2022,MSFT,"1,909,667,792,744","1,866,188,792,744",,,,,,,
