date,ticker,MarketCap,EnterpriseValue,PeRatio,ForwardPeRatio,PegRatio,PsRatio,PbRatio,EnterprisesValueRevenueRatio,EnterprisesValueEBITDARatio
ttm,TSLA,"1,018,949,497,349","995,081,497,349",180.771,163.934,5.504,11.591,13.649,10.395,73.034
05/31/2025,TSLA,"1,115,932,488,863","1,092,064,488,863",,,,,,,
04/30/2025,TSLA,"908,825,004,495","884,957,004,495",161.234,128.205,4.35,10.338,12.174,,
03/31/2025,TSLA,"834,495,200,000","811,555,200,000",127.039,92.593,3.149,9.28,11.445,,
02/28/2025,TSLA,"942,375,161,500","919,435,161,500",143.618,99.01,4.124,10.491,12.925,,
01/31/2025,TSLA,"1,301,402,793,170","1,278,462,793,170",198.333,128.205,5.33,14.488,17.849,,
12/31/2024,TSLA,"1,298,749,440,000","1,277,884,440,000",110.641,117.647,4.899,14.512,18.572,,
11/30/2024,TSLA,"1,107,984,191,900","1,087,119,191,900",94.564,100,9.57,12.403,15.844,,
10/31/2024,TSLA,"802,033,405,801","781,168,405,801",68.452,74.627,7.124,8.978,11.469,,
09/30/2024,TSLA,"839,047,410,000","820,842,410,000",73.492,89.286,4.059,9.579,12.623,,
08/31/2024,TSLA,"684,004,459,255","665,799,459,255",60.143,94.34,4.287,7.839,10.291,,
07/31/2024,TSLA,"741,380,201,109","723,175,201,109",65.188,94.34,4.306,8.497,11.154,,
06/30/2024,TSLA,"631,078,137,525","614,126,137,525",50.609,80,3.531,7.287,9.819,,
05/31/2024,TSLA,"567,932,053,419","550,980,053,419",45.545,71.429,3.165,6.558,8.822,,
04/30/2024,TSLA,"584,515,873,487","567,563,873,487",46.875,73.529,3.244,6.749,9.079,,
03/31/2024,TSLA,"559,854,307,052","540,333,307,052",40.881,56.818,2.075,6.331,8.95,,
02/29/2024,TSLA,"642,945,488,980","623,424,488,980",46.949,64.516,2.367,7.27,10.265,,
01/31/2024,TSLA,"596,479,396,825","576,958,396,825",43.556,57.143,2.089,6.745,9.523,,
12/31/2023,TSLA,"789,898,387,235","772,008,387,235",80.155,70.922,2.909,9.015,14.802,,
11/30/2023,TSLA,"763,195,447,551","745,305,447,551",77.445,66.225,2.706,8.71,14.274,,
10/31/2023,TSLA,"638,454,572,168","620,564,572,168",64.787,55.249,2.264,7.287,11.941,,
09/30/2023,TSLA,"794,196,895,532","776,932,895,532",71.288,55.866,2.153,9.253,15.557,,
08/31/2023,TSLA,"819,144,492,043","801,880,492,043",73.527,75.188,2.902,9.543,16.021,,
07/31/2023,TSLA,"848,821,340,309","831,557,340,309",76.191,77.519,2.981,9.889,16.601,,
06/30/2023,TSLA,"830,857,980,000","814,029,980,000",76.991,76.336,2.894,10.57,17.29,,
