contract_name,last_trade_date_(edt),strike,last_price,bid,ask,change,%_change,volume,open_interest,implied_volatility,expiry_sheet,expiry_date
AVGO250620C00041000,6/17/2025 9:39 AM,41,210.73,0.00,0.00,0.00,0.00%,5,0,0.00%,"Jun 20, 2025",2025-06-20
AVGO250620C00042000,6/13/2025 10:52 AM,42,209.48,0.00,0.00,0.00,0.00%,2,0,0.00%,"Jun 20, 2025",2025-06-20
AVGO250620C00043000,6/13/2025 10:52 AM,43,208.50,0.00,0.00,0.00,0.00%,2,0,0.00%,"Jun 20, 2025",2025-06-20
AVGO250620C00044000,3/31/2025 3:12 PM,44,122.75,0.00,0.00,0.00,0.00%,-,0,0.00%,"Jun 20, 2025",2025-06-20
AVGO250620C00045000,5/29/2025 11:57 AM,45,196.84,0.00,0.00,0.00,0.00%,37,0,0.00%,"Jun 20, 2025",2025-06-20
AVGO250620C00046000,2025-12-05 11:02:00,46,171.00,202.35,205.30,0.00,0.00%,1,0,869.92%,"Jun 20, 2025",2025-06-20
AVGO250620C00047000,3/31/2025 3:07 PM,47,119.43,0.00,0.00,0.00,0.00%,40,0,0.00%,"Jun 20, 2025",2025-06-20
AVGO250620C00048000,5/14/2025 3:55 PM,48,184.53,199.25,201.85,0.00,0.00%,8,86,854.69%,"Jun 20, 2025",2025-06-20
AVGO250620C00049000,5/14/2025 3:55 PM,49,183.54,198.25,200.85,0.00,0.00%,8,84,844.14%,"Jun 20, 2025",2025-06-20
AVGO250620C00050000,2025-09-06 09:45:00,50,194.00,0.00,0.00,0.00,0.00%,3,0,0.00%,"Jun 20, 2025",2025-06-20
AVGO250620C00051000,2025-07-04 11:15:00,51,98.05,155.65,158.80,0.00,0.00%,1,38,0.00%,"Jun 20, 2025",2025-06-20
AVGO250620C00052000,4/29/2025 3:55 PM,52,140.33,189.60,190.50,0.00,0.00%,4,46,0.00%,"Jun 20, 2025",2025-06-20
AVGO250620C00053000,2025-07-04 15:46:00,53,100.30,154.95,155.95,0.00,0.00%,2,49,0.00%,"Jun 20, 2025",2025-06-20
AVGO250620C00054000,2025-04-04 09:31:00,54,94.00,147.20,148.75,0.00,0.00%,1,21,0.00%,"Jun 20, 2025",2025-06-20
AVGO250620C00055000,4/23/2025 2:47 PM,55,123.85,173.30,174.35,0.00,0.00%,6,47,0.00%,"Jun 20, 2025",2025-06-20
AVGO250620C00056000,2025-01-04 12:37:00,56,111.68,148.50,149.85,0.00,0.00%,10,26,0.00%,"Jun 20, 2025",2025-06-20
AVGO250620C00057000,2025-09-06 09:57:00,57,189.50,0.00,0.00,0.00,0.00%,6,0,0.00%,"Jun 20, 2025",2025-06-20
AVGO250620C00058000,2025-01-04 10:55:00,58,108.43,146.65,148.10,0.00,0.00%,-,14,0.00%,"Jun 20, 2025",2025-06-20
AVGO250620C00059000,2025-05-06 12:54:00,59,204.33,0.00,0.00,0.00,0.00%,20,0,0.00%,"Jun 20, 2025",2025-06-20
AVGO250620C00060000,2025-12-06 11:05:00,60,195.75,0.00,0.00,0.00,0.00%,1,0,0.00%,"Jun 20, 2025",2025-06-20
AVGO250620C00061000,4/29/2025 3:55 PM,61,131.28,180.90,181.40,0.00,0.00%,4,44,0.00%,"Jun 20, 2025",2025-06-20
AVGO250620C00062000,5/28/2025 3:55 PM,62,176.95,0.00,0.00,0.00,0.00%,1,0,0.00%,"Jun 20, 2025",2025-06-20
AVGO250620C00063000,2025-01-04 14:02:00,63,103.93,141.55,142.90,0.00,0.00%,-,2,0.00%,"Jun 20, 2025",2025-06-20
AVGO250620C00064000,4/22/2025 12:14 PM,64,106.21,0.00,0.00,0.00,0.00%,20,0,0.00%,"Jun 20, 2025",2025-06-20
AVGO250620C00065000,5/15/2025 2:19 PM,65,167.70,182.25,184.85,0.00,0.00%,10,26,700.78%,"Jun 20, 2025",2025-06-20
AVGO250620C00066000,2025-01-04 12:27:00,66,102.15,138.40,139.95,0.00,0.00%,10,29,0.00%,"Jun 20, 2025",2025-06-20
