contract_name,last_trade_date_(edt),strike,last_price,bid,ask,change,%_change,volume,open_interest,implied_volatility,expiry_sheet,expiry_date
BRKB250620C00190000,6/16/2025 9:32 AM,190,300.61,0.00,0.00,0.00,0.00%,5,0,0.00%,"Jun 20, 2025",2025-06-20
BRKB250620C00200000,6/13/2025 2:42 PM,200,286.81,0.00,0.00,0.00,0.00%,10,0,0.00%,"Jun 20, 2025",2025-06-20
BRKB250620C00210000,2025-02-06 14:30:00,210,292.22,0.00,0.00,0.00,0.00%,10,0,0.00%,"Jun 20, 2025",2025-06-20
BRKB250620C00220000,2025-03-06 09:42:00,220,282.07,0.00,0.00,0.00,0.00%,29,0,0.00%,"Jun 20, 2025",2025-06-20
BRKB250620C00230000,2025-03-06 09:46:00,230,271.33,0.00,0.00,0.00,0.00%,7,0,0.00%,"Jun 20, 2025",2025-06-20
BRKB250620C00240000,6/13/2025 2:46 PM,240,246.88,0.00,0.00,0.00,0.00%,10,0,0.00%,"Jun 20, 2025",2025-06-20
BRKB250620C00250000,6/16/2025 10:18 AM,250,241.11,0.00,0.00,0.00,0.00%,5,0,0.00%,"Jun 20, 2025",2025-06-20
BRKB250620C00260000,6/16/2025 10:18 AM,260,231.12,0.00,0.00,0.00,0.00%,5,0,0.00%,"Jun 20, 2025",2025-06-20
BRKB250620C00270000,6/16/2025 1:56 PM,270,219.55,0.00,0.00,0.00,0.00%,9,0,0.00%,"Jun 20, 2025",2025-06-20
BRKB250620C00280000,6/13/2025 9:48 AM,280,208.37,0.00,0.00,0.00,0.00%,6,0,0.00%,"Jun 20, 2025",2025-06-20
BRKB250620C00290000,2025-04-06 13:07:00,290,204.02,0.00,0.00,0.00,0.00%,2,0,0.00%,"Jun 20, 2025",2025-06-20
BRKB250620C00300000,6/13/2025 3:04 PM,300,187.18,0.00,0.00,0.00,0.00%,1,0,0.00%,"Jun 20, 2025",2025-06-20
BRKB250620C00310000,6/16/2025 11:11 AM,310,180.60,0.00,0.00,0.00,0.00%,2,0,0.00%,"Jun 20, 2025",2025-06-20
BRKB250620C00320000,6/16/2025 3:31 PM,320,170.40,0.00,0.00,0.00,0.00%,1,0,0.00%,"Jun 20, 2025",2025-06-20
BRKB250620C00330000,6/16/2025 11:12 AM,330,160.50,0.00,0.00,0.00,0.00%,1,0,0.00%,"Jun 20, 2025",2025-06-20
BRKB250620C00340000,6/16/2025 2:15 PM,340,150.85,0.00,0.00,0.00,0.00%,388,0,0.00%,"Jun 20, 2025",2025-06-20
BRKB250620C00350000,6/16/2025 11:17 AM,350,140.80,0.00,0.00,0.00,0.00%,2,0,0.00%,"Jun 20, 2025",2025-06-20
BRKB250620C00360000,2025-12-06 12:37:00,360,127.75,0.00,0.00,0.00,0.00%,1,0,0.00%,"Jun 20, 2025",2025-06-20
BRKB250620C00365000,2025-11-04 12:12:00,365,158.33,150.00,152.30,0.00,0.00%,1,11,516.46%,"Jun 20, 2025",2025-06-20
BRKB250620C00370000,6/16/2025 11:13 AM,370,120.50,0.00,0.00,0.00,0.00%,2,0,0.00%,"Jun 20, 2025",2025-06-20
BRKB250620C00375000,6/17/2025 10:42 AM,375,112.59,0.00,0.00,0.00,0.00%,2,0,0.00%,"Jun 20, 2025",2025-06-20
BRKB250620C00380000,6/17/2025 3:43 PM,380,103.90,0.00,0.00,0.00,0.00%,8,0,0.00%,"Jun 20, 2025",2025-06-20
BRKB250620C00385000,6/16/2025 3:51 PM,385,105.25,0.00,0.00,0.00,0.00%,2,0,0.00%,"Jun 20, 2025",2025-06-20
BRKB250620C00390000,6/16/2025 10:41 AM,390,100.80,0.00,0.00,0.00,0.00%,11,0,0.00%,"Jun 20, 2025",2025-06-20
BRKB250620C00395000,6/16/2025 2:46 PM,395,95.50,0.00,0.00,0.00,0.00%,8,0,0.00%,"Jun 20, 2025",2025-06-20
BRKB250620C00400000,6/17/2025 3:59 PM,400,83.93,0.00,0.00,0.00,0.00%,19,0,0.00%,"Jun 20, 2025",2025-06-20
BRKB250620C00405000,6/16/2025 2:25 PM,405,85.60,0.00,0.00,0.00,0.00%,26,0,0.00%,"Jun 20, 2025",2025-06-20
BRKB250620C00410000,6/17/2025 10:08 AM,410,77.85,0.00,0.00,0.00,0.00%,2,0,0.00%,"Jun 20, 2025",2025-06-20
BRKB250620C00415000,6/16/2025 3:57 PM,415,75.70,0.00,0.00,0.00,0.00%,52,0,0.00%,"Jun 20, 2025",2025-06-20
BRKB250620C00420000,6/17/2025 3:58 PM,420,64.15,0.00,0.00,0.00,0.00%,13,0,0.00%,"Jun 20, 2025",2025-06-20
BRKB250620C00425000,6/17/2025 9:30 AM,425,64.35,0.00,0.00,0.00,0.00%,2,0,0.00%,"Jun 20, 2025",2025-06-20
BRKB250620C00430000,6/16/2025 3:18 PM,430,59.90,0.00,0.00,0.00,0.00%,6,0,0.00%,"Jun 20, 2025",2025-06-20
BRKB250620C00435000,6/17/2025 2:38 PM,435,49.05,0.00,0.00,0.00,0.00%,16,0,0.00%,"Jun 20, 2025",2025-06-20
BRKB250620C00440000,6/17/2025 10:34 AM,440,48.40,0.00,0.00,0.00,0.00%,2,0,0.00%,"Jun 20, 2025",2025-06-20
BRKB250620C00445000,6/17/2025 3:12 PM,445,39.68,0.00,0.00,0.00,0.00%,13,0,0.00%,"Jun 20, 2025",2025-06-20
BRKB250620C00450000,6/17/2025 3:51 PM,450,36.30,0.00,0.00,0.00,0.00%,49,0,0.00%,"Jun 20, 2025",2025-06-20
BRKB250620C00455000,6/17/2025 2:38 PM,455,29.30,0.00,0.00,0.00,0.00%,10,0,0.00%,"Jun 20, 2025",2025-06-20
BRKB250620C00460000,6/17/2025 3:17 PM,460,24.73,0.00,0.00,0.00,0.00%,12,0,0.00%,"Jun 20, 2025",2025-06-20
BRKB250620C00465000,6/17/2025 12:18 PM,465,21.25,0.00,0.00,0.00,0.00%,4,0,0.00%,"Jun 20, 2025",2025-06-20
BRKB250620C00470000,6/17/2025 3:34 PM,470,14.94,0.00,0.00,0.00,0.00%,17,0,0.00%,"Jun 20, 2025",2025-06-20
BRKB250620C00475000,6/17/2025 3:56 PM,475,10.30,0.00,0.00,0.00,0.00%,38,0,0.00%,"Jun 20, 2025",2025-06-20
BRKB250620C00480000,6/17/2025 3:57 PM,480,5.70,0.00,0.00,0.00,0.00%,122,0,0.00%,"Jun 20, 2025",2025-06-20
BRKB250620C00482500,6/17/2025 3:57 PM,482.5,4.15,0.00,0.00,0.00,0.00%,10,0,0.00%,"Jun 20, 2025",2025-06-20
BRKB250620C00485000,6/17/2025 3:59 PM,485,2.60,0.00,0.00,0.00,0.00%,650,0,0.78%,"Jun 20, 2025",2025-06-20
BRKB250620C00487500,6/17/2025 3:59 PM,487.5,1.57,0.00,0.00,0.00,0.00%,682,0,3.13%,"Jun 20, 2025",2025-06-20
BRKB250620C00490000,6/17/2025 3:57 PM,490,1.01,0.00,0.00,0.00,0.00%,571,0,3.13%,"Jun 20, 2025",2025-06-20
BRKB250620C00492500,6/17/2025 3:58 PM,492.5,0.60,0.00,0.00,0.00,0.00%,578,0,6.25%,"Jun 20, 2025",2025-06-20
BRKB250620C00495000,6/17/2025 3:59 PM,495,0.37,0.00,0.00,0.00,0.00%,1.789,0,6.25%,"Jun 20, 2025",2025-06-20
