contract_name,last_trade_date_(edt),strike,last_price,bid,ask,change,%_change,volume,open_interest,implied_volatility,expiry_sheet,expiry_date
GOOGL250620C00025000,6/16/2025 2:07 PM,25,150.75,0.00,0.00,0.00,0.00%,3,0,0.00%,"Jun 20, 2025",2025-06-20
GOOGL250620C00030000,5/30/2025 12:52 PM,30,137.62,0.00,0.00,0.00,0.00%,4,0,0.00%,"Jun 20, 2025",2025-06-20
GOOGL250620C00035000,2025-06-06 12:35:00,35,138.15,0.00,0.00,0.00,0.00%,40,0,0.00%,"Jun 20, 2025",2025-06-20
GOOGL250620C00040000,2025-12-06 11:04:00,40,136.64,0.00,0.00,0.00,0.00%,3,0,0.00%,"Jun 20, 2025",2025-06-20
GOOGL250620C00045000,2025-06-06 12:35:00,45,128.10,0.00,0.00,0.00,0.00%,80,0,0.00%,"Jun 20, 2025",2025-06-20
GOOGL250620C00050000,2025-12-06 11:04:00,50,126.55,0.00,0.00,0.00,0.00%,3,0,0.00%,"Jun 20, 2025",2025-06-20
GOOGL250620C00055000,2025-06-06 12:35:00,55,118.20,0.00,0.00,0.00,0.00%,170,0,0.00%,"Jun 20, 2025",2025-06-20
GOOGL250620C00060000,6/17/2025 9:56 AM,60,115.05,0.00,0.00,0.00,0.00%,1,0,0.00%,"Jun 20, 2025",2025-06-20
GOOGL250620C00065000,2025-10-06 12:05:00,65,114.76,0.00,0.00,0.00,0.00%,2,0,0.00%,"Jun 20, 2025",2025-06-20
GOOGL250620C00070000,2025-12-06 11:09:00,70,106.11,0.00,0.00,0.00,0.00%,5,0,0.00%,"Jun 20, 2025",2025-06-20
GOOGL250620C00075000,6/16/2025 9:32 AM,75,100.35,0.00,0.00,0.00,0.00%,1,0,0.00%,"Jun 20, 2025",2025-06-20
GOOGL250620C00080000,2025-11-06 12:26:00,80,97.85,0.00,0.00,0.00,0.00%,7,0,0.00%,"Jun 20, 2025",2025-06-20
GOOGL250620C00085000,2025-06-06 15:53:00,85,88.88,0.00,0.00,0.00,0.00%,8,0,0.00%,"Jun 20, 2025",2025-06-20
GOOGL250620C00090000,6/16/2025 10:34 AM,90,85.65,0.00,0.00,0.00,0.00%,1,0,0.00%,"Jun 20, 2025",2025-06-20
GOOGL250620C00095000,6/17/2025 3:08 PM,95,81.62,0.00,0.00,0.00,0.00%,3,0,0.00%,"Jun 20, 2025",2025-06-20
GOOGL250620C00100000,6/16/2025 1:02 PM,100,75.21,0.00,0.00,0.00,0.00%,6,0,0.00%,"Jun 20, 2025",2025-06-20
GOOGL250620C00105000,6/16/2025 11:51 AM,105,69.96,0.00,0.00,0.00,0.00%,1,0,0.00%,"Jun 20, 2025",2025-06-20
GOOGL250620C00110000,2025-10-06 09:46:00,110,69.30,0.00,0.00,0.00,0.00%,1,0,0.00%,"Jun 20, 2025",2025-06-20
GOOGL250620C00115000,6/16/2025 12:22 PM,115,60.44,0.00,0.00,0.00,0.00%,2,0,0.00%,"Jun 20, 2025",2025-06-20
GOOGL250620C00120000,6/17/2025 11:28 AM,120,56.93,0.00,0.00,0.00,0.00%,5,0,0.00%,"Jun 20, 2025",2025-06-20
GOOGL250620C00125000,6/16/2025 12:22 PM,125,50.49,0.00,0.00,0.00,0.00%,10,0,0.00%,"Jun 20, 2025",2025-06-20
GOOGL250620C00130000,6/17/2025 3:51 PM,130,46.25,0.00,0.00,0.00,0.00%,51,0,0.00%,"Jun 20, 2025",2025-06-20
GOOGL250620C00135000,6/17/2025 9:46 AM,135,40.08,0.00,0.00,0.00,0.00%,1,0,0.00%,"Jun 20, 2025",2025-06-20
GOOGL250620C00140000,6/17/2025 2:42 PM,140,36.10,0.00,0.00,0.00,0.00%,71,0,0.00%,"Jun 20, 2025",2025-06-20
GOOGL250620C00145000,6/17/2025 3:09 PM,145,31.65,0.00,0.00,0.00,0.00%,9,0,0.00%,"Jun 20, 2025",2025-06-20
GOOGL250620C00150000,6/17/2025 3:48 PM,150,26.51,0.00,0.00,0.00,0.00%,60,0,0.00%,"Jun 20, 2025",2025-06-20
GOOGL250620C00152500,6/17/2025 10:06 AM,152.5,22.70,0.00,0.00,0.00,0.00%,2,0,0.00%,"Jun 20, 2025",2025-06-20
GOOGL250620C00155000,6/17/2025 3:28 PM,155,21.67,0.00,0.00,0.00,0.00%,267,0,0.00%,"Jun 20, 2025",2025-06-20
GOOGL250620C00157500,6/17/2025 11:12 AM,157.5,19.60,0.00,0.00,0.00,0.00%,3,0,0.00%,"Jun 20, 2025",2025-06-20
