contract_name,last_trade_date_(edt),strike,last_price,bid,ask,change,%_change,volume,open_interest,implied_volatility,expiry_sheet,expiry_date
GOOG271217C00075000,2025-06-06 12:35:00,75,128.90,0.00,0.00,0.00,0.00%,900,0,0.00%,"Jun 20, 2025",2025-06-20
GOOG271217C00080000,6/13/2025 11:37 AM,80,127.30,0.00,0.00,0.00,0.00%,1,0,0.00%,"Jun 20, 2025",2025-06-20
GOOG271217C00085000,2025-06-06 12:35:00,85,119.10,0.00,0.00,0.00,0.00%,750,0,0.00%,"Jun 20, 2025",2025-06-20
GOOG271217C00090000,2025-06-06 12:35:00,90,114.00,0.00,0.00,0.00,0.00%,295,0,0.00%,"Jun 20, 2025",2025-06-20
GOOG271217C00095000,2025-06-06 12:35:00,95,108.70,0.00,0.00,0.00,0.00%,105,0,0.00%,"Jun 20, 2025",2025-06-20
GOOG271217C00100000,6/17/2025 10:48 AM,100,107.60,0.00,0.00,0.00,0.00%,1,0,0.00%,"Jun 20, 2025",2025-06-20
GOOG271217C00105000,2025-10-06 09:54:00,105,105.15,0.00,0.00,0.00,0.00%,1,0,0.00%,"Jun 20, 2025",2025-06-20
GOOG271217C00110000,2025-10-06 11:17:00,110,101.40,0.00,0.00,0.00,0.00%,1,0,0.00%,"Jun 20, 2025",2025-06-20
GOOG271217C00115000,5/30/2025 12:10 PM,115,86.34,0.00,0.00,0.00,0.00%,2,0,0.00%,"Jun 20, 2025",2025-06-20
GOOG271217C00120000,2025-10-06 11:53:00,120,91.00,0.00,0.00,0.00,0.00%,7,0,0.00%,"Jun 20, 2025",2025-06-20
GOOG271217C00125000,2025-06-06 11:18:00,125,78.53,0.00,0.00,0.00,0.00%,2,0,0.00%,"Jun 20, 2025",2025-06-20
GOOG271217C00130000,6/17/2025 10:07 AM,130,76.00,0.00,0.00,0.00,0.00%,1,0,0.00%,"Jun 20, 2025",2025-06-20
GOOG271217C00135000,6/17/2025 12:35 PM,135,73.60,0.00,0.00,0.00,0.00%,1,0,0.00%,"Jun 20, 2025",2025-06-20
GOOG271217C00140000,6/17/2025 11:55 AM,140,68.05,0.00,0.00,0.00,0.00%,3,0,0.00%,"Jun 20, 2025",2025-06-20
GOOG271217C00145000,6/17/2025 9:56 AM,145,61.45,0.00,0.00,0.00,0.00%,1,0,0.00%,"Jun 20, 2025",2025-06-20
GOOG271217C00150000,6/17/2025 2:58 PM,150,57.80,0.00,0.00,0.00,0.00%,19,0,0.00%,"Jun 20, 2025",2025-06-20
GOOG271217C00155000,6/17/2025 3:50 PM,155,52.99,0.00,0.00,0.00,0.00%,10,0,0.00%,"Jun 20, 2025",2025-06-20
GOOG271217C00160000,6/17/2025 3:55 PM,160,47.61,0.00,0.00,0.00,0.00%,10,0,0.00%,"Jun 20, 2025",2025-06-20
GOOG271217C00165000,6/17/2025 10:21 AM,165,41.76,0.00,0.00,0.00,0.00%,3,0,0.00%,"Jun 20, 2025",2025-06-20
GOOG271217C00170000,6/17/2025 3:40 PM,170,37.70,0.00,0.00,0.00,0.00%,15,0,0.00%,"Jun 20, 2025",2025-06-20
GOOG271217C00175000,6/17/2025 2:46 PM,175,32.30,0.00,0.00,0.00,0.00%,132,0,0.00%,"Jun 20, 2025",2025-06-20
GOOG271217C00180000,6/17/2025 3:58 PM,180,27.07,0.00,0.00,0.00,0.00%,47,0,0.00%,"Jun 20, 2025",2025-06-20
GOOG271217C00185000,2025-10-06 15:33:00,185,27.73,0.00,0.00,0.00,0.00%,10,0,0.00%,"Jun 20, 2025",2025-06-20
GOOG271217C00190000,6/17/2025 3:10 PM,190,23.27,0.00,0.00,0.00,0.00%,44,0,0.00%,"Jun 20, 2025",2025-06-20
GOOG271217C00195000,6/16/2025 3:21 PM,195,20.64,0.00,0.00,0.00,0.00%,4,0,0.00%,"Jun 20, 2025",2025-06-20
GOOG271217C00200000,6/17/2025 3:51 PM,200,17.65,0.00,0.00,0.00,0.00%,207,0,0.00%,"Jun 20, 2025",2025-06-20
GOOG271217C00205000,6/17/2025 3:47 PM,205,15.39,0.00,0.00,0.00,0.00%,87,0,0.00%,"Jun 20, 2025",2025-06-20
GOOG271217C00210000,6/17/2025 3:54 PM,210,12.62,0.00,0.00,0.00,0.00%,113,0,0.00%,"Jun 20, 2025",2025-06-20
GOOG271217C00215000,6/17/2025 3:27 PM,215,10.56,0.00,0.00,0.00,0.00%,87,0,0.00%,"Jun 20, 2025",2025-06-20
GOOG271217C00220000,6/17/2025 3:59 PM,220,7.48,0.00,0.00,0.00,0.00%,1.337,0,0.00%,"Jun 20, 2025",2025-06-20
GOOG271217C00225000,6/17/2025 3:55 PM,225,5.35,0.00,0.00,0.00,0.00%,418,0,0.00%,"Jun 20, 2025",2025-06-20
GOOG271217C00230000,6/17/2025 3:59 PM,230,3.20,0.00,0.00,0.00,0.00%,1.597,0,0.00%,"Jun 20, 2025",2025-06-20
GOOG271217C00235000,6/17/2025 3:59 PM,235,1.73,0.00,0.00,0.00,0.00%,4.545,0,0.78%,"Jun 20, 2025",2025-06-20
GOOG271217C00240000,6/17/2025 3:59 PM,240,0.71,0.00,0.00,0.00,0.00%,9.789,0,6.25%,"Jun 20, 2025",2025-06-20
GOOG271217C00245000,6/17/2025 3:59 PM,245,0.25,0.00,0.00,0.00,0.00%,4.553,0,6.25%,"Jun 20, 2025",2025-06-20
GOOG271217C00250000,6/17/2025 3:59 PM,250,0.10,0.00,0.00,0.00,0.00%,1.781,0,12.50%,"Jun 20, 2025",2025-06-20
GOOG271217C00255000,6/17/2025 3:59 PM,255,0.06,0.00,0.00,0.00,0.00%,1.095,0,12.50%,"Jun 20, 2025",2025-06-20
GOOG271217C00260000,6/17/2025 3:59 PM,260,0.04,0.00,0.00,0.00,0.00%,974,0,12.50%,"Jun 20, 2025",2025-06-20
GOOG271217C00265000,6/17/2025 3:37 PM,265,0.03,0.00,0.00,0.00,0.00%,110,0,25.00%,"Jun 20, 2025",2025-06-20
GOOG271217C00270000,6/17/2025 3:59 PM,270,0.02,0.00,0.00,0.00,0.00%,153,0,25.00%,"Jun 20, 2025",2025-06-20
GOOG271217C00275000,6/17/2025 2:25 PM,275,0.01,0.00,0.00,0.00,0.00%,17,0,25.00%,"Jun 20, 2025",2025-06-20
GOOG250620C00200000,6/17/2025 3:49 PM,200,0.01,0.00,0.00,0.00,0.00%,43,0,25.00%,"Jun 20, 2025",2025-06-20
GOOG250620C00202500,6/16/2025 10:19 AM,202.5,0.01,0.00,0.00,0.00,0.00%,3,0,25.00%,"Jun 20, 2025",2025-06-20
GOOG250620C00205000,6/17/2025 2:38 PM,205,0.01,0.00,0.00,0.00,0.00%,1,0,25.00%,"Jun 20, 2025",2025-06-20
GOOG250620C00210000,6/17/2025 12:46 PM,210,0.01,0.00,0.00,0.00,0.00%,101,0,50.00%,"Jun 20, 2025",2025-06-20
GOOG250620C00215000,6/17/2025 9:37 AM,215,0.01,0.00,0.00,0.00,0.00%,1,0,50.00%,"Jun 20, 2025",2025-06-20
GOOG250620C00220000,6/16/2025 2:25 PM,220,0.01,0.00,0.00,0.00,0.00%,1,0,50.00%,"Jun 20, 2025",2025-06-20
GOOG250620C00225000,2025-11-06 10:00:00,225,0.01,0.00,0.00,0.00,0.00%,500,0,50.00%,"Jun 20, 2025",2025-06-20
GOOG250620C00230000,6/17/2025 12:45 PM,230,0.01,0.00,0.00,0.00,0.00%,60,0,50.00%,"Jun 20, 2025",2025-06-20
GOOG250620C00235000,2025-05-06 14:36:00,235,0.05,0.00,0.00,0.00,0.00%,1,0,50.00%,"Jun 20, 2025",2025-06-20
GOOG250620C00240000,6/17/2025 1:56 PM,240,0.01,0.00,0.00,0.00,0.00%,3,0,50.00%,"Jun 20, 2025",2025-06-20
GOOG250620C00245000,2025-12-06 12:38:00,245,0.02,0.00,0.00,0.00,0.00%,1,0,50.00%,"Jun 20, 2025",2025-06-20
GOOG250620C00250000,6/16/2025 3:21 PM,250,0.01,0.00,0.00,0.00,0.00%,2,0,50.00%,"Jun 20, 2025",2025-06-20
GOOG250620C00260000,2025-12-06 11:21:00,260,0.01,0.00,0.00,0.00,0.00%,2,0,50.00%,"Jun 20, 2025",2025-06-20
GOOG250620C00270000,6/17/2025 3:19 PM,270,0.01,0.00,0.00,0.00,0.00%,7,0,50.00%,"Jun 20, 2025",2025-06-20
GOOG250620C00280000,6/16/2025 9:37 AM,280,0.01,0.00,0.00,0.00,0.00%,1,0,50.00%,"Jun 20, 2025",2025-06-20
GOOG250620C00290000,5/16/2025 3:58 PM,290,0.01,0.00,0.01,0.00,0.00%,5,655,168.75%,"Jun 20, 2025",2025-06-20
GOOG250620C00300000,2025-10-06 11:34:00,300,0.02,0.00,0.00,0.00,0.00%,1,0,50.00%,"Jun 20, 2025",2025-06-20
Puts,,,,,,,,,,,"Jun 20, 2025",2025-06-20
In The Money,,,,,,,,,,,"Jun 20, 2025",2025-06-20
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,"Jun 20, 2025",2025-06-20
GOOG271217P00075000,2025-12-05 10:18:00,75,0.01,0.00,0.07,0.00,0.00%,5,0,543.75%,"Jun 20, 2025",2025-06-20
GOOG271217P00080000,4/23/2025 2:52 PM,80,0.04,0.00,0.02,0.00,0.00%,1,2.029,450.00%,"Jun 20, 2025",2025-06-20
GOOG271217P00085000,5/13/2025 10:27 AM,85,0.01,0.00,0.05,0.00,0.00%,3,937,453.13%,"Jun 20, 2025",2025-06-20
GOOG271217P00090000,2025-12-05 10:22:00,90,0.01,0.00,0.08,0.00,0.00%,1,0,439.06%,"Jun 20, 2025",2025-06-20
GOOG271217P00095000,5/27/2025 9:51 AM,95,0.01,0.00,0.00,0.00,0.00%,1,0,50.00%,"Jun 20, 2025",2025-06-20
GOOG271217P00100000,5/16/2025 1:18 PM,100,0.02,0.00,0.02,0.00,0.00%,70,1.325,331.25%,"Jun 20, 2025",2025-06-20
GOOG271217P00105000,6/17/2025 12:07 PM,105,0.01,0.00,0.00,0.00,0.00%,3,0,50.00%,"Jun 20, 2025",2025-06-20
GOOG271217P00110000,2025-11-06 11:37:00,110,0.01,0.00,0.00,0.00,0.00%,3,0,50.00%,"Jun 20, 2025",2025-06-20
GOOG271217P00115000,2025-12-06 11:38:00,115,0.01,0.00,0.00,0.00,0.00%,4,0,50.00%,"Jun 20, 2025",2025-06-20
GOOG271217P00120000,2025-11-06 11:37:00,120,0.01,0.00,0.00,0.00,0.00%,2,0,50.00%,"Jun 20, 2025",2025-06-20
GOOG271217P00125000,2025-09-06 11:06:00,125,0.02,0.00,0.00,0.00,0.00%,5,0,50.00%,"Jun 20, 2025",2025-06-20
GOOG271217P00130000,2025-11-06 11:20:00,130,0.01,0.00,0.00,0.00,0.00%,3,0,50.00%,"Jun 20, 2025",2025-06-20
GOOG271217P00135000,2025-06-06 14:11:00,135,0.03,0.00,0.00,0.00,0.00%,1,0,50.00%,"Jun 20, 2025",2025-06-20
GOOG271217P00140000,6/16/2025 1:28 PM,140,0.01,0.00,0.00,0.00,0.00%,2,0,50.00%,"Jun 20, 2025",2025-06-20
GOOG271217P00145000,6/16/2025 9:32 AM,145,0.01,0.00,0.00,0.00,0.00%,79,0,50.00%,"Jun 20, 2025",2025-06-20
