contract_name,last_trade_date_(edt),strike,last_price,bid,ask,change,%_change,volume,open_interest,implied_volatility,expiry_sheet,expiry_date
META250620C00005000,6/17/2025 3:57 PM,5,692.50,0.00,0.00,0.00,0.00%,5,0,0.00%,"Jun 20, 2025",2025-06-20
META250620C00010000,6/13/2025 3:54 PM,10,672.00,0.00,0.00,0.00,0.00%,55,0,0.00%,"Jun 20, 2025",2025-06-20
META250620C00015000,6/13/2025 3:49 PM,15,668.00,0.00,0.00,0.00,0.00%,2,0,0.00%,"Jun 20, 2025",2025-06-20
META250620C00025000,6/13/2025 3:49 PM,25,658.00,0.00,0.00,0.00,0.00%,2,0,0.00%,"Jun 20, 2025",2025-06-20
META250620C00030000,6/16/2025 11:56 AM,30,671.25,0.00,0.00,0.00,0.00%,1,0,0.00%,"Jun 20, 2025",2025-06-20
META250620C00035000,3/28/2023 3:10 PM,35,169.50,205.00,210.00,0.00,0.00%,1,1,0.00%,"Jun 20, 2025",2025-06-20
META250620C00040000,6/13/2025 2:22 PM,40,648.25,0.00,0.00,0.00,0.00%,50,0,0.00%,"Jun 20, 2025",2025-06-20
META250620C00050000,6/13/2025 3:34 PM,50,633.20,0.00,0.00,0.00,0.00%,420,0,0.00%,"Jun 20, 2025",2025-06-20
META250620C00055000,6/13/2025 2:22 PM,55,633.15,0.00,0.00,0.00,0.00%,25,0,0.00%,"Jun 20, 2025",2025-06-20
META250620C00060000,6/13/2025 2:22 PM,60,628.15,0.00,0.00,0.00,0.00%,50,0,0.00%,"Jun 20, 2025",2025-06-20
META250620C00065000,6/13/2025 2:22 PM,65,623.05,0.00,0.00,0.00,0.00%,25,0,0.00%,"Jun 20, 2025",2025-06-20
META250620C00070000,6/13/2025 2:22 PM,70,618.20,0.00,0.00,0.00,0.00%,25,0,0.00%,"Jun 20, 2025",2025-06-20
META250620C00075000,6/13/2025 3:49 PM,75,608.00,0.00,0.00,0.00,0.00%,1,0,0.00%,"Jun 20, 2025",2025-06-20
META250620C00080000,6/13/2025 2:22 PM,80,608.25,0.00,0.00,0.00,0.00%,25,0,0.00%,"Jun 20, 2025",2025-06-20
META250620C00085000,6/13/2025 1:37 PM,85,605.50,0.00,0.00,0.00,0.00%,800,0,0.00%,"Jun 20, 2025",2025-06-20
META250620C00090000,6/13/2025 2:22 PM,90,598.25,0.00,0.00,0.00,0.00%,50,0,0.00%,"Jun 20, 2025",2025-06-20
META250620C00095000,6/13/2025 3:49 PM,95,588.00,0.00,0.00,0.00,0.00%,2,0,0.00%,"Jun 20, 2025",2025-06-20
META250620C00100000,6/13/2025 3:33 PM,100,580.95,0.00,0.00,0.00,0.00%,361,0,0.00%,"Jun 20, 2025",2025-06-20
META250620C00105000,6/13/2025 3:33 PM,105,579.10,0.00,0.00,0.00,0.00%,235,0,0.00%,"Jun 20, 2025",2025-06-20
META250620C00110000,6/13/2025 2:22 PM,110,577.95,0.00,0.00,0.00,0.00%,25,0,0.00%,"Jun 20, 2025",2025-06-20
META250620C00115000,6/13/2025 3:33 PM,115,569.10,0.00,0.00,0.00,0.00%,265,0,0.00%,"Jun 20, 2025",2025-06-20
META250620C00120000,6/13/2025 3:33 PM,120,561.40,0.00,0.00,0.00,0.00%,560,0,0.00%,"Jun 20, 2025",2025-06-20
META250620C00125000,6/13/2025 3:33 PM,125,558.10,0.00,0.00,0.00,0.00%,760,0,0.00%,"Jun 20, 2025",2025-06-20
META250620C00130000,6/13/2025 3:33 PM,130,553.10,0.00,0.00,0.00,0.00%,3.75,0,0.00%,"Jun 20, 2025",2025-06-20
META250620C00135000,6/13/2025 3:33 PM,135,548.10,0.00,0.00,0.00,0.00%,570,0,0.00%,"Jun 20, 2025",2025-06-20
META250620C00140000,6/13/2025 3:33 PM,140,541.35,0.00,0.00,0.00,0.00%,2.64,0,0.00%,"Jun 20, 2025",2025-06-20
META250620C00145000,6/13/2025 3:33 PM,145,538.10,0.00,0.00,0.00,0.00%,610,0,0.00%,"Jun 20, 2025",2025-06-20
META250620C00150000,6/13/2025 3:33 PM,150,533.05,0.00,0.00,0.00,0.00%,1.73,0,0.00%,"Jun 20, 2025",2025-06-20
META250620C00155000,6/13/2025 3:33 PM,155,528.10,0.00,0.00,0.00,0.00%,330,0,0.00%,"Jun 20, 2025",2025-06-20
META250620C00160000,6/13/2025 3:33 PM,160,522.96,0.00,0.00,0.00,0.00%,1.69,0,0.00%,"Jun 20, 2025",2025-06-20
META250620C00165000,6/13/2025 3:33 PM,165,516.50,0.00,0.00,0.00,0.00%,615,0,0.00%,"Jun 20, 2025",2025-06-20
META250620C00170000,6/16/2025 10:51 AM,170,533.00,0.00,0.00,0.00,0.00%,1,0,0.00%,"Jun 20, 2025",2025-06-20
META250620C00175000,6/13/2025 3:33 PM,175,506.30,0.00,0.00,0.00,0.00%,721,0,0.00%,"Jun 20, 2025",2025-06-20
META250620C00180000,6/13/2025 3:33 PM,180,501.25,0.00,0.00,0.00,0.00%,741,0,0.00%,"Jun 20, 2025",2025-06-20
META250620C00185000,6/13/2025 3:34 PM,185,496.45,0.00,0.00,0.00,0.00%,1.79,0,0.00%,"Jun 20, 2025",2025-06-20
META250620C00190000,6/13/2025 3:34 PM,190,491.45,0.00,0.00,0.00,0.00%,1.61,0,0.00%,"Jun 20, 2025",2025-06-20
META250620C00195000,6/13/2025 3:34 PM,195,488.10,0.00,0.00,0.00,0.00%,1.52,0,0.00%,"Jun 20, 2025",2025-06-20
META250620C00200000,6/17/2025 12:15 PM,200,504.45,0.00,0.00,0.00,0.00%,2,0,0.00%,"Jun 20, 2025",2025-06-20
META250620C00205000,6/13/2025 3:34 PM,205,478.10,0.00,0.00,0.00,0.00%,1.84,0,0.00%,"Jun 20, 2025",2025-06-20
META250620C00210000,6/13/2025 3:34 PM,210,471.45,0.00,0.00,0.00,0.00%,1.59,0,0.00%,"Jun 20, 2025",2025-06-20
META250620C00215000,6/13/2025 3:34 PM,215,468.10,0.00,0.00,0.00,0.00%,1.68,0,0.00%,"Jun 20, 2025",2025-06-20
META250620C00220000,6/13/2025 3:34 PM,220,461.50,0.00,0.00,0.00,0.00%,1.02,0,0.00%,"Jun 20, 2025",2025-06-20
META250620C00225000,6/17/2025 2:28 PM,225,473.08,0.00,0.00,0.00,0.00%,5,0,0.00%,"Jun 20, 2025",2025-06-20
META250620C00230000,6/13/2025 3:34 PM,230,453.05,0.00,0.00,0.00,0.00%,4.54,0,0.00%,"Jun 20, 2025",2025-06-20
META250620C00235000,6/13/2025 3:34 PM,235,446.45,0.00,0.00,0.00,0.00%,1.59,0,0.00%,"Jun 20, 2025",2025-06-20
META250620C00240000,6/13/2025 3:34 PM,240,443.50,0.00,0.00,0.00,0.00%,1.65,0,0.00%,"Jun 20, 2025",2025-06-20
META250620C00245000,6/13/2025 3:34 PM,245,435.90,0.00,0.00,0.00,0.00%,452,0,0.00%,"Jun 20, 2025",2025-06-20
