contract_name,last_trade_date_(edt),strike,last_price,bid,ask,change,%_change,volume,open_interest,implied_volatility,expiry_sheet,expiry_date
MSFT250620C00115000,2025-12-06 15:13:00,115,364.74,361.65,364.55,0.00,0.00%,2,15,620.31%,"Jun 20, 2025",2025-06-20
MSFT250620C00120000,5/27/2025 3:55 PM,120,340.65,356.75,359.60,0.00,0.00%,1,5,610.74%,"Jun 20, 2025",2025-06-20
MSFT250620C00125000,5/14/2025 2:38 PM,125,326.80,348.00,351.15,0.00,0.00%,185,0,0.00%,"Jun 20, 2025",2025-06-20
MSFT250620C00130000,2025-11-06 15:19:00,130,342.00,348.00,349.75,0.00,0.00%,25,373,634.57%,"Jun 20, 2025",2025-06-20
MSFT250620C00135000,2025-12-06 15:46:00,135,343.85,341.85,345.00,0.00,0.00%,2,104,583.40%,"Jun 20, 2025",2025-06-20
MSFT250620C00140000,2025-02-05 09:51:00,140,295.35,318.45,322.15,0.00,0.00%,1,1,0.00%,"Jun 20, 2025",2025-06-20
MSFT250620C00145000,5/13/2025 1:21 PM,145,303.60,328.05,331.70,0.00,0.00%,1,0,0.00%,"Jun 20, 2025",2025-06-20
MSFT250620C00150000,5/27/2025 3:55 PM,150,311.00,327.85,329.60,0.00,0.00%,1,505,558.50%,"Jun 20, 2025",2025-06-20
MSFT250620C00155000,2025-04-06 14:00:00,155,310.30,321.65,324.70,0.00,0.00%,5,31,502.15%,"Jun 20, 2025",2025-06-20
MSFT250620C00160000,2025-02-06 11:10:00,160,301.43,316.55,319.65,0.00,0.00%,1,6,481.84%,"Jun 20, 2025",2025-06-20
MSFT250620C00165000,2025-12-05 10:06:00,165,276.33,307.00,309.10,0.00,0.00%,1,0,0.00%,"Jun 20, 2025",2025-06-20
MSFT250620C00170000,2025-12-05 10:06:00,170,271.41,302.00,304.10,0.00,0.00%,1,265,0.00%,"Jun 20, 2025",2025-06-20
MSFT250620C00175000,5/14/2025 12:35 PM,175,277.30,298.05,301.65,0.00,0.00%,5,33,0.00%,"Jun 20, 2025",2025-06-20
MSFT250620C00180000,6/16/2025 1:08 PM,180,299.95,297.60,299.90,0.00,0.00%,2,912,477.34%,"Jun 20, 2025",2025-06-20
MSFT250620C00185000,2025-03-06 13:16:00,185,278.50,291.80,294.85,0.00,0.00%,2,13,438.77%,"Jun 20, 2025",2025-06-20
MSFT250620C00190000,2025-08-05 12:59:00,190,253.42,279.40,282.55,0.00,0.00%,7,138,0.00%,"Jun 20, 2025",2025-06-20
MSFT250620C00195000,5/14/2025 3:28 PM,195,256.36,278.10,281.75,0.00,0.00%,45,427,0.00%,"Jun 20, 2025",2025-06-20
MSFT250620C00200000,2025-12-06 15:05:00,200,280.02,278.00,279.85,0.00,0.00%,1,371,438.48%,"Jun 20, 2025",2025-06-20
MSFT250620C00205000,2025-07-05 12:54:00,205,231.00,264.40,267.60,0.00,0.00%,43,51,0.00%,"Jun 20, 2025",2025-06-20
MSFT250620C00210000,6/16/2025 12:05 PM,210,270.25,266.70,269.75,0.00,0.00%,1,64,378.03%,"Jun 20, 2025",2025-06-20
MSFT250620C00215000,5/13/2025 9:32 AM,215,231.50,258.10,261.60,0.00,0.00%,6,16,0.00%,"Jun 20, 2025",2025-06-20
MSFT250620C00220000,5/27/2025 3:55 PM,220,241.20,258.15,259.60,0.00,0.00%,19,139,392.48%,"Jun 20, 2025",2025-06-20
MSFT250620C00225000,5/30/2025 11:45 AM,225,234.35,251.70,254.90,0.00,0.00%,1,94,353.42%,"Jun 20, 2025",2025-06-20
