contract_name,last_trade_date_(edt),strike,last_price,bid,ask,change,%_change,volume,open_interest,implied_volatility,expiry_sheet,expiry_date
SPY250617C00400000,6/17/2025 1:01 PM,400,199.65,198.28,198.42,-1.39,-0.69%,2,110,402.15%,"Jun 17, 2025",2025-06-17
SPY250617C00500000,6/17/2025 10:42 AM,500,100.68,97.24,99.23,-3.14,-3.02%,27,28,198.24%,"Jun 17, 2025",2025-06-17
SPY250617C00505000,6/17/2025 12:26 PM,505,96.41,92.43,94.18,1.22,1.28%,3,3,191.60%,"Jun 17, 2025",2025-06-17
SPY250617C00510000,6/13/2025 12:40 PM,510,91.03,88.25,88.66,0.00,0.00%,-,1,187.30%,"Jun 17, 2025",2025-06-17
SPY250617C00520000,6/16/2025 3:49 PM,520,80.55,78.27,78.48,-1.74,-2.11%,1,39,166.11%,"Jun 17, 2025",2025-06-17
SPY250617C00525000,6/17/2025 10:24 AM,525,76.11,73.25,73.52,-1.64,-2.11%,3,4,157.13%,"Jun 17, 2025",2025-06-17
SPY250617C00530000,6/17/2025 9:45 AM,530,69.81,68.47,68.70,-1.98,-2.76%,2,5,153.22%,"Jun 17, 2025",2025-06-17
SPY250617C00535000,6/16/2025 3:51 PM,535,67.11,63.21,63.54,0.00,0.00%,4,3,138.28%,"Jun 17, 2025",2025-06-17
SPY250617C00540000,6/17/2025 9:32 AM,540,60.57,58.25,58.55,-1.62,-2.60%,1,31,129.64%,"Jun 17, 2025",2025-06-17
SPY250617C00545000,6/13/2025 12:03 PM,545,55.08,53.34,53.47,-1.27,-2.25%,1,17,120.41%,"Jun 17, 2025",2025-06-17
SPY250617C00550000,6/17/2025 1:57 PM,550,48.54,48.47,48.66,-4.68,-8.79%,65,25,114.60%,"Jun 17, 2025",2025-06-17
SPY250617C00552000,6/17/2025 10:45 AM,552,48.77,46.47,46.66,-1.74,-3.44%,1,2,110.74%,"Jun 17, 2025",2025-06-17
SPY250617C00553000,6/17/2025 10:45 AM,553,47.79,45.25,45.55,-0.51,-1.06%,2,2,105.27%,"Jun 17, 2025",2025-06-17
SPY250617C00554000,6/17/2025 10:55 AM,554,46.83,44.25,44.55,-0.94,-1.97%,1,2,103.37%,"Jun 17, 2025",2025-06-17
SPY250617C00556000,6/13/2025 2:38 PM,556,40.15,42.47,42.69,0.00,0.00%,-,1,103.30%,"Jun 17, 2025",2025-06-17
