contract_name,last_trade_date_(edt),strike,last_price,bid,ask,change,%_change,volume,open_interest,implied_volatility,expiry_sheet,expiry_date
TSLA250620C00005000,6/17/2025 3:34 PM,5,313.00,0.00,0.00,0.00,0.00%,17,0,0.00%,"Jun 20, 2025",2025-06-20
TSLA250620C00010000,6/13/2025 9:41 AM,10,307.00,0.00,0.00,0.00,0.00%,50,0,0.00%,"Jun 20, 2025",2025-06-20
TSLA250620C00015000,6/17/2025 10:09 AM,15,308.09,0.00,0.00,0.00,0.00%,2,0,0.00%,"Jun 20, 2025",2025-06-20
TSLA250620C00020000,2025-11-06 13:36:00,20,310.81,0.00,0.00,0.00,0.00%,2,0,0.00%,"Jun 20, 2025",2025-06-20
TSLA250620C00025000,6/17/2025 10:23 AM,25,297.77,0.00,0.00,0.00,0.00%,1,0,0.00%,"Jun 20, 2025",2025-06-20
TSLA250620C00030000,2025-09-06 15:58:00,30,277.90,0.00,0.00,0.00,0.00%,10,0,0.00%,"Jun 20, 2025",2025-06-20
TSLA250620C00035000,2025-11-06 15:10:00,35,289.95,0.00,0.00,0.00,0.00%,2,0,0.00%,"Jun 20, 2025",2025-06-20
TSLA250620C00040000,6/16/2025 12:33 PM,40,291.45,0.00,0.00,0.00,0.00%,3,0,0.00%,"Jun 20, 2025",2025-06-20
TSLA250620C00045000,6/17/2025 12:51 PM,45,274.45,0.00,0.00,0.00,0.00%,2,0,0.00%,"Jun 20, 2025",2025-06-20
TSLA250620C00050000,6/17/2025 2:40 PM,50,266.48,0.00,0.00,0.00,0.00%,12,0,0.00%,"Jun 20, 2025",2025-06-20
TSLA250620C00055000,2025-11-06 14:44:00,55,270.95,0.00,0.00,0.00,0.00%,1,0,0.00%,"Jun 20, 2025",2025-06-20
TSLA250620C00060000,2025-09-06 11:23:00,60,234.34,0.00,0.00,0.00,0.00%,1,0,0.00%,"Jun 20, 2025",2025-06-20
TSLA250620C00065000,6/16/2025 3:26 PM,65,264.49,0.00,0.00,0.00,0.00%,4,0,0.00%,"Jun 20, 2025",2025-06-20
TSLA250620C00070000,6/16/2025 9:43 AM,70,258.33,0.00,0.00,0.00,0.00%,1,0,0.00%,"Jun 20, 2025",2025-06-20
TSLA250620C00075000,6/16/2025 3:26 PM,75,254.47,0.00,0.00,0.00,0.00%,4,0,0.00%,"Jun 20, 2025",2025-06-20
TSLA250620C00080000,6/17/2025 1:10 PM,80,239.35,0.00,0.00,0.00,0.00%,10,0,0.00%,"Jun 20, 2025",2025-06-20
TSLA250620C00085000,2025-12-06 15:45:00,85,234.45,0.00,0.00,0.00,0.00%,2,0,0.00%,"Jun 20, 2025",2025-06-20
TSLA250620C00090000,6/16/2025 12:26 PM,90,241.10,0.00,0.00,0.00,0.00%,6,0,0.00%,"Jun 20, 2025",2025-06-20
TSLA250620C00095000,6/13/2025 2:48 PM,95,229.72,0.00,0.00,0.00,0.00%,2,0,0.00%,"Jun 20, 2025",2025-06-20
TSLA250620C00100000,6/17/2025 1:47 PM,100,218.34,0.00,0.00,0.00,0.00%,10,0,0.00%,"Jun 20, 2025",2025-06-20
TSLA250620C00105000,2025-12-06 15:43:00,105,214.25,0.00,0.00,0.00,0.00%,2,0,0.00%,"Jun 20, 2025",2025-06-20
TSLA250620C00110000,6/16/2025 11:27 AM,110,219.95,0.00,0.00,0.00,0.00%,2,0,0.00%,"Jun 20, 2025",2025-06-20
TSLA250620C00115000,6/17/2025 12:49 PM,115,204.24,0.00,0.00,0.00,0.00%,1,0,0.00%,"Jun 20, 2025",2025-06-20
TSLA250620C00120000,6/13/2025 1:35 PM,120,211.18,0.00,0.00,0.00,0.00%,4,0,0.00%,"Jun 20, 2025",2025-06-20
TSLA250620C00125000,2025-12-06 14:46:00,125,194.28,0.00,0.00,0.00,0.00%,1,0,0.00%,"Jun 20, 2025",2025-06-20
TSLA250620C00130000,6/17/2025 12:15 PM,130,191.11,0.00,0.00,0.00,0.00%,2,0,0.00%,"Jun 20, 2025",2025-06-20
TSLA250620C00135000,6/17/2025 3:06 PM,135,181.60,0.00,0.00,0.00,0.00%,41,0,0.00%,"Jun 20, 2025",2025-06-20
TSLA250620C00140000,6/17/2025 10:38 AM,140,183.95,0.00,0.00,0.00,0.00%,5,0,0.00%,"Jun 20, 2025",2025-06-20
TSLA250620C00145000,6/17/2025 12:51 PM,145,174.50,0.00,0.00,0.00,0.00%,11,0,0.00%,"Jun 20, 2025",2025-06-20
TSLA250620C00150000,6/17/2025 3:57 PM,150,166.98,0.00,0.00,0.00,0.00%,53,0,0.00%,"Jun 20, 2025",2025-06-20
TSLA250620C00155000,6/17/2025 3:34 PM,155,162.62,0.00,0.00,0.00,0.00%,8,0,0.00%,"Jun 20, 2025",2025-06-20
TSLA250620C00160000,6/17/2025 11:16 AM,160,162.58,0.00,0.00,0.00,0.00%,11,0,0.00%,"Jun 20, 2025",2025-06-20
TSLA250620C00165000,6/17/2025 1:48 PM,165,153.38,0.00,0.00,0.00,0.00%,1,0,0.00%,"Jun 20, 2025",2025-06-20
TSLA250620C00170000,6/17/2025 1:08 PM,170,148.73,0.00,0.00,0.00,0.00%,20,0,0.00%,"Jun 20, 2025",2025-06-20
TSLA250620C00175000,6/17/2025 1:22 PM,175,143.96,0.00,0.00,0.00,0.00%,1,0,0.00%,"Jun 20, 2025",2025-06-20
TSLA250620C00180000,6/17/2025 3:07 PM,180,136.95,0.00,0.00,0.00,0.00%,21,0,0.00%,"Jun 20, 2025",2025-06-20
TSLA250620C00185000,6/17/2025 11:22 AM,185,135.50,0.00,0.00,0.00,0.00%,1,0,0.00%,"Jun 20, 2025",2025-06-20
TSLA250620C00190000,6/17/2025 3:16 PM,190,127.29,0.00,0.00,0.00,0.00%,15,0,0.00%,"Jun 20, 2025",2025-06-20
TSLA250620C00195000,6/17/2025 2:35 PM,195,121.61,0.00,0.00,0.00,0.00%,20,0,0.00%,"Jun 20, 2025",2025-06-20
TSLA250620C00197500,6/16/2025 3:01 PM,197.5,130.55,0.00,0.00,0.00,0.00%,6,0,0.00%,"Jun 20, 2025",2025-06-20
TSLA250620C00200000,6/17/2025 3:49 PM,200,118.44,0.00,0.00,0.00,0.00%,248,0,0.00%,"Jun 20, 2025",2025-06-20
TSLA250620C00202500,6/17/2025 3:50 PM,202.5,115.88,0.00,0.00,0.00,0.00%,78,0,0.00%,"Jun 20, 2025",2025-06-20
TSLA250620C00205000,6/17/2025 3:50 PM,205,113.39,0.00,0.00,0.00,0.00%,84,0,0.00%,"Jun 20, 2025",2025-06-20
TSLA250620C00207500,6/17/2025 2:19 PM,207.5,107.69,0.00,0.00,0.00,0.00%,40,0,0.00%,"Jun 20, 2025",2025-06-20
TSLA250620C00210000,6/17/2025 2:57 PM,210,106.86,0.00,0.00,0.00,0.00%,70,0,0.00%,"Jun 20, 2025",2025-06-20
TSLA250620C00215000,6/17/2025 3:57 PM,215,102.50,0.00,0.00,0.00,0.00%,30,0,0.00%,"Jun 20, 2025",2025-06-20
TSLA250620C00217500,6/17/2025 1:46 PM,217.5,101.22,0.00,0.00,0.00,0.00%,-,-,0.00%,"Jun 20, 2025",2025-06-20
TSLA250620C00220000,6/17/2025 1:49 PM,220,97.55,0.00,0.00,0.00,0.00%,31,0,0.00%,"Jun 20, 2025",2025-06-20
TSLA250620C00222500,6/17/2025 10:57 AM,222.5,99.60,0.00,0.00,0.00,0.00%,8,0,0.00%,"Jun 20, 2025",2025-06-20
TSLA250620C00225000,6/17/2025 1:43 PM,225,94.22,0.00,0.00,0.00,0.00%,35,0,0.00%,"Jun 20, 2025",2025-06-20
TSLA250620C00227500,6/13/2025 12:38 PM,227.5,99.90,0.00,0.00,0.00,0.00%,-,0,0.00%,"Jun 20, 2025",2025-06-20
TSLA250620C00230000,6/17/2025 3:55 PM,230,87.10,0.00,0.00,0.00,0.00%,174,0,0.00%,"Jun 20, 2025",2025-06-20
TSLA250620C00232500,6/16/2025 2:46 PM,232.5,97.30,0.00,0.00,0.00,0.00%,1,0,0.00%,"Jun 20, 2025",2025-06-20
TSLA250620C00235000,6/17/2025 3:28 PM,235,81.75,0.00,0.00,0.00,0.00%,15,0,0.00%,"Jun 20, 2025",2025-06-20
TSLA250620C00237500,2025-12-06 13:20:00,237.5,88.15,0.00,0.00,0.00,0.00%,-,0,0.00%,"Jun 20, 2025",2025-06-20
TSLA250620C00240000,6/17/2025 3:58 PM,240,77.06,0.00,0.00,0.00,0.00%,49,0,0.00%,"Jun 20, 2025",2025-06-20
TSLA250620C00245000,6/17/2025 3:52 PM,245,72.71,0.00,0.00,0.00,0.00%,16,0,0.00%,"Jun 20, 2025",2025-06-20
TSLA250620C00247500,6/17/2025 10:07 AM,247.5,75.11,0.00,0.00,0.00,0.00%,5,0,0.00%,"Jun 20, 2025",2025-06-20
TSLA250620C00250000,6/17/2025 3:59 PM,250,66.61,0.00,0.00,0.00,0.00%,249,0,0.00%,"Jun 20, 2025",2025-06-20
TSLA250620C00252500,6/17/2025 1:16 PM,252.5,66.49,0.00,0.00,0.00,0.00%,7,0,0.00%,"Jun 20, 2025",2025-06-20
TSLA250620C00255000,6/17/2025 3:28 PM,255,61.79,0.00,0.00,0.00,0.00%,20,0,0.00%,"Jun 20, 2025",2025-06-20
TSLA250620C00257500,6/17/2025 1:46 PM,257.5,61.50,0.00,0.00,0.00,0.00%,15,0,0.00%,"Jun 20, 2025",2025-06-20
TSLA250620C00260000,6/17/2025 3:45 PM,260,58.00,0.00,0.00,0.00,0.00%,97,0,0.00%,"Jun 20, 2025",2025-06-20
TSLA250620C00262500,6/17/2025 10:01 AM,262.5,61.30,0.00,0.00,0.00,0.00%,14,0,0.00%,"Jun 20, 2025",2025-06-20
TSLA250620C00265000,6/17/2025 3:20 PM,265,52.03,0.00,0.00,0.00,0.00%,45,0,0.00%,"Jun 20, 2025",2025-06-20
TSLA250620C00267500,6/17/2025 9:30 AM,267.5,57.78,0.00,0.00,0.00,0.00%,12,0,0.00%,"Jun 20, 2025",2025-06-20
TSLA250620C00270000,6/17/2025 3:59 PM,270,46.77,0.00,0.00,0.00,0.00%,122,0,0.00%,"Jun 20, 2025",2025-06-20
