Calls,"Jun 17, 2025 @ close",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
AAPL250801C00145000,2025-12-06 11:43:00,145,54.32,0.00,0.00,0.00,0.00%,-,0,0.00%
AAPL250801C00150000,6/17/2025 3:00 PM,150,46.70,0.00,0.00,0.00,0.00%,-,-,0.00%
AAPL250801C00170000,6/13/2025 1:13 PM,170,29.85,0.00,0.00,0.00,0.00%,-,0,0.00%
AAPL250801C00175000,6/16/2025 3:40 PM,175,26.14,0.00,0.00,0.00,0.00%,-,0,0.00%
AAPL250801C00180000,6/17/2025 12:09 PM,180,21.30,0.00,0.00,0.00,0.00%,1,0,0.00%
AAPL250801C00185000,6/17/2025 3:24 PM,185,16.10,0.00,0.00,0.00,0.00%,3,0,0.00%
AAPL250801C00190000,6/17/2025 3:56 PM,190,12.52,0.00,0.00,0.00,0.00%,15,0,0.00%
AAPL250801C00195000,6/17/2025 3:59 PM,195,9.50,0.00,0.00,0.00,0.00%,466,0,0.00%
AAPL250801C00200000,6/17/2025 3:59 PM,200,6.95,0.00,0.00,0.00,0.00%,213,0,1.56%
AAPL250801C00205000,6/17/2025 3:56 PM,205,4.80,0.00,0.00,0.00,0.00%,77,0,3.13%
AAPL250801C00210000,6/17/2025 3:56 PM,210,3.31,0.00,0.00,0.00,0.00%,146,0,6.25%
AAPL250801C00215000,6/17/2025 3:57 PM,215,2.19,0.00,0.00,0.00,0.00%,193,0,6.25%
AAPL250801C00220000,6/17/2025 3:55 PM,220,1.42,0.00,0.00,0.00,0.00%,433,0,6.25%
AAPL250801C00225000,6/17/2025 3:37 PM,225,0.90,0.00,0.00,0.00,0.00%,460,0,6.25%
AAPL250801C00230000,6/17/2025 3:47 PM,230,0.59,0.00,0.00,0.00,0.00%,189,0,12.50%
AAPL250801C00235000,6/17/2025 3:12 PM,235,0.45,0.00,0.00,0.00,0.00%,26,0,12.50%
AAPL250801C00240000,6/17/2025 2:52 PM,240,0.28,0.00,0.00,0.00,0.00%,12,0,12.50%
AAPL250801C00245000,6/17/2025 1:35 PM,245,0.22,0.00,0.00,0.00,0.00%,9,0,12.50%
AAPL250801C00250000,6/17/2025 11:46 AM,250,0.18,0.00,0.00,0.00,0.00%,3,0,12.50%
AAPL250801C00255000,6/17/2025 12:28 PM,255,0.12,0.00,0.00,0.00,0.00%,8,0,12.50%
AAPL250801C00260000,6/13/2025 11:21 AM,260,0.16,0.00,0.00,0.00,0.00%,-,0,12.50%
AAPL250801C00270000,6/16/2025 3:36 PM,270,0.07,0.00,0.00,0.00,0.00%,4,0,25.00%
Puts,,,,,,,,,,
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
AAPL250801P00110000,6/16/2025 3:32 PM,110,0.03,0.00,0.00,0.00,0.00%,1,0,25.00%
AAPL250801P00120000,6/17/2025 3:52 PM,120,0.06,0.00,0.00,0.00,0.00%,-,0,25.00%
AAPL250801P00125000,6/16/2025 9:30 AM,125,0.15,0.00,0.00,0.00,0.00%,-,0,25.00%
AAPL250801P00130000,6/17/2025 10:00 AM,130,0.12,0.00,0.00,0.00,0.00%,2,0,25.00%
AAPL250801P00135000,6/17/2025 3:22 PM,135,0.21,0.00,0.00,0.00,0.00%,4,0,25.00%
AAPL250801P00140000,6/17/2025 3:43 PM,140,0.25,0.00,0.00,0.00,0.00%,11,0,25.00%
AAPL250801P00145000,6/17/2025 3:02 PM,145,0.37,0.00,0.00,0.00,0.00%,33,0,12.50%
AAPL250801P00150000,6/17/2025 3:34 PM,150,0.47,0.00,0.00,0.00,0.00%,3.383,0,12.50%
AAPL250801P00155000,6/17/2025 3:51 PM,155,0.61,0.00,0.00,0.00,0.00%,17,0,12.50%
AAPL250801P00160000,6/17/2025 2:24 PM,160,0.84,0.00,0.00,0.00,0.00%,52,0,12.50%
AAPL250801P00165000,6/17/2025 3:58 PM,165,1.11,0.00,0.00,0.00,0.00%,52,0,12.50%
AAPL250801P00170000,6/17/2025 3:59 PM,170,1.58,0.00,0.00,0.00,0.00%,109,0,6.25%
AAPL250801P00175000,6/17/2025 3:59 PM,175,2.17,0.00,0.00,0.00,0.00%,262,0,6.25%
AAPL250801P00180000,6/17/2025 3:59 PM,180,3.10,0.00,0.00,0.00,0.00%,164,0,6.25%
AAPL250801P00185000,6/17/2025 3:58 PM,185,4.15,0.00,0.00,0.00,0.00%,78,0,3.13%
AAPL250801P00190000,6/17/2025 3:59 PM,190,5.80,0.00,0.00,0.00,0.00%,133,0,1.56%
AAPL250801P00195000,6/17/2025 3:59 PM,195,7.65,0.00,0.00,0.00,0.00%,60,0,0.39%
AAPL250801P00200000,6/17/2025 3:42 PM,200,10.22,0.00,0.00,0.00,0.00%,334,0,0.00%
AAPL250801P00205000,6/17/2025 3:51 PM,205,13.10,0.00,0.00,0.00,0.00%,228,0,0.00%
AAPL250801P00210000,6/17/2025 2:10 PM,210,16.35,0.00,0.00,0.00,0.00%,26,0,0.00%
AAPL250801P00215000,6/17/2025 3:23 PM,215,20.39,0.00,0.00,0.00,0.00%,3,0,0.00%
AAPL250801P00220000,6/17/2025 2:50 PM,220,24.66,0.00,0.00,0.00,0.00%,13,0,0.00%
AAPL250801P00230000,6/16/2025 10:14 AM,230,32.05,0.00,0.00,0.00,0.00%,1,0,0.00%
