Calls,"Jun 17, 2025 @ close",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
AAPL271217C00050000,6/16/2025 12:26 PM,50,150.70,0.00,0.00,0.00,0.00%,3,0,0.00%
AAPL271217C00055000,2025-02-06 12:06:00,55,150.50,0.00,0.00,0.00,0.00%,2,0,0.00%
AAPL271217C00060000,6/17/2025 9:45 AM,60,141.75,0.00,0.00,0.00,0.00%,1,0,0.00%
AAPL271217C00065000,5/22/2025 11:30 AM,65,141.88,0.00,0.00,0.00,0.00%,1,0,0.00%
AAPL271217C00070000,6/17/2025 10:04 AM,70,133.58,0.00,0.00,0.00,0.00%,1,0,0.00%
AAPL271217C00075000,5/20/2025 11:42 AM,75,139.90,0.00,0.00,0.00,0.00%,6,0,0.00%
AAPL271217C00080000,6/17/2025 1:00 PM,80,125.00,0.00,0.00,0.00,0.00%,5,0,0.00%
AAPL271217C00085000,2025-12-06 14:08:00,85,122.60,0.00,0.00,0.00,0.00%,274,0,0.00%
AAPL271217C00090000,6/17/2025 10:04 AM,90,116.58,0.00,0.00,0.00,0.00%,1,0,0.00%
AAPL271217C00095000,5/29/2025 3:58 PM,95,115.50,0.00,0.00,0.00,0.00%,9,0,0.00%
AAPL271217C00100000,6/16/2025 3:14 PM,100,109.60,0.00,0.00,0.00,0.00%,44,0,0.00%
AAPL271217C00105000,6/17/2025 3:12 PM,105,103.83,0.00,0.00,0.00,0.00%,5,0,0.00%
AAPL271217C00110000,2025-09-06 15:05:00,110,105.30,0.00,0.00,0.00,0.00%,1,0,0.00%
AAPL271217C00115000,2025-03-06 13:38:00,115,102.30,0.00,0.00,0.00,0.00%,21,0,0.00%
AAPL271217C00120000,6/17/2025 1:30 PM,120,92.48,0.00,0.00,0.00,0.00%,1,0,0.00%
AAPL271217C00125000,6/13/2025 10:28 AM,125,88.95,0.00,0.00,0.00,0.00%,2,0,0.00%
AAPL271217C00130000,6/17/2025 2:03 PM,130,84.50,0.00,0.00,0.00,0.00%,1,0,0.00%
AAPL271217C00135000,2025-11-06 11:46:00,135,85.75,0.00,0.00,0.00,0.00%,5,0,0.00%
AAPL271217C00140000,6/16/2025 1:54 PM,140,79.45,0.00,0.00,0.00,0.00%,2,0,0.00%
AAPL271217C00145000,6/17/2025 3:29 PM,145,74.00,0.00,0.00,0.00,0.00%,3,0,0.00%
AAPL271217C00150000,6/17/2025 3:51 PM,150,70.39,0.00,0.00,0.00,0.00%,21,0,0.00%
AAPL271217C00155000,6/17/2025 11:07 AM,155,68.76,0.00,0.00,0.00,0.00%,2,0,0.00%
AAPL271217C00160000,6/17/2025 2:10 PM,160,64.34,0.00,0.00,0.00,0.00%,3,0,0.00%
AAPL271217C00165000,6/16/2025 3:09 PM,165,62.65,0.00,0.00,0.00,0.00%,10,0,0.00%
AAPL271217C00170000,6/17/2025 1:46 PM,170,58.25,0.00,0.00,0.00,0.00%,3,0,0.00%
AAPL271217C00175000,6/17/2025 3:45 PM,175,54.94,0.00,0.00,0.00,0.00%,20,0,0.00%
AAPL271217C00180000,6/17/2025 3:46 PM,180,51.90,0.00,0.00,0.00,0.00%,6,0,0.00%
AAPL271217C00185000,6/17/2025 2:37 PM,185,49.50,0.00,0.00,0.00,0.00%,44,0,0.00%
AAPL271217C00190000,6/17/2025 3:35 PM,190,46.70,0.00,0.00,0.00,0.00%,101,0,0.00%
AAPL271217C00195000,6/17/2025 3:42 PM,195,44.00,0.00,0.00,0.00,0.00%,32,0,0.00%
AAPL271217C00200000,6/17/2025 3:41 PM,200,41.50,0.00,0.00,0.00,0.00%,185,0,0.39%
AAPL271217C00205000,6/17/2025 3:48 PM,205,39.26,0.00,0.00,0.00,0.00%,28,0,0.78%
AAPL271217C00210000,6/17/2025 3:01 PM,210,37.12,0.00,0.00,0.00,0.00%,16,0,0.78%
AAPL271217C00215000,6/17/2025 2:06 PM,215,35.05,0.00,0.00,0.00,0.00%,12,0,1.56%
AAPL271217C00220000,6/17/2025 3:51 PM,220,32.75,0.00,0.00,0.00,0.00%,35,0,1.56%
AAPL271217C00225000,6/17/2025 2:01 PM,225,30.90,0.00,0.00,0.00,0.00%,73,0,1.56%
AAPL271217C00230000,6/17/2025 3:47 PM,230,28.87,0.00,0.00,0.00,0.00%,69,0,1.56%
AAPL271217C00235000,6/17/2025 3:34 PM,235,27.05,0.00,0.00,0.00,0.00%,18,0,3.13%
AAPL271217C00240000,6/17/2025 3:18 PM,240,25.55,0.00,0.00,0.00,0.00%,23,0,3.13%
AAPL271217C00245000,6/13/2025 3:47 PM,245,24.50,0.00,0.00,0.00,0.00%,1,0,3.13%
AAPL271217C00250000,6/17/2025 3:53 PM,250,22.27,0.00,0.00,0.00,0.00%,43,0,3.13%
AAPL271217C00255000,6/13/2025 9:45 AM,255,22.20,0.00,0.00,0.00,0.00%,1,0,3.13%
AAPL271217C00260000,6/17/2025 3:52 PM,260,19.47,0.00,0.00,0.00,0.00%,12,0,3.13%
AAPL271217C00265000,2025-12-06 11:37:00,265,19.28,0.00,0.00,0.00,0.00%,15,0,3.13%
AAPL271217C00270000,6/17/2025 3:48 PM,270,16.95,0.00,0.00,0.00,0.00%,137,0,3.13%
AAPL271217C00275000,6/17/2025 2:03 PM,275,16.00,0.00,0.00,0.00,0.00%,1,0,3.13%
AAPL271217C00280000,6/17/2025 3:48 PM,280,14.75,0.00,0.00,0.00,0.00%,171,0,6.25%
AAPL271217C00285000,6/17/2025 3:18 PM,285,13.83,0.00,0.00,0.00,0.00%,10,0,6.25%
AAPL271217C00290000,6/16/2025 3:24 PM,290,13.75,0.00,0.00,0.00,0.00%,16,0,6.25%
AAPL271217C00295000,6/17/2025 3:31 PM,295,11.95,0.00,0.00,0.00,0.00%,1,0,6.25%
AAPL271217C00300000,6/17/2025 3:46 PM,300,11.00,0.00,0.00,0.00,0.00%,55,0,6.25%
AAPL271217C00305000,6/13/2025 2:03 PM,305,11.20,0.00,0.00,0.00,0.00%,1,0,6.25%
AAPL271217C00310000,6/17/2025 3:43 PM,310,9.55,0.00,0.00,0.00,0.00%,15,0,6.25%
AAPL271217C00315000,6/17/2025 2:19 PM,315,9.00,0.00,0.00,0.00,0.00%,2,0,6.25%
AAPL271217C00320000,6/17/2025 3:12 PM,320,8.45,0.00,0.00,0.00,0.00%,17,0,6.25%
AAPL271217C00325000,6/17/2025 2:23 PM,325,7.83,0.00,0.00,0.00,0.00%,13,0,6.25%
AAPL271217C00330000,6/17/2025 2:45 PM,330,7.30,0.00,0.00,0.00,0.00%,13,0,6.25%
AAPL271217C00335000,6/13/2025 2:53 PM,335,7.18,0.00,0.00,0.00,0.00%,1,0,6.25%
AAPL271217C00340000,6/17/2025 12:49 PM,340,6.55,0.00,0.00,0.00,0.00%,1,0,6.25%
AAPL271217C00345000,6/13/2025 2:53 PM,345,6.29,0.00,0.00,0.00,0.00%,1,0,6.25%
AAPL271217C00350000,6/17/2025 2:22 PM,350,5.50,0.00,0.00,0.00,0.00%,85,0,6.25%
AAPL271217C00355000,5/22/2025 9:40 AM,355,6.31,0.00,0.00,0.00,0.00%,3,0,6.25%
AAPL271217C00360000,2025-11-06 12:56:00,360,5.50,0.00,0.00,0.00,0.00%,82,0,6.25%
AAPL271217C00365000,2025-11-06 12:55:00,365,5.15,0.00,0.00,0.00,0.00%,21,0,6.25%
AAPL271217C00370000,2025-09-06 13:07:00,370,5.43,0.00,0.00,0.00,0.00%,1,0,6.25%
AAPL271217C00375000,6/16/2025 12:55 PM,375,4.25,0.00,0.00,0.00,0.00%,1,0,6.25%
AAPL271217C00380000,6/17/2025 10:07 AM,380,3.92,0.00,0.00,0.00,0.00%,2,0,6.25%
AAPL271217C00385000,6/17/2025 2:03 PM,385,3.45,0.00,0.00,0.00,0.00%,2,0,6.25%
AAPL271217C00390000,6/17/2025 3:15 PM,390,3.20,0.00,0.00,0.00,0.00%,2,0,6.25%
AAPL271217C00395000,6/17/2025 1:29 PM,395,3.10,0.00,0.00,0.00,0.00%,7,0,6.25%
AAPL271217C00400000,6/17/2025 11:14 AM,400,3.08,0.00,0.00,0.00,0.00%,2,0,6.25%
AAPL271217C00405000,6/17/2025 11:36 AM,405,2.90,0.00,0.00,0.00,0.00%,20,0,6.25%
AAPL271217C00410000,6/17/2025 9:30 AM,410,2.84,0.00,0.00,0.00,0.00%,1,0,6.25%
AAPL271217C00415000,6/17/2025 9:56 AM,415,2.57,0.00,0.00,0.00,0.00%,33,0,12.50%
AAPL271217C00420000,2025-11-06 13:47:00,420,2.60,0.00,0.00,0.00,0.00%,1,0,12.50%
AAPL271217C00425000,2025-11-06 14:02:00,425,2.45,0.00,0.00,0.00,0.00%,1,0,12.50%
AAPL271217C00430000,6/13/2025 3:49 PM,430,2.21,0.00,0.00,0.00,0.00%,26,0,12.50%
AAPL271217C00435000,6/17/2025 2:15 PM,435,1.89,0.00,0.00,0.00,0.00%,2,0,12.50%
AAPL271217C00440000,6/17/2025 3:50 PM,440,1.75,0.00,0.00,0.00,0.00%,456,0,12.50%
Puts,,,,,,,,,,
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
AAPL271217P00050000,6/16/2025 2:18 PM,50,0.77,0.00,0.00,0.00,0.00%,17,0,12.50%
AAPL271217P00055000,5/23/2025 12:59 PM,55,1.05,0.00,0.00,0.00,0.00%,10,0,12.50%
AAPL271217P00060000,2025-12-06 09:30:00,60,1.15,0.00,0.00,0.00,0.00%,50,0,12.50%
AAPL271217P00065000,2025-12-06 11:28:00,65,1.35,0.00,0.00,0.00,0.00%,5,0,12.50%
AAPL271217P00070000,6/17/2025 9:30 AM,70,1.60,0.00,0.00,0.00,0.00%,1,0,12.50%
AAPL271217P00075000,6/16/2025 3:39 PM,75,1.86,0.00,0.00,0.00,0.00%,4,0,12.50%
AAPL271217P00080000,6/16/2025 9:30 AM,80,2.30,0.00,0.00,0.00,0.00%,2,0,12.50%
AAPL271217P00085000,6/17/2025 3:55 PM,85,2.57,0.00,0.00,0.00,0.00%,3,0,12.50%
AAPL271217P00090000,6/17/2025 2:26 PM,90,3.05,0.00,0.00,0.00,0.00%,1,0,12.50%
AAPL271217P00095000,6/17/2025 1:18 PM,95,3.38,0.00,0.00,0.00,0.00%,1,0,12.50%
AAPL271217P00100000,6/17/2025 3:55 PM,100,4.00,0.00,0.00,0.00,0.00%,2,0,6.25%
AAPL271217P00105000,6/17/2025 3:41 PM,105,4.55,0.00,0.00,0.00,0.00%,14,0,6.25%
AAPL271217P00110000,6/16/2025 1:21 PM,110,5.15,0.00,0.00,0.00,0.00%,3,0,6.25%
AAPL271217P00115000,2025-12-06 11:52:00,115,5.80,0.00,0.00,0.00,0.00%,1,0,6.25%
AAPL271217P00120000,2025-12-06 11:59:00,120,6.50,0.00,0.00,0.00,0.00%,1,0,6.25%
AAPL271217P00125000,6/17/2025 3:37 PM,125,7.40,0.00,0.00,0.00,0.00%,16,0,6.25%
AAPL271217P00130000,6/17/2025 1:44 PM,130,8.20,0.00,0.00,0.00,0.00%,3,0,6.25%
AAPL271217P00135000,6/16/2025 1:11 PM,135,9.14,0.00,0.00,0.00,0.00%,10,0,6.25%
AAPL271217P00140000,6/17/2025 3:56 PM,140,10.38,0.00,0.00,0.00,0.00%,6,0,3.13%
AAPL271217P00145000,6/13/2025 9:38 AM,145,11.55,0.00,0.00,0.00,0.00%,3,0,3.13%
AAPL271217P00150000,6/17/2025 2:24 PM,150,12.80,0.00,0.00,0.00,0.00%,13,0,3.13%
AAPL271217P00155000,6/17/2025 3:59 PM,155,14.10,0.00,0.00,0.00,0.00%,2,0,3.13%
AAPL271217P00160000,6/17/2025 3:53 PM,160,15.40,0.00,0.00,0.00,0.00%,1,0,3.13%
AAPL271217P00165000,6/16/2025 10:34 AM,165,16.49,0.00,0.00,0.00,0.00%,2,0,3.13%
AAPL271217P00170000,6/17/2025 3:56 PM,170,18.55,0.00,0.00,0.00,0.00%,2,0,1.56%
AAPL271217P00175000,6/16/2025 2:36 PM,175,19.73,0.00,0.00,0.00,0.00%,34,0,1.56%
AAPL271217P00180000,6/17/2025 1:32 PM,180,21.85,0.00,0.00,0.00,0.00%,1,0,1.56%
AAPL271217P00185000,6/17/2025 12:16 PM,185,23.35,0.00,0.00,0.00,0.00%,11,0,0.78%
AAPL271217P00190000,6/17/2025 3:05 PM,190,26.40,0.00,0.00,0.00,0.00%,3,0,0.39%
AAPL271217P00195000,6/17/2025 3:39 PM,195,28.32,0.00,0.00,0.00,0.00%,12,0,0.05%
AAPL271217P00200000,6/17/2025 10:06 AM,200,30.40,0.00,0.00,0.00,0.00%,1,0,0.00%
AAPL271217P00205000,6/17/2025 12:59 PM,205,32.75,0.00,0.00,0.00,0.00%,1,0,0.00%
AAPL271217P00210000,6/13/2025 10:03 AM,210,36.00,0.00,0.00,0.00,0.00%,1,0,0.00%
AAPL271217P00215000,6/16/2025 2:40 PM,215,37.35,0.00,0.00,0.00,0.00%,90,0,0.00%
AAPL271217P00220000,6/17/2025 12:09 PM,220,40.20,0.00,0.00,0.00,0.00%,1,0,0.00%
AAPL271217P00225000,6/17/2025 1:06 PM,225,43.70,0.00,0.00,0.00,0.00%,4,0,0.00%
AAPL271217P00230000,2025-06-06 13:14:00,230,43.25,0.00,0.00,0.00,0.00%,2,0,0.00%
AAPL271217P00235000,6/17/2025 2:50 PM,235,50.60,0.00,0.00,0.00,0.00%,2,0,0.00%
AAPL271217P00240000,6/13/2025 11:57 AM,240,52.92,0.00,0.00,0.00,0.00%,1,0,0.00%
