Calls,"Jun 17, 2025 @ close",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
AAPL260220C00120000,2025-06-06 15:34:00,120,89.55,0.00,0.00,0.00,0.00%,1,0,0.00%
AAPL260220C00125000,6/17/2025 9:45 AM,125,76.50,0.00,0.00,0.00,0.00%,-,-,0.00%
AAPL260220C00135000,2025-09-06 12:30:00,135,74.97,0.00,0.00,0.00,0.00%,2,0,0.00%
AAPL260220C00140000,6/16/2025 10:01 AM,140,64.97,0.00,0.00,0.00,0.00%,2,0,0.00%
AAPL260220C00145000,6/17/2025 11:42 AM,145,60.47,0.00,0.00,0.00,0.00%,-,0,0.00%
AAPL260220C00150000,6/17/2025 11:23 AM,150,55.50,0.00,0.00,0.00,0.00%,-,-,0.00%
AAPL260220C00155000,2025-10-06 13:14:00,155,55.90,0.00,0.00,0.00,0.00%,-,0,0.00%
AAPL260220C00160000,6/17/2025 3:32 PM,160,45.68,0.00,0.00,0.00,0.00%,4,0,0.00%
AAPL260220C00165000,6/16/2025 1:34 PM,165,43.67,0.00,0.00,0.00,0.00%,7,0,0.00%
AAPL260220C00170000,6/16/2025 1:34 PM,170,39.87,0.00,0.00,0.00,0.00%,7,0,0.00%
AAPL260220C00175000,6/17/2025 12:20 PM,175,36.05,0.00,0.00,0.00,0.00%,4,0,0.00%
AAPL260220C00180000,6/16/2025 10:31 AM,180,33.00,0.00,0.00,0.00,0.00%,2,0,0.00%
AAPL260220C00185000,6/13/2025 9:31 AM,185,30.90,0.00,0.00,0.00,0.00%,3,0,0.00%
AAPL260220C00190000,6/17/2025 3:23 PM,190,25.15,0.00,0.00,0.00,0.00%,3,0,0.00%
AAPL260220C00195000,6/17/2025 3:31 PM,195,22.08,0.00,0.00,0.00,0.00%,95,0,0.00%
AAPL260220C00200000,6/17/2025 3:30 PM,200,19.48,0.00,0.00,0.00,0.00%,14,0,0.78%
AAPL260220C00205000,6/17/2025 3:45 PM,205,17.05,0.00,0.00,0.00,0.00%,25,0,1.56%
AAPL260220C00210000,6/17/2025 3:48 PM,210,14.80,0.00,0.00,0.00,0.00%,23,0,1.56%
AAPL260220C00215000,6/17/2025 3:39 PM,215,12.80,0.00,0.00,0.00,0.00%,12,0,3.13%
AAPL260220C00220000,6/17/2025 3:46 PM,220,11.00,0.00,0.00,0.00,0.00%,23,0,3.13%
AAPL260220C00225000,6/17/2025 12:59 PM,225,9.65,0.00,0.00,0.00,0.00%,11,0,3.13%
AAPL260220C00230000,6/17/2025 3:25 PM,230,8.00,0.00,0.00,0.00,0.00%,10,0,3.13%
AAPL260220C00235000,6/17/2025 2:45 PM,235,6.79,0.00,0.00,0.00,0.00%,5,0,6.25%
AAPL260220C00240000,6/16/2025 2:12 PM,240,6.10,0.00,0.00,0.00,0.00%,7,0,6.25%
AAPL260220C00245000,6/17/2025 2:08 PM,245,4.95,0.00,0.00,0.00,0.00%,2,0,6.25%
AAPL260220C00250000,6/17/2025 3:11 PM,250,4.11,0.00,0.00,0.00,0.00%,3,0,6.25%
AAPL260220C00255000,6/16/2025 12:48 PM,255,3.60,0.00,0.00,0.00,0.00%,1,0,6.25%
AAPL260220C00260000,6/17/2025 10:54 AM,260,3.03,0.00,0.00,0.00,0.00%,3,0,6.25%
AAPL260220C00265000,6/17/2025 2:59 PM,265,2.46,0.00,0.00,0.00,0.00%,1,0,6.25%
AAPL260220C00270000,6/17/2025 9:53 AM,270,2.11,0.00,0.00,0.00,0.00%,1,0,6.25%
AAPL260220C00275000,6/17/2025 10:54 AM,275,1.85,0.00,0.00,0.00,0.00%,2,0,6.25%
AAPL260220C00280000,6/17/2025 9:30 AM,280,1.59,0.00,0.00,0.00,0.00%,1,0,6.25%
AAPL260220C00285000,6/16/2025 3:14 PM,285,1.35,0.00,0.00,0.00,0.00%,3,0,12.50%
AAPL260220C00290000,6/16/2025 3:10 PM,290,1.17,0.00,0.00,0.00,0.00%,1,0,12.50%
AAPL260220C00300000,6/17/2025 2:32 PM,300,0.86,0.00,0.00,0.00,0.00%,10,0,12.50%
AAPL260220C00310000,6/16/2025 3:36 PM,310,0.65,0.00,0.00,0.00,0.00%,-,0,12.50%
AAPL260220C00320000,6/16/2025 10:17 AM,320,0.51,0.00,0.00,0.00,0.00%,2,0,12.50%
AAPL260220C00330000,2025-11-06 13:10:00,330,0.48,0.00,0.00,0.00,0.00%,-,0,12.50%
AAPL260220C00340000,2025-11-06 12:49:00,340,0.43,0.00,0.00,0.00,0.00%,-,0,12.50%
AAPL260220C00370000,2025-11-06 14:44:00,370,0.20,0.00,0.00,0.00,0.00%,-,0,12.50%
AAPL260220C00380000,2025-11-06 12:05:00,380,0.17,0.00,0.00,0.00,0.00%,-,0,12.50%
AAPL260220C00390000,2025-11-06 15:01:00,390,0.13,0.00,0.00,0.00,0.00%,94,0,12.50%
AAPL260220C00400000,6/17/2025 12:20 PM,400,0.10,0.00,0.00,0.00,0.00%,2,0,12.50%
Puts,,,,,,,,,,
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
AAPL260220P00100000,6/17/2025 3:20 PM,100,0.77,0.00,0.00,0.00,0.00%,24,0,12.50%
AAPL260220P00105000,6/13/2025 3:56 PM,105,0.99,0.00,0.00,0.00,0.00%,-,0,12.50%
AAPL260220P00110000,6/17/2025 3:16 PM,110,1.07,0.00,0.00,0.00,0.00%,1,0,12.50%
AAPL260220P00115000,6/16/2025 11:33 AM,115,1.24,0.00,0.00,0.00,0.00%,8,0,12.50%
AAPL260220P00120000,6/13/2025 9:49 AM,120,1.67,0.00,0.00,0.00,0.00%,-,0,12.50%
AAPL260220P00125000,6/16/2025 1:04 PM,125,1.72,0.00,0.00,0.00,0.00%,6,0,12.50%
AAPL260220P00130000,6/17/2025 3:26 PM,130,2.17,0.00,0.00,0.00,0.00%,1,0,12.50%
AAPL260220P00135000,6/17/2025 3:17 PM,135,2.56,0.00,0.00,0.00,0.00%,1,0,12.50%
AAPL260220P00140000,6/17/2025 12:46 PM,140,2.77,0.00,0.00,0.00,0.00%,23,0,6.25%
AAPL260220P00145000,6/16/2025 1:15 PM,145,3.40,0.00,0.00,0.00,0.00%,34,0,6.25%
AAPL260220P00150000,6/17/2025 3:17 PM,150,4.20,0.00,0.00,0.00,0.00%,17,0,6.25%
AAPL260220P00155000,6/17/2025 1:39 PM,155,4.70,0.00,0.00,0.00,0.00%,2,0,6.25%
AAPL260220P00160000,6/17/2025 3:34 PM,160,5.80,0.00,0.00,0.00,0.00%,150,0,6.25%
AAPL260220P00165000,6/17/2025 1:08 PM,165,6.50,0.00,0.00,0.00,0.00%,1,0,3.13%
AAPL260220P00170000,6/17/2025 2:26 PM,170,8.10,0.00,0.00,0.00,0.00%,5,0,3.13%
AAPL260220P00175000,6/17/2025 2:25 PM,175,9.40,0.00,0.00,0.00,0.00%,612,0,3.13%
AAPL260220P00180000,6/17/2025 3:31 PM,180,10.77,0.00,0.00,0.00,0.00%,61,0,3.13%
AAPL260220P00185000,6/17/2025 3:59 PM,185,12.55,0.00,0.00,0.00,0.00%,53,0,1.56%
AAPL260220P00190000,6/17/2025 3:44 PM,190,14.45,0.00,0.00,0.00,0.00%,99,0,0.78%
AAPL260220P00195000,6/17/2025 3:40 PM,195,16.50,0.00,0.00,0.00,0.00%,166,0,0.10%
AAPL260220P00200000,6/17/2025 3:48 PM,200,18.95,0.00,0.00,0.00,0.00%,41,0,0.00%
AAPL260220P00205000,6/16/2025 12:37 PM,205,20.40,0.00,0.00,0.00,0.00%,50,0,0.00%
AAPL260220P00210000,6/17/2025 11:33 AM,210,22.97,0.00,0.00,0.00,0.00%,1,0,0.00%
AAPL260220P00215000,2025-09-06 13:49:00,215,24.05,0.00,0.00,0.00,0.00%,1,0,0.00%
AAPL260220P00220000,2025-12-06 11:27:00,220,29.16,0.00,0.00,0.00,0.00%,-,0,0.00%
AAPL260220P00225000,2025-09-06 10:56:00,225,28.40,0.00,0.00,0.00,0.00%,1,0,0.00%
AAPL260220P00230000,2025-10-06 10:39:00,230,32.49,0.00,0.00,0.00,0.00%,-,0,0.00%
AAPL260220P00235000,2025-12-06 11:24:00,235,39.60,0.00,0.00,0.00,0.00%,-,0,0.00%
AAPL260220P00245000,6/13/2025 2:20 PM,245,49.53,0.00,0.00,0.00,0.00%,-,0,0.00%
AAPL260220P00255000,6/13/2025 2:20 PM,255,58.65,0.00,0.00,0.00,0.00%,-,0,0.00%
