Calls,"Jun 17, 2025 @ close",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
AAPL270115C00005000,2025-12-06 09:34:00,5,193.45,0.00,0.00,0.00,0.00%,1,0,0.00%
AAPL270115C00010000,5/16/2025 3:11 PM,10,201.58,183.90,187.70,0.00,0.00%,10,26,101.37%
AAPL270115C00015000,5/19/2025 1:53 PM,15,193.68,0.00,0.00,0.00,0.00%,10,0,0.00%
AAPL270115C00020000,6/13/2025 3:17 PM,20,176.82,0.00,0.00,0.00,0.00%,1,0,0.00%
AAPL270115C00025000,5/23/2025 1:36 PM,25,172.10,0.00,0.00,0.00,0.00%,3,0,0.00%
AAPL270115C00030000,5/23/2025 1:36 PM,30,167.50,0.00,0.00,0.00,0.00%,2,0,0.00%
AAPL270115C00035000,2025-06-05 12:43:00,35,165.98,165.30,169.20,0.00,0.00%,1,5,120.31%
AAPL270115C00040000,2025-05-05 15:46:00,40,160.80,163.15,166.80,0.00,0.00%,1,0,124.87%
AAPL270115C00045000,2025-08-04 10:29:00,45,146.88,153.75,157.55,0.00,0.00%,1,1,93.74%
AAPL270115C00050000,2025-11-06 15:18:00,50,151.29,0.00,0.00,0.00,0.00%,10,0,0.00%
AAPL270115C00060000,5/23/2025 11:58 AM,60,139.86,0.00,0.00,0.00,0.00%,1,0,0.00%
AAPL270115C00070000,5/21/2025 1:26 PM,70,136.93,0.00,0.00,0.00,0.00%,16,0,0.00%
AAPL270115C00080000,6/17/2025 2:48 PM,80,121.00,0.00,0.00,0.00,0.00%,1,0,0.00%
AAPL270115C00085000,2025-04-04 09:52:00,85,120.19,118.65,121.55,0.00,0.00%,2,165,68.96%
AAPL270115C00090000,2025-08-05 10:40:00,90,113.25,119.00,122.35,0.00,0.00%,1,269,78.53%
AAPL270115C00095000,4/17/2025 12:38 PM,95,110.37,122.05,125.20,0.00,0.00%,4,16,91.22%
AAPL270115C00100000,6/16/2025 12:36 PM,100,105.06,0.00,0.00,0.00,0.00%,43,0,0.00%
AAPL270115C00105000,4/30/2025 1:53 PM,105,114.15,103.60,105.00,0.00,0.00%,2,69,63.57%
AAPL270115C00110000,2025-03-06 09:43:00,110,101.30,0.00,0.00,0.00,0.00%,1,0,0.00%
AAPL270115C00115000,2025-08-04 12:01:00,115,81.18,93.10,94.10,0.00,0.00%,1,68,55.41%
AAPL270115C00120000,6/16/2025 3:48 PM,120,89.00,0.00,0.00,0.00,0.00%,3,0,0.00%
AAPL270115C00125000,2025-11-06 15:10:00,125,86.07,0.00,0.00,0.00,0.00%,3,0,0.00%
AAPL270115C00130000,2025-11-06 15:19:00,130,81.56,0.00,0.00,0.00,0.00%,3,0,0.00%
AAPL270115C00135000,2025-03-06 09:30:00,135,81.15,0.00,0.00,0.00,0.00%,10,0,0.00%
AAPL270115C00140000,6/17/2025 2:32 PM,140,70.81,0.00,0.00,0.00,0.00%,7,0,0.00%
AAPL270115C00145000,6/17/2025 2:32 PM,145,67.02,0.00,0.00,0.00,0.00%,6,0,0.00%
AAPL270115C00150000,6/17/2025 3:04 PM,150,63.30,0.00,0.00,0.00,0.00%,16,0,0.00%
AAPL270115C00155000,2025-06-06 09:37:00,155,68.10,0.00,0.00,0.00,0.00%,1,0,0.00%
AAPL270115C00160000,6/17/2025 2:32 PM,160,56.22,0.00,0.00,0.00,0.00%,2,0,0.00%
AAPL270115C00165000,2025-12-06 14:19:00,165,55.85,0.00,0.00,0.00,0.00%,4,0,0.00%
AAPL270115C00170000,6/17/2025 3:01 PM,170,49.75,0.00,0.00,0.00,0.00%,9,0,0.00%
AAPL270115C00175000,6/16/2025 1:45 PM,175,48.16,0.00,0.00,0.00,0.00%,35,0,0.00%
AAPL270115C00180000,6/17/2025 9:45 AM,180,44.00,0.00,0.00,0.00,0.00%,1,0,0.00%
AAPL270115C00185000,6/16/2025 3:47 PM,185,42.38,0.00,0.00,0.00,0.00%,2,0,0.00%
AAPL270115C00190000,6/17/2025 3:29 PM,190,37.70,0.00,0.00,0.00,0.00%,19,0,0.00%
AAPL270115C00195000,6/17/2025 3:31 PM,195,34.90,0.00,0.00,0.00,0.00%,3,0,0.00%
AAPL270115C00200000,6/17/2025 3:23 PM,200,32.50,0.00,0.00,0.00,0.00%,1.266,0,0.39%
AAPL270115C00210000,6/17/2025 2:03 PM,210,27.70,0.00,0.00,0.00,0.00%,6,0,1.56%
AAPL270115C00220000,6/17/2025 3:49 PM,220,23.30,0.00,0.00,0.00,0.00%,3.194,0,1.56%
AAPL270115C00230000,6/17/2025 3:48 PM,230,19.57,0.00,0.00,0.00,0.00%,197,0,3.13%
AAPL270115C00240000,6/17/2025 3:57 PM,240,16.35,0.00,0.00,0.00,0.00%,82,0,3.13%
AAPL270115C00250000,6/17/2025 3:53 PM,250,13.50,0.00,0.00,0.00,0.00%,360,0,3.13%
AAPL270115C00260000,6/17/2025 2:40 PM,260,11.32,0.00,0.00,0.00,0.00%,20,0,6.25%
AAPL270115C00270000,6/17/2025 3:29 PM,270,9.20,0.00,0.00,0.00,0.00%,31,0,6.25%
AAPL270115C00280000,6/17/2025 3:25 PM,280,7.60,0.00,0.00,0.00,0.00%,7,0,6.25%
AAPL270115C00290000,6/17/2025 3:40 PM,290,6.20,0.00,0.00,0.00,0.00%,5,0,6.25%
AAPL270115C00300000,6/17/2025 3:34 PM,300,5.10,0.00,0.00,0.00,0.00%,793,0,6.25%
AAPL270115C00310000,6/17/2025 2:32 PM,310,4.30,0.00,0.00,0.00,0.00%,69,0,6.25%
AAPL270115C00320000,6/17/2025 3:35 PM,320,3.49,0.00,0.00,0.00,0.00%,25,0,6.25%
AAPL270115C00330000,6/17/2025 9:46 AM,330,3.05,0.00,0.00,0.00,0.00%,15,0,6.25%
AAPL270115C00340000,6/17/2025 3:35 PM,340,2.40,0.00,0.00,0.00,0.00%,3,0,6.25%
AAPL270115C00350000,6/17/2025 3:59 PM,350,2.04,0.00,0.00,0.00,0.00%,12,0,6.25%
AAPL270115C00360000,6/17/2025 3:24 PM,360,1.75,0.00,0.00,0.00,0.00%,30,0,12.50%
AAPL270115C00370000,2025-12-06 11:47:00,370,1.67,0.00,0.00,0.00,0.00%,35,0,12.50%
AAPL270115C00380000,6/17/2025 3:12 PM,380,1.29,0.00,0.00,0.00,0.00%,87,0,12.50%
AAPL270115C00390000,6/17/2025 3:23 PM,390,1.16,0.00,0.00,0.00,0.00%,1,0,12.50%
AAPL270115C00400000,6/17/2025 3:47 PM,400,0.97,0.00,0.00,0.00,0.00%,114,0,12.50%
AAPL270115C00410000,2025-12-06 14:52:00,410,0.92,0.00,0.00,0.00,0.00%,3,0,12.50%
AAPL270115C00420000,6/17/2025 3:52 PM,420,0.73,0.00,0.00,0.00,0.00%,54,0,12.50%
AAPL270115C00430000,6/17/2025 12:50 PM,430,0.68,0.00,0.00,0.00,0.00%,1,0,12.50%
AAPL270115C00440000,6/17/2025 3:56 PM,440,0.59,0.00,0.00,0.00,0.00%,28,0,12.50%
AAPL270115C00450000,6/17/2025 3:29 PM,450,0.54,0.00,0.00,0.00,0.00%,33,0,12.50%
Puts,,,,,,,,,,
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
AAPL270115P00005000,6/17/2025 9:30 AM,5,0.01,0.00,0.00,0.00,0.00%,100,0,50.00%
AAPL270115P00010000,2025-04-06 12:54:00,10,0.02,0.00,0.00,0.00,0.00%,1,0,50.00%
AAPL270115P00015000,6/13/2025 3:51 PM,15,0.07,0.00,0.00,0.00,0.00%,3,0,50.00%
AAPL270115P00020000,6/16/2025 12:54 PM,20,0.10,0.00,0.00,0.00,0.00%,30,0,25.00%
AAPL270115P00025000,2025-12-06 13:16:00,25,0.15,0.00,0.00,0.00,0.00%,30,0,25.00%
AAPL270115P00030000,6/17/2025 12:01 PM,30,0.18,0.00,0.00,0.00,0.00%,2,0,25.00%
AAPL270115P00035000,5/21/2025 3:25 PM,35,0.32,0.00,0.00,0.00,0.00%,8,0,25.00%
AAPL270115P00040000,6/17/2025 2:05 PM,40,0.28,0.00,0.00,0.00,0.00%,2,0,25.00%
AAPL270115P00045000,2025-11-06 13:31:00,45,0.37,0.00,0.00,0.00,0.00%,2,0,25.00%
AAPL270115P00050000,6/17/2025 10:20 AM,50,0.44,0.00,0.00,0.00,0.00%,2,0,25.00%
AAPL270115P00060000,6/16/2025 11:15 AM,60,0.65,0.00,0.00,0.00,0.00%,10,0,25.00%
AAPL270115P00070000,2025-09-06 13:30:00,70,0.90,0.00,0.00,0.00,0.00%,2,0,12.50%
AAPL270115P00080000,2025-09-06 13:21:00,80,1.20,0.00,0.00,0.00,0.00%,5,0,12.50%
AAPL270115P00085000,2025-09-06 13:30:00,85,1.42,0.00,0.00,0.00,0.00%,2,0,12.50%
AAPL270115P00090000,2025-09-06 13:16:00,90,1.69,0.00,0.00,0.00,0.00%,1,0,12.50%
AAPL270115P00095000,2025-09-06 13:30:00,95,2.03,0.00,0.00,0.00,0.00%,2,0,12.50%
AAPL270115P00100000,6/17/2025 3:52 PM,100,2.39,0.00,0.00,0.00,0.00%,4,0,12.50%
AAPL270115P00105000,6/17/2025 10:04 AM,105,2.78,0.00,0.00,0.00,0.00%,10,0,12.50%
AAPL270115P00110000,6/16/2025 12:28 PM,110,3.20,0.00,0.00,0.00,0.00%,50,0,12.50%
AAPL270115P00115000,2025-12-06 10:18:00,115,3.68,0.00,0.00,0.00,0.00%,1,0,6.25%
AAPL270115P00120000,6/16/2025 9:37 AM,120,4.35,0.00,0.00,0.00,0.00%,2,0,6.25%
AAPL270115P00125000,6/17/2025 3:39 PM,125,4.80,0.00,0.00,0.00,0.00%,41,0,6.25%
AAPL270115P00130000,6/13/2025 2:08 PM,130,5.85,0.00,0.00,0.00,0.00%,205,0,6.25%
AAPL270115P00135000,6/16/2025 11:40 AM,135,6.30,0.00,0.00,0.00,0.00%,1,0,6.25%
AAPL270115P00140000,6/17/2025 9:55 AM,140,7.13,0.00,0.00,0.00,0.00%,1,0,6.25%
AAPL270115P00145000,6/17/2025 3:52 PM,145,8.15,0.00,0.00,0.00,0.00%,509,0,6.25%
AAPL270115P00150000,6/16/2025 9:40 AM,150,9.23,0.00,0.00,0.00,0.00%,1,0,3.13%
AAPL270115P00155000,6/13/2025 2:03 PM,155,10.55,0.00,0.00,0.00,0.00%,22,0,3.13%
AAPL270115P00160000,6/17/2025 11:09 AM,160,11.17,0.00,0.00,0.00,0.00%,1,0,3.13%
AAPL270115P00165000,6/17/2025 3:02 PM,165,13.10,0.00,0.00,0.00,0.00%,3,0,3.13%
AAPL270115P00170000,6/17/2025 2:30 PM,170,14.65,0.00,0.00,0.00,0.00%,1,0,3.13%
AAPL270115P00175000,6/17/2025 1:49 PM,175,16.00,0.00,0.00,0.00,0.00%,7,0,1.56%
AAPL270115P00180000,6/17/2025 3:55 PM,180,17.80,0.00,0.00,0.00,0.00%,3,0,1.56%
AAPL270115P00185000,6/17/2025 11:06 AM,185,19.08,0.00,0.00,0.00,0.00%,2,0,0.78%
AAPL270115P00190000,6/17/2025 2:30 PM,190,21.92,0.00,0.00,0.00,0.00%,2,0,0.78%
AAPL270115P00195000,6/17/2025 11:07 AM,195,23.12,0.00,0.00,0.00,0.00%,2,0,0.10%
AAPL270115P00200000,6/17/2025 3:57 PM,200,26.10,0.00,0.00,0.00,0.00%,67,0,0.00%
AAPL270115P00210000,6/17/2025 9:42 AM,210,30.65,0.00,0.00,0.00,0.00%,1,0,0.00%
AAPL270115P00220000,6/17/2025 3:18 PM,220,37.00,0.00,0.00,0.00,0.00%,10,0,0.00%
AAPL270115P00230000,2025-11-06 14:04:00,230,41.15,0.00,0.00,0.00,0.00%,16,0,0.00%
AAPL270115P00240000,6/17/2025 10:55 AM,240,48.93,0.00,0.00,0.00,0.00%,2,0,0.00%
AAPL270115P00250000,6/17/2025 11:09 AM,250,56.26,0.00,0.00,0.00,0.00%,7,0,0.00%
AAPL270115P00260000,6/17/2025 3:01 PM,260,66.18,0.00,0.00,0.00,0.00%,8,0,0.00%
AAPL270115P00270000,6/17/2025 11:07 AM,270,73.13,0.00,0.00,0.00,0.00%,2,0,0.00%
AAPL270115P00280000,6/17/2025 11:05 AM,280,82.33,0.00,0.00,0.00,0.00%,2,0,0.00%
AAPL270115P00290000,2025-11-06 14:15:00,290,90.95,0.00,0.00,0.00,0.00%,1,0,0.00%
AAPL270115P00300000,5/28/2025 9:37 AM,300,98.15,0.00,0.00,0.00,0.00%,1,0,0.00%
AAPL270115P00310000,4/15/2025 2:29 PM,310,108.39,0.00,0.00,0.00,0.00%,2,0,0.00%
AAPL270115P00320000,5/14/2025 2:49 PM,320,108.70,122.05,125.50,0.00,0.00%,2,0,22.58%
AAPL270115P00330000,2/25/2025 2:49 PM,330,81.65,110.30,114.10,0.00,0.00%,8,0,0.00%
AAPL270115P00340000,4/15/2025 12:23 PM,340,136.71,0.00,0.00,0.00,0.00%,2,0,0.00%
AAPL270115P00350000,2025-04-04 15:14:00,350,160.25,149.25,152.50,0.00,0.00%,1,0,0.00%
AAPL270115P00370000,2025-06-01 12:52:00,370,125.25,140.65,144.35,0.00,0.00%,-,0,0.00%
AAPL270115P00400000,2025-06-03 13:58:00,400,165.60,209.00,214.00,0.00,0.00%,2,0,48.34%
AAPL270115P00410000,2024-10-12 09:30:00,410,162.74,171.30,175.10,0.00,0.00%,-,0,0.00%
AAPL270115P00430000,11/14/2024 11:22 AM,430,203.30,179.50,184.50,0.00,0.00%,3,0,0.00%
