Calls,"Jun 17, 2025 @ close",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
AAPL250725C00135000,6/16/2025 10:41 AM,135,63.90,0.00,0.00,0.00,0.00%,2,0,0.00%
AAPL250725C00140000,6/16/2025 3:21 PM,140,59.13,0.00,0.00,0.00,0.00%,-,0,0.00%
AAPL250725C00145000,2025-11-06 10:12:00,145,58.61,0.00,0.00,0.00,0.00%,1,0,0.00%
AAPL250725C00150000,6/16/2025 10:23 AM,150,49.04,0.00,0.00,0.00,0.00%,-,0,0.00%
AAPL250725C00155000,2025-10-06 11:52:00,155,49.33,0.00,0.00,0.00,0.00%,1,0,0.00%
AAPL250725C00160000,6/17/2025 3:55 PM,160,37.50,0.00,0.00,0.00,0.00%,61,0,0.00%
AAPL250725C00165000,6/16/2025 10:04 AM,165,34.62,0.00,0.00,0.00,0.00%,1,0,0.00%
AAPL250725C00170000,6/17/2025 2:39 PM,170,27.55,0.00,0.00,0.00,0.00%,51,0,0.00%
AAPL250725C00175000,2025-12-06 13:42:00,175,26.56,0.00,0.00,0.00,0.00%,-,0,0.00%
AAPL250725C00180000,6/17/2025 2:12 PM,180,18.91,0.00,0.00,0.00,0.00%,31,0,0.00%
AAPL250725C00185000,6/17/2025 3:53 PM,185,14.59,0.00,0.00,0.00,0.00%,45,0,0.00%
AAPL250725C00190000,6/17/2025 3:55 PM,190,10.95,0.00,0.00,0.00,0.00%,26,0,0.00%
AAPL250725C00195000,6/17/2025 3:59 PM,195,7.75,0.00,0.00,0.00,0.00%,165,0,0.00%
AAPL250725C00200000,6/17/2025 3:59 PM,200,5.32,0.00,0.00,0.00,0.00%,1.166,0,1.56%
AAPL250725C00205000,6/17/2025 3:57 PM,205,3.40,0.00,0.00,0.00,0.00%,627,0,3.13%
AAPL250725C00210000,6/17/2025 3:55 PM,210,2.01,0.00,0.00,0.00,0.00%,871,0,6.25%
AAPL250725C00215000,6/17/2025 3:54 PM,215,1.21,0.00,0.00,0.00,0.00%,747,0,6.25%
AAPL250725C00220000,6/17/2025 3:55 PM,220,0.70,0.00,0.00,0.00,0.00%,891,0,6.25%
AAPL250725C00225000,6/17/2025 3:59 PM,225,0.43,0.00,0.00,0.00,0.00%,512,0,12.50%
AAPL250725C00230000,6/17/2025 3:54 PM,230,0.28,0.00,0.00,0.00,0.00%,82,0,12.50%
AAPL250725C00235000,6/17/2025 2:10 PM,235,0.21,0.00,0.00,0.00,0.00%,11,0,12.50%
AAPL250725C00240000,6/17/2025 3:14 PM,240,0.14,0.00,0.00,0.00,0.00%,2,0,12.50%
AAPL250725C00245000,6/17/2025 11:27 AM,245,0.11,0.00,0.00,0.00,0.00%,24,0,12.50%
AAPL250725C00250000,6/17/2025 12:19 PM,250,0.09,0.00,0.00,0.00,0.00%,4,0,12.50%
AAPL250725C00255000,6/17/2025 10:35 AM,255,0.07,0.00,0.00,0.00,0.00%,1,0,12.50%
AAPL250725C00260000,6/17/2025 2:57 PM,260,0.06,0.00,0.00,0.00,0.00%,5,0,25.00%
AAPL250725C00265000,2025-11-06 09:30:00,265,0.12,0.00,0.00,0.00,0.00%,1,0,25.00%
AAPL250725C00270000,6/13/2025 3:51 PM,270,0.05,0.00,0.00,0.00,0.00%,5,0,25.00%
AAPL250725C00275000,6/16/2025 12:10 PM,275,0.04,0.00,0.00,0.00,0.00%,23,0,25.00%
AAPL250725C00280000,6/16/2025 9:45 AM,280,0.05,0.00,0.00,0.00,0.00%,1,0,25.00%
AAPL250725C00285000,2025-12-06 12:05:00,285,0.05,-,0.00,0.00,0.00%,-,0,25.00%
AAPL250725C00290000,2025-11-06 15:41:00,290,0.05,-,0.00,0.00,0.00%,-,0,25.00%
AAPL250725C00300000,2025-10-06 10:31:00,300,0.02,-,0.00,0.00,0.00%,-,0,25.00%
AAPL250725C00325000,2025-11-06 14:35:00,325,0.01,-,0.00,0.00,0.00%,-,0,25.00%
Puts,,,,,,,,,,
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
AAPL250725P00110000,2025-10-06 12:24:00,110,0.03,0.00,0.00,0.00,0.00%,-,0,25.00%
AAPL250725P00120000,6/17/2025 1:06 PM,120,0.05,0.00,0.00,0.00,0.00%,2,0,25.00%
AAPL250725P00125000,6/17/2025 12:56 PM,125,0.05,0.00,0.00,0.00,0.00%,5,0,25.00%
AAPL250725P00130000,6/13/2025 3:44 PM,130,0.10,0.00,0.00,0.00,0.00%,-,0,25.00%
AAPL250725P00135000,6/16/2025 3:21 PM,135,0.12,0.00,0.00,0.00,0.00%,8,0,25.00%
AAPL250725P00140000,6/17/2025 3:18 PM,140,0.14,0.00,0.00,0.00,0.00%,4,0,25.00%
AAPL250725P00145000,6/17/2025 1:45 PM,145,0.21,0.00,0.00,0.00,0.00%,1,0,25.00%
AAPL250725P00150000,6/17/2025 1:59 PM,150,0.26,0.00,0.00,0.00,0.00%,25,0,12.50%
AAPL250725P00155000,6/17/2025 1:30 PM,155,0.35,0.00,0.00,0.00,0.00%,92,0,12.50%
AAPL250725P00160000,6/17/2025 3:59 PM,160,0.47,0.00,0.00,0.00,0.00%,87,0,12.50%
AAPL250725P00165000,6/17/2025 3:51 PM,165,0.67,0.00,0.00,0.00,0.00%,28,0,12.50%
AAPL250725P00170000,6/17/2025 3:55 PM,170,0.96,0.00,0.00,0.00,0.00%,106,0,12.50%
AAPL250725P00175000,6/17/2025 3:59 PM,175,1.43,0.00,0.00,0.00,0.00%,194,0,6.25%
AAPL250725P00180000,6/17/2025 3:52 PM,180,2.09,0.00,0.00,0.00,0.00%,231,0,6.25%
AAPL250725P00185000,6/17/2025 3:59 PM,185,3.05,0.00,0.00,0.00,0.00%,184,0,3.13%
AAPL250725P00190000,6/17/2025 3:56 PM,190,4.42,0.00,0.00,0.00,0.00%,188,0,1.56%
AAPL250725P00195000,6/17/2025 3:59 PM,195,6.32,0.00,0.00,0.00,0.00%,353,0,0.39%
AAPL250725P00200000,6/17/2025 3:59 PM,200,8.82,0.00,0.00,0.00,0.00%,95,0,0.00%
AAPL250725P00205000,6/17/2025 3:21 PM,205,11.75,0.00,0.00,0.00,0.00%,13,0,0.00%
AAPL250725P00210000,6/17/2025 1:48 PM,210,15.15,0.00,0.00,0.00,0.00%,4,0,0.00%
AAPL250725P00215000,6/16/2025 10:33 AM,215,17.28,0.00,0.00,0.00,0.00%,1,0,0.00%
AAPL250725P00220000,6/13/2025 12:16 PM,220,22.35,0.00,0.00,0.00,0.00%,24,0,0.00%
AAPL250725P00225000,6/16/2025 1:00 PM,225,27.55,0.00,0.00,0.00,0.00%,2,0,0.00%
AAPL250725P00230000,6/17/2025 10:39 AM,230,32.45,0.00,0.00,0.00,0.00%,-,-,0.00%
AAPL250725P00235000,2025-10-06 09:38:00,235,32.68,0.00,0.00,0.00,0.00%,20,0,0.00%
AAPL250725P00250000,2025-09-06 10:46:00,250,44.77,0.00,0.00,0.00,0.00%,1,0,0.00%
