Calls,"Jun 17, 2025 @ close",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
AAPL250620C00005000,6/17/2025 1:01 PM,5,191.50,0.00,0.00,0.00,0.00%,5,0,0.00%
AAPL250620C00010000,2025-09-06 13:59:00,10,192.64,0.00,0.00,0.00,0.00%,40,0,0.00%
AAPL250620C00015000,6/16/2025 9:43 AM,15,181.93,0.00,0.00,0.00,0.00%,2,0,0.00%
AAPL250620C00020000,2025-03-06 09:50:00,20,183.00,0.00,0.00,0.00,0.00%,1,0,0.00%
AAPL250620C00025000,6/13/2025 2:58 PM,25,171.33,0.00,0.00,0.00,0.00%,4,0,0.00%
AAPL250620C00030000,6/17/2025 3:01 PM,30,165.57,0.00,0.00,0.00,0.00%,5,0,0.00%
AAPL250620C00035000,6/17/2025 3:01 PM,35,160.62,0.00,0.00,0.00,0.00%,5,0,0.00%
AAPL250620C00040000,6/13/2025 10:01 AM,40,157.05,0.00,0.00,0.00,0.00%,4,0,0.00%
AAPL250620C00045000,6/13/2025 10:01 AM,45,152.05,0.00,0.00,0.00,0.00%,2,0,0.00%
AAPL250620C00050000,6/16/2025 3:02 PM,50,148.25,0.00,0.00,0.00,0.00%,84,0,0.00%
AAPL250620C00055000,6/16/2025 1:19 PM,55,142.46,0.00,0.00,0.00,0.00%,2,0,0.00%
AAPL250620C00060000,2025-10-06 15:22:00,60,143.05,0.00,0.00,0.00,0.00%,4,0,0.00%
AAPL250620C00065000,2025-10-06 15:22:00,65,138.08,0.00,0.00,0.00,0.00%,4,0,0.00%
AAPL250620C00070000,2025-02-06 11:09:00,70,131.35,0.00,0.00,0.00,0.00%,2,0,0.00%
AAPL250620C00075000,6/13/2025 9:52 AM,75,123.58,0.00,0.00,0.00,0.00%,1,0,0.00%
AAPL250620C00080000,6/13/2025 9:53 AM,80,117.25,0.00,0.00,0.00,0.00%,10,0,0.00%
AAPL250620C00085000,6/16/2025 3:03 PM,85,113.00,0.00,0.00,0.00,0.00%,3,0,0.00%
AAPL250620C00090000,6/16/2025 1:12 PM,90,107.34,0.00,0.00,0.00,0.00%,1,0,0.00%
AAPL250620C00095000,6/16/2025 10:20 AM,95,103.18,0.00,0.00,0.00,0.00%,1,0,0.00%
AAPL250620C00100000,6/16/2025 3:32 PM,100,98.17,0.00,0.00,0.00,0.00%,2,0,0.00%
AAPL250620C00105000,2025-06-06 15:32:00,105,100.05,0.00,0.00,0.00,0.00%,7,0,0.00%
AAPL250620C00110000,6/16/2025 3:53 PM,110,88.10,0.00,0.00,0.00,0.00%,386,0,0.00%
AAPL250620C00115000,6/17/2025 10:05 AM,115,82.15,0.00,0.00,0.00,0.00%,15,0,0.00%
AAPL250620C00120000,6/17/2025 3:03 PM,120,75.91,0.00,0.00,0.00,0.00%,1,0,0.00%
AAPL250620C00125000,6/16/2025 11:28 AM,125,71.95,0.00,0.00,0.00,0.00%,3,0,0.00%
AAPL250620C00130000,6/16/2025 12:17 PM,130,67.74,0.00,0.00,0.00,0.00%,12,0,0.00%
AAPL250620C00135000,6/17/2025 2:49 PM,135,60.73,0.00,0.00,0.00,0.00%,5,0,0.00%
AAPL250620C00140000,6/17/2025 3:33 PM,140,55.88,0.00,0.00,0.00,0.00%,12,0,0.00%
AAPL250620C00145000,6/17/2025 3:33 PM,145,50.93,0.00,0.00,0.00,0.00%,10,0,0.00%
AAPL250620C00150000,6/17/2025 2:55 PM,150,45.90,0.00,0.00,0.00,0.00%,65,0,0.00%
AAPL250620C00155000,6/17/2025 2:15 PM,155,40.83,0.00,0.00,0.00,0.00%,9,0,0.00%
AAPL250620C00160000,6/17/2025 3:16 PM,160,36.07,0.00,0.00,0.00,0.00%,3,0,0.00%
AAPL250620C00165000,6/17/2025 1:24 PM,165,31.85,0.00,0.00,0.00,0.00%,30,0,0.00%
AAPL250620C00170000,6/17/2025 3:18 PM,170,25.85,0.00,0.00,0.00,0.00%,67,0,0.00%
AAPL250620C00172500,6/17/2025 2:50 PM,172.5,23.35,0.00,0.00,0.00,0.00%,-,0,0.00%
AAPL250620C00175000,6/17/2025 3:59 PM,175,20.75,0.00,0.00,0.00,0.00%,192,0,0.00%
AAPL250620C00177500,6/17/2025 1:30 PM,177.5,19.10,0.00,0.00,0.00,0.00%,20,0,0.00%
AAPL250620C00180000,6/17/2025 3:55 PM,180,15.90,0.00,0.00,0.00,0.00%,187,0,0.00%
AAPL250620C00182500,6/17/2025 12:14 PM,182.5,15.77,0.00,0.00,0.00,0.00%,9,0,0.00%
AAPL250620C00185000,6/17/2025 3:56 PM,185,10.95,0.00,0.00,0.00,0.00%,616,0,0.00%
AAPL250620C00187500,6/17/2025 3:44 PM,187.5,8.50,0.00,0.00,0.00,0.00%,216,0,0.00%
AAPL250620C00190000,6/17/2025 3:59 PM,190,6.25,0.00,0.00,0.00,0.00%,1.062,0,0.00%
AAPL250620C00192500,6/17/2025 3:59 PM,192.5,4.25,0.00,0.00,0.00,0.00%,1.712,0,0.00%
AAPL250620C00195000,6/17/2025 3:59 PM,195,2.53,0.00,0.00,0.00,0.00%,14.104,0,0.00%
AAPL250620C00197500,6/17/2025 3:59 PM,197.5,1.29,0.00,0.00,0.00,0.00%,36.475,0,3.13%
AAPL250620C00200000,6/17/2025 3:59 PM,200,0.56,0.00,0.00,0.00,0.00%,37.825,0,6.25%
AAPL250620C00202500,6/17/2025 3:59 PM,202.5,0.22,0.00,0.00,0.00,0.00%,17.669,0,12.50%
AAPL250620C00205000,6/17/2025 3:59 PM,205,0.10,0.00,0.00,0.00,0.00%,26.441,0,12.50%
AAPL250620C00207500,6/17/2025 3:59 PM,207.5,0.06,0.00,0.00,0.00,0.00%,8.269,0,12.50%
AAPL250620C00210000,6/17/2025 3:59 PM,210,0.04,0.00,0.00,0.00,0.00%,15.281,0,12.50%
AAPL250620C00212500,6/17/2025 3:59 PM,212.5,0.02,0.00,0.00,0.00,0.00%,2.042,0,25.00%
AAPL250620C00215000,6/17/2025 3:59 PM,215,0.02,0.00,0.00,0.00,0.00%,3.388,0,25.00%
AAPL250620C00217500,6/17/2025 3:58 PM,217.5,0.01,0.00,0.00,0.00,0.00%,443,0,25.00%
AAPL250620C00220000,6/17/2025 3:58 PM,220,0.02,0.00,0.00,0.00,0.00%,2.653,0,25.00%
AAPL250620C00222500,6/17/2025 3:26 PM,222.5,0.01,0.00,0.00,0.00,0.00%,221,0,25.00%
AAPL250620C00225000,6/17/2025 3:50 PM,225,0.01,0.00,0.00,0.00,0.00%,913,0,25.00%
AAPL250620C00227500,6/17/2025 11:53 AM,227.5,0.01,0.00,0.00,0.00,0.00%,24,0,25.00%
AAPL250620C00230000,6/17/2025 3:53 PM,230,0.01,0.00,0.00,0.00,0.00%,769,0,50.00%
AAPL250620C00232500,6/17/2025 10:22 AM,232.5,0.01,0.00,0.00,0.00,0.00%,9,0,50.00%
AAPL250620C00235000,6/17/2025 3:48 PM,235,0.01,0.00,0.00,0.00,0.00%,51,0,50.00%
AAPL250620C00240000,6/17/2025 3:59 PM,240,0.01,0.00,0.00,0.00,0.00%,424,0,50.00%
AAPL250620C00245000,6/17/2025 3:37 PM,245,0.01,0.00,0.00,0.00,0.00%,33,0,50.00%
AAPL250620C00250000,6/17/2025 2:45 PM,250,0.01,0.00,0.00,0.00,0.00%,16,0,50.00%
AAPL250620C00255000,6/17/2025 1:33 PM,255,0.01,0.00,0.00,0.00,0.00%,18,0,50.00%
AAPL250620C00260000,6/17/2025 2:43 PM,260,0.01,0.00,0.00,0.00,0.00%,56,0,50.00%
AAPL250620C00265000,6/17/2025 2:16 PM,265,0.01,0.00,0.00,0.00,0.00%,8,0,50.00%
AAPL250620C00270000,6/17/2025 12:42 PM,270,0.01,0.00,0.00,0.00,0.00%,3,0,50.00%
AAPL250620C00275000,6/17/2025 3:40 PM,275,0.01,0.00,0.00,0.00,0.00%,2,0,50.00%
AAPL250620C00280000,6/16/2025 3:11 PM,280,0.01,0.00,0.00,0.00,0.00%,446,0,50.00%
AAPL250620C00285000,6/13/2025 1:55 PM,285,0.01,0.00,0.00,0.00,0.00%,1,0,50.00%
AAPL250620C00290000,6/16/2025 11:06 AM,290,0.01,0.00,0.00,0.00,0.00%,1,0,50.00%
AAPL250620C00295000,6/13/2025 10:23 AM,295,0.01,0.00,0.00,0.00,0.00%,23,0,50.00%
AAPL250620C00300000,6/17/2025 3:04 PM,300,0.01,0.00,0.00,0.00,0.00%,16,0,50.00%
AAPL250620C00305000,6/17/2025 9:30 AM,305,0.01,0.00,0.00,0.00,0.00%,1,0,50.00%
AAPL250620C00310000,2025-12-06 12:15:00,310,0.01,0.00,0.00,0.00,0.00%,10,0,50.00%
AAPL250620C00320000,6/16/2025 2:20 PM,320,0.01,0.00,0.00,0.00,0.00%,2,0,50.00%
AAPL250620C00330000,2025-05-06 13:48:00,330,0.01,0.00,0.00,0.00,0.00%,6,0,50.00%
AAPL250620C00340000,5/23/2025 12:47 PM,340,0.01,0.00,0.00,0.00,0.00%,1,0,50.00%
AAPL250620C00350000,6/17/2025 1:44 PM,350,0.01,0.00,0.00,0.00,0.00%,1,0,50.00%
AAPL250620C00360000,6/17/2025 9:30 AM,360,0.01,0.00,0.00,0.00,0.00%,1,0,50.00%
Puts,,,,,,,,,,
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
AAPL250620P00005000,6/16/2025 10:11 AM,5,0.01,0.00,0.00,0.00,0.00%,3,0,50.00%
AAPL250620P00010000,6/16/2025 9:30 AM,10,0.01,0.00,0.00,0.00,0.00%,1,0,50.00%
AAPL250620P00015000,4/25/2025 9:30 AM,15,0.01,0.00,0.01,0.00,0.00%,48,61,850.00%
AAPL250620P00020000,2025-04-06 09:30:00,20,0.01,0.00,0.00,0.00,0.00%,1,0,50.00%
AAPL250620P00025000,4/29/2025 1:44 PM,25,0.01,0.00,0.01,0.00,0.00%,20,102,675.00%
AAPL250620P00030000,2025-10-04 14:10:00,30,0.03,0.00,0.01,0.00,0.00%,50,114,625.00%
AAPL250620P00035000,2025-03-06 11:12:00,35,0.01,0.00,0.00,0.00,0.00%,1,0,50.00%
AAPL250620P00040000,2025-11-04 14:57:00,40,0.04,0.00,0.01,0.00,0.00%,1,44,525.00%
AAPL250620P00045000,5/27/2025 9:30 AM,45,0.01,0.00,0.00,0.00,0.00%,1,0,50.00%
AAPL250620P00050000,6/16/2025 9:30 AM,50,0.05,0.00,0.00,0.00,0.00%,1,0,50.00%
AAPL250620P00055000,2025-02-05 09:46:00,55,0.01,0.00,0.21,0.00,0.00%,125,1.372,560.94%
AAPL250620P00060000,2025-02-05 09:46:00,60,0.01,0.00,0.21,0.00,0.00%,112,2.042,524.22%
AAPL250620P00065000,5/23/2025 10:14 AM,65,0.01,0.00,0.00,0.00,0.00%,4,0,50.00%
AAPL250620P00070000,5/23/2025 1:35 PM,70,0.01,0.00,0.00,0.00,0.00%,969,0,50.00%
AAPL250620P00075000,5/30/2025 3:59 PM,75,0.01,0.00,0.00,0.00,0.00%,34,0,50.00%
AAPL250620P00080000,2025-11-06 11:53:00,80,0.01,0.00,0.00,0.00,0.00%,1,0,50.00%
AAPL250620P00085000,6/13/2025 1:14 PM,85,0.01,0.00,0.00,0.00,0.00%,5,0,50.00%
AAPL250620P00090000,2025-12-06 14:15:00,90,0.01,0.00,0.00,0.00,0.00%,4,0,50.00%
AAPL250620P00095000,2025-09-06 15:57:00,95,0.01,0.00,0.00,0.00,0.00%,500,0,50.00%
AAPL250620P00100000,6/16/2025 10:24 AM,100,0.01,0.00,0.00,0.00,0.00%,2,0,50.00%
AAPL250620P00105000,2025-09-06 13:45:00,105,0.01,0.00,0.00,0.00,0.00%,3,0,50.00%
AAPL250620P00110000,6/13/2025 9:45 AM,110,0.01,0.01,0.00,0.00,0.00%,1,0,196.88%
AAPL250620P00115000,6/13/2025 2:55 PM,115,0.01,0.00,0.00,0.00,0.00%,50,0,50.00%
AAPL250620P00120000,6/13/2025 3:15 PM,120,0.01,0.00,0.00,0.00,0.00%,1.501,0,50.00%
AAPL250620P00125000,6/17/2025 3:05 PM,125,0.01,0.00,0.00,0.00,0.00%,1,0,50.00%
AAPL250620P00130000,6/17/2025 12:41 PM,130,0.01,0.00,0.00,0.00,0.00%,8,0,50.00%
AAPL250620P00135000,6/17/2025 3:05 PM,135,0.01,0.00,0.00,0.00,0.00%,3,0,50.00%
AAPL250620P00140000,6/17/2025 3:54 PM,140,0.01,0.00,0.00,0.00,0.00%,22,0,50.00%
AAPL250620P00145000,6/17/2025 1:15 PM,145,0.01,0.00,0.00,0.00,0.00%,132,0,50.00%
AAPL250620P00150000,6/17/2025 2:44 PM,150,0.01,0.00,0.00,0.00,0.00%,96,0,50.00%
AAPL250620P00155000,6/17/2025 3:59 PM,155,0.01,0.00,0.00,0.00,0.00%,57,0,50.00%
AAPL250620P00160000,6/17/2025 3:09 PM,160,0.02,0.00,0.00,0.00,0.00%,88,0,50.00%
AAPL250620P00165000,6/17/2025 3:54 PM,165,0.04,0.00,0.00,0.00,0.00%,261,0,50.00%
AAPL250620P00170000,6/17/2025 3:54 PM,170,0.04,0.00,0.00,0.00,0.00%,589,0,25.00%
AAPL250620P00172500,6/17/2025 3:52 PM,172.5,0.05,0.00,0.00,0.00,0.00%,-,0,25.00%
AAPL250620P00175000,6/17/2025 3:59 PM,175,0.05,0.00,0.00,0.00,0.00%,732,0,25.00%
AAPL250620P00177500,6/17/2025 3:46 PM,177.5,0.07,0.00,0.00,0.00,0.00%,1.854,0,25.00%
