Calls,"Jun 17, 2025 @ close",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
AAPL260320C00090000,2025-06-05 12:11:00,90,113.00,112.15,114.60,0.00,0.00%,4,78,87.52%
AAPL260320C00095000,2025-09-04 12:19:00,95,90.70,106.70,108.30,0.00,0.00%,-,1,79.20%
AAPL260320C00100000,2025-09-06 13:18:00,100,104.00,0.00,0.00,0.00,0.00%,2,0,0.00%
AAPL260320C00105000,2025-05-06 13:25:00,105,101.00,0.00,0.00,0.00,0.00%,1,0,0.00%
AAPL260320C00110000,4/25/2025 1:58 PM,110,102.55,90.00,91.10,0.00,0.00%,1,24,59.26%
AAPL260320C00115000,5/13/2025 11:27 AM,115,101.00,85.80,87.00,0.00,0.00%,1,99,58.62%
AAPL260320C00120000,2025-11-06 13:34:00,120,85.80,0.00,0.00,0.00,0.00%,1,0,0.00%
AAPL260320C00125000,2025-03-06 14:01:00,125,83.89,0.00,0.00,0.00,0.00%,1,0,0.00%
AAPL260320C00130000,6/17/2025 1:44 PM,130,72.50,0.00,0.00,0.00,0.00%,1,0,0.00%
AAPL260320C00135000,6/17/2025 9:44 AM,135,68.50,0.00,0.00,0.00,0.00%,2,0,0.00%
AAPL260320C00140000,6/16/2025 9:56 AM,140,65.41,0.00,0.00,0.00,0.00%,1,0,0.00%
AAPL260320C00145000,6/17/2025 10:54 AM,145,60.75,0.00,0.00,0.00,0.00%,2,0,0.00%
AAPL260320C00150000,6/17/2025 2:23 PM,150,54.78,0.00,0.00,0.00,0.00%,8,0,0.00%
AAPL260320C00155000,6/17/2025 9:30 AM,155,52.70,0.00,0.00,0.00,0.00%,5,0,0.00%
AAPL260320C00160000,6/17/2025 3:51 PM,160,46.76,0.00,0.00,0.00,0.00%,1,0,0.00%
AAPL260320C00165000,6/17/2025 9:57 AM,165,44.00,0.00,0.00,0.00,0.00%,1,0,0.00%
AAPL260320C00170000,6/17/2025 10:04 AM,170,40.45,0.00,0.00,0.00,0.00%,2,0,0.00%
AAPL260320C00175000,6/17/2025 9:53 AM,175,36.46,0.00,0.00,0.00,0.00%,1,0,0.00%
AAPL260320C00180000,6/17/2025 3:41 PM,180,32.35,0.00,0.00,0.00,0.00%,2,0,0.00%
AAPL260320C00185000,6/17/2025 9:46 AM,185,29.67,0.00,0.00,0.00,0.00%,1,0,0.00%
AAPL260320C00190000,6/17/2025 2:00 PM,190,26.40,0.00,0.00,0.00,0.00%,10,0,0.00%
AAPL260320C00195000,6/17/2025 2:40 PM,195,23.55,0.00,0.00,0.00,0.00%,279,0,0.00%
AAPL260320C00200000,6/17/2025 3:31 PM,200,20.79,0.00,0.00,0.00,0.00%,65,0,0.78%
AAPL260320C00210000,6/17/2025 3:52 PM,210,16.00,0.00,0.00,0.00,0.00%,50,0,1.56%
AAPL260320C00220000,6/17/2025 3:54 PM,220,12.15,0.00,0.00,0.00,0.00%,123,0,3.13%
AAPL260320C00230000,6/17/2025 3:53 PM,230,8.95,0.00,0.00,0.00,0.00%,130,0,3.13%
AAPL260320C00240000,6/17/2025 3:39 PM,240,6.53,0.00,0.00,0.00,0.00%,150,0,6.25%
AAPL260320C00250000,6/17/2025 3:57 PM,250,4.73,0.00,0.00,0.00,0.00%,786,0,6.25%
AAPL260320C00260000,6/17/2025 3:56 PM,260,3.40,0.00,0.00,0.00,0.00%,236,0,6.25%
AAPL260320C00270000,6/17/2025 3:59 PM,270,2.45,0.00,0.00,0.00,0.00%,35,0,6.25%
AAPL260320C00280000,6/17/2025 3:43 PM,280,1.80,0.00,0.00,0.00,0.00%,38,0,6.25%
AAPL260320C00290000,6/17/2025 3:43 PM,290,1.30,0.00,0.00,0.00,0.00%,4,0,12.50%
AAPL260320C00300000,6/17/2025 3:32 PM,300,1.02,0.00,0.00,0.00,0.00%,51,0,12.50%
AAPL260320C00310000,6/17/2025 3:26 PM,310,0.78,0.00,0.00,0.00,0.00%,8,0,12.50%
AAPL260320C00320000,6/17/2025 9:53 AM,320,0.63,0.00,0.00,0.00,0.00%,25,0,12.50%
AAPL260320C00330000,6/17/2025 9:30 AM,330,0.54,0.00,0.00,0.00,0.00%,1,0,12.50%
AAPL260320C00340000,6/16/2025 2:35 PM,340,0.40,0.00,0.00,0.00,0.00%,1,0,12.50%
AAPL260320C00350000,6/17/2025 1:52 PM,350,0.30,0.00,0.00,0.00,0.00%,49,0,12.50%
AAPL260320C00360000,6/16/2025 9:36 AM,360,0.28,0.00,0.00,0.00,0.00%,6,0,12.50%
AAPL260320C00370000,6/17/2025 9:59 AM,370,0.21,0.00,0.00,0.00,0.00%,10,0,12.50%
Puts,,,,,,,,,,
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
AAPL260320P00090000,6/17/2025 2:31 PM,90,0.60,0.00,0.00,0.00,0.00%,25,0,12.50%
AAPL260320P00095000,5/19/2025 9:39 AM,95,0.74,0.00,0.00,0.00,0.00%,3,0,12.50%
AAPL260320P00100000,6/17/2025 9:33 AM,100,0.82,0.00,0.00,0.00,0.00%,1,0,12.50%
AAPL260320P00105000,6/13/2025 10:28 AM,105,1.13,0.00,0.00,0.00,0.00%,3,0,12.50%
AAPL260320P00110000,6/13/2025 3:34 PM,110,1.40,0.00,0.00,0.00,0.00%,6,0,12.50%
AAPL260320P00115000,6/13/2025 10:29 AM,115,1.61,0.00,0.00,0.00,0.00%,3,0,12.50%
AAPL260320P00120000,6/13/2025 10:58 AM,120,1.84,0.00,0.00,0.00,0.00%,10,0,12.50%
AAPL260320P00125000,6/13/2025 10:29 AM,125,2.26,0.00,0.00,0.00,0.00%,3,0,12.50%
AAPL260320P00130000,6/16/2025 2:39 PM,130,2.26,0.00,0.00,0.00,0.00%,20,0,12.50%
AAPL260320P00135000,6/17/2025 1:13 PM,135,2.74,0.00,0.00,0.00,0.00%,12,0,6.25%
AAPL260320P00140000,6/17/2025 12:46 PM,140,3.14,0.00,0.00,0.00,0.00%,3,0,6.25%
AAPL260320P00145000,6/13/2025 3:45 PM,145,4.40,0.00,0.00,0.00,0.00%,4,0,6.25%
AAPL260320P00150000,6/17/2025 2:09 PM,150,4.65,0.00,0.00,0.00,0.00%,1,0,6.25%
AAPL260320P00155000,6/17/2025 1:21 PM,155,5.21,0.00,0.00,0.00,0.00%,58,0,6.25%
AAPL260320P00160000,6/17/2025 3:38 PM,160,6.36,0.00,0.00,0.00,0.00%,304,0,6.25%
AAPL260320P00165000,6/17/2025 1:36 PM,165,7.15,0.00,0.00,0.00,0.00%,4,0,3.13%
AAPL260320P00170000,6/17/2025 2:34 PM,170,8.74,0.00,0.00,0.00,0.00%,3,0,3.13%
AAPL260320P00175000,6/17/2025 2:55 PM,175,10.15,0.00,0.00,0.00,0.00%,24,0,3.13%
AAPL260320P00180000,6/17/2025 3:58 PM,180,11.65,0.00,0.00,0.00,0.00%,2.051,0,1.56%
AAPL260320P00185000,6/17/2025 3:09 PM,185,13.35,0.00,0.00,0.00,0.00%,235,0,1.56%
AAPL260320P00190000,6/17/2025 3:07 PM,190,15.30,0.00,0.00,0.00,0.00%,47,0,0.78%
AAPL260320P00195000,6/17/2025 3:43 PM,195,17.30,0.00,0.00,0.00,0.00%,157,0,0.10%
AAPL260320P00200000,6/17/2025 3:39 PM,200,19.60,0.00,0.00,0.00,0.00%,50,0,0.00%
AAPL260320P00210000,6/16/2025 2:30 PM,210,23.48,0.00,0.00,0.00,0.00%,2,0,0.00%
AAPL260320P00220000,6/16/2025 2:30 PM,220,29.45,0.00,0.00,0.00,0.00%,43,0,0.00%
AAPL260320P00230000,6/16/2025 1:03 PM,230,36.82,0.00,0.00,0.00,0.00%,5,0,0.00%
AAPL260320P00240000,2025-12-06 12:03:00,240,44.00,0.00,0.00,0.00,0.00%,2,0,0.00%
AAPL260320P00250000,6/16/2025 3:40 PM,250,52.11,0.00,0.00,0.00,0.00%,3,0,0.00%
AAPL260320P00260000,2025-02-06 15:30:00,260,58.74,0.00,0.00,0.00,0.00%,1,0,0.00%
AAPL260320P00270000,5/23/2025 10:50 AM,270,73.90,0.00,0.00,0.00,0.00%,1,0,0.00%
AAPL260320P00280000,2025-02-06 11:31:00,280,79.23,0.00,0.00,0.00,0.00%,1,0,0.00%
AAPL260320P00290000,4/14/2025 10:11 AM,290,84.85,0.00,0.00,0.00,0.00%,1,0,0.00%
AAPL260320P00300000,2025-11-04 15:17:00,300,101.33,86.25,87.35,0.00,0.00%,20,0,0.00%
AAPL260320P00310000,3/19/2025 10:18 AM,310,91.70,112.35,114.75,0.00,0.00%,1,0,25.87%
AAPL260320P00320000,2/14/2025 2:56 PM,320,75.45,105.20,107.20,0.00,0.00%,-,0,0.00%
AAPL260320P00350000,5/13/2025 10:39 AM,350,138.33,152.45,154.85,0.00,0.00%,1,0,32.35%
AAPL260320P00360000,3/19/2025 10:18 AM,360,141.67,161.45,164.60,0.00,0.00%,-,0,30.66%
AAPL260320P00370000,2025-07-05 09:30:00,370,171.09,0.00,0.00,0.00,0.00%,1,0,0.00%
