Calls,"Jun 17, 2025 @ close",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
AAPL251121C00100000,2025-12-06 11:27:00,100,100.00,0.00,0.00,0.00,0.00%,1,0,0.00%
AAPL251121C00110000,2025-03-06 13:48:00,110,95.85,0.00,0.00,0.00,0.00%,1,0,0.00%
AAPL251121C00115000,2025-09-06 13:12:00,115,90.89,0.00,0.00,0.00,0.00%,1,0,0.00%
AAPL251121C00120000,2025-12-06 09:31:00,120,81.80,0.00,0.00,0.00,0.00%,-,0,0.00%
AAPL251121C00125000,2025-10-06 09:57:00,125,80.76,0.00,0.00,0.00,0.00%,6,0,0.00%
AAPL251121C00130000,2025-05-06 11:29:00,130,78.00,0.00,0.00,0.00,0.00%,-,0,0.00%
AAPL251121C00135000,2025-02-06 13:02:00,135,70.27,0.00,0.00,0.00,0.00%,-,0,0.00%
AAPL251121C00140000,6/13/2025 11:59 AM,140,62.20,0.00,0.00,0.00,0.00%,1,0,0.00%
AAPL251121C00145000,6/13/2025 2:48 PM,145,56.05,0.00,0.00,0.00,0.00%,2,0,0.00%
AAPL251121C00150000,6/16/2025 2:45 PM,150,52.87,0.00,0.00,0.00,0.00%,2,0,0.00%
AAPL251121C00155000,2025-10-06 13:39:00,155,52.05,0.00,0.00,0.00,0.00%,1,0,0.00%
AAPL251121C00160000,6/13/2025 2:43 PM,160,43.20,0.00,0.00,0.00,0.00%,20,0,0.00%
AAPL251121C00165000,6/16/2025 11:43 AM,165,39.49,0.00,0.00,0.00,0.00%,2,0,0.00%
AAPL251121C00170000,6/17/2025 10:10 AM,170,35.58,0.00,0.00,0.00,0.00%,3,0,0.00%
AAPL251121C00175000,6/13/2025 3:32 PM,175,31.60,0.00,0.00,0.00,0.00%,2,0,0.00%
AAPL251121C00180000,6/17/2025 2:47 PM,180,27.05,0.00,0.00,0.00,0.00%,4,0,0.00%
AAPL251121C00185000,6/17/2025 9:52 AM,185,24.25,0.00,0.00,0.00,0.00%,1,0,0.00%
AAPL251121C00190000,6/17/2025 3:57 PM,190,20.60,0.00,0.00,0.00,0.00%,7,0,0.00%
AAPL251121C00195000,6/17/2025 3:40 PM,195,17.46,0.00,0.00,0.00,0.00%,49,0,0.00%
AAPL251121C00200000,6/17/2025 3:47 PM,200,14.93,0.00,0.00,0.00,0.00%,55,0,0.78%
AAPL251121C00205000,6/17/2025 3:57 PM,205,12.55,0.00,0.00,0.00,0.00%,105,0,1.56%
AAPL251121C00210000,6/17/2025 2:20 PM,210,10.50,0.00,0.00,0.00,0.00%,44,0,3.13%
AAPL251121C00215000,6/17/2025 3:31 PM,215,8.65,0.00,0.00,0.00,0.00%,116,0,3.13%
AAPL251121C00220000,6/17/2025 3:35 PM,220,6.95,0.00,0.00,0.00,0.00%,165,0,3.13%
AAPL251121C00225000,6/17/2025 2:44 PM,225,5.75,0.00,0.00,0.00,0.00%,32,0,6.25%
AAPL251121C00230000,6/17/2025 3:31 PM,230,4.55,0.00,0.00,0.00,0.00%,40,0,6.25%
AAPL251121C00235000,6/17/2025 3:42 PM,235,3.58,0.00,0.00,0.00,0.00%,27,0,6.25%
AAPL251121C00240000,6/17/2025 3:58 PM,240,2.93,0.00,0.00,0.00,0.00%,35,0,6.25%
AAPL251121C00245000,6/17/2025 2:08 PM,245,2.39,0.00,0.00,0.00,0.00%,8,0,6.25%
AAPL251121C00250000,6/17/2025 3:39 PM,250,1.88,0.00,0.00,0.00,0.00%,59,0,6.25%
AAPL251121C00255000,6/17/2025 3:51 PM,255,1.51,0.00,0.00,0.00,0.00%,24,0,6.25%
AAPL251121C00260000,6/17/2025 2:48 PM,260,1.27,0.00,0.00,0.00,0.00%,5,0,6.25%
AAPL251121C00265000,2025-12-06 09:32:00,265,1.27,0.00,0.00,0.00,0.00%,20,0,12.50%
AAPL251121C00270000,6/13/2025 2:13 PM,270,0.96,0.00,0.00,0.00,0.00%,11,0,12.50%
AAPL251121C00275000,6/16/2025 9:32 AM,275,0.75,0.00,0.00,0.00,0.00%,5,0,12.50%
AAPL251121C00280000,6/16/2025 12:49 PM,280,0.60,0.00,0.00,0.00,0.00%,5,0,12.50%
AAPL251121C00285000,6/16/2025 3:10 PM,285,0.53,0.00,0.00,0.00,0.00%,2,0,12.50%
AAPL251121C00290000,2025-12-06 11:39:00,290,0.49,0.00,0.00,0.00,0.00%,2,0,12.50%
AAPL251121C00295000,6/17/2025 3:05 PM,295,0.35,0.00,0.00,0.00,0.00%,4,0,12.50%
AAPL251121C00300000,6/17/2025 10:05 AM,300,0.31,0.00,0.00,0.00,0.00%,2,0,12.50%
AAPL251121C00305000,6/16/2025 9:30 AM,305,0.31,0.00,0.00,0.00,0.00%,1,0,12.50%
AAPL251121C00310000,2025-11-06 14:06:00,310,0.28,0.00,0.00,0.00,0.00%,2,0,12.50%
AAPL251121C00315000,2025-11-06 11:58:00,315,0.27,0.00,0.00,0.00,0.00%,7,0,12.50%
AAPL251121C00320000,5/27/2025 2:09 PM,320,0.30,0.00,0.00,0.00,0.00%,-,0,12.50%
AAPL251121C00325000,6/16/2025 10:48 AM,325,0.14,0.00,0.00,0.00,0.00%,10,0,12.50%
AAPL251121C00330000,2025-11-06 12:53:00,330,0.17,0.00,0.00,0.00,0.00%,1,0,12.50%
AAPL251121C00335000,2025-05-06 12:11:00,335,0.16,0.00,0.00,0.00,0.00%,1,0,12.50%
AAPL251121C00340000,2025-12-06 12:10:00,340,0.10,0.00,0.00,0.00,0.00%,201,0,12.50%
AAPL251121C00345000,2025-12-06 11:38:00,345,0.09,0.00,0.00,0.00,0.00%,1,0,12.50%
AAPL251121C00350000,6/17/2025 3:40 PM,350,0.06,0.00,0.00,0.00,0.00%,262,0,12.50%
Puts,,,,,,,,,,
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
AAPL251121P00100000,6/17/2025 10:42 AM,100,0.36,0.00,0.00,0.00,0.00%,1,0,25.00%
AAPL251121P00105000,6/17/2025 3:51 PM,105,0.48,0.00,0.00,0.00,0.00%,1,0,25.00%
AAPL251121P00110000,6/16/2025 10:21 AM,110,0.52,0.00,0.00,0.00,0.00%,4,0,12.50%
AAPL251121P00115000,6/17/2025 3:51 PM,115,0.71,0.00,0.00,0.00,0.00%,1,0,12.50%
AAPL251121P00120000,6/17/2025 12:55 PM,120,0.80,0.00,0.00,0.00,0.00%,1,0,12.50%
AAPL251121P00125000,6/17/2025 2:36 PM,125,1.05,0.00,0.00,0.00,0.00%,2,0,12.50%
AAPL251121P00130000,6/17/2025 3:37 PM,130,1.24,0.00,0.00,0.00,0.00%,207,0,12.50%
AAPL251121P00135000,6/17/2025 3:37 PM,135,1.50,0.00,0.00,0.00,0.00%,49,0,12.50%
AAPL251121P00140000,6/17/2025 2:25 PM,140,1.86,0.00,0.00,0.00,0.00%,34,0,12.50%
AAPL251121P00145000,6/17/2025 3:25 PM,145,2.22,0.00,0.00,0.00,0.00%,1,0,12.50%
AAPL251121P00150000,6/17/2025 1:49 PM,150,2.60,0.00,0.00,0.00,0.00%,1,0,6.25%
AAPL251121P00155000,6/17/2025 2:00 PM,155,3.20,0.00,0.00,0.00,0.00%,1,0,6.25%
AAPL251121P00160000,6/17/2025 3:24 PM,160,3.90,0.00,0.00,0.00,0.00%,100,0,6.25%
AAPL251121P00165000,6/17/2025 3:55 PM,165,4.71,0.00,0.00,0.00,0.00%,136,0,6.25%
AAPL251121P00170000,6/17/2025 3:59 PM,170,5.75,0.00,0.00,0.00,0.00%,298,0,6.25%
AAPL251121P00175000,6/17/2025 3:13 PM,175,6.90,0.00,0.00,0.00,0.00%,87,0,3.13%
AAPL251121P00180000,6/17/2025 3:59 PM,180,8.30,0.00,0.00,0.00,0.00%,76,0,3.13%
AAPL251121P00185000,6/17/2025 3:33 PM,185,9.83,0.00,0.00,0.00,0.00%,297,0,1.56%
AAPL251121P00190000,6/17/2025 3:49 PM,190,11.66,0.00,0.00,0.00,0.00%,101,0,0.78%
AAPL251121P00195000,6/17/2025 3:36 PM,195,13.70,0.00,0.00,0.00,0.00%,48,0,0.20%
AAPL251121P00200000,6/17/2025 3:49 PM,200,16.06,0.00,0.00,0.00,0.00%,57,0,0.00%
AAPL251121P00205000,6/17/2025 3:41 PM,205,18.70,0.00,0.00,0.00,0.00%,13,0,0.00%
AAPL251121P00210000,6/16/2025 11:26 AM,210,20.48,0.00,0.00,0.00,0.00%,11,0,0.00%
AAPL251121P00215000,6/17/2025 1:36 PM,215,23.98,0.00,0.00,0.00,0.00%,12,0,0.00%
AAPL251121P00220000,6/17/2025 12:44 PM,220,27.00,0.00,0.00,0.00,0.00%,9,0,0.00%
AAPL251121P00225000,2025-12-06 15:49:00,225,29.96,0.00,0.00,0.00,0.00%,2,0,0.00%
AAPL251121P00230000,2025-06-06 09:46:00,230,29.10,0.00,0.00,0.00,0.00%,3,0,0.00%
AAPL251121P00235000,2025-06-06 12:19:00,235,34.40,0.00,0.00,0.00,0.00%,10,0,0.00%
AAPL251121P00240000,6/13/2025 3:14 PM,240,44.13,0.00,0.00,0.00,0.00%,7,0,0.00%
AAPL251121P00245000,6/13/2025 9:31 AM,245,45.70,0.00,0.00,0.00,0.00%,1,0,0.00%
AAPL251121P00250000,2025-12-06 13:00:00,250,51.54,0.00,0.00,0.00,0.00%,4,0,0.00%
AAPL251121P00255000,6/17/2025 10:02 AM,255,58.33,0.00,0.00,0.00,0.00%,6,0,0.00%
AAPL251121P00260000,6/17/2025 10:02 AM,260,63.32,0.00,0.00,0.00,0.00%,-,-,0.00%
AAPL251121P00265000,6/17/2025 9:30 AM,265,67.85,0.00,0.00,0.00,0.00%,-,0,0.00%
AAPL251121P00270000,6/16/2025 11:07 AM,270,72.19,0.00,0.00,0.00,0.00%,-,-,0.00%
