Calls,"Jun 17, 2025 @ close",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
AAPL251017C00090000,6/17/2025 11:46 AM,90,109.70,0.00,0.00,0.00,0.00%,1,0,0.00%
AAPL251017C00100000,5/29/2025 3:32 PM,100,101.20,0.00,0.00,0.00,0.00%,20,0,0.00%
AAPL251017C00105000,6/13/2025 10:01 AM,105,93.80,0.00,0.00,0.00,0.00%,10,0,0.00%
AAPL251017C00110000,2025-11-06 09:57:00,110,94.40,0.00,0.00,0.00,0.00%,3,0,0.00%
AAPL251017C00115000,5/20/2025 11:39 AM,115,94.92,0.00,0.00,0.00,0.00%,1,0,0.00%
AAPL251017C00120000,5/20/2025 11:39 AM,120,90.10,0.00,0.00,0.00,0.00%,1,0,0.00%
AAPL251017C00125000,5/23/2025 3:56 PM,125,73.74,0.00,0.00,0.00,0.00%,2,0,0.00%
AAPL251017C00130000,6/17/2025 11:12 AM,130,70.30,0.00,0.00,0.00,0.00%,1,0,0.00%
AAPL251017C00135000,2025-11-06 14:54:00,135,67.25,0.00,0.00,0.00,0.00%,1,0,0.00%
AAPL251017C00140000,6/16/2025 11:27 AM,140,60.35,0.00,0.00,0.00,0.00%,1,0,0.00%
AAPL251017C00145000,2025-06-06 15:11:00,145,63.63,0.00,0.00,0.00,0.00%,1,0,0.00%
AAPL251017C00150000,6/16/2025 9:54 AM,150,51.45,0.00,0.00,0.00,0.00%,8,0,0.00%
AAPL251017C00155000,6/16/2025 3:56 PM,155,47.46,0.00,0.00,0.00,0.00%,4,0,0.00%
AAPL251017C00160000,6/17/2025 3:45 PM,160,40.75,0.00,0.00,0.00,0.00%,3,0,0.00%
AAPL251017C00165000,6/17/2025 1:06 PM,165,37.25,0.00,0.00,0.00,0.00%,21,0,0.00%
AAPL251017C00170000,6/17/2025 1:40 PM,170,33.01,0.00,0.00,0.00,0.00%,4,0,0.00%
AAPL251017C00175000,6/17/2025 2:15 PM,175,28.65,0.00,0.00,0.00,0.00%,1,0,0.00%
AAPL251017C00180000,6/17/2025 3:51 PM,180,24.82,0.00,0.00,0.00,0.00%,4,0,0.00%
AAPL251017C00185000,6/17/2025 3:18 PM,185,21.53,0.00,0.00,0.00,0.00%,4,0,0.00%
AAPL251017C00190000,6/17/2025 3:59 PM,190,18.25,0.00,0.00,0.00,0.00%,90,0,0.00%
AAPL251017C00195000,6/17/2025 3:59 PM,195,15.20,0.00,0.00,0.00,0.00%,193,0,0.00%
AAPL251017C00200000,6/17/2025 3:58 PM,200,12.60,0.00,0.00,0.00,0.00%,323,0,0.78%
AAPL251017C00205000,6/17/2025 3:59 PM,205,10.21,0.00,0.00,0.00,0.00%,179,0,1.56%
AAPL251017C00210000,6/17/2025 3:59 PM,210,8.20,0.00,0.00,0.00,0.00%,200,0,3.13%
AAPL251017C00215000,6/17/2025 3:58 PM,215,6.50,0.00,0.00,0.00,0.00%,222,0,3.13%
AAPL251017C00220000,6/17/2025 3:59 PM,220,5.10,0.00,0.00,0.00,0.00%,405,0,3.13%
AAPL251017C00225000,6/17/2025 3:57 PM,225,3.94,0.00,0.00,0.00,0.00%,182,0,6.25%
AAPL251017C00230000,6/17/2025 3:50 PM,230,3.05,0.00,0.00,0.00,0.00%,111,0,6.25%
AAPL251017C00235000,6/17/2025 3:32 PM,235,2.32,0.00,0.00,0.00,0.00%,134,0,6.25%
AAPL251017C00240000,6/17/2025 3:51 PM,240,1.78,0.00,0.00,0.00,0.00%,38,0,6.25%
AAPL251017C00245000,6/17/2025 3:58 PM,245,1.40,0.00,0.00,0.00,0.00%,34,0,6.25%
AAPL251017C00250000,6/17/2025 3:42 PM,250,1.07,0.00,0.00,0.00,0.00%,326,0,6.25%
AAPL251017C00255000,6/17/2025 3:58 PM,255,0.87,0.00,0.00,0.00,0.00%,11,0,12.50%
AAPL251017C00260000,6/17/2025 2:49 PM,260,0.71,0.00,0.00,0.00,0.00%,31,0,12.50%
AAPL251017C00265000,6/17/2025 3:13 PM,265,0.57,0.00,0.00,0.00,0.00%,13,0,12.50%
AAPL251017C00270000,6/17/2025 2:52 PM,270,0.46,0.00,0.00,0.00,0.00%,4,0,12.50%
AAPL251017C00275000,6/17/2025 2:52 PM,275,0.36,0.00,0.00,0.00,0.00%,5,0,12.50%
AAPL251017C00280000,6/17/2025 12:24 PM,280,0.33,0.00,0.00,0.00,0.00%,61,0,12.50%
AAPL251017C00285000,6/17/2025 9:32 AM,285,0.27,0.00,0.00,0.00,0.00%,1,0,12.50%
AAPL251017C00290000,6/16/2025 1:24 PM,290,0.23,0.00,0.00,0.00,0.00%,2,0,12.50%
AAPL251017C00295000,6/17/2025 9:36 AM,295,0.17,0.00,0.00,0.00,0.00%,15,0,12.50%
AAPL251017C00300000,6/17/2025 2:07 PM,300,0.14,0.00,0.00,0.00,0.00%,9,0,12.50%
AAPL251017C00305000,6/17/2025 3:38 PM,305,0.13,0.00,0.00,0.00,0.00%,1,0,12.50%
AAPL251017C00310000,6/17/2025 12:29 PM,310,0.11,0.00,0.00,0.00,0.00%,8,0,12.50%
AAPL251017C00315000,2025-09-06 14:27:00,315,0.16,0.00,0.00,0.00,0.00%,3,0,12.50%
AAPL251017C00320000,6/16/2025 10:06 AM,320,0.09,0.00,0.00,0.00,0.00%,50,0,12.50%
AAPL251017C00325000,5/19/2025 3:59 PM,325,0.19,0.00,0.00,0.00,0.00%,32,0,12.50%
AAPL251017C00330000,2025-10-06 15:06:00,330,0.08,0.00,0.00,0.00,0.00%,1,0,12.50%
AAPL251017C00335000,5/19/2025 3:54 PM,335,0.14,0.00,0.00,0.00,0.00%,6,0,25.00%
AAPL251017C00340000,2025-10-06 15:46:00,340,0.07,0.00,0.00,0.00,0.00%,2,0,25.00%
AAPL251017C00345000,2025-12-06 09:49:00,345,0.05,0.00,0.00,0.00,0.00%,1,0,25.00%
AAPL251017C00350000,2025-12-06 13:20:00,350,0.05,0.00,0.00,0.00,0.00%,5,0,25.00%
AAPL251017C00355000,2025-11-06 13:21:00,355,0.04,0.00,0.00,0.00,0.00%,2,0,25.00%
AAPL251017C00360000,2025-09-06 12:30:00,360,0.05,0.00,0.00,0.00,0.00%,402,0,25.00%
AAPL251017C00370000,6/17/2025 1:19 PM,370,0.03,0.00,0.00,0.00,0.00%,31,0,25.00%
Puts,,,,,,,,,,
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
AAPL251017P00090000,6/17/2025 3:22 PM,90,0.14,0.00,0.00,0.00,0.00%,1,0,25.00%
AAPL251017P00095000,5/28/2025 12:03 PM,95,0.26,0.00,0.00,0.00,0.00%,1,0,25.00%
AAPL251017P00100000,6/17/2025 2:29 PM,100,0.22,0.00,0.00,0.00,0.00%,4,0,25.00%
AAPL251017P00105000,6/16/2025 1:35 PM,105,0.27,0.00,0.00,0.00,0.00%,5,0,25.00%
AAPL251017P00110000,6/16/2025 1:28 PM,110,0.32,0.00,0.00,0.00,0.00%,5,0,25.00%
AAPL251017P00115000,6/16/2025 9:57 AM,115,0.41,0.00,0.00,0.00,0.00%,1,0,25.00%
AAPL251017P00120000,6/17/2025 1:51 PM,120,0.52,0.00,0.00,0.00,0.00%,3,0,12.50%
AAPL251017P00125000,6/17/2025 12:52 PM,125,0.62,0.00,0.00,0.00,0.00%,1,0,12.50%
AAPL251017P00130000,6/17/2025 11:36 AM,130,0.73,0.00,0.00,0.00,0.00%,10,0,12.50%
AAPL251017P00135000,6/17/2025 3:27 PM,135,0.99,0.00,0.00,0.00,0.00%,13,0,12.50%
AAPL251017P00140000,6/17/2025 3:27 PM,140,1.22,0.00,0.00,0.00,0.00%,20,0,12.50%
AAPL251017P00145000,6/17/2025 2:44 PM,145,1.57,0.00,0.00,0.00,0.00%,80,0,12.50%
AAPL251017P00150000,6/17/2025 3:58 PM,150,1.88,0.00,0.00,0.00,0.00%,10.38,0,12.50%
AAPL251017P00155000,6/17/2025 2:29 PM,155,2.40,0.00,0.00,0.00,0.00%,65,0,6.25%
AAPL251017P00160000,6/17/2025 3:09 PM,160,2.93,0.00,0.00,0.00,0.00%,554,0,6.25%
AAPL251017P00165000,6/17/2025 1:18 PM,165,3.33,0.00,0.00,0.00,0.00%,5,0,6.25%
AAPL251017P00170000,6/17/2025 3:58 PM,170,4.43,0.00,0.00,0.00,0.00%,3.836,0,6.25%
AAPL251017P00175000,6/17/2025 3:47 PM,175,5.50,0.00,0.00,0.00,0.00%,37,0,3.13%
AAPL251017P00180000,6/17/2025 3:59 PM,180,6.75,0.00,0.00,0.00,0.00%,165,0,3.13%
AAPL251017P00185000,6/17/2025 2:59 PM,185,8.24,0.00,0.00,0.00,0.00%,24,0,3.13%
AAPL251017P00190000,6/17/2025 3:59 PM,190,10.03,0.00,0.00,0.00,0.00%,326,0,1.56%
AAPL251017P00195000,6/17/2025 3:44 PM,195,12.00,0.00,0.00,0.00,0.00%,143,0,0.20%
AAPL251017P00200000,6/17/2025 3:59 PM,200,14.35,0.00,0.00,0.00,0.00%,363,0,0.00%
AAPL251017P00205000,6/17/2025 12:22 PM,205,15.75,0.00,0.00,0.00,0.00%,18,0,0.00%
AAPL251017P00210000,6/17/2025 3:05 PM,210,20.20,0.00,0.00,0.00,0.00%,9,0,0.00%
AAPL251017P00215000,6/13/2025 3:03 PM,215,23.46,0.00,0.00,0.00,0.00%,14,0,0.00%
AAPL251017P00220000,6/17/2025 9:45 AM,220,26.34,0.00,0.00,0.00,0.00%,2,0,0.00%
AAPL251017P00225000,6/17/2025 3:44 PM,225,31.10,0.00,0.00,0.00,0.00%,26,0,0.00%
AAPL251017P00230000,6/17/2025 2:46 PM,230,35.19,0.00,0.00,0.00,0.00%,360,0,0.00%
AAPL251017P00235000,6/17/2025 3:43 PM,235,39.80,0.00,0.00,0.00,0.00%,12,0,0.00%
AAPL251017P00240000,6/17/2025 10:52 AM,240,42.50,0.00,0.00,0.00,0.00%,10,0,0.00%
AAPL251017P00245000,2025-12-06 12:53:00,245,46.25,0.00,0.00,0.00,0.00%,4,0,0.00%
AAPL251017P00250000,6/13/2025 10:08 AM,250,53.23,0.00,0.00,0.00,0.00%,5,0,0.00%
AAPL251017P00255000,2025-11-06 15:12:00,255,55.71,0.00,0.00,0.00,0.00%,1,0,0.00%
AAPL251017P00260000,2025-03-04 13:53:00,260,56.29,54.05,55.60,0.00,0.00%,130,109,0.00%
AAPL251017P00265000,2025-05-05 10:24:00,265,65.80,59.75,60.65,0.00,0.00%,1,0,0.00%
AAPL251017P00270000,2025-07-04 15:22:00,270,90.80,71.10,72.20,0.00,0.00%,90,0,0.00%
AAPL251017P00275000,3/19/2025 11:16 AM,275,59.75,76.25,79.90,0.00,0.00%,5,0,31.98%
AAPL251017P00280000,2025-10-03 14:38:00,280,54.15,80.25,83.60,0.00,0.00%,131,0,0.00%
AAPL251017P00285000,6/17/2025 11:06 AM,285,87.34,0.00,0.00,0.00,0.00%,5,0,0.00%
AAPL251017P00290000,2025-12-06 15:48:00,290,91.46,0.00,0.00,0.00,0.00%,14,0,0.00%
AAPL251017P00300000,2025-10-03 09:32:00,300,67.10,0.00,0.00,0.00,0.00%,1,0,0.00%
AAPL251017P00305000,2025-04-03 09:44:00,305,66.27,0.00,0.00,0.00,0.00%,1,0,0.00%
AAPL251017P00315000,2/26/2025 10:42 AM,315,72.43,95.15,97.70,0.00,0.00%,-,0,0.00%
AAPL251017P00355000,2025-11-04 15:46:00,355,157.02,141.20,142.45,0.00,0.00%,-,0,0.00%
AAPL251017P00360000,2025-11-04 15:46:00,360,162.01,146.25,147.60,0.00,0.00%,-,0,0.00%
