Calls,"Jun 17, 2025 @ close",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
AAPL260918C00050000,2025-12-06 09:31:00,50,151.00,0.00,0.00,0.00,0.00%,-,0,0.00%
AAPL260918C00075000,6/13/2025 9:52 AM,75,125.20,0.00,0.00,0.00,0.00%,-,0,0.00%
AAPL260918C00095000,6/13/2025 2:39 PM,95,106.83,0.00,0.00,0.00,0.00%,1,0,0.00%
AAPL260918C00100000,5/28/2025 2:27 PM,100,107.40,0.00,0.00,0.00,0.00%,1,0,0.00%
AAPL260918C00105000,5/21/2025 3:49 PM,105,104.75,0.00,0.00,0.00,0.00%,-,0,0.00%
AAPL260918C00110000,6/17/2025 3:03 PM,110,93.01,0.00,0.00,0.00,0.00%,1,0,0.00%
AAPL260918C00120000,5/14/2025 10:34 AM,120,101.60,83.85,86.50,0.00,0.00%,-,2,51.49%
AAPL260918C00135000,5/23/2025 2:30 PM,135,72.85,0.00,0.00,0.00,0.00%,2,0,0.00%
AAPL260918C00140000,2025-05-06 10:35:00,140,73.55,0.00,0.00,0.00,0.00%,15,0,0.00%
AAPL260918C00145000,2025-12-06 13:12:00,145,67.29,0.00,0.00,0.00,0.00%,6,0,0.00%
AAPL260918C00150000,6/17/2025 9:45 AM,150,60.86,0.00,0.00,0.00,0.00%,4,0,0.00%
AAPL260918C00155000,6/16/2025 3:00 PM,155,58.63,0.00,0.00,0.00,0.00%,3,0,0.00%
AAPL260918C00160000,2025-09-06 14:03:00,160,58.60,0.00,0.00,0.00,0.00%,2,0,0.00%
AAPL260918C00165000,6/17/2025 9:57 AM,165,50.22,0.00,0.00,0.00,0.00%,7,0,0.00%
AAPL260918C00170000,6/16/2025 3:21 PM,170,47.80,0.00,0.00,0.00,0.00%,5,0,0.00%
AAPL260918C00175000,6/17/2025 1:44 PM,175,42.90,0.00,0.00,0.00,0.00%,3,0,0.00%
AAPL260918C00180000,6/17/2025 9:48 AM,180,40.25,0.00,0.00,0.00,0.00%,2,0,0.00%
AAPL260918C00185000,2025-05-06 10:09:00,185,41.18,0.00,0.00,0.00,0.00%,3,0,0.00%
AAPL260918C00190000,6/17/2025 2:52 PM,190,33.70,0.00,0.00,0.00,0.00%,3,0,0.00%
AAPL260918C00195000,6/17/2025 3:43 PM,195,30.80,0.00,0.00,0.00,0.00%,39,0,0.00%
AAPL260918C00200000,6/17/2025 9:39 AM,200,29.12,0.00,0.00,0.00,0.00%,2,0,0.39%
AAPL260918C00205000,6/17/2025 3:46 PM,205,25.70,0.00,0.00,0.00,0.00%,2,0,0.78%
AAPL260918C00210000,6/17/2025 3:57 PM,210,23.50,0.00,0.00,0.00,0.00%,53,0,1.56%
AAPL260918C00215000,6/16/2025 1:18 PM,215,22.45,0.00,0.00,0.00,0.00%,2,0,1.56%
AAPL260918C00220000,6/17/2025 3:47 PM,220,19.20,0.00,0.00,0.00,0.00%,34,0,3.13%
AAPL260918C00225000,6/17/2025 11:39 AM,225,18.60,0.00,0.00,0.00,0.00%,10,0,3.13%
AAPL260918C00230000,6/17/2025 2:38 PM,230,15.87,0.00,0.00,0.00,0.00%,76,0,3.13%
AAPL260918C00235000,6/17/2025 2:52 PM,235,14.17,0.00,0.00,0.00,0.00%,6,0,3.13%
AAPL260918C00240000,6/17/2025 3:29 PM,240,12.64,0.00,0.00,0.00,0.00%,17,0,3.13%
AAPL260918C00245000,6/17/2025 3:44 PM,245,11.24,0.00,0.00,0.00,0.00%,26,0,3.13%
AAPL260918C00250000,6/17/2025 3:25 PM,250,10.10,0.00,0.00,0.00,0.00%,26,0,6.25%
AAPL260918C00255000,6/17/2025 3:55 PM,255,8.95,0.00,0.00,0.00,0.00%,4,0,6.25%
AAPL260918C00260000,6/17/2025 1:30 PM,260,8.20,0.00,0.00,0.00,0.00%,85,0,6.25%
AAPL260918C00265000,6/17/2025 10:59 AM,265,7.55,0.00,0.00,0.00,0.00%,1,0,6.25%
AAPL260918C00270000,6/17/2025 3:03 PM,270,6.55,0.00,0.00,0.00,0.00%,1,0,6.25%
AAPL260918C00275000,6/16/2025 9:59 AM,275,6.15,0.00,0.00,0.00,0.00%,2,0,6.25%
AAPL260918C00280000,6/17/2025 12:09 PM,280,5.40,0.00,0.00,0.00,0.00%,2,0,6.25%
AAPL260918C00285000,6/17/2025 3:25 PM,285,4.50,0.00,0.00,0.00,0.00%,21,0,6.25%
AAPL260918C00290000,2025-10-06 14:50:00,290,5.00,0.00,0.00,0.00,0.00%,8,0,6.25%
AAPL260918C00295000,6/17/2025 2:06 PM,295,3.60,0.00,0.00,0.00,0.00%,1,0,6.25%
AAPL260918C00300000,6/17/2025 3:35 PM,300,3.15,0.00,0.00,0.00,0.00%,4,0,6.25%
AAPL260918C00310000,2025-11-06 15:59:00,310,2.93,0.00,0.00,0.00,0.00%,25,0,6.25%
AAPL260918C00320000,2025-03-06 10:23:00,320,2.65,0.00,0.00,0.00,0.00%,10,0,6.25%
AAPL260918C00330000,6/17/2025 12:20 PM,330,1.84,0.00,0.00,0.00,0.00%,1,0,12.50%
AAPL260918C00340000,6/13/2025 12:55 PM,340,1.56,0.00,0.00,0.00,0.00%,2,0,12.50%
AAPL260918C00350000,6/16/2025 2:09 PM,350,1.25,0.00,0.00,0.00,0.00%,2,0,12.50%
AAPL260918C00360000,6/13/2025 11:56 AM,360,1.11,0.00,0.00,0.00,0.00%,1,0,12.50%
AAPL260918C00370000,6/13/2025 11:14 AM,370,0.92,0.00,0.00,0.00,0.00%,5,0,12.50%
AAPL260918C00380000,5/27/2025 9:30 AM,380,0.87,0.00,0.00,0.00,0.00%,4,0,12.50%
AAPL260918C00390000,2025-11-06 09:42:00,390,0.74,0.00,0.00,0.00,0.00%,2,0,12.50%
AAPL260918C00400000,2025-12-06 10:04:00,400,0.58,0.00,0.00,0.00,0.00%,2,0,12.50%
Puts,,,,,,,,,,
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
AAPL260918P00050000,6/13/2025 12:52 PM,50,0.30,0.00,0.00,0.00,0.00%,1,0,25.00%
AAPL260918P00055000,6/17/2025 2:28 PM,55,0.36,0.00,0.00,0.00,0.00%,4,0,25.00%
AAPL260918P00060000,2025-04-06 13:53:00,60,0.44,0.00,0.00,0.00,0.00%,2,0,25.00%
AAPL260918P00065000,6/17/2025 2:24 PM,65,0.52,0.00,0.00,0.00,0.00%,-,-,25.00%
AAPL260918P00070000,2025-11-06 12:32:00,70,0.63,0.00,0.00,0.00,0.00%,-,0,25.00%
AAPL260918P00075000,2025-04-06 14:59:00,75,0.73,0.00,0.00,0.00,0.00%,3,0,12.50%
AAPL260918P00080000,6/13/2025 3:32 PM,80,1.00,0.00,0.00,0.00,0.00%,2,0,12.50%
AAPL260918P00085000,6/13/2025 3:32 PM,85,1.21,0.00,0.00,0.00,0.00%,2,0,12.50%
AAPL260918P00090000,6/16/2025 12:48 PM,90,1.30,0.00,0.00,0.00,0.00%,3,0,12.50%
AAPL260918P00095000,2025-04-06 15:17:00,95,1.40,0.00,0.00,0.00,0.00%,6,0,12.50%
AAPL260918P00100000,6/13/2025 3:53 PM,100,2.01,0.00,0.00,0.00,0.00%,3,0,12.50%
AAPL260918P00105000,5/29/2025 3:46 PM,105,2.20,0.00,0.00,0.00,0.00%,4,0,12.50%
AAPL260918P00110000,6/13/2025 2:52 PM,110,2.60,0.00,0.00,0.00,0.00%,2,0,12.50%
AAPL260918P00115000,2025-06-06 15:53:00,115,2.48,0.00,0.00,0.00,0.00%,40,0,12.50%
AAPL260918P00120000,6/13/2025 3:02 PM,120,3.55,0.00,0.00,0.00,0.00%,3,0,6.25%
AAPL260918P00125000,6/16/2025 9:30 AM,125,3.91,0.00,0.00,0.00,0.00%,10,0,6.25%
AAPL260918P00130000,6/17/2025 1:44 PM,130,4.30,0.00,0.00,0.00,0.00%,14,0,6.25%
AAPL260918P00135000,6/17/2025 12:23 PM,135,4.80,0.00,0.00,0.00,0.00%,3,0,6.25%
AAPL260918P00140000,6/13/2025 11:09 AM,140,5.95,0.00,0.00,0.00,0.00%,4,0,6.25%
AAPL260918P00145000,6/13/2025 3:27 PM,145,7.07,0.00,0.00,0.00,0.00%,32,0,6.25%
AAPL260918P00150000,6/13/2025 1:10 PM,150,7.65,0.00,0.00,0.00,0.00%,10,0,6.25%
AAPL260918P00155000,2025-12-06 14:34:00,155,8.51,0.00,0.00,0.00,0.00%,7,0,3.13%
AAPL260918P00160000,6/16/2025 3:18 PM,160,9.30,0.00,0.00,0.00,0.00%,575,0,3.13%
AAPL260918P00165000,6/17/2025 1:08 PM,165,10.85,0.00,0.00,0.00,0.00%,1,0,3.13%
AAPL260918P00170000,6/17/2025 3:41 PM,170,12.39,0.00,0.00,0.00,0.00%,411,0,3.13%
AAPL260918P00175000,6/17/2025 12:50 PM,175,13.60,0.00,0.00,0.00,0.00%,7,0,1.56%
AAPL260918P00180000,6/17/2025 1:27 PM,180,15.30,0.00,0.00,0.00,0.00%,1,0,1.56%
AAPL260918P00185000,6/17/2025 1:00 PM,185,17.10,0.00,0.00,0.00,0.00%,56,0,1.56%
AAPL260918P00190000,6/17/2025 3:59 PM,190,19.55,0.00,0.00,0.00,0.00%,69,0,0.78%
AAPL260918P00195000,6/17/2025 10:58 AM,195,21.02,0.00,0.00,0.00,0.00%,135,0,0.10%
AAPL260918P00200000,6/17/2025 2:27 PM,200,24.30,0.00,0.00,0.00,0.00%,68,0,0.00%
AAPL260918P00205000,6/17/2025 2:27 PM,205,26.75,0.00,0.00,0.00,0.00%,16,0,0.00%
AAPL260918P00210000,6/17/2025 11:00 AM,210,28.17,0.00,0.00,0.00,0.00%,36,0,0.00%
AAPL260918P00215000,2025-11-06 12:10:00,215,29.85,0.00,0.00,0.00,0.00%,1,0,0.00%
AAPL260918P00220000,6/17/2025 10:49 AM,220,33.78,0.00,0.00,0.00,0.00%,13,0,0.00%
AAPL260918P00225000,6/17/2025 3:16 PM,225,37.88,0.00,0.00,0.00,0.00%,8,0,0.00%
AAPL260918P00230000,2025-05-06 11:53:00,230,36.09,0.00,0.00,0.00,0.00%,1,0,0.00%
AAPL260918P00235000,6/17/2025 10:56 AM,235,43.55,0.00,0.00,0.00,0.00%,7,0,0.00%
AAPL260918P00240000,6/17/2025 10:56 AM,240,47.18,0.00,0.00,0.00,0.00%,10,0,0.00%
AAPL260918P00245000,6/17/2025 1:05 PM,245,51.75,0.00,0.00,0.00,0.00%,13,0,0.00%
AAPL260918P00250000,6/17/2025 10:56 AM,250,55.10,0.00,0.00,0.00,0.00%,11,0,0.00%
AAPL260918P00255000,6/17/2025 11:00 AM,255,59.26,0.00,0.00,0.00,0.00%,86,0,0.00%
AAPL260918P00260000,6/17/2025 11:00 AM,260,63.53,0.00,0.00,0.00,0.00%,151,0,0.00%
AAPL260918P00265000,6/17/2025 10:57 AM,265,68.14,0.00,0.00,0.00,0.00%,5,0,0.00%
AAPL260918P00270000,2025-09-06 10:43:00,270,65.58,0.00,0.00,0.00,0.00%,1,0,0.00%
AAPL260918P00275000,6/16/2025 11:23 AM,275,77.21,0.00,0.00,0.00,0.00%,1,0,0.00%
AAPL260918P00280000,6/16/2025 11:23 AM,280,82.20,0.00,0.00,0.00,0.00%,-,-,0.00%
