Calls,"June 17, 2025 @ close",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
AMZN261218C00085000,2025-02-06 15:15:00,85,129.00,0.00,0.00,0.00,0.00%,11,0,0.00%
AMZN261218C00090000,6/17/2025 1:17 PM,90,133.75,0.00,0.00,0.00,0.00%,4,0,0.00%
AMZN261218C00095000,5/21/2025 2:58 PM,95,115.63,0.00,0.00,0.00,0.00%,1,0,0.00%
AMZN261218C00100000,6/16/2025 11:20 AM,100,125.00,0.00,0.00,0.00,0.00%,1,0,0.00%
AMZN261218C00105000,2025-10-06 15:35:00,105,121.31,0.00,0.00,0.00,0.00%,3,0,0.00%
AMZN261218C00110000,2025-10-06 11:10:00,110,116.12,0.00,0.00,0.00,0.00%,1,0,0.00%
AMZN261218C00115000,6/16/2025 12:17 PM,115,112.10,0.00,0.00,0.00,0.00%,5,0,0.00%
AMZN261218C00120000,2025-09-06 10:27:00,120,107.00,0.00,0.00,0.00,0.00%,2,0,0.00%
AMZN261218C00125000,2025-09-06 12:03:00,125,104.00,0.00,0.00,0.00,0.00%,1,0,0.00%
AMZN261218C00130000,6/17/2025 3:27 PM,130,98.75,0.00,0.00,0.00,0.00%,1,0,0.00%
AMZN261218C00135000,6/17/2025 2:54 PM,135,94.60,0.00,0.00,0.00,0.00%,1,0,0.00%
AMZN261218C00140000,5/22/2025 3:23 PM,140,81.50,0.00,0.00,0.00,0.00%,8,0,0.00%
AMZN261218C00145000,6/16/2025 2:55 PM,145,87.75,0.00,0.00,0.00,0.00%,3,0,0.00%
AMZN261218C00150000,6/17/2025 2:09 PM,150,83.05,0.00,0.00,0.00,0.00%,1,0,0.00%
AMZN261218C00155000,6/17/2025 3:27 PM,155,79.25,0.00,0.00,0.00,0.00%,1,0,0.00%
AMZN261218C00160000,2025-12-06 15:13:00,160,74.05,0.00,0.00,0.00,0.00%,3,0,0.00%
AMZN261218C00165000,6/16/2025 2:58 PM,165,72.88,0.00,0.00,0.00,0.00%,4,0,0.00%
AMZN261218C00170000,6/16/2025 11:11 AM,170,68.60,0.00,0.00,0.00,0.00%,2,0,0.00%
AMZN261218C00175000,6/17/2025 3:24 PM,175,65.25,0.00,0.00,0.00,0.00%,1,0,0.00%
AMZN261218C00180000,6/17/2025 11:23 AM,180,62.65,0.00,0.00,0.00,0.00%,1,0,0.00%
AMZN261218C00185000,6/16/2025 2:44 PM,185,58.97,0.00,0.00,0.00,0.00%,5,0,0.00%
AMZN261218C00190000,6/16/2025 10:07 AM,190,54.30,0.00,0.00,0.00,0.00%,1,0,0.00%
AMZN261218C00195000,6/17/2025 1:17 PM,195,52.95,0.00,0.00,0.00,0.00%,138,0,0.00%
AMZN261218C00200000,6/17/2025 2:44 PM,200,49.35,0.00,0.00,0.00,0.00%,12,0,0.00%
AMZN261218C00205000,6/17/2025 10:58 AM,205,47.50,0.00,0.00,0.00,0.00%,1,0,0.00%
AMZN261218C00210000,6/17/2025 1:56 PM,210,44.60,0.00,0.00,0.00,0.00%,3,0,0.00%
AMZN261218C00215000,6/17/2025 3:29 PM,215,41.66,0.00,0.00,0.00,0.00%,13,0,0.03%
AMZN261218C00220000,6/17/2025 3:11 PM,220,39.20,0.00,0.00,0.00,0.00%,16,0,0.39%
AMZN261218C00225000,6/13/2025 3:09 PM,225,35.25,0.00,0.00,0.00,0.00%,47,0,0.78%
AMZN261218C00230000,6/17/2025 2:33 PM,230,34.41,0.00,0.00,0.00,0.00%,2,0,1.56%
AMZN261218C00235000,6/17/2025 3:34 PM,235,32.30,0.00,0.00,0.00,0.00%,1,0,1.56%
AMZN261218C00240000,6/16/2025 12:08 PM,240,30.20,0.00,0.00,0.00,0.00%,11,0,1.56%
AMZN261218C00245000,6/13/2025 11:52 AM,245,27.27,0.00,0.00,0.00,0.00%,1,0,3.13%
AMZN261218C00250000,6/17/2025 3:25 PM,250,26.65,0.00,0.00,0.00,0.00%,2,0,3.13%
AMZN261218C00255000,6/16/2025 9:54 AM,255,23.75,0.00,0.00,0.00,0.00%,1,0,3.13%
AMZN261218C00260000,6/16/2025 11:00 AM,260,22.60,0.00,0.00,0.00,0.00%,45,0,3.13%
AMZN261218C00265000,6/17/2025 9:57 AM,265,22.30,0.00,0.00,0.00,0.00%,1,0,3.13%
AMZN261218C00270000,6/17/2025 12:29 PM,270,20.54,0.00,0.00,0.00,0.00%,90,0,3.13%
AMZN261218C00280000,6/13/2025 12:39 PM,280,16.85,0.00,0.00,0.00,0.00%,2,0,3.13%
AMZN261218C00290000,2025-11-06 14:23:00,290,14.67,0.00,0.00,0.00,0.00%,2,0,6.25%
AMZN261218C00300000,6/17/2025 3:40 PM,300,12.84,0.00,0.00,0.00,0.00%,132,0,6.25%
AMZN261218C00310000,6/16/2025 3:12 PM,310,11.26,0.00,0.00,0.00,0.00%,1,0,6.25%
AMZN261218C00315000,6/16/2025 2:52 PM,315,10.34,0.00,0.00,0.00,0.00%,60,0,6.25%
AMZN261218C00320000,6/13/2025 9:49 AM,320,8.71,0.00,0.00,0.00,0.00%,2,0,6.25%
AMZN261218C00330000,2025-11-06 15:33:00,330,8.10,0.00,0.00,0.00,0.00%,2,0,6.25%
AMZN261218C00340000,6/16/2025 2:31 PM,340,7.09,0.00,0.00,0.00,0.00%,1,0,6.25%
AMZN261218C00345000,5/14/2025 3:07 PM,345,6.40,6.05,6.35,0.00,0.00%,38,320,32.80%
AMZN261218C00350000,6/17/2025 1:03 PM,350,6.05,0.00,0.00,0.00,0.00%,1,0,6.25%
AMZN261218C00355000,2025-10-06 14:33:00,355,6.10,0.00,0.00,0.00,0.00%,20,0,6.25%
AMZN261218C00360000,6/17/2025 12:09 PM,360,5.35,0.00,0.00,0.00,0.00%,9,0,6.25%
Puts,,,,,,,,,,
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
AMZN261218P00085000,6/16/2025 2:49 PM,85,1.30,0.00,0.00,0.00,0.00%,2,0,12.50%
AMZN261218P00090000,2025-09-06 10:58:00,90,1.52,0.00,0.00,0.00,0.00%,2,0,12.50%
AMZN261218P00095000,6/16/2025 12:36 PM,95,1.76,0.00,0.00,0.00,0.00%,2,0,12.50%
AMZN261218P00100000,2025-10-06 12:45:00,100,2.00,0.00,0.00,0.00,0.00%,2,0,12.50%
AMZN261218P00105000,2025-12-06 11:46:00,105,2.46,0.00,0.00,0.00,0.00%,1,0,12.50%
AMZN261218P00110000,2025-12-06 11:46:00,110,2.82,0.00,0.00,0.00,0.00%,1,0,12.50%
AMZN261218P00115000,2025-12-06 11:45:00,115,3.25,0.00,0.00,0.00,0.00%,1,0,12.50%
AMZN261218P00120000,6/17/2025 9:36 AM,120,3.55,0.00,0.00,0.00,0.00%,30,0,12.50%
AMZN261218P00125000,2025-06-06 14:10:00,125,4.15,0.00,0.00,0.00,0.00%,1,0,6.25%
AMZN261218P00130000,6/17/2025 2:05 PM,130,4.80,0.00,0.00,0.00,0.00%,1,0,6.25%
AMZN261218P00135000,6/17/2025 3:41 PM,135,5.50,0.00,0.00,0.00,0.00%,2,0,6.25%
AMZN261218P00140000,6/16/2025 11:22 AM,140,5.95,0.00,0.00,0.00,0.00%,14,0,6.25%
AMZN261218P00145000,6/13/2025 2:21 PM,145,7.24,0.00,0.00,0.00,0.00%,6,0,6.25%
AMZN261218P00150000,6/16/2025 10:27 AM,150,7.80,0.00,0.00,0.00,0.00%,200,0,6.25%
AMZN261218P00155000,6/17/2025 2:08 PM,155,8.91,0.00,0.00,0.00,0.00%,2,0,6.25%
AMZN261218P00160000,6/17/2025 2:13 PM,160,9.90,0.00,0.00,0.00,0.00%,2,0,6.25%
AMZN261218P00165000,6/17/2025 2:17 PM,165,11.15,0.00,0.00,0.00,0.00%,4,0,3.13%
AMZN261218P00170000,6/16/2025 1:23 PM,170,12.13,0.00,0.00,0.00,0.00%,2,0,3.13%
AMZN261218P00175000,6/13/2025 3:21 PM,175,14.52,0.00,0.00,0.00,0.00%,8,0,3.13%
AMZN261218P00180000,6/17/2025 3:09 PM,180,15.30,0.00,0.00,0.00,0.00%,16,0,3.13%
AMZN261218P00185000,6/16/2025 1:56 PM,185,16.45,0.00,0.00,0.00,0.00%,2,0,3.13%
AMZN261218P00190000,6/16/2025 11:22 AM,190,18.00,0.00,0.00,0.00,0.00%,1,0,1.56%
AMZN261218P00195000,6/17/2025 12:52 PM,195,19.91,0.00,0.00,0.00,0.00%,2,0,1.56%
AMZN261218P00200000,6/17/2025 12:28 PM,200,21.55,0.00,0.00,0.00,0.00%,5,0,1.56%
AMZN261218P00205000,6/16/2025 2:59 PM,205,23.60,0.00,0.00,0.00,0.00%,4,0,0.78%
AMZN261218P00210000,6/17/2025 1:41 PM,210,25.85,0.00,0.00,0.00,0.00%,5,0,0.39%
AMZN261218P00215000,6/17/2025 12:52 PM,215,28.18,0.00,0.00,0.00,0.00%,3,0,0.00%
AMZN261218P00220000,6/17/2025 1:28 PM,220,30.60,0.00,0.00,0.00,0.00%,1,0,0.00%
AMZN261218P00225000,2025-12-06 14:26:00,225,34.55,0.00,0.00,0.00,0.00%,4,0,0.00%
AMZN261218P00230000,2025-11-06 13:14:00,230,35.85,0.00,0.00,0.00,0.00%,30,0,0.00%
AMZN261218P00235000,2025-05-06 14:28:00,235,41.81,0.00,0.00,0.00,0.00%,10,0,0.00%
AMZN261218P00240000,6/17/2025 12:29 PM,240,40.82,0.00,0.00,0.00,0.00%,90,0,0.00%
AMZN261218P00245000,2025-06-06 10:14:00,245,46.45,0.00,0.00,0.00,0.00%,4,0,0.00%
AMZN261218P00250000,2025-11-06 13:01:00,250,48.00,0.00,0.00,0.00,0.00%,3,0,0.00%
AMZN261218P00255000,5/28/2025 2:32 PM,255,56.40,0.00,0.00,0.00,0.00%,4,0,0.00%
AMZN261218P00260000,5/13/2025 9:35 AM,260,56.24,56.55,57.15,0.00,0.00%,12,415,25.31%
AMZN261218P00265000,2025-12-05 11:21:00,265,63.90,56.80,57.25,0.00,0.00%,3,150,20.94%
AMZN261218P00270000,6/17/2025 12:29 PM,270,60.55,0.00,0.00,0.00,0.00%,90,0,0.00%
AMZN261218P00280000,6/17/2025 2:40 PM,280,69.70,0.00,0.00,0.00,0.00%,4,0,0.00%
AMZN261218P00290000,2025-07-03 10:49:00,290,92.85,0.00,0.00,0.00,0.00%,3,3,0.00%
AMZN261218P00300000,2025-02-06 14:21:00,300,94.00,0.00,0.00,0.00,0.00%,10,0,0.00%
AMZN261218P00310000,5/16/2025 11:26 AM,310,105.36,95.05,97.50,0.00,0.00%,2,0,21.15%
AMZN261218P00315000,6/13/2025 10:31 AM,315,105.29,0.00,0.00,0.00,0.00%,1,0,0.00%
AMZN261218P00330000,2025-07-05 11:31:00,330,141.77,116.35,119.95,0.00,0.00%,10,0,28.40%
AMZN261218P00340000,3/19/2025 3:56 PM,340,144.84,165.50,169.25,0.00,0.00%,1,1,70.78%
AMZN261218P00360000,1/30/2025 2:07 PM,360,124.90,146.10,149.75,0.00,0.00%,-,0,31.78%
