Calls,"June 17, 2025 @ close",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
AMZN270115C00085000,5/28/2025 3:25 PM,85,128.95,0.00,0.00,0.00,0.00%,20,0,0.00%
AMZN270115C00090000,2025-04-06 13:27:00,90,126.50,0.00,0.00,0.00,0.00%,1,0,0.00%
AMZN270115C00095000,6/16/2025 2:28 PM,95,129.72,0.00,0.00,0.00,0.00%,2,0,0.00%
AMZN270115C00100000,6/17/2025 10:44 AM,100,125.67,0.00,0.00,0.00,0.00%,1,0,0.00%
AMZN270115C00105000,6/13/2025 3:27 PM,105,117.00,0.00,0.00,0.00,0.00%,3,0,0.00%
AMZN270115C00110000,2025-02-06 14:12:00,110,107.12,0.00,0.00,0.00,0.00%,15,0,0.00%
AMZN270115C00115000,2025-04-06 11:58:00,115,103.30,0.00,0.00,0.00,0.00%,2,0,0.00%
AMZN270115C00120000,6/16/2025 10:13 AM,120,106.85,0.00,0.00,0.00,0.00%,5,0,0.00%
AMZN270115C00125000,2025-11-06 15:04:00,125,102.10,0.00,0.00,0.00,0.00%,2,0,0.00%
AMZN270115C00130000,6/16/2025 11:06 AM,130,99.23,0.00,0.00,0.00,0.00%,28,0,0.00%
AMZN270115C00135000,6/16/2025 1:49 PM,135,95.76,0.00,0.00,0.00,0.00%,1,0,0.00%
AMZN270115C00140000,2025-10-06 11:11:00,140,92.17,0.00,0.00,0.00,0.00%,1,0,0.00%
AMZN270115C00145000,6/17/2025 9:46 AM,145,88.73,0.00,0.00,0.00,0.00%,1,0,0.00%
AMZN270115C00150000,6/16/2025 3:36 PM,150,85.00,0.00,0.00,0.00,0.00%,4,0,0.00%
AMZN270115C00155000,6/13/2025 10:02 AM,155,77.11,0.00,0.00,0.00,0.00%,1,0,0.00%
AMZN270115C00160000,6/16/2025 1:39 PM,160,76.76,0.00,0.00,0.00,0.00%,4,0,0.00%
AMZN270115C00165000,2025-11-06 15:53:00,165,71.50,0.00,0.00,0.00,0.00%,33,0,0.00%
AMZN270115C00170000,6/17/2025 12:44 PM,170,70.40,0.00,0.00,0.00,0.00%,8,0,0.00%
AMZN270115C00175000,6/17/2025 12:05 PM,175,67.33,0.00,0.00,0.00,0.00%,1,0,0.00%
AMZN270115C00180000,6/17/2025 12:27 PM,180,63.85,0.00,0.00,0.00,0.00%,2,0,0.00%
AMZN270115C00185000,6/17/2025 3:59 PM,185,59.50,0.00,0.00,0.00,0.00%,3,0,0.00%
AMZN270115C00190000,6/17/2025 2:01 PM,190,56.30,0.00,0.00,0.00,0.00%,1,0,0.00%
AMZN270115C00195000,6/16/2025 11:06 AM,195,53.10,0.00,0.00,0.00,0.00%,4,0,0.00%
AMZN270115C00200000,6/17/2025 3:48 PM,200,50.86,0.00,0.00,0.00,0.00%,25,0,0.00%
AMZN270115C00205000,6/17/2025 1:58 PM,205,48.45,0.00,0.00,0.00,0.00%,2,0,0.00%
AMZN270115C00210000,6/17/2025 2:05 PM,210,45.35,0.00,0.00,0.00,0.00%,28,0,0.00%
AMZN270115C00215000,6/17/2025 3:59 PM,215,42.55,0.00,0.00,0.00,0.00%,2,0,0.03%
AMZN270115C00220000,6/17/2025 3:05 PM,220,40.15,0.00,0.00,0.00,0.00%,2,0,0.39%
AMZN270115C00225000,6/17/2025 1:13 PM,225,38.35,0.00,0.00,0.00,0.00%,8,0,0.78%
AMZN270115C00230000,6/17/2025 12:41 PM,230,36.20,0.00,0.00,0.00,0.00%,5,0,1.56%
AMZN270115C00235000,6/16/2025 11:01 AM,235,33.00,0.00,0.00,0.00,0.00%,52,0,1.56%
AMZN270115C00240000,6/17/2025 10:02 AM,240,32.25,0.00,0.00,0.00,0.00%,1,0,1.56%
AMZN270115C00245000,6/17/2025 3:22 PM,245,29.54,0.00,0.00,0.00,0.00%,74,0,3.13%
AMZN270115C00250000,6/17/2025 3:34 PM,250,27.51,0.00,0.00,0.00,0.00%,38,0,3.13%
AMZN270115C00255000,6/16/2025 2:24 PM,255,25.92,0.00,0.00,0.00,0.00%,3,0,3.13%
AMZN270115C00260000,6/17/2025 11:00 AM,260,24.45,0.00,0.00,0.00,0.00%,1,0,3.13%
AMZN270115C00265000,6/17/2025 11:22 AM,265,22.85,0.00,0.00,0.00,0.00%,6,0,3.13%
AMZN270115C00270000,6/17/2025 1:48 PM,270,21.25,0.00,0.00,0.00,0.00%,7,0,3.13%
AMZN270115C00275000,6/16/2025 12:53 PM,275,19.50,0.00,0.00,0.00,0.00%,9,0,3.13%
AMZN270115C00280000,6/17/2025 1:23 PM,280,18.37,0.00,0.00,0.00,0.00%,2,0,3.13%
AMZN270115C00285000,6/16/2025 3:18 PM,285,17.37,0.00,0.00,0.00,0.00%,12,0,6.25%
AMZN270115C00290000,6/16/2025 3:51 PM,290,16.27,0.00,0.00,0.00,0.00%,4,0,6.25%
AMZN270115C00295000,6/16/2025 3:22 PM,295,15.13,0.00,0.00,0.00,0.00%,40,0,6.25%
AMZN270115C00300000,6/17/2025 3:40 PM,300,13.75,0.00,0.00,0.00,0.00%,82,0,6.25%
AMZN270115C00305000,6/17/2025 1:51 PM,305,12.95,0.00,0.00,0.00,0.00%,44,0,6.25%
AMZN270115C00310000,6/17/2025 12:00 PM,310,12.20,0.00,0.00,0.00,0.00%,2,0,6.25%
AMZN270115C00315000,6/16/2025 11:23 AM,315,11.25,0.00,0.00,0.00,0.00%,1,0,6.25%
AMZN270115C00320000,6/17/2025 9:59 AM,320,10.80,0.00,0.00,0.00,0.00%,6,0,6.25%
AMZN270115C00325000,6/16/2025 2:24 PM,325,9.66,0.00,0.00,0.00,0.00%,6,0,6.25%
AMZN270115C00330000,6/16/2025 2:24 PM,330,8.98,0.00,0.00,0.00,0.00%,8,0,6.25%
AMZN270115C00335000,2025-12-06 12:55:00,335,8.05,0.00,0.00,0.00,0.00%,3,0,6.25%
AMZN270115C00340000,2025-12-06 12:16:00,340,7.54,0.00,0.00,0.00,0.00%,6,0,6.25%
AMZN270115C00345000,6/16/2025 3:06 PM,345,7.31,0.00,0.00,0.00,0.00%,7,0,6.25%
AMZN270115C00350000,6/17/2025 1:35 PM,350,6.86,0.00,0.00,0.00,0.00%,4,0,6.25%
AMZN270115C00355000,6/13/2025 10:39 AM,355,5.70,0.00,0.00,0.00,0.00%,21,0,6.25%
AMZN270115C00360000,6/17/2025 3:44 PM,360,5.75,0.00,0.00,0.00,0.00%,3,0,6.25%
Puts,,,,,,,,,,
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
AMZN270115P00085000,6/16/2025 11:30 AM,85,1.35,0.00,0.00,0.00,0.00%,2,0,12.50%
AMZN270115P00090000,2025-11-06 10:04:00,90,1.60,0.00,0.00,0.00,0.00%,2,0,12.50%
AMZN270115P00095000,2025-10-06 13:59:00,95,1.89,0.00,0.00,0.00,0.00%,28,0,12.50%
AMZN270115P00100000,2025-12-06 09:30:00,100,2.32,0.00,0.00,0.00,0.00%,1,0,12.50%
AMZN270115P00105000,2025-12-06 11:44:00,105,2.60,0.00,0.00,0.00,0.00%,1,0,12.50%
AMZN270115P00110000,2025-12-06 15:08:00,110,3.00,0.00,0.00,0.00,0.00%,2,0,12.50%
AMZN270115P00115000,2025-12-06 11:43:00,115,3.40,0.00,0.00,0.00,0.00%,1,0,12.50%
AMZN270115P00120000,6/16/2025 9:30 AM,120,4.05,0.00,0.00,0.00,0.00%,1,0,12.50%
AMZN270115P00125000,2025-06-06 15:20:00,125,4.45,0.00,0.00,0.00,0.00%,4,0,6.25%
AMZN270115P00130000,6/17/2025 10:01 AM,130,4.75,0.00,0.00,0.00,0.00%,1,0,6.25%
AMZN270115P00135000,6/17/2025 3:56 PM,135,5.75,0.00,0.00,0.00,0.00%,2,0,6.25%
AMZN270115P00140000,6/17/2025 11:07 AM,140,6.20,0.00,0.00,0.00,0.00%,2,0,6.25%
AMZN270115P00145000,6/16/2025 3:08 PM,145,7.03,0.00,0.00,0.00,0.00%,2,0,6.25%
AMZN270115P00150000,6/17/2025 11:10 AM,150,7.96,0.00,0.00,0.00,0.00%,4,0,6.25%
AMZN270115P00155000,6/17/2025 3:56 PM,155,9.30,0.00,0.00,0.00,0.00%,2,0,6.25%
AMZN270115P00160000,6/17/2025 3:57 PM,160,10.40,0.00,0.00,0.00,0.00%,2,0,6.25%
AMZN270115P00165000,6/17/2025 3:57 PM,165,11.58,0.00,0.00,0.00,0.00%,2,0,3.13%
AMZN270115P00170000,6/17/2025 3:58 PM,170,12.90,0.00,0.00,0.00,0.00%,3,0,3.13%
AMZN270115P00175000,6/17/2025 3:54 PM,175,14.20,0.00,0.00,0.00,0.00%,5,0,3.13%
AMZN270115P00180000,6/17/2025 3:26 PM,180,15.65,0.00,0.00,0.00,0.00%,1,0,3.13%
AMZN270115P00185000,6/17/2025 3:58 PM,185,17.35,0.00,0.00,0.00,0.00%,7,0,3.13%
AMZN270115P00190000,6/17/2025 3:30 PM,190,19.04,0.00,0.00,0.00,0.00%,3,0,1.56%
AMZN270115P00195000,6/17/2025 11:44 AM,195,20.18,0.00,0.00,0.00,0.00%,2,0,1.56%
AMZN270115P00200000,6/17/2025 3:59 PM,200,22.85,0.00,0.00,0.00,0.00%,7,0,1.56%
AMZN270115P00205000,6/16/2025 2:47 PM,205,24.35,0.00,0.00,0.00,0.00%,4,0,0.78%
AMZN270115P00210000,6/17/2025 3:23 PM,210,27.05,0.00,0.00,0.00,0.00%,14,0,0.39%
AMZN270115P00215000,6/17/2025 3:23 PM,215,29.34,0.00,0.00,0.00,0.00%,804,0,0.00%
AMZN270115P00220000,6/17/2025 1:47 PM,220,31.09,0.00,0.00,0.00,0.00%,4,0,0.00%
AMZN270115P00225000,6/16/2025 3:58 PM,225,33.50,0.00,0.00,0.00,0.00%,7,0,0.00%
AMZN270115P00230000,6/16/2025 2:54 PM,230,36.10,0.00,0.00,0.00,0.00%,1.007,0,0.00%
AMZN270115P00235000,2025-12-06 14:39:00,235,40.60,0.00,0.00,0.00,0.00%,2,0,0.00%
AMZN270115P00240000,6/17/2025 3:30 PM,240,42.46,0.00,0.00,0.00,0.00%,1,0,0.00%
AMZN270115P00245000,2025-11-06 13:01:00,245,45.35,0.00,0.00,0.00,0.00%,3,0,0.00%
AMZN270115P00250000,6/17/2025 12:01 PM,250,47.46,0.00,0.00,0.00,0.00%,3,0,0.00%
AMZN270115P00255000,2025-05-06 11:15:00,255,53.65,0.00,0.00,0.00,0.00%,30,0,0.00%
AMZN270115P00260000,2025-05-06 11:28:00,260,57.64,0.00,0.00,0.00,0.00%,2,0,0.00%
AMZN270115P00265000,6/16/2025 10:03 AM,265,59.55,0.00,0.00,0.00,0.00%,1,0,0.00%
AMZN270115P00270000,2025-10-06 09:36:00,270,61.05,0.00,0.00,0.00,0.00%,34,0,0.00%
AMZN270115P00275000,5/16/2025 2:05 PM,275,73.48,65.85,67.60,0.00,0.00%,2,113,22.80%
AMZN270115P00280000,6/17/2025 2:15 PM,280,69.90,0.00,0.00,0.00,0.00%,68,0,0.00%
AMZN270115P00285000,5/14/2025 10:23 AM,285,77.05,75.65,77.45,0.00,0.00%,13,16,24.44%
AMZN270115P00290000,6/16/2025 9:56 AM,290,79.10,0.00,0.00,0.00,0.00%,15,0,0.00%
AMZN270115P00295000,6/17/2025 10:57 AM,295,81.35,0.00,0.00,0.00,0.00%,2,27,0.00%
AMZN270115P00300000,6/17/2025 10:57 AM,300,85.65,0.00,0.00,0.00,0.00%,2,0,0.00%
AMZN270115P00305000,5/22/2025 1:13 PM,305,102.58,0.00,0.00,0.00,0.00%,1,0,0.00%
AMZN270115P00310000,6/17/2025 12:01 PM,310,93.96,0.00,0.00,0.00,0.00%,2,0,0.00%
AMZN270115P00315000,4/22/2025 2:19 PM,315,142.35,0.00,0.00,0.00,0.00%,46,0,0.00%
AMZN270115P00320000,5/30/2025 1:02 PM,320,118.00,0.00,0.00,0.00,0.00%,2,0,0.00%
AMZN270115P00325000,2025-06-01 14:49:00,325,100.30,95.95,98.75,0.00,0.00%,-,1,0.00%
AMZN270115P00330000,2025-06-02 12:19:00,330,95.65,128.85,132.60,0.00,0.00%,-,0,43.37%
AMZN270115P00335000,12/13/2024 10:44 AM,335,108.41,110.75,113.25,0.00,0.00%,-,2,0.00%
AMZN270115P00340000,1/15/2025 10:53 AM,340,117.85,109.90,113.10,0.00,0.00%,24,1,0.00%
AMZN270115P00345000,1/30/2025 11:21 AM,345,112.65,131.10,134.75,0.00,0.00%,8,0,29.25%
AMZN270115P00350000,5/27/2025 12:55 PM,350,143.73,0.00,0.00,0.00,0.00%,10,0,0.00%
AMZN270115P00360000,6/17/2025 12:01 PM,360,143.16,0.00,0.00,0.00,0.00%,2,0,0.00%
