Calls,"June 17, 2025 @ close",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
AMZN250718C00085000,2025-09-06 12:43:00,85,132.50,0.00,0.00,0.00,0.00%,1,0,0.00%
AMZN250718C00090000,2025-06-06 13:34:00,90,123.06,0.00,0.00,0.00,0.00%,4,0,0.00%
AMZN250718C00095000,2025-06-06 13:34:00,95,118.17,0.00,0.00,0.00,0.00%,4,0,0.00%
AMZN250718C00100000,6/17/2025 10:28 AM,100,116.50,0.00,0.00,0.00,0.00%,2,0,0.00%
AMZN250718C00105000,2025-11-06 09:49:00,105,112.56,0.00,0.00,0.00,0.00%,2,0,0.00%
AMZN250718C00110000,6/16/2025 11:26 AM,110,106.97,0.00,0.00,0.00,0.00%,1,0,0.00%
AMZN250718C00115000,6/13/2025 12:19 PM,115,99.42,0.00,0.00,0.00,0.00%,1,0,0.00%
AMZN250718C00120000,6/16/2025 3:47 PM,120,97.40,0.00,0.00,0.00,0.00%,5,0,0.00%
AMZN250718C00125000,6/16/2025 1:23 PM,125,91.13,0.00,0.00,0.00,0.00%,1,0,0.00%
AMZN250718C00130000,6/17/2025 11:34 AM,130,86.85,0.00,0.00,0.00,0.00%,2,0,0.00%
AMZN250718C00135000,6/16/2025 12:39 PM,135,80.96,0.00,0.00,0.00,0.00%,1,0,0.00%
AMZN250718C00140000,6/17/2025 10:24 AM,140,77.35,0.00,0.00,0.00,0.00%,1,0,0.00%
AMZN250718C00145000,2025-09-06 15:50:00,145,73.65,0.00,0.00,0.00,0.00%,6,0,0.00%
AMZN250718C00150000,6/17/2025 3:36 PM,150,65.85,0.00,0.00,0.00,0.00%,7,0,0.00%
AMZN250718C00155000,6/17/2025 12:45 PM,155,62.15,0.00,0.00,0.00,0.00%,5,0,0.00%
AMZN250718C00160000,6/17/2025 1:53 PM,160,56.47,0.00,0.00,0.00,0.00%,6,0,0.00%
AMZN250718C00165000,6/17/2025 3:44 PM,165,51.01,0.00,0.00,0.00,0.00%,48,0,0.00%
AMZN250718C00170000,6/17/2025 2:25 PM,170,46.00,0.00,0.00,0.00,0.00%,10,0,0.00%
AMZN250718C00175000,6/17/2025 2:50 PM,175,41.05,0.00,0.00,0.00,0.00%,4,0,0.00%
AMZN250718C00180000,6/17/2025 3:54 PM,180,36.51,0.00,0.00,0.00,0.00%,65,0,0.00%
AMZN250718C00185000,6/17/2025 3:57 PM,185,31.62,0.00,0.00,0.00,0.00%,85,0,0.00%
AMZN250718C00190000,6/17/2025 3:57 PM,190,26.95,0.00,0.00,0.00,0.00%,82,0,0.00%
AMZN250718C00195000,6/17/2025 3:55 PM,195,22.42,0.00,0.00,0.00,0.00%,56,0,0.00%
AMZN250718C00200000,6/17/2025 3:55 PM,200,18.20,0.00,0.00,0.00,0.00%,860,0,0.00%
AMZN250718C00205000,6/17/2025 3:58 PM,205,14.15,0.00,0.00,0.00,0.00%,335,0,0.00%
AMZN250718C00210000,6/17/2025 3:59 PM,210,10.46,0.00,0.00,0.00,0.00%,631,0,0.00%
AMZN250718C00215000,6/17/2025 3:59 PM,215,7.35,0.00,0.00,0.00,0.00%,1.818,0,0.10%
AMZN250718C00220000,6/17/2025 3:59 PM,220,4.83,0.00,0.00,0.00,0.00%,4.78,0,1.56%
AMZN250718C00225000,6/17/2025 3:59 PM,225,3.00,0.00,0.00,0.00,0.00%,4.435,0,3.13%
AMZN250718C00230000,6/17/2025 3:59 PM,230,1.69,0.00,0.00,0.00,0.00%,16.514,0,6.25%
AMZN250718C00235000,6/17/2025 3:53 PM,235,0.94,0.00,0.00,0.00,0.00%,2.01,0,6.25%
AMZN250718C00240000,6/17/2025 3:50 PM,240,0.49,0.00,0.00,0.00,0.00%,1.608,0,6.25%
AMZN250718C00245000,6/17/2025 3:58 PM,245,0.25,0.00,0.00,0.00,0.00%,318,0,12.50%
AMZN250718C00250000,6/17/2025 3:50 PM,250,0.13,0.00,0.00,0.00,0.00%,781,0,12.50%
AMZN250718C00255000,6/17/2025 3:41 PM,255,0.08,0.00,0.00,0.00,0.00%,26,0,12.50%
AMZN250718C00260000,6/17/2025 3:49 PM,260,0.04,0.00,0.00,0.00,0.00%,285,0,12.50%
AMZN250718C00265000,6/17/2025 11:32 AM,265,0.03,0.00,0.00,0.00,0.00%,6,0,12.50%
AMZN250718C00270000,6/17/2025 11:23 AM,270,0.02,0.00,0.00,0.00,0.00%,34,0,12.50%
AMZN250718C00275000,6/17/2025 2:10 PM,275,0.01,0.00,0.00,0.00,0.00%,12,0,12.50%
AMZN250718C00280000,6/17/2025 9:45 AM,280,0.02,0.00,0.00,0.00,0.00%,41,0,25.00%
AMZN250718C00285000,6/17/2025 2:47 PM,285,0.01,0.00,0.00,0.00,0.00%,2,0,25.00%
AMZN250718C00290000,2025-11-06 11:32:00,290,0.03,0.00,0.00,0.00,0.00%,1,0,25.00%
AMZN250718C00295000,6/17/2025 10:04 AM,295,0.01,0.00,0.00,0.00,0.00%,2.904,0,25.00%
AMZN250718C00300000,6/17/2025 1:20 PM,300,0.01,0.00,0.00,0.00,0.00%,5,0,25.00%
AMZN250718C00305000,2025-12-06 15:48:00,305,0.01,0.00,0.00,0.00,0.00%,61,0,25.00%
AMZN250718C00310000,2025-12-06 10:05:00,310,0.01,0.00,0.00,0.00,0.00%,64,0,25.00%
AMZN250718C00315000,5/29/2025 11:57 AM,315,0.03,0.00,0.00,0.00,0.00%,9,0,25.00%
AMZN250718C00320000,2025-11-06 11:45:00,320,0.01,0.00,0.00,0.00,0.00%,11,0,25.00%
AMZN250718C00325000,2025-11-06 09:42:00,325,0.01,0.00,0.00,0.00,0.00%,20,0,25.00%
AMZN250718C00330000,2025-11-06 09:42:00,330,0.01,0.00,0.00,0.00,0.00%,30,0,25.00%
AMZN250718C00335000,6/16/2025 10:27 AM,335,0.01,0.00,0.00,0.00,0.00%,70,0,25.00%
AMZN250718C00340000,5/27/2025 1:44 PM,340,0.01,0.00,0.00,0.00,0.00%,4,0,25.00%
AMZN250718C00345000,2025-09-06 10:20:00,345,0.01,0.00,0.00,0.00,0.00%,8,0,25.00%
AMZN250718C00350000,5/14/2025 1:14 PM,350,0.01,0.00,0.02,0.00,0.00%,20,272,53.13%
AMZN250718C00355000,5/27/2025 9:46 AM,355,0.02,0.00,0.00,0.00,0.00%,1,0,25.00%
AMZN250718C00360000,2025-06-06 13:17:00,360,0.01,0.00,0.00,0.00,0.00%,7,0,25.00%
Puts,,,,,,,,,,
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
AMZN250718P00085000,2025-12-06 15:13:00,85,0.01,0.00,0.00,0.00,0.00%,1,0,50.00%
AMZN250718P00090000,2025-10-06 10:02:00,90,0.02,0.00,0.00,0.00,0.00%,20,0,50.00%
AMZN250718P00095000,6/17/2025 12:46 PM,95,0.01,0.00,0.00,0.00,0.00%,3,0,50.00%
AMZN250718P00100000,2025-09-06 15:54:00,100,0.02,0.00,0.00,0.00,0.00%,7,0,50.00%
AMZN250718P00105000,2025-09-06 14:15:00,105,0.02,0.00,0.00,0.00,0.00%,1,0,50.00%
AMZN250718P00110000,2025-09-06 12:01:00,110,0.05,0.00,0.00,0.00,0.00%,11,0,50.00%
AMZN250718P00115000,6/16/2025 9:31 AM,115,0.03,0.00,0.00,0.00,0.00%,7,0,50.00%
AMZN250718P00120000,6/13/2025 3:47 PM,120,0.04,0.00,0.00,0.00,0.00%,24,0,50.00%
AMZN250718P00125000,6/17/2025 2:05 PM,125,0.05,0.00,0.00,0.00,0.00%,1,0,50.00%
AMZN250718P00130000,6/13/2025 11:42 AM,130,0.04,0.00,0.00,0.00,0.00%,408,0,25.00%
AMZN250718P00135000,6/17/2025 1:16 PM,135,0.05,0.00,0.00,0.00,0.00%,539,0,25.00%
AMZN250718P00140000,6/17/2025 12:22 PM,140,0.05,0.00,0.00,0.00,0.00%,1,0,25.00%
AMZN250718P00145000,6/17/2025 11:07 AM,145,0.08,0.00,0.00,0.00,0.00%,9,0,25.00%
AMZN250718P00150000,6/17/2025 3:48 PM,150,0.12,0.00,0.00,0.00,0.00%,11,0,25.00%
AMZN250718P00155000,6/17/2025 3:43 PM,155,0.15,0.00,0.00,0.00,0.00%,47,0,25.00%
AMZN250718P00160000,6/17/2025 3:44 PM,160,0.20,0.00,0.00,0.00,0.00%,53,0,25.00%
AMZN250718P00165000,6/17/2025 2:46 PM,165,0.27,0.00,0.00,0.00,0.00%,31,0,25.00%
AMZN250718P00170000,6/17/2025 3:23 PM,170,0.33,0.00,0.00,0.00,0.00%,151,0,12.50%
AMZN250718P00175000,6/17/2025 3:45 PM,175,0.43,0.00,0.00,0.00,0.00%,339,0,12.50%
AMZN250718P00180000,6/17/2025 3:59 PM,180,0.58,0.00,0.00,0.00,0.00%,1.591,0,12.50%
AMZN250718P00185000,6/17/2025 3:47 PM,185,0.79,0.00,0.00,0.00,0.00%,2.057,0,12.50%
AMZN250718P00190000,6/17/2025 3:55 PM,190,1.10,0.00,0.00,0.00,0.00%,1.011,0,12.50%
AMZN250718P00195000,6/17/2025 3:56 PM,195,1.56,0.00,0.00,0.00,0.00%,2.097,0,6.25%
AMZN250718P00200000,6/17/2025 3:59 PM,200,2.29,0.00,0.00,0.00,0.00%,2.563,0,6.25%
AMZN250718P00205000,6/17/2025 3:59 PM,205,3.32,0.00,0.00,0.00,0.00%,2.303,0,3.13%
AMZN250718P00210000,6/17/2025 3:58 PM,210,4.70,0.00,0.00,0.00,0.00%,4,0,1.56%
AMZN250718P00215000,6/17/2025 3:57 PM,215,6.60,0.00,0.00,0.00,0.00%,1.076,0,0.00%
AMZN250718P00220000,6/17/2025 3:59 PM,220,9.20,0.00,0.00,0.00,0.00%,265,0,0.00%
AMZN250718P00225000,6/17/2025 3:51 PM,225,12.15,0.00,0.00,0.00,0.00%,141,0,0.00%
AMZN250718P00230000,6/17/2025 2:34 PM,230,15.98,0.00,0.00,0.00,0.00%,138,0,0.00%
AMZN250718P00235000,6/17/2025 3:56 PM,235,20.22,0.00,0.00,0.00,0.00%,71,0,0.00%
AMZN250718P00240000,6/17/2025 3:03 PM,240,24.90,0.00,0.00,0.00,0.00%,372,0,0.00%
AMZN250718P00245000,6/17/2025 2:48 PM,245,30.05,0.00,0.00,0.00,0.00%,20,0,0.00%
AMZN250718P00250000,6/17/2025 2:48 PM,250,34.95,0.00,0.00,0.00,0.00%,20,0,0.00%
AMZN250718P00255000,5/29/2025 3:38 PM,255,49.63,0.00,0.00,0.00,0.00%,3,0,0.00%
AMZN250718P00260000,4/16/2025 3:57 PM,260,85.23,53.65,54.70,0.00,0.00%,1,0,92.80%
AMZN250718P00265000,6/16/2025 3:43 PM,265,48.55,0.00,0.00,0.00,0.00%,1,0,0.00%
AMZN250718P00270000,6/16/2025 3:43 PM,270,53.53,0.00,0.00,0.00,0.00%,1,0,0.00%
AMZN250718P00275000,5/15/2025 12:24 PM,275,70.00,61.85,63.80,0.00,0.00%,2,0,69.52%
AMZN250718P00280000,2025-05-06 15:39:00,280,70.76,0.00,0.00,0.00,0.00%,10,0,0.00%
AMZN250718P00285000,2025-10-02 15:10:00,285,52.30,90.50,91.60,0.00,0.00%,42,0,168.05%
AMZN250718P00290000,2025-07-02 13:13:00,290,59.25,94.85,95.85,0.00,0.00%,22,0,169.34%
AMZN250718P00295000,2025-06-02 12:30:00,295,58.95,94.30,97.00,0.00,0.00%,7,0,152.82%
AMZN250718P00300000,2025-04-06 14:52:00,300,91.95,0.00,0.00,0.00,0.00%,1,0,0.00%
AMZN250718P00305000,2/27/2025 3:50 PM,305,95.61,111.85,112.90,0.00,0.00%,12,0,190.08%
AMZN250718P00310000,1/21/2025 3:54 PM,310,79.00,94.20,94.90,0.00,0.00%,-,0,0.00%
AMZN250718P00320000,2025-12-03 10:03:00,320,121.20,133.55,136.85,0.00,0.00%,-,0,234.14%
AMZN250718P00330000,12/16/2024 9:41 AM,330,100.45,108.60,109.60,0.00,0.00%,-,0,0.00%
AMZN250718P00350000,5/22/2025 9:43 AM,350,148.84,0.00,0.00,0.00,0.00%,-,0,0.00%
AMZN250718P00360000,6/17/2025 1:51 PM,360,144.30,0.00,0.00,0.00,0.00%,5,0,0.00%
