Calls,"June 17, 2025 @ close",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
AMZN251121C00085000,2025-11-06 12:26:00,85,132.59,0.00,0.00,0.00,0.00%,1,0,0.00%
AMZN251121C00090000,5/30/2025 3:05 PM,90,117.39,0.00,0.00,0.00,0.00%,10,0,0.00%
AMZN251121C00095000,4/24/2025 12:28 PM,95,93.60,107.30,110.00,0.00,0.00%,1,40,0.00%
AMZN251121C00100000,2025-09-06 13:26:00,100,119.87,0.00,0.00,0.00,0.00%,1,0,0.00%
AMZN251121C00105000,2025-11-06 09:30:00,105,115.30,0.00,0.00,0.00,0.00%,1,0,0.00%
AMZN251121C00110000,4/23/2025 3:28 PM,110,76.15,93.80,95.10,0.00,0.00%,12,20,0.00%
AMZN251121C00115000,2025-06-06 14:35:00,115,101.45,0.00,0.00,0.00,0.00%,1,0,0.00%
AMZN251121C00120000,6/17/2025 11:05 AM,120,99.33,0.00,0.00,0.00,0.00%,20,0,0.00%
AMZN251121C00125000,6/13/2025 9:40 AM,125,90.51,0.00,0.00,0.00,0.00%,1,0,0.00%
AMZN251121C00130000,2025-11-06 12:07:00,130,89.50,0.00,0.00,0.00,0.00%,15,0,0.00%
AMZN251121C00135000,2025-06-06 15:10:00,135,82.60,0.00,0.00,0.00,0.00%,20,0,0.00%
AMZN251121C00140000,2025-02-06 10:38:00,140,69.70,0.00,0.00,0.00,0.00%,1,0,0.00%
AMZN251121C00145000,6/13/2025 1:46 PM,145,72.94,0.00,0.00,0.00,0.00%,3,0,0.00%
AMZN251121C00150000,6/16/2025 11:46 AM,150,70.60,0.00,0.00,0.00,0.00%,1,0,0.00%
AMZN251121C00155000,6/17/2025 12:44 PM,155,66.70,0.00,0.00,0.00,0.00%,5,0,0.00%
AMZN251121C00160000,6/17/2025 3:20 PM,160,61.13,0.00,0.00,0.00,0.00%,13,0,0.00%
AMZN251121C00165000,2025-11-06 11:19:00,165,58.33,0.00,0.00,0.00,0.00%,1,0,0.00%
AMZN251121C00170000,6/16/2025 11:13 AM,170,52.80,0.00,0.00,0.00,0.00%,6,0,0.00%
AMZN251121C00175000,6/16/2025 1:05 PM,175,48.35,0.00,0.00,0.00,0.00%,2,0,0.00%
AMZN251121C00180000,6/17/2025 2:18 PM,180,44.35,0.00,0.00,0.00,0.00%,9,0,0.00%
AMZN251121C00185000,6/17/2025 12:47 PM,185,41.49,0.00,0.00,0.00,0.00%,3,0,0.00%
AMZN251121C00190000,6/17/2025 3:51 PM,190,36.79,0.00,0.00,0.00,0.00%,1,0,0.00%
AMZN251121C00195000,6/16/2025 2:54 PM,195,33.75,0.00,0.00,0.00,0.00%,9,0,0.00%
AMZN251121C00200000,6/17/2025 3:41 PM,200,29.68,0.00,0.00,0.00,0.00%,16,0,0.00%
AMZN251121C00205000,6/17/2025 2:51 PM,205,26.43,0.00,0.00,0.00,0.00%,1,0,0.00%
AMZN251121C00210000,6/17/2025 2:18 PM,210,23.55,0.00,0.00,0.00,0.00%,122,0,0.00%
AMZN251121C00215000,6/17/2025 2:59 PM,215,20.89,0.00,0.00,0.00,0.00%,794,0,0.05%
AMZN251121C00220000,6/17/2025 1:40 PM,220,18.61,0.00,0.00,0.00,0.00%,21,0,0.78%
AMZN251121C00225000,6/17/2025 3:43 PM,225,15.75,0.00,0.00,0.00,0.00%,15,0,1.56%
AMZN251121C00230000,6/17/2025 3:54 PM,230,13.65,0.00,0.00,0.00,0.00%,30,0,3.13%
AMZN251121C00235000,6/17/2025 2:46 PM,235,11.53,0.00,0.00,0.00,0.00%,17,0,3.13%
AMZN251121C00240000,6/17/2025 3:55 PM,240,9.90,0.00,0.00,0.00,0.00%,27,0,3.13%
AMZN251121C00245000,6/17/2025 3:53 PM,245,8.40,0.00,0.00,0.00,0.00%,25,0,3.13%
AMZN251121C00250000,6/17/2025 3:59 PM,250,7.00,0.00,0.00,0.00,0.00%,25,0,6.25%
AMZN251121C00255000,6/17/2025 3:59 PM,255,5.85,0.00,0.00,0.00,0.00%,4,0,6.25%
AMZN251121C00260000,6/17/2025 3:58 PM,260,4.85,0.00,0.00,0.00,0.00%,12,0,6.25%
AMZN251121C00265000,6/17/2025 9:51 AM,265,4.29,0.00,0.00,0.00,0.00%,3,0,6.25%
AMZN251121C00270000,6/17/2025 11:03 AM,270,3.49,0.00,0.00,0.00,0.00%,8,0,6.25%
AMZN251121C00275000,6/17/2025 12:53 PM,275,2.82,0.00,0.00,0.00,0.00%,7,0,6.25%
AMZN251121C00280000,6/17/2025 12:41 PM,280,2.40,0.00,0.00,0.00,0.00%,26,0,6.25%
AMZN251121C00285000,6/17/2025 12:50 PM,285,1.95,0.00,0.00,0.00,0.00%,8,0,6.25%
AMZN251121C00290000,6/16/2025 2:41 PM,290,1.63,0.00,0.00,0.00,0.00%,191,0,12.50%
AMZN251121C00295000,6/17/2025 3:33 PM,295,1.32,0.00,0.00,0.00,0.00%,1,0,12.50%
AMZN251121C00300000,6/17/2025 9:54 AM,300,1.20,0.00,0.00,0.00,0.00%,1,0,12.50%
AMZN251121C00310000,6/13/2025 11:45 AM,310,0.76,0.00,0.00,0.00,0.00%,-,0,12.50%
AMZN251121C00320000,6/17/2025 2:06 PM,320,0.56,0.00,0.00,0.00,0.00%,1,-,12.50%
Puts,,,,,,,,,,
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
AMZN251121P00085000,6/17/2025 1:45 PM,85,0.20,0.00,0.00,0.00,0.00%,2,0,25.00%
AMZN251121P00090000,2025-10-06 10:08:00,90,0.26,0.00,0.00,0.00,0.00%,32,0,25.00%
AMZN251121P00095000,6/13/2025 2:32 PM,95,0.34,0.00,0.00,0.00,0.00%,1,0,25.00%
AMZN251121P00100000,6/17/2025 12:37 PM,100,0.35,0.00,0.00,0.00,0.00%,1,0,25.00%
AMZN251121P00105000,6/17/2025 3:26 PM,105,0.45,0.00,0.00,0.00,0.00%,4,0,25.00%
AMZN251121P00110000,6/17/2025 9:34 AM,110,0.52,0.00,0.00,0.00,0.00%,10,0,25.00%
AMZN251121P00115000,6/16/2025 1:51 PM,115,0.62,0.00,0.00,0.00,0.00%,4,0,25.00%
AMZN251121P00120000,6/13/2025 2:32 PM,120,0.83,0.00,0.00,0.00,0.00%,1,0,12.50%
AMZN251121P00125000,6/16/2025 9:38 AM,125,0.94,0.00,0.00,0.00,0.00%,4,0,12.50%
AMZN251121P00130000,6/17/2025 1:59 PM,130,1.00,0.00,0.00,0.00,0.00%,5,0,12.50%
AMZN251121P00135000,6/17/2025 11:47 AM,135,1.11,0.00,0.00,0.00,0.00%,1,0,12.50%
AMZN251121P00140000,6/17/2025 11:53 AM,140,1.31,0.00,0.00,0.00,0.00%,1,0,12.50%
AMZN251121P00145000,2025-10-06 15:41:00,145,1.60,0.00,0.00,0.00,0.00%,7,0,12.50%
AMZN251121P00150000,6/17/2025 3:41 PM,150,2.02,0.00,0.00,0.00,0.00%,25,0,12.50%
AMZN251121P00155000,6/17/2025 12:50 PM,155,2.22,0.00,0.00,0.00,0.00%,4,0,12.50%
AMZN251121P00160000,6/17/2025 2:44 PM,160,2.87,0.00,0.00,0.00,0.00%,3,0,12.50%
AMZN251121P00165000,6/16/2025 2:59 PM,165,3.10,0.00,0.00,0.00,0.00%,5,0,6.25%
AMZN251121P00170000,6/17/2025 2:55 PM,170,4.00,0.00,0.00,0.00,0.00%,10,0,6.25%
AMZN251121P00175000,6/17/2025 3:05 PM,175,4.80,0.00,0.00,0.00,0.00%,56,0,6.25%
AMZN251121P00180000,6/17/2025 3:43 PM,180,5.65,0.00,0.00,0.00,0.00%,141,0,6.25%
AMZN251121P00185000,6/17/2025 3:13 PM,185,6.65,0.00,0.00,0.00,0.00%,133,0,6.25%
AMZN251121P00190000,6/17/2025 3:41 PM,190,7.95,0.00,0.00,0.00,0.00%,83,0,3.13%
AMZN251121P00195000,6/17/2025 3:23 PM,195,9.20,0.00,0.00,0.00,0.00%,150,0,3.13%
AMZN251121P00200000,6/17/2025 3:55 PM,200,10.80,0.00,0.00,0.00,0.00%,38,0,3.13%
AMZN251121P00205000,6/17/2025 3:50 PM,205,12.40,0.00,0.00,0.00,0.00%,49,0,1.56%
AMZN251121P00210000,6/17/2025 3:50 PM,210,14.35,0.00,0.00,0.00,0.00%,13,0,0.78%
AMZN251121P00215000,6/17/2025 2:02 PM,215,16.55,0.00,0.00,0.00,0.00%,8,0,0.00%
AMZN251121P00220000,6/17/2025 3:53 PM,220,18.95,0.00,0.00,0.00,0.00%,36,0,0.00%
AMZN251121P00225000,6/17/2025 12:59 PM,225,21.25,0.00,0.00,0.00,0.00%,5,0,0.00%
AMZN251121P00230000,6/17/2025 2:41 PM,230,24.60,0.00,0.00,0.00,0.00%,4,0,0.00%
AMZN251121P00235000,6/16/2025 3:54 PM,235,26.50,0.00,0.00,0.00,0.00%,2,0,0.00%
AMZN251121P00240000,6/17/2025 2:02 PM,240,31.05,0.00,0.00,0.00,0.00%,2,0,0.00%
AMZN251121P00245000,6/16/2025 2:55 PM,245,33.85,0.00,0.00,0.00,0.00%,2,0,0.00%
AMZN251121P00250000,2025-09-06 12:40:00,250,37.38,0.00,0.00,0.00,0.00%,1,0,0.00%
AMZN251121P00255000,5/23/2025 11:09 AM,255,55.40,0.00,0.00,0.00,0.00%,4,0,0.00%
AMZN251121P00260000,5/29/2025 10:47 AM,260,53.70,0.00,0.00,0.00,0.00%,30,0,0.00%
AMZN251121P00265000,6/16/2025 12:24 PM,265,50.35,0.00,0.00,0.00,0.00%,4,0,0.00%
AMZN251121P00270000,5/29/2025 10:47 AM,270,63.05,0.00,0.00,0.00,0.00%,30,0,0.00%
AMZN251121P00295000,2025-06-06 10:39:00,295,83.30,0.00,0.00,0.00,0.00%,1,0,0.00%
