Calls,"June 17, 2025 @ close",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
AMZN251017C00085000,2025-12-06 10:35:00,85,129.15,0.00,0.00,0.00,0.00%,7,0,0.00%
AMZN251017C00095000,2025-12-05 09:49:00,95,114.55,123.05,125.70,0.00,0.00%,1,11,112.93%
AMZN251017C00100000,6/17/2025 3:30 PM,100,117.21,0.00,0.00,0.00,0.00%,3,0,0.00%
AMZN251017C00105000,5/13/2025 11:26 AM,105,111.22,107.15,110.25,0.00,0.00%,-,1,61.38%
AMZN251017C00110000,6/16/2025 11:10 AM,110,107.52,0.00,0.00,0.00,0.00%,1,0,0.00%
AMZN251017C00115000,6/16/2025 11:19 AM,115,102.80,0.00,0.00,0.00,0.00%,1,0,0.00%
AMZN251017C00120000,2025-03-06 15:19:00,120,88.34,0.00,0.00,0.00,0.00%,2,0,0.00%
AMZN251017C00125000,6/16/2025 3:44 PM,125,94.58,0.00,0.00,0.00,0.00%,1,0,0.00%
AMZN251017C00130000,6/17/2025 9:55 AM,130,89.67,0.00,0.00,0.00,0.00%,1,0,0.00%
AMZN251017C00135000,6/16/2025 12:39 PM,135,83.29,0.00,0.00,0.00,0.00%,1,0,0.00%
AMZN251017C00140000,6/13/2025 1:46 PM,140,76.32,0.00,0.00,0.00,0.00%,3,0,0.00%
AMZN251017C00145000,6/16/2025 3:26 PM,145,74.75,0.00,0.00,0.00,0.00%,2,0,0.00%
AMZN251017C00150000,2025-06-06 15:13:00,150,67.29,0.00,0.00,0.00,0.00%,1,0,0.00%
AMZN251017C00155000,6/16/2025 11:50 AM,155,64.80,0.00,0.00,0.00,0.00%,1,0,0.00%
AMZN251017C00160000,6/16/2025 11:22 AM,160,60.45,0.00,0.00,0.00,0.00%,1,0,0.00%
AMZN251017C00165000,6/17/2025 11:43 AM,165,56.45,0.00,0.00,0.00,0.00%,5,0,0.00%
AMZN251017C00170000,6/17/2025 3:33 PM,170,50.65,0.00,0.00,0.00,0.00%,2,0,0.00%
AMZN251017C00175000,6/17/2025 9:30 AM,175,46.25,0.00,0.00,0.00,0.00%,6,0,0.00%
AMZN251017C00180000,6/17/2025 3:36 PM,180,42.00,0.00,0.00,0.00,0.00%,27,0,0.00%
AMZN251017C00185000,6/17/2025 3:41 PM,185,37.75,0.00,0.00,0.00,0.00%,3,0,0.00%
AMZN251017C00190000,6/17/2025 1:54 PM,190,34.25,0.00,0.00,0.00,0.00%,1,0,0.00%
AMZN251017C00195000,6/17/2025 1:16 PM,195,30.65,0.00,0.00,0.00,0.00%,6,0,0.00%
AMZN251017C00200000,6/17/2025 3:50 PM,200,26.85,0.00,0.00,0.00,0.00%,160,0,0.00%
AMZN251017C00205000,6/17/2025 1:00 PM,205,23.40,0.00,0.00,0.00,0.00%,21,0,0.00%
AMZN251017C00210000,6/17/2025 3:55 PM,210,20.20,0.00,0.00,0.00,0.00%,27,0,0.00%
AMZN251017C00215000,6/17/2025 3:56 PM,215,17.39,0.00,0.00,0.00,0.00%,66,0,0.05%
AMZN251017C00220000,6/17/2025 3:39 PM,220,14.72,0.00,0.00,0.00,0.00%,116,0,0.78%
AMZN251017C00225000,6/17/2025 2:26 PM,225,12.30,0.00,0.00,0.00,0.00%,39,0,1.56%
AMZN251017C00230000,6/17/2025 3:50 PM,230,10.40,0.00,0.00,0.00,0.00%,87,0,3.13%
AMZN251017C00235000,6/17/2025 3:38 PM,235,8.45,0.00,0.00,0.00,0.00%,56,0,3.13%
AMZN251017C00240000,6/17/2025 3:58 PM,240,6.85,0.00,0.00,0.00,0.00%,85,0,3.13%
AMZN251017C00245000,6/17/2025 3:57 PM,245,5.53,0.00,0.00,0.00,0.00%,65,0,6.25%
AMZN251017C00250000,6/17/2025 3:29 PM,250,4.46,0.00,0.00,0.00,0.00%,52,0,6.25%
AMZN251017C00255000,6/17/2025 3:27 PM,255,3.50,0.00,0.00,0.00,0.00%,177,0,6.25%
AMZN251017C00260000,6/17/2025 3:50 PM,260,2.81,0.00,0.00,0.00,0.00%,18,0,6.25%
AMZN251017C00265000,6/16/2025 3:52 PM,265,2.34,0.00,0.00,0.00,0.00%,78,0,6.25%
AMZN251017C00270000,6/17/2025 2:54 PM,270,1.73,0.00,0.00,0.00,0.00%,6,0,6.25%
AMZN251017C00275000,6/17/2025 10:09 AM,275,1.49,0.00,0.00,0.00,0.00%,1,0,6.25%
AMZN251017C00280000,6/17/2025 2:06 PM,280,1.09,0.00,0.00,0.00,0.00%,7,0,12.50%
AMZN251017C00285000,6/17/2025 10:10 AM,285,0.95,0.00,0.00,0.00,0.00%,20,0,12.50%
AMZN251017C00290000,6/16/2025 10:01 AM,290,0.64,0.00,0.00,0.00,0.00%,468,0,12.50%
AMZN251017C00295000,2025-10-06 13:48:00,295,0.72,0.00,0.00,0.00,0.00%,3,0,12.50%
AMZN251017C00300000,6/16/2025 11:17 AM,300,0.46,0.00,0.00,0.00,0.00%,1,0,12.50%
AMZN251017C00305000,6/16/2025 3:24 PM,305,0.38,0.00,0.00,0.00,0.00%,2,0,12.50%
AMZN251017C00310000,6/17/2025 2:45 PM,310,0.29,0.00,0.00,0.00,0.00%,28,0,12.50%
AMZN251017C00315000,2025-11-06 09:42:00,315,0.35,0.00,0.00,0.00,0.00%,29,0,12.50%
AMZN251017C00320000,2025-09-06 15:18:00,320,0.29,0.00,0.00,0.00,0.00%,1,0,12.50%
AMZN251017C00325000,6/13/2025 3:47 PM,325,0.18,0.00,0.00,0.00,0.00%,2,0,12.50%
Puts,,,,,,,,,,
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
AMZN251017P00085000,6/13/2025 2:39 PM,85,0.11,0.00,0.00,0.00,0.00%,2,0,25.00%
AMZN251017P00090000,2025-10-06 10:05:00,90,0.13,0.00,0.00,0.00,0.00%,37,0,25.00%
AMZN251017P00095000,2025-11-06 14:56:00,95,0.16,0.00,0.00,0.00,0.00%,2,0,25.00%
AMZN251017P00100000,2025-11-06 11:50:00,100,0.20,0.00,0.00,0.00,0.00%,10,0,25.00%
AMZN251017P00105000,6/16/2025 1:49 PM,105,0.25,0.00,0.00,0.00,0.00%,8,0,25.00%
AMZN251017P00110000,6/17/2025 10:02 AM,110,0.29,0.00,0.00,0.00,0.00%,5,0,25.00%
AMZN251017P00115000,6/16/2025 1:50 PM,115,0.36,0.00,0.00,0.00,0.00%,6,0,25.00%
AMZN251017P00120000,6/17/2025 3:52 PM,120,0.44,0.00,0.00,0.00,0.00%,4,0,25.00%
AMZN251017P00125000,6/17/2025 2:08 PM,125,0.54,0.00,0.00,0.00,0.00%,2,0,25.00%
AMZN251017P00130000,6/17/2025 11:50 AM,130,0.58,0.00,0.00,0.00,0.00%,2,0,12.50%
AMZN251017P00135000,6/17/2025 12:37 PM,135,0.71,0.00,0.00,0.00,0.00%,1,0,12.50%
AMZN251017P00140000,6/17/2025 3:41 PM,140,0.91,0.00,0.00,0.00,0.00%,3,0,12.50%
AMZN251017P00145000,6/17/2025 3:41 PM,145,1.09,0.00,0.00,0.00,0.00%,1,0,12.50%
AMZN251017P00150000,6/17/2025 11:07 AM,150,1.18,0.00,0.00,0.00,0.00%,1,0,12.50%
AMZN251017P00155000,6/17/2025 2:14 PM,155,1.52,0.00,0.00,0.00,0.00%,5,0,12.50%
AMZN251017P00160000,6/17/2025 3:48 PM,160,1.86,0.00,0.00,0.00,0.00%,2,0,12.50%
AMZN251017P00165000,6/17/2025 11:32 AM,165,2.07,0.00,0.00,0.00,0.00%,1,0,12.50%
AMZN251017P00170000,6/17/2025 3:45 PM,170,2.73,0.00,0.00,0.00,0.00%,3,0,6.25%
AMZN251017P00175000,6/17/2025 1:55 PM,175,3.19,0.00,0.00,0.00,0.00%,3,0,6.25%
AMZN251017P00180000,6/17/2025 3:48 PM,180,4.05,0.00,0.00,0.00,0.00%,11,0,6.25%
AMZN251017P00185000,6/17/2025 3:48 PM,185,4.90,0.00,0.00,0.00,0.00%,62,0,6.25%
AMZN251017P00190000,6/17/2025 3:59 PM,190,5.95,0.00,0.00,0.00,0.00%,188,0,6.25%
AMZN251017P00195000,6/17/2025 3:48 PM,195,7.10,0.00,0.00,0.00,0.00%,52,0,3.13%
AMZN251017P00200000,6/17/2025 3:45 PM,200,8.55,0.00,0.00,0.00,0.00%,25,0,3.13%
AMZN251017P00205000,6/17/2025 1:33 PM,205,9.60,0.00,0.00,0.00,0.00%,9,0,1.56%
AMZN251017P00210000,6/17/2025 3:55 PM,210,12.00,0.00,0.00,0.00,0.00%,104,0,0.78%
AMZN251017P00215000,6/17/2025 1:08 PM,215,13.80,0.00,0.00,0.00,0.00%,26,0,0.00%
AMZN251017P00220000,6/17/2025 2:02 PM,220,16.55,0.00,0.00,0.00,0.00%,103,0,0.00%
AMZN251017P00225000,6/17/2025 2:48 PM,225,19.34,0.00,0.00,0.00,0.00%,7,0,0.00%
AMZN251017P00230000,6/17/2025 3:52 PM,230,22.15,0.00,0.00,0.00,0.00%,37,0,0.00%
AMZN251017P00235000,6/16/2025 2:53 PM,235,24.70,0.00,0.00,0.00,0.00%,2,0,0.00%
AMZN251017P00240000,6/16/2025 11:43 AM,240,28.20,0.00,0.00,0.00,0.00%,4,0,0.00%
AMZN251017P00245000,6/13/2025 10:42 AM,245,35.90,0.00,0.00,0.00,0.00%,10,0,0.00%
AMZN251017P00250000,6/13/2025 9:50 AM,250,40.44,0.00,0.00,0.00,0.00%,1,0,0.00%
AMZN251017P00255000,5/27/2025 1:11 PM,255,49.50,0.00,0.00,0.00,0.00%,2,0,0.00%
AMZN251017P00260000,6/17/2025 11:16 AM,260,44.50,0.00,0.00,0.00,0.00%,1,0,0.00%
AMZN251017P00275000,4/17/2025 9:30 AM,275,98.95,68.30,70.90,0.00,0.00%,10,0,54.56%
AMZN251017P00280000,3/19/2025 12:58 PM,280,87.25,106.30,108.50,0.00,0.00%,1,0,126.21%
AMZN251017P00300000,2025-04-04 12:17:00,300,124.10,112.35,113.65,0.00,0.00%,2,0,105.70%
AMZN251017P00325000,2/27/2025 3:50 PM,325,116.05,131.75,133.00,0.00,0.00%,-,0,103.22%
