Calls,"June 17, 2025 @ close",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
AMZN260918C00105000,2025-11-06 13:13:00,105,119.05,0.00,0.00,0.00,0.00%,1,0,0.00%
AMZN260918C00110000,6/13/2025 9:30 AM,110,110.00,0.00,0.00,0.00,0.00%,1,0,0.00%
AMZN260918C00125000,2025-05-06 15:19:00,125,94.15,0.00,0.00,0.00,0.00%,1,0,0.00%
AMZN260918C00135000,2025-09-06 11:04:00,135,92.12,0.00,0.00,0.00,0.00%,1,0,0.00%
AMZN260918C00140000,2025-09-06 13:45:00,140,90.82,0.00,0.00,0.00,0.00%,18,0,0.00%
AMZN260918C00145000,2025-11-06 12:06:00,145,85.00,0.00,0.00,0.00,0.00%,-,0,0.00%
AMZN260918C00150000,6/13/2025 3:57 PM,150,77.37,0.00,0.00,0.00,0.00%,52,0,0.00%
AMZN260918C00155000,6/16/2025 11:06 AM,155,76.00,0.00,0.00,0.00,0.00%,5,0,0.00%
AMZN260918C00160000,6/17/2025 12:50 PM,160,73.20,0.00,0.00,0.00,0.00%,1,0,0.00%
AMZN260918C00165000,2025-12-06 13:47:00,165,67.80,0.00,0.00,0.00,0.00%,12,0,0.00%
AMZN260918C00170000,6/17/2025 3:11 PM,170,65.30,0.00,0.00,0.00,0.00%,4,0,0.00%
AMZN260918C00175000,6/16/2025 9:52 AM,175,59.61,0.00,0.00,0.00,0.00%,1,0,0.00%
AMZN260918C00180000,6/17/2025 1:50 PM,180,58.75,0.00,0.00,0.00,0.00%,2,0,0.00%
AMZN260918C00185000,2025-05-06 11:07:00,185,52.15,0.00,0.00,0.00,0.00%,1,0,0.00%
AMZN260918C00190000,6/17/2025 3:08 PM,190,51.85,0.00,0.00,0.00,0.00%,1,0,0.00%
AMZN260918C00195000,2025-12-06 15:42:00,195,46.95,0.00,0.00,0.00,0.00%,51,0,0.00%
AMZN260918C00200000,6/17/2025 3:48 PM,200,45.84,0.00,0.00,0.00,0.00%,62,0,0.00%
AMZN260918C00205000,6/17/2025 2:42 PM,205,42.85,0.00,0.00,0.00,0.00%,6,0,0.00%
AMZN260918C00210000,6/16/2025 9:56 AM,210,38.84,0.00,0.00,0.00,0.00%,1,0,0.00%
AMZN260918C00215000,6/17/2025 3:56 PM,215,37.45,0.00,0.00,0.00,0.00%,8,0,0.03%
AMZN260918C00220000,6/17/2025 3:55 PM,220,34.77,0.00,0.00,0.00,0.00%,13,0,0.39%
AMZN260918C00225000,6/17/2025 10:26 AM,225,33.00,0.00,0.00,0.00,0.00%,2,0,0.78%
AMZN260918C00230000,6/16/2025 3:44 PM,230,30.79,0.00,0.00,0.00,0.00%,4,0,1.56%
AMZN260918C00235000,6/17/2025 2:15 PM,235,28.19,0.00,0.00,0.00,0.00%,100,0,1.56%
AMZN260918C00240000,6/16/2025 11:10 AM,240,26.00,0.00,0.00,0.00,0.00%,13,0,1.56%
AMZN260918C00245000,6/16/2025 11:43 AM,245,24.18,0.00,0.00,0.00,0.00%,4,0,3.13%
AMZN260918C00250000,6/17/2025 3:26 PM,250,22.30,0.00,0.00,0.00,0.00%,8,0,3.13%
AMZN260918C00255000,2025-09-06 13:17:00,255,21.60,0.00,0.00,0.00,0.00%,1,0,3.13%
AMZN260918C00260000,6/13/2025 3:14 PM,260,17.95,0.00,0.00,0.00,0.00%,1,0,3.13%
AMZN260918C00265000,2025-06-06 12:50:00,265,16.68,0.00,0.00,0.00,0.00%,1,0,3.13%
AMZN260918C00270000,6/17/2025 12:32 PM,270,16.53,0.00,0.00,0.00,0.00%,700,0,3.13%
AMZN260918C00275000,6/17/2025 2:48 PM,275,14.70,0.00,0.00,0.00,0.00%,5,0,6.25%
AMZN260918C00280000,2025-12-06 09:44:00,280,12.90,0.00,0.00,0.00,0.00%,20,0,6.25%
AMZN260918C00285000,2025-09-06 14:38:00,285,13.25,0.00,0.00,0.00,0.00%,1,0,6.25%
AMZN260918C00290000,6/17/2025 12:41 PM,290,11.70,0.00,0.00,0.00,0.00%,40,0,6.25%
AMZN260918C00295000,6/17/2025 12:32 PM,295,10.77,0.00,0.00,0.00,0.00%,700,0,6.25%
AMZN260918C00300000,6/17/2025 10:33 AM,300,9.70,0.00,0.00,0.00,0.00%,4,0,6.25%
AMZN260918C00310000,2025-12-06 10:00:00,310,7.70,0.00,0.00,0.00,0.00%,-,0,6.25%
AMZN260918C00320000,6/17/2025 2:15 PM,320,6.75,0.00,0.00,0.00,0.00%,100,0,6.25%
Puts,,,,,,,,,,
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
AMZN260918P00105000,6/16/2025 1:05 PM,105,1.84,0.00,0.00,0.00,0.00%,2,0,12.50%
AMZN260918P00110000,6/13/2025 9:30 AM,110,2.35,0.00,0.00,0.00,0.00%,-,0,12.50%
AMZN260918P00115000,2025-12-06 11:47:00,115,2.60,0.00,0.00,0.00,0.00%,1,0,12.50%
AMZN260918P00120000,2025-09-06 11:10:00,120,2.83,0.00,0.00,0.00,0.00%,2,0,12.50%
AMZN260918P00125000,6/16/2025 12:58 PM,125,3.26,0.00,0.00,0.00,0.00%,5,0,12.50%
AMZN260918P00130000,6/17/2025 10:35 AM,130,3.75,0.00,0.00,0.00,0.00%,1,0,12.50%
AMZN260918P00135000,6/17/2025 10:35 AM,135,4.30,0.00,0.00,0.00,0.00%,1,0,6.25%
AMZN260918P00140000,6/17/2025 2:14 PM,140,5.10,0.00,0.00,0.00,0.00%,3,0,6.25%
AMZN260918P00145000,6/17/2025 2:13 PM,145,5.80,0.00,0.00,0.00,0.00%,32,0,6.25%
AMZN260918P00150000,6/17/2025 2:13 PM,150,6.60,0.00,0.00,0.00,0.00%,4,0,6.25%
AMZN260918P00155000,6/17/2025 2:29 PM,155,7.58,0.00,0.00,0.00,0.00%,2,0,6.25%
AMZN260918P00160000,6/17/2025 2:12 PM,160,8.45,0.00,0.00,0.00,0.00%,24,0,6.25%
AMZN260918P00165000,6/17/2025 2:30 PM,165,9.58,0.00,0.00,0.00,0.00%,4,0,6.25%
AMZN260918P00170000,6/17/2025 2:31 PM,170,10.72,0.00,0.00,0.00,0.00%,4,0,3.13%
AMZN260918P00175000,6/17/2025 2:07 PM,175,12.00,0.00,0.00,0.00,0.00%,2,0,3.13%
AMZN260918P00180000,6/17/2025 2:06 PM,180,13.35,0.00,0.00,0.00,0.00%,2,0,3.13%
AMZN260918P00185000,6/17/2025 2:05 PM,185,14.85,0.00,0.00,0.00,0.00%,2,0,3.13%
AMZN260918P00190000,6/17/2025 2:04 PM,190,16.48,0.00,0.00,0.00,0.00%,2,0,3.13%
AMZN260918P00195000,6/17/2025 2:03 PM,195,18.24,0.00,0.00,0.00,0.00%,2,0,1.56%
AMZN260918P00200000,6/17/2025 3:21 PM,200,20.23,0.00,0.00,0.00,0.00%,11,0,1.56%
AMZN260918P00205000,2025-12-06 10:44:00,205,22.83,0.00,0.00,0.00,0.00%,2,0,0.78%
AMZN260918P00210000,6/17/2025 2:00 PM,210,24.14,0.00,0.00,0.00,0.00%,2,0,0.39%
AMZN260918P00215000,6/17/2025 1:59 PM,215,26.24,0.00,0.00,0.00,0.00%,3,0,0.00%
AMZN260918P00220000,2025-11-06 15:48:00,220,29.61,0.00,0.00,0.00,0.00%,1,0,0.00%
AMZN260918P00225000,2025-11-06 15:52:00,225,32.20,0.00,0.00,0.00,0.00%,80,0,0.00%
AMZN260918P00230000,2025-12-06 11:32:00,230,35.45,0.00,0.00,0.00,0.00%,-,0,0.00%
AMZN260918P00235000,2025-02-06 14:27:00,235,41.54,0.00,0.00,0.00,0.00%,-,0,0.00%
AMZN260918P00240000,6/13/2025 2:03 PM,240,40.80,0.00,0.00,0.00,0.00%,-,0,0.00%
AMZN260918P00245000,6/17/2025 12:44 PM,245,41.95,0.00,0.00,0.00,0.00%,702,0,0.00%
AMZN260918P00265000,6/16/2025 1:31 PM,265,56.05,0.00,0.00,0.00,0.00%,-,0,0.00%
AMZN260918P00270000,6/17/2025 12:32 PM,270,58.96,0.00,0.00,0.00,0.00%,-,-,0.00%
AMZN260918P00290000,6/16/2025 12:43 PM,290,76.65,0.00,0.00,0.00,0.00%,-,0,0.00%
