Calls,"June 17, 2025 @ close",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
AVGO250801C00155000,6/16/2025 3:10 PM,155,98.16,0.00,0.00,0.00,0.00%,8,0,0.00%
AVGO250801C00190000,6/16/2025 3:34 PM,190,64.04,0.00,0.00,0.00,0.00%,5,0,0.00%
AVGO250801C00195000,6/16/2025 2:21 PM,195,59.79,0.00,0.00,0.00,0.00%,2,0,0.00%
AVGO250801C00200000,6/17/2025 2:51 PM,200,52.67,0.00,0.00,0.00,0.00%,5,0,0.00%
AVGO250801C00205000,6/17/2025 3:29 PM,205,48.34,0.00,0.00,0.00,0.00%,1,0,0.00%
AVGO250801C00210000,6/16/2025 3:33 PM,210,45.61,0.00,0.00,0.00,0.00%,2,0,0.00%
AVGO250801C00215000,6/13/2025 2:10 PM,215,38.25,0.00,0.00,0.00,0.00%,-,0,0.00%
AVGO250801C00220000,6/17/2025 3:58 PM,220,34.23,0.00,0.00,0.00,0.00%,2,0,0.00%
AVGO250801C00225000,6/17/2025 3:59 PM,225,29.97,0.00,0.00,0.00,0.00%,1,0,0.00%
AVGO250801C00230000,6/17/2025 1:36 PM,230,26.21,0.00,0.00,0.00,0.00%,1,0,0.00%
AVGO250801C00235000,6/17/2025 12:23 PM,235,22.55,0.00,0.00,0.00,0.00%,1,0,0.00%
AVGO250801C00240000,6/17/2025 12:09 PM,240,19.65,0.00,0.00,0.00,0.00%,7,0,0.00%
AVGO250801C00245000,6/17/2025 3:02 PM,245,17.50,0.00,0.00,0.00,0.00%,10,0,0.00%
AVGO250801C00250000,6/17/2025 2:53 PM,250,14.30,0.00,0.00,0.00,0.00%,92,0,0.20%
AVGO250801C00255000,6/17/2025 1:16 PM,255,10.85,0.00,0.00,0.00,0.00%,29,0,1.56%
AVGO250801C00260000,6/17/2025 3:57 PM,260,9.20,0.00,0.00,0.00,0.00%,45,0,3.13%
AVGO250801C00265000,6/17/2025 3:59 PM,265,7.29,0.00,0.00,0.00,0.00%,31,0,3.13%
AVGO250801C00270000,6/17/2025 3:29 PM,270,6.50,0.00,0.00,0.00,0.00%,6,0,6.25%
AVGO250801C00275000,6/17/2025 3:29 PM,275,5.20,0.00,0.00,0.00,0.00%,43,0,6.25%
AVGO250801C00280000,6/17/2025 3:29 PM,280,4.10,0.00,0.00,0.00,0.00%,10,0,6.25%
AVGO250801C00285000,6/17/2025 3:29 PM,285,3.25,0.00,0.00,0.00,0.00%,1,0,6.25%
AVGO250801C00290000,6/17/2025 3:58 PM,290,2.21,0.00,0.00,0.00,0.00%,5,0,12.50%
AVGO250801C00295000,6/17/2025 3:55 PM,295,1.82,0.00,0.00,0.00,0.00%,12,0,12.50%
AVGO250801C00300000,6/17/2025 3:50 PM,300,1.52,0.00,0.00,0.00,0.00%,27,0,12.50%
AVGO250801C00305000,6/17/2025 3:57 PM,305,1.11,0.00,0.00,0.00,0.00%,-,0,12.50%
AVGO250801C00310000,6/17/2025 3:55 PM,310,0.94,0.00,0.00,0.00,0.00%,10,0,12.50%
AVGO250801C00315000,6/17/2025 3:50 PM,315,0.80,0.00,0.00,0.00,0.00%,8,0,12.50%
AVGO250801C00325000,6/17/2025 3:28 PM,325,0.52,0.00,0.00,0.00,0.00%,-,-,12.50%
AVGO250801C00340000,6/17/2025 2:32 PM,340,0.35,0.00,0.00,0.00,0.00%,1,0,12.50%
Puts,,,,,,,,,,
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
AVGO250801P00150000,6/16/2025 9:35 AM,150,0.18,0.00,0.00,0.00,0.00%,1,0,25.00%
AVGO250801P00160000,6/17/2025 12:53 PM,160,0.32,0.00,0.00,0.00,0.00%,8,0,25.00%
AVGO250801P00165000,6/17/2025 10:31 AM,165,0.36,-,0.00,0.00,0.00%,-,-,25.00%
AVGO250801P00170000,6/17/2025 12:44 PM,170,0.45,0.00,0.00,0.00,0.00%,-,-,25.00%
AVGO250801P00175000,6/17/2025 10:33 AM,175,0.54,0.00,0.00,0.00,0.00%,16,0,25.00%
AVGO250801P00180000,6/17/2025 3:49 PM,180,0.70,0.00,0.00,0.00,0.00%,22,0,25.00%
AVGO250801P00190000,6/17/2025 3:45 PM,190,1.02,0.00,0.00,0.00,0.00%,14,0,12.50%
AVGO250801P00195000,6/17/2025 3:57 PM,195,1.34,0.00,0.00,0.00,0.00%,1,0,12.50%
AVGO250801P00200000,6/17/2025 3:55 PM,200,1.62,0.00,0.00,0.00,0.00%,15,0,12.50%
AVGO250801P00205000,6/17/2025 3:55 PM,205,2.00,0.00,0.00,0.00,0.00%,12,0,12.50%
AVGO250801P00210000,6/17/2025 3:59 PM,210,2.55,0.00,0.00,0.00,0.00%,3.062,0,12.50%
AVGO250801P00215000,6/17/2025 3:50 PM,215,3.00,0.00,0.00,0.00,0.00%,27,0,12.50%
AVGO250801P00220000,6/17/2025 3:40 PM,220,3.65,0.00,0.00,0.00,0.00%,58,0,6.25%
AVGO250801P00225000,6/17/2025 3:23 PM,225,4.54,0.00,0.00,0.00,0.00%,35,0,6.25%
AVGO250801P00230000,6/17/2025 3:23 PM,230,5.61,0.00,0.00,0.00,0.00%,39,0,6.25%
AVGO250801P00235000,6/17/2025 12:40 PM,235,7.35,0.00,0.00,0.00,0.00%,8,0,3.13%
AVGO250801P00240000,6/17/2025 2:12 PM,240,9.10,0.00,0.00,0.00,0.00%,3,0,3.13%
AVGO250801P00245000,6/17/2025 1:30 PM,245,11.35,0.00,0.00,0.00,0.00%,8,0,1.56%
AVGO250801P00250000,6/17/2025 1:49 PM,250,13.95,0.00,0.00,0.00,0.00%,13,0,0.00%
AVGO250801P00255000,6/17/2025 3:56 PM,255,15.75,0.00,0.00,0.00,0.00%,8,0,0.00%
AVGO250801P00260000,6/17/2025 11:03 AM,260,18.72,0.00,0.00,0.00,0.00%,1,0,0.00%
AVGO250801P00265000,6/17/2025 3:50 PM,265,21.15,0.00,0.00,0.00,0.00%,1,0,0.00%
AVGO250801P00270000,6/17/2025 2:13 PM,270,25.25,0.00,0.00,0.00,0.00%,1,0,0.00%
