Calls,"June 17, 2025 @ close",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
AVGO271217C00070000,2025-11-06 13:45:00,70,189.00,0.00,0.00,0.00,0.00%,3,0,0.00%
AVGO271217C00075000,2025-10-06 10:51:00,75,172.64,0.00,0.00,0.00,0.00%,20,0,0.00%
AVGO271217C00080000,2025-09-06 10:05:00,80,173.00,0.00,0.00,0.00,0.00%,1,0,0.00%
AVGO271217C00085000,2025-12-06 10:30:00,85,179.44,0.00,0.00,0.00,0.00%,50,0,0.00%
AVGO271217C00090000,2025-12-06 10:31:00,90,176.00,0.00,0.00,0.00,0.00%,20,0,0.00%
AVGO271217C00095000,2025-09-06 14:29:00,95,160.67,0.00,0.00,0.00,0.00%,1,0,0.00%
AVGO271217C00100000,6/17/2025 3:30 PM,100,162.50,0.00,0.00,0.00,0.00%,1,0,0.00%
AVGO271217C00105000,6/13/2025 1:43 PM,105,158.87,0.00,0.00,0.00,0.00%,1,0,0.00%
AVGO271217C00110000,2025-09-06 11:23:00,110,150.00,0.00,0.00,0.00,0.00%,1,0,0.00%
AVGO271217C00115000,2025-06-06 09:44:00,115,153.20,0.00,0.00,0.00,0.00%,70,0,0.00%
AVGO271217C00120000,2025-11-06 10:57:00,120,147.79,0.00,0.00,0.00,0.00%,10,0,0.00%
AVGO271217C00125000,2025-06-06 15:53:00,125,140.85,0.00,0.00,0.00,0.00%,1,0,0.00%
AVGO271217C00130000,5/19/2025 9:30 AM,130,115.73,0.00,0.00,0.00,0.00%,1,0,0.00%
AVGO271217C00135000,6/13/2025 3:09 PM,135,136.55,0.00,0.00,0.00,0.00%,1,0,0.00%
AVGO271217C00140000,5/30/2025 9:30 AM,140,126.00,0.00,0.00,0.00,0.00%,2,0,0.00%
AVGO271217C00145000,6/17/2025 10:58 AM,145,129.00,0.00,0.00,0.00,0.00%,1,0,0.00%
AVGO271217C00150000,6/16/2025 11:59 AM,150,129.03,0.00,0.00,0.00,0.00%,9,0,0.00%
AVGO271217C00155000,2025-09-06 09:43:00,155,118.35,0.00,0.00,0.00,0.00%,1,0,0.00%
AVGO271217C00160000,6/13/2025 2:39 PM,160,119.63,0.00,0.00,0.00,0.00%,3,0,0.00%
AVGO271217C00165000,2025-11-06 10:48:00,165,117.54,0.00,0.00,0.00,0.00%,1,0,0.00%
AVGO271217C00170000,2025-06-06 15:40:00,170,111.75,0.00,0.00,0.00,0.00%,2,0,0.00%
AVGO271217C00175000,6/16/2025 11:33 AM,175,114.00,0.00,0.00,0.00,0.00%,1,0,0.00%
AVGO271217C00180000,6/13/2025 3:07 PM,180,108.70,0.00,0.00,0.00,0.00%,2,0,0.00%
AVGO271217C00185000,2025-10-06 12:25:00,185,101.74,0.00,0.00,0.00,0.00%,1,0,0.00%
AVGO271217C00190000,6/17/2025 1:07 PM,190,102.15,0.00,0.00,0.00,0.00%,2,0,0.00%
AVGO271217C00195000,2025-11-06 14:24:00,195,101.90,0.00,0.00,0.00,0.00%,2,0,0.00%
AVGO271217C00200000,6/17/2025 1:23 PM,200,97.10,0.00,0.00,0.00,0.00%,3,0,0.00%
AVGO271217C00210000,6/17/2025 3:58 PM,210,91.98,0.00,0.00,0.00,0.00%,2,0,0.00%
AVGO271217C00220000,6/17/2025 11:06 AM,220,88.06,0.00,0.00,0.00,0.00%,1,0,0.00%
AVGO271217C00230000,6/16/2025 10:09 AM,230,83.50,0.00,0.00,0.00,0.00%,1,0,0.00%
AVGO271217C00240000,6/17/2025 3:59 PM,240,79.60,0.00,0.00,0.00,0.00%,1,0,0.00%
AVGO271217C00250000,6/17/2025 1:24 PM,250,74.42,0.00,0.00,0.00,0.00%,154,0,0.05%
AVGO271217C00260000,6/17/2025 1:01 PM,260,69.38,0.00,0.00,0.00,0.00%,4,0,0.78%
AVGO271217C00270000,6/17/2025 3:25 PM,270,67.85,0.00,0.00,0.00,0.00%,33,0,0.78%
AVGO271217C00280000,6/17/2025 1:13 PM,280,62.65,0.00,0.00,0.00,0.00%,16,0,1.56%
AVGO271217C00290000,6/17/2025 1:30 PM,290,59.37,0.00,0.00,0.00,0.00%,2,0,1.56%
AVGO271217C00300000,6/17/2025 2:06 PM,300,56.50,0.00,0.00,0.00,0.00%,28,0,3.13%
AVGO271217C00310000,2025-03-06 15:57:00,310,58.75,0.00,0.00,0.00,0.00%,1,0,3.13%
AVGO271217C00320000,2025-12-06 12:37:00,320,54.70,0.00,0.00,0.00,0.00%,2,0,3.13%
AVGO271217C00330000,2025-12-06 13:27:00,330,51.10,0.00,0.00,0.00,0.00%,1,0,3.13%
AVGO271217C00340000,6/13/2025 2:01 PM,340,47.41,0.00,0.00,0.00,0.00%,15,0,3.13%
AVGO271217C00350000,6/17/2025 12:03 PM,350,43.25,0.00,0.00,0.00,0.00%,1,0,3.13%
AVGO271217C00360000,2025-12-06 12:36:00,360,44.30,0.00,0.00,0.00,0.00%,5,0,6.25%
AVGO271217C00370000,6/17/2025 1:30 PM,370,38.12,0.00,0.00,0.00,0.00%,2,0,6.25%
AVGO271217C00380000,6/17/2025 1:20 PM,380,35.84,0.00,0.00,0.00,0.00%,2,0,6.25%
Puts,,,,,,,,,,
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
AVGO271217P00070000,6/17/2025 12:29 PM,70,3.05,0.00,0.00,0.00,0.00%,20,0,12.50%
AVGO271217P00075000,6/17/2025 3:57 PM,75,3.45,0.00,0.00,0.00,0.00%,4,0,12.50%
AVGO271217P00080000,6/17/2025 1:22 PM,80,3.95,0.00,0.00,0.00,0.00%,1,0,12.50%
AVGO271217P00085000,2025-11-06 10:17:00,85,4.43,0.00,0.00,0.00,0.00%,1,0,12.50%
AVGO271217P00090000,2025-10-06 09:30:00,90,5.15,0.00,0.00,0.00,0.00%,2,0,12.50%
AVGO271217P00095000,6/13/2025 1:13 PM,95,5.65,0.00,0.00,0.00,0.00%,3,0,12.50%
AVGO271217P00100000,6/16/2025 12:24 PM,100,6.38,0.00,0.00,0.00,0.00%,2,0,12.50%
AVGO271217P00105000,2025-09-06 15:13:00,105,7.46,0.00,0.00,0.00,0.00%,5,0,12.50%
AVGO271217P00110000,2025-09-06 10:49:00,110,8.13,0.00,0.00,0.00,0.00%,6,0,12.50%
AVGO271217P00115000,2025-12-06 15:38:00,115,8.66,0.00,0.00,0.00,0.00%,4,0,12.50%
AVGO271217P00120000,2025-11-06 12:19:00,120,9.55,0.00,0.00,0.00,0.00%,6,0,12.50%
AVGO271217P00125000,2025-12-06 14:26:00,125,10.70,0.00,0.00,0.00,0.00%,10,0,6.25%
AVGO271217P00130000,6/17/2025 3:13 PM,130,12.10,0.00,0.00,0.00,0.00%,20,0,6.25%
AVGO271217P00135000,2025-11-06 13:04:00,135,12.78,0.00,0.00,0.00,0.00%,103,0,6.25%
AVGO271217P00140000,2025-11-06 12:03:00,140,13.90,0.00,0.00,0.00,0.00%,2,0,6.25%
AVGO271217P00145000,2025-09-06 12:01:00,145,16.40,0.00,0.00,0.00,0.00%,3,0,6.25%
AVGO271217P00150000,6/17/2025 1:04 PM,150,17.25,0.00,0.00,0.00,0.00%,1,0,6.25%
AVGO271217P00155000,6/16/2025 10:55 AM,155,18.27,0.00,0.00,0.00,0.00%,2,0,6.25%
AVGO271217P00160000,6/16/2025 9:35 AM,160,19.78,0.00,0.00,0.00,0.00%,7,0,6.25%
AVGO271217P00165000,6/13/2025 10:45 AM,165,21.54,0.00,0.00,0.00,0.00%,1,0,6.25%
AVGO271217P00170000,6/17/2025 1:38 PM,170,23.16,0.00,0.00,0.00,0.00%,2,0,6.25%
AVGO271217P00175000,6/16/2025 10:55 AM,175,24.51,0.00,0.00,0.00,0.00%,2,0,6.25%
AVGO271217P00180000,6/13/2025 3:43 PM,180,27.09,0.00,0.00,0.00,0.00%,5,0,3.13%
AVGO271217P00185000,2025-09-06 13:42:00,185,29.49,0.00,0.00,0.00,0.00%,1,0,3.13%
AVGO271217P00190000,2025-12-06 12:50:00,190,29.45,0.00,0.00,0.00,0.00%,7,0,3.13%
AVGO271217P00195000,2025-09-06 15:44:00,195,33.20,0.00,0.00,0.00,0.00%,9,0,3.13%
AVGO271217P00200000,6/17/2025 2:18 PM,200,34.32,0.00,0.00,0.00,0.00%,154,0,3.13%
AVGO271217P00210000,6/17/2025 10:42 AM,210,38.60,0.00,0.00,0.00,0.00%,2,0,3.13%
AVGO271217P00220000,6/17/2025 9:45 AM,220,43.00,0.00,0.00,0.00,0.00%,11,0,1.56%
AVGO271217P00230000,6/17/2025 9:31 AM,230,46.65,0.00,0.00,0.00,0.00%,2,0,1.56%
AVGO271217P00240000,6/16/2025 3:01 PM,240,51.77,0.00,0.00,0.00,0.00%,246,0,0.78%
AVGO271217P00250000,6/17/2025 3:54 PM,250,57.58,0.00,0.00,0.00,0.00%,12,0,0.00%
AVGO271217P00260000,6/17/2025 1:39 PM,260,63.35,0.00,0.00,0.00,0.00%,6,0,0.00%
AVGO271217P00270000,2025-06-06 12:38:00,270,68.75,0.00,0.00,0.00,0.00%,20,0,0.00%
AVGO271217P00280000,2025-12-06 10:44:00,280,72.25,0.00,0.00,0.00,0.00%,48,0,0.00%
AVGO271217P00290000,2025-03-06 10:29:00,290,80.33,0.00,0.00,0.00,0.00%,-,0,0.00%
AVGO271217P00300000,2025-05-06 13:40:00,300,83.10,0.00,0.00,0.00,0.00%,2,0,0.00%
AVGO271217P00350000,2025-03-06 10:51:00,350,118.95,0.00,0.00,0.00,0.00%,-,0,0.00%
AVGO271217P00360000,2025-05-06 10:08:00,360,124.60,0.00,0.00,0.00,0.00%,-,0,0.00%
AVGO271217P00380000,2025-09-06 12:28:00,380,148.84,0.00,0.00,0.00,0.00%,4,0,0.00%
